"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_401: Population, 2016","v_CA16_404: Total private dwellings","v_CA16_406: Population density per square kilometre","v_CA16_407: Land area in square kilometres","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_412: Semi-detached house","v_CA16_413: Row house","v_CA16_414: Apartment or flat in a duplex","v_CA16_415: Apartment in a building that has fewer than five storeys","v_CA16_416: Other single-attached house","v_CA16_417: Movable dwelling","v_CA16_7: 0 to 4 years","v_CA16_25: 5 to 9 years","v_CA16_43: 10 to 14 years","v_CA16_64: 15 to 19 years","v_CA16_82: 20 to 24 years","v_CA16_100: 25 to 29 years","v_CA16_118: 30 to 34 years","v_CA16_136: 35 to 39 years","v_CA16_154: 40 to 44 years","v_CA16_172: 45 to 49 years","v_CA16_190: 50 to 54 years","v_CA16_208: 55 to 59 years","v_CA16_226: 60 to 64 years","v_CA16_244: 65 years and over","v_CA16_2207: Median total income in 2015 among recipients ($)","v_CA16_2213: Median after-tax income in 2015 among recipients ($)","v_CA16_2208: Median total income in 2015 among recipients ($)","v_CA16_2209: Median total income in 2015 among recipients ($)","v_CA16_3957: Total visible minority population","v_CA16_3960: South Asian","v_CA16_3963: Chinese","v_CA16_3966: Black","v_CA16_3969: Filipino","v_CA16_3972: Latin American","v_CA16_3975: Arab","v_CA16_3978: Southeast Asian","v_CA16_3981: West Asian","v_CA16_3984: Korean","v_CA16_3987: Japanese","v_CA16_3990: Visible minority, n.i.e.","v_CA16_3993: Multiple visible minorities","v_CA16_3986: Korean","v_CA16_379: Average age","v_CA16_4986: Average after-tax income of households in 2015 ($)","v_CA16_2398: Median after-tax income of households in 2015 ($)","v_CA16_5666: 1 Business, finance and administration occupations","v_CA16_5054: No certificate, diploma or degree","v_CA16_5057: Secondary (high) school diploma or equivalency certificate","v_CA16_5062: Postsecondary certificate, diploma or degree","v_CA16_5072: College, CEGEP or other non-university certificate or diploma","v_CA16_5075: University certificate or diploma below bachelor level"
"1","35240098","DA","Oakville",0.36144,957,272,270,"3524001","3524","5350612.12","35535",957,272,2647.3,0.36,175,0,95,0,0,0,0,0,30,50,80,105,90,50,25,30,70,90,120,85,65,60,40909,36403,54528,30080,345,140,55,50,20,20,30,0,15,10,0,0,10,10,37.2,141018,122112,110,65,185,235,190,10
"2","35240099","DA","Oakville",0.11449,504,143,143,"3524001","3524","5350612.11","35535",504,143,4401.7,0.11,115,0,25,0,10,0,0,0,20,25,40,45,45,25,10,25,25,45,70,45,35,45,45056,40512,59712,37184,155,70,20,0,10,20,15,0,0,10,0,0,0,0,38.7,165842,123989,45,35,100,140,70,10
"3","35240100","DA","Oakville",0.12915,548,162,162,"3524001","3524","5350612.11","35535",548,162,4241.5,0.13,150,0,0,0,10,0,0,0,25,25,45,45,50,25,25,15,30,45,45,65,55,65,45952,40789,58496,31936,65,10,0,10,15,10,0,0,0,0,0,0,10,0,40.7,138279,138240,50,60,95,170,120,10
"4","35240101","DA","Oakville",0.11135,373,112,111,"3524001","3524","5350612.11","35535",373,112,3351.3,0.11,105,0,0,0,0,0,0,0,20,15,35,30,30,25,10,10,25,30,40,40,25,45,44032,37248,52352,36608,80,10,35,0,0,0,20,0,0,10,0,0,0,10,39.1,128083,134656,60,30,55,115,55,0
"5","35240102","DA","Oakville",0.13261,453,177,177,"3524001","3524","5350612.11","35535",453,177,3418.9,0.13,25,0,35,120,0,0,0,0,20,20,25,35,40,25,20,35,20,55,40,50,30,50,39893,35712,42112,37760,140,30,30,10,25,10,0,0,0,10,0,0,15,10,40.7,76653,83136,70,65,65,170,100,15
"6","35240104","DA","Oakville",0.06594,374,121,121,"3524001","3524","5350612.11","35535",374,121,5675.3,0.07,40,0,30,50,0,0,0,0,10,25,30,35,25,20,20,25,30,20,45,25,20,30,39040,35456,55168,36992,110,50,15,10,0,0,0,0,30,0,0,0,10,0,36.9,102168,103680,45,30,60,100,50,0
"7","35240105","DA","Oakville",0.05069,250,74,74,"3524001","3524","5350612.12","35535",250,74,4931,0.05,70,0,0,0,5,0,0,0,5,20,15,20,10,15,10,10,15,15,20,30,25,30,46912,40832,53376,39616,65,0,45,10,10,0,0,0,10,0,0,0,0,0,40.3,110938,127744,30,15,50,80,50,10
"8","35240106","DA","Oakville",0.20001,892,280,276,"3524001","3524","5350612.12","35535",892,280,4457.8,0.2,55,0,135,70,5,0,0,0,45,55,80,95,75,45,50,45,60,65,90,80,40,75,35456,31552,38272,33664,255,75,45,80,0,0,25,15,15,0,0,0,0,0,35.9,113638,92416,105,90,185,235,140,15
"9","35240107","DA","Oakville",0.15832,378,120,120,"3524001","3524","5350612.12","35535",378,120,2386.4,0.16,90,0,25,0,0,5,0,0,20,35,20,20,25,20,20,20,25,20,30,35,45,50,44288,38016,56320,36992,70,35,25,0,10,10,0,0,0,0,0,0,0,0,40.9,137594,109056,35,20,85,100,55,20
"10","35240108","DA","Oakville",0.08879,528,164,164,"3524001","3524","5350612.12","35535",528,164,5939.3,0.09,90,0,45,20,5,5,0,0,25,35,45,40,35,20,15,20,45,55,40,50,45,60,39424,34731,58496,28864,180,45,45,0,10,0,15,0,0,35,0,20,20,15,39.3,108531,97536,70,75,100,145,80,10
"11","35240109","DA","Oakville",0.09461,335,101,98,"3524001","3524","5350612.12","35535",335,101,3541.2,0.09,95,0,0,0,5,0,0,0,10,20,25,20,25,15,10,15,30,25,20,25,25,65,37056,32896,45952,31712,180,15,25,15,40,0,70,0,0,0,0,0,10,0,41.5,109073,107264,25,30,65,120,50,20
