"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_674: Under $10,000 (including loss)","v_CA21_677: $10,000 to $19,999","v_CA21_680: $20,000 to $29,999","v_CA21_683: $30,000 to $39,999","v_CA21_686: $40,000 to $49,999","v_CA21_689: $50,000 to $59,999","v_CA21_692: $60,000 to $69,999","v_CA21_695: $70,000 to $79,999","v_CA21_698: $80,000 to $89,999","v_CA21_701: $90,000 to $99,999","v_CA21_707: $100,000 to $149,999","v_CA21_710: $150,000 and over","v_CA21_915: Average total income of household in 2020 ($)","v_CA21_916: Average after-tax income of household in 2020 ($)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4878: South Asian","v_CA21_4881: Chinese","v_CA21_4884: Black","v_CA21_4887: Filipino","v_CA21_4890: Arab","v_CA21_4893: Latin American","v_CA21_4896: Southeast Asian","v_CA21_4899: West Asian","v_CA21_4902: Korean","v_CA21_4905: Japanese","v_CA21_4908: Visible minority, n.i.e.","v_CA21_4911: Multiple visible minorities","v_CA21_4914: Not a visible minority","v_CA21_5868: No certificate, diploma or degree","v_CA21_5871: High (secondary) school diploma or equivalency certificate","v_CA21_5898: Bachelor's degree","v_CA21_5901: University certificate or diploma above bachelor level"
"1","35240098","DA","35240098",0.3614,911,272,271,"3524001","3524","5350612.12","35535",47200,95,80,90,75,45,50,45,35,30,30,110,75,184000,148000,540,320,0,105,90,65,30,55,0,0,0,0,0,0,10,475,25,75,175,15
"2","35240099","DA","35240099",0.1145,489,141,141,"3524001","3524","5350612.11","35535",49200,45,45,40,40,20,25,30,15,20,5,50,50,208000,164000,295,115,0,25,35,0,0,0,0,0,25,0,0,0,0,315,0,30,120,10
"3","35240100","DA","35240100",0.1292,515,163,160,"3524001","3524","5350612.11","35535",58000,40,45,40,30,35,25,30,20,20,20,60,60,306000,206000,325,165,0,90,35,15,0,25,0,0,0,0,0,0,0,300,0,45,75,20
"4","35240101","DA","35240101",0.1114,379,113,111,"3524001","3524","5350612.11","35535",54800,30,35,30,25,20,20,20,10,10,15,50,30,2e+05,158000,235,165,0,45,45,0,0,50,0,0,0,0,0,0,0,240,0,35,75,0
"5","35240102","DA","35240102",0.1326,466,178,177,"3524001","3524","5350612.11","35535",49600,40,35,40,40,30,20,25,20,20,25,45,15,114000,95000,200,240,0,75,20,50,25,40,30,0,0,0,0,0,0,210,15,35,80,0
"6","35240104","DA","35240104",0.0659,387,121,119,"3524001","3524","5350612.11","35535",50800,30,45,25,30,20,25,20,10,15,15,50,25,180000,140000,190,175,35,40,50,0,0,35,0,0,20,0,0,0,0,255,0,15,100,0
"7","35240105","DA","35240105",0.0507,240,73,73,"3524001","3524","5350612.12","35535",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,115,0,30,65,0,0,0,0,0,0,0,0,0,0,150,0,25,55,15
"8","35240106","DA","35240106",0.2,872,282,278,"3524001","3524","5350612.12","35535",43600,65,80,90,65,60,55,30,25,30,25,65,60,146000,118000,525,345,0,80,60,10,0,0,25,0,65,0,0,0,40,555,15,100,180,15
"9","35240107","DA","35240107",0.1583,384,121,120,"3524001","3524","5350612.12","35535",55200,30,35,30,20,20,20,20,20,20,15,25,35,172000,134000,280,125,0,20,40,30,0,0,20,0,0,0,0,0,0,275,0,20,105,10
"10","35240108","DA","35240108",0.0888,498,163,158,"3524001","3524","5350612.12","35535",48800,30,50,50,40,30,35,25,25,25,20,50,20,160000,132000,365,145,20,20,35,20,0,30,40,0,0,0,0,0,0,355,0,45,115,20
"11","35240109","DA","35240109",0.0946,315,100,97,"3524001","3524","5350612.12","35535",45200,25,25,30,30,20,15,15,10,15,10,30,25,172000,132000,130,140,0,40,25,20,0,30,0,0,0,0,0,0,0,135,0,20,50,0
"12","35240110","DA","35240110",0.124,349,117,116,"3524001","3524","5350612.12","35535",50400,40,20,30,25,30,20,15,10,15,15,40,35,160000,128000,180,105,0,20,20,0,0,0,0,0,0,0,0,0,0,240,0,20,45,0
"13","35240111","DA","35240111",0.1676,751,286,279,"3524001","3524","5350613.01","35535",43200,50,55,95,70,55,60,35,35,35,15,45,15,111000,93000,445,265,0,45,60,95,50,15,0,0,0,0,0,30,40,355,25,70,85,20
"14","35240112","DA","35240112",0.1818,437,151,144,"3524001","3524","5350613.01","35535",41600,30,45,45,45,30,20,20,20,15,15,30,25,154000,122000,325,85,0,10,30,0,0,0,20,0,0,0,15,0,0,330,0,70,20,0
"15","35240113","DA","35240113",0.1989,375,111,110,"3524001","3524","5350613.01","35535",41600,35,30,45,20,20,10,15,10,10,10,35,30,148000,118000,250,80,0,0,0,0,0,0,0,0,0,0,0,0,0,265,10,30,50,10
"16","35240114","DA","35240114",1.0125,1200,440,432,"3524001","3524","5350613.01","35535",52000,100,100,115,75,80,55,60,55,45,45,145,95,165000,129500,730,365,10,80,135,20,0,0,10,0,0,40,0,0,40,755,15,85,210,25
"17","35240115","DA","35240115",0.1175,425,124,122,"3524001","3524","5350612.12","35535",56400,45,30,40,20,20,25,20,25,10,20,50,40,1520000,860000,325,160,0,30,40,25,0,0,0,0,0,0,0,15,0,365,0,25,105,0
"18","35240116","DA","35240116",0.0628,312,111,109,"3524001","3524","5350613.01","35535",44800,25,25,35,20,20,20,25,10,10,10,30,10,122000,102000,190,115,0,55,15,0,0,0,0,0,0,0,20,0,0,190,10,30,40,0
"19","35240117","DA","35240117",0.1084,493,183,177,"3524001","3524","5350613.01","35535",42400,35,55,50,45,45,40,25,25,20,15,30,10,113000,95000,335,145,10,15,10,35,15,0,0,0,0,0,0,0,0,395,20,65,45,0
"20","35240118","DA","35240118",0.1658,701,267,262,"3524001","3524","5350613.01","35535",43600,60,55,90,60,60,40,50,30,35,25,65,15,127000,105000,490,165,0,25,60,20,15,0,0,0,0,0,0,0,10,505,15,115,60,10
"21","35240120","DA","35240120",0.2315,608,208,202,"3524001","3524","5350613.03","35535",44400,50,55,65,45,45,35,30,25,25,15,50,30,162000,130000,395,280,15,80,50,0,25,70,0,0,0,0,0,40,0,400,25,65,105,10
"22","35240123","DA","35240123",0.2413,857,354,341,"3524001","3524","5350613.03","35535",35600,55,110,110,90,70,55,40,35,30,15,45,20,90800,78800,445,265,35,80,30,35,25,15,10,0,45,10,0,0,0,485,40,95,115,15
"23","35240124","DA","35240124",0.2716,443,165,158,"3524001","3524","5350613.03","35535",35200,30,75,60,55,50,35,20,10,10,5,25,5,82000,70500,230,155,10,30,0,15,15,35,0,0,0,0,0,10,0,270,35,80,35,0
"24","35240125","DA","35240125",0.1738,352,125,115,"3524001","3524","5350613.03","35535",44400,15,35,45,30,25,20,15,20,10,10,25,30,2e+05,148000,305,175,0,150,0,15,0,50,0,0,0,0,0,0,0,210,15,60,75,0
"25","35240126","DA","35240126",0.7371,482,167,162,"3524001","3524","5350614.01","35535",55200,45,40,35,30,25,25,20,20,20,15,50,55,188000,146000,315,160,0,50,0,25,0,0,0,0,0,0,0,0,10,330,0,15,95,0
"26","35240127","DA","35240127",0.2266,484,180,175,"3524001","3524","5350614.01","35535",47200,40,45,45,45,40,30,25,10,15,15,55,35,139000,111000,330,120,0,0,0,10,0,0,0,0,20,0,0,0,0,385,10,50,70,10
"27","35240128","DA","35240128",0.1409,720,254,247,"3524001","3524","5350614.02","35535",45600,50,55,85,50,60,45,45,35,25,20,50,25,129000,109000,470,235,0,55,45,25,0,0,25,0,0,0,0,0,0,535,25,90,120,10
"28","35240129","DA","35240129",0.2423,478,183,181,"3524001","3524","5350614.02","35535",55600,35,40,40,25,35,35,35,35,20,10,50,30,172000,134000,320,135,0,50,55,0,0,0,0,0,0,0,0,0,0,290,0,55,70,15
"29","35240130","DA","35240130",0.2183,491,172,170,"3524001","3524","5350614.01","35535",49600,45,40,45,40,30,25,25,30,15,20,65,30,157000,130000,325,175,0,30,30,0,0,0,0,0,0,0,0,0,0,400,10,25,140,10
"30","35240131","DA","35240131",0.1578,474,173,172,"3524001","3524","5350614.02","35535",54800,20,40,40,35,35,35,20,25,20,15,50,40,192000,150000,320,150,0,40,0,0,0,0,0,0,0,0,0,0,0,390,10,50,70,0
"31","35240132","DA","35240132",0.153,514,183,182,"3524001","3524","5350614.02","35535",53200,40,35,50,35,35,30,25,25,25,20,45,35,162000,128000,450,115,0,0,15,0,0,0,0,0,0,0,0,0,0,505,0,45,65,15
"32","35240134","DA","35240134",2.8644,503,166,162,"3524001","3524","5350600.02","35535",37600,60,45,60,35,30,30,25,20,10,5,25,30,124000,104000,265,195,0,55,35,130,0,45,0,0,0,0,0,0,0,190,25,35,65,10
"33","35240135","DA","35240135",0.7764,636,219,208,"3524001","3524","5350601.00","35535",49200,60,60,60,25,35,25,20,25,20,20,35,95,302000,204000,380,200,20,70,85,20,0,0,0,0,0,0,0,0,25,355,0,25,150,25
"34","35240136","DA","35240136",0.1876,453,146,141,"3524001","3524","5350601.00","35535",60800,50,40,25,30,20,10,25,15,15,10,40,70,375000,228000,325,140,0,40,50,0,0,0,0,0,0,0,0,0,20,335,0,25,105,0
"35","35240137","DA","35240137",0.2875,508,157,155,"3524001","3524","5350601.00","35535",62400,55,45,30,30,15,15,25,20,15,20,30,85,488000,290000,375,175,0,35,75,0,25,0,0,0,0,0,0,0,0,355,0,20,120,15
"36","35240138","DA","35240138",0.3416,442,144,142,"3524001","3524","5350601.00","35535",51200,50,50,25,20,25,10,15,10,5,5,40,95,460000,268000,330,135,0,40,90,0,0,0,0,10,0,0,0,0,0,305,0,15,95,15
"37","35240139","DA","35240139",0.2784,437,137,135,"3524001","3524","5350601.00","35535",65000,50,35,30,15,10,10,10,10,10,15,25,90,760000,470000,260,155,15,25,90,0,0,0,0,0,0,0,0,0,0,285,0,50,75,10
"38","35240140","DA","35240140",0.5217,578,201,188,"3524001","3524","5350601.00","35535",61600,80,50,25,30,25,20,25,15,15,15,45,120,760000,412000,295,320,20,65,155,0,0,25,0,0,30,0,0,0,0,330,0,15,145,15
"39","35240141","DA","35240141",0.3449,415,128,122,"3524001","3524","5350601.00","35535",43200,55,35,35,25,20,15,5,15,10,15,30,55,460000,292000,290,125,0,0,65,0,0,0,0,0,0,0,0,0,0,275,0,30,90,10
