"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_5868: No certificate, diploma or degree","v_CA21_5871: High (secondary) school diploma or equivalency certificate","v_CA21_5877: Postsecondary certificate or diploma below bachelor level","v_CA21_5895: Bachelor's degree or higher","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over"
"1","35240098","DA","35240098",0.3614,911,272,271,"3524001","3524","5350612.12","35535",495,45,25,75,120,290,2,0,0,0,0,0,0,0,0,5,5,10,10,15,10,10,205
"2","35240099","DA","35240099",0.1145,489,141,141,"3524001","3524","5350612.11","35535",225,45,0,30,60,155,2.8,0,0,0,0,0,0,0,0,0,0,0,5,10,5,5,110
"3","35240100","DA","35240100",0.1292,515,163,160,"3524001","3524","5350612.11","35535",245,20,0,45,45,145,1.6,0,0,0,0,0,0,0,0,0,0,5,5,5,5,15,120
"4","35240101","DA","35240101",0.1114,379,113,111,"3524001","3524","5350612.11","35535",195,35,0,35,55,145,NA,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,90
"5","35240102","DA","35240102",0.1326,466,178,177,"3524001","3524","5350612.11","35535",190,45,15,35,75,125,1.6,0,0,0,0,0,0,0,5,0,5,15,15,15,15,20,80
"6","35240104","DA","35240104",0.0659,387,121,119,"3524001","3524","5350612.11","35535",215,35,0,15,35,170,3.2,0,0,0,0,0,0,0,0,0,0,10,5,5,5,10,85
"7","35240105","DA","35240105",0.0507,240,73,73,"3524001","3524","5350612.12","35535",145,10,0,25,40,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","35240106","DA","35240106",0.2,872,282,278,"3524001","3524","5350612.12","35535",445,55,15,100,140,245,4.4,0,0,0,0,5,10,0,0,5,5,20,20,20,15,15,150
"9","35240107","DA","35240107",0.1583,384,121,120,"3524001","3524","5350612.12","35535",160,10,0,20,30,140,6.8,0,0,0,0,0,0,0,5,0,0,0,10,10,5,0,85
"10","35240108","DA","35240108",0.0888,498,163,158,"3524001","3524","5350612.12","35535",290,30,0,45,75,165,1.6,0,0,0,0,0,0,0,0,0,0,10,10,10,10,15,100
"11","35240109","DA","35240109",0.0946,315,100,97,"3524001","3524","5350612.12","35535",105,30,0,20,20,80,NA,0,0,0,0,0,0,0,0,5,0,10,5,5,10,0,65
"12","35240110","DA","35240110",0.124,349,117,116,"3524001","3524","5350612.12","35535",135,25,0,20,20,75,4,0,0,0,0,0,0,5,0,0,0,0,10,0,10,5,75
"13","35240111","DA","35240111",0.1676,751,286,279,"3524001","3524","5350613.01","35535",325,30,25,70,155,150,6.8,0,0,0,0,10,10,10,5,10,10,20,20,20,25,30,100
"14","35240112","DA","35240112",0.1818,437,151,144,"3524001","3524","5350613.01","35535",215,40,0,70,100,40,2.8,0,0,0,0,0,0,5,0,0,5,10,15,10,10,5,75
"15","35240113","DA","35240113",0.1989,375,111,110,"3524001","3524","5350613.01","35535",125,30,10,30,30,70,4,0,0,0,0,0,0,0,0,0,0,5,5,5,0,10,70
"16","35240114","DA","35240114",1.0125,1200,440,432,"3524001","3524","5350613.01","35535",495,55,15,85,110,365,3,5,0,0,0,5,5,10,10,15,10,25,20,30,20,30,250
"17","35240115","DA","35240115",0.1175,425,124,122,"3524001","3524","5350612.12","35535",215,35,0,25,45,155,5.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95
"18","35240116","DA","35240116",0.0628,312,111,109,"3524001","3524","5350613.01","35535",155,25,10,30,55,75,5,0,0,0,0,0,0,5,0,0,0,5,5,10,10,5,55
"19","35240117","DA","35240117",0.1084,493,183,177,"3524001","3524","5350613.01","35535",190,45,20,65,90,95,9.2,0,0,0,0,0,5,5,5,10,5,15,10,15,10,15,75
"20","35240118","DA","35240118",0.1658,701,267,262,"3524001","3524","5350613.01","35535",345,45,15,115,115,125,4,0,0,0,0,5,0,10,10,10,5,15,20,15,20,20,120
"21","35240120","DA","35240120",0.2315,608,208,202,"3524001","3524","5350613.03","35535",280,65,25,65,95,165,6,0,0,0,0,5,0,5,0,5,0,10,20,15,20,15,95
"22","35240123","DA","35240123",0.2413,857,354,341,"3524001","3524","5350613.03","35535",395,55,40,95,105,190,10.2,10,5,5,10,5,15,20,10,15,15,35,40,20,20,25,90
"23","35240124","DA","35240124",0.2716,443,165,158,"3524001","3524","5350613.03","35535",150,20,35,80,75,50,13.6,0,5,0,5,0,10,5,10,5,10,10,20,5,10,5,45
"24","35240125","DA","35240125",0.1738,352,125,115,"3524001","3524","5350613.03","35535",220,55,15,60,20,125,11,0,0,0,0,0,5,0,0,0,0,5,10,5,5,5,55
"25","35240126","DA","35240126",0.7371,482,167,162,"3524001","3524","5350614.01","35535",205,40,0,15,30,150,3.2,0,0,0,0,0,0,5,5,0,0,5,10,10,10,5,105
"26","35240127","DA","35240127",0.2266,484,180,175,"3524001","3524","5350614.01","35535",215,35,10,50,60,105,2.8,0,0,0,0,0,0,5,0,5,5,5,5,15,10,10,105
"27","35240128","DA","35240128",0.1409,720,254,247,"3524001","3524","5350614.02","35535",355,45,25,90,120,170,3.2,0,0,0,0,0,5,5,0,0,5,20,20,10,25,15,115
"28","35240129","DA","35240129",0.2423,478,183,181,"3524001","3524","5350614.02","35535",215,30,0,55,45,130,3.2,0,0,0,0,0,0,0,0,10,0,15,5,15,10,5,105
"29","35240130","DA","35240130",0.2183,491,172,170,"3524001","3524","5350614.01","35535",260,20,10,25,75,190,2.4,0,0,0,0,0,0,5,0,0,0,5,0,15,15,15,105
"30","35240131","DA","35240131",0.1578,474,173,172,"3524001","3524","5350614.02","35535",220,30,10,50,70,120,1.2,0,0,0,0,0,0,5,0,0,5,5,10,10,15,15,100
"31","35240132","DA","35240132",0.153,514,183,182,"3524001","3524","5350614.02","35535",250,20,0,45,105,105,4,0,0,0,0,5,0,0,5,5,10,10,5,5,10,10,110
"32","35240134","DA","35240134",2.8644,503,166,162,"3524001","3524","5350600.02","35535",180,50,25,35,95,80,7.2,0,0,0,5,5,10,0,0,5,5,10,15,10,15,5,70
"33","35240135","DA","35240135",0.7764,636,219,208,"3524001","3524","5350601.00","35535",260,15,0,25,35,235,6.4,0,0,10,0,5,0,0,5,5,0,15,5,5,10,10,130
"34","35240136","DA","35240136",0.1876,453,146,141,"3524001","3524","5350601.00","35535",195,10,0,25,25,160,9.6,0,0,0,0,0,0,0,0,5,0,10,5,10,10,5,90
"35","35240137","DA","35240137",0.2875,508,157,155,"3524001","3524","5350601.00","35535",270,55,0,20,40,245,5.6,0,0,0,0,0,0,0,0,0,0,0,5,5,10,5,105
"36","35240138","DA","35240138",0.3416,442,144,142,"3524001","3524","5350601.00","35535",235,25,0,15,15,205,5.6,0,0,0,0,0,0,0,0,0,5,5,0,5,0,10,95
"37","35240139","DA","35240139",0.2784,437,137,135,"3524001","3524","5350601.00","35535",155,20,0,50,20,150,7.6,5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,110
"38","35240140","DA","35240140",0.5217,578,201,188,"3524001","3524","5350601.00","35535",295,10,0,15,25,280,12,10,0,0,0,0,0,5,0,0,5,10,10,5,10,0,125
"39","35240141","DA","35240141",0.3449,415,128,122,"3524001","3524","5350601.00","35535",215,20,0,30,40,120,9.5,0,0,0,0,5,0,0,0,0,0,10,0,0,0,5,80
"40","35240142","DA","35240142",0.2711,429,139,134,"3524001","3524","5350600.01","35535",135,20,0,15,15,130,9.6,0,0,0,0,0,0,0,0,5,0,5,10,5,10,0,85
"41","35240143","DA","35240143",0.2352,571,183,177,"3524001","3524","5350600.01","35535",310,25,0,20,40,235,5.6,0,0,0,0,0,0,0,0,5,5,5,10,10,5,5,120
"42","35240144","DA","35240144",0.3575,568,192,188,"3524001","3524","5350600.01","35535",240,35,0,45,10,210,6,0,0,0,0,0,0,5,0,0,5,5,5,5,10,10,130
"43","35240145","DA","35240145",0.1811,520,195,189,"3524001","3524","5350600.01","35535",215,40,0,40,25,180,5.2,5,0,0,5,0,0,0,0,0,0,5,10,10,15,15,110
"44","35240146","DA","35240146",0.1989,450,149,149,"3524001","3524","5350600.01","35535",220,20,0,20,25,155,4.4,0,0,0,0,0,0,0,0,0,0,5,5,5,10,5,110
"45","35240147","DA","35240147",1.7225,718,236,231,"3524001","3524","5350600.01","35535",290,35,0,10,65,210,5.2,0,5,0,0,0,0,0,0,0,5,10,5,10,10,15,160
"46","35240148","DA","35240148",0.6196,566,180,178,"3524001","3524","5350600.01","35535",265,25,0,30,65,185,5.2,5,0,0,0,5,0,0,0,5,5,0,5,5,10,15,115
"47","35240150","DA","35240150",0.0794,460,149,148,"3524001","3524","5350600.02","35535",290,35,0,80,90,125,3.6,5,0,0,0,0,0,0,0,0,5,5,10,15,15,5,85
"48","35240152","DA","35240152",0.1624,525,169,167,"3524001","3524","5350600.02","35535",215,35,15,60,40,120,6,0,0,0,0,0,5,5,10,0,0,5,10,5,5,5,110
"49","35240153","DA","35240153",0.0744,363,107,107,"3524001","3524","5350600.02","35535",140,20,0,10,30,115,NA,0,0,0,0,0,0,0,5,0,5,0,10,5,5,0,65
