"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_401: Population, 2016","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_3954: Total - Visible minority for the population in private households - 25% sample data","v_CA16_3957: Total visible minority population"
"1","35240098","DA","Oakville",0.36144,957,272,270,"3524001","3524","5350612.12","35535",957,175,0,980,345
"2","35240099","DA","Oakville",0.11449,504,143,143,"3524001","3524","5350612.11","35535",504,115,0,505,155
"3","35240100","DA","Oakville",0.12915,548,162,162,"3524001","3524","5350612.11","35535",548,150,0,600,65
"4","35240101","DA","Oakville",0.11135,373,112,111,"3524001","3524","5350612.11","35535",373,105,0,410,80
"5","35240102","DA","Oakville",0.13261,453,177,177,"3524001","3524","5350612.11","35535",453,25,0,475,140
"6","35240104","DA","Oakville",0.06594,374,121,121,"3524001","3524","5350612.11","35535",374,40,0,375,110
"7","35240105","DA","Oakville",0.05069,250,74,74,"3524001","3524","5350612.12","35535",250,70,0,275,65
"8","35240106","DA","Oakville",0.20001,892,280,276,"3524001","3524","5350612.12","35535",892,55,0,890,255
"9","35240107","DA","Oakville",0.15832,378,120,120,"3524001","3524","5350612.12","35535",378,90,0,350,70
"10","35240108","DA","Oakville",0.08879,528,164,164,"3524001","3524","5350612.12","35535",528,90,0,555,180
"11","35240109","DA","Oakville",0.09461,335,101,98,"3524001","3524","5350612.12","35535",335,95,0,360,180
"12","35240110","DA","Oakville",0.12399,365,117,116,"3524001","3524","5350612.12","35535",365,115,0,390,55
"13","35240111","DA","Oakville",0.16763,698,286,276,"3524001","3524","5350613.01","35535",698,70,0,680,265
"14","35240112","DA","Oakville",0.18176,391,149,147,"3524001","3524","5350613.01","35535",391,145,0,365,85
"15","35240113","DA","Oakville",0.19893,347,111,111,"3524001","3524","5350613.01","35535",347,100,0,300,60
"16","35240114","DA","Oakville",1.04801,1183,445,437,"3524001","3524","5350613.01","35535",1183,410,0,1135,125
"17","35240115","DA","Oakville",0.11747,435,124,124,"3524001","3524","5350612.12","35535",435,120,0,450,150
