"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","NHS Non Return Rate","v_CA11F_199: Total number of occupied private dwellings by structural type of dwelling","v_CA11F_200: Single-detached house","v_CA11F_163: Average number of persons per census family","v_CA11F_201: Apartment, building that has five or more storeys","v_CA11F_202: Movable dwelling","v_CA11F_203: Other dwelling","v_CA11F_211: 2 persons","v_CA11F_212: 3 persons","v_CA11F_213: 4 persons","v_CA11F_214: 5 persons","v_CA11F_215: 6 or more persons","v_CA11F_86: Married or living with a common-law partner","v_CA11F_95: Not married and not living with a common-law partner","v_CA11F_98: Single (never legally married)","v_CA11F_101: Separated","v_CA11F_104: Divorced","v_CA11F_107: Widowed","v_CA11N_2449: Median employment income in 2010 $","v_CA11N_2450: Median employment income in 2010 $","v_CA11N_2451: Median employment income in 2010 $","v_CA11N_2356: Under $5,000","v_CA11N_2359: $5,000 to $9,999","v_CA11N_2362: $10,000 to $14,999","v_CA11N_2365: $15,000 to $19,999","v_CA11N_2368: $20,000 to $29,999","v_CA11N_2371: $30,000 to $39,999","v_CA11N_2374: $40,000 to $49,999","v_CA11N_2377: $50,000 to $59,999","v_CA11N_2380: $60,000 to $79,999","v_CA11N_2383: $80,000 to $99,999","v_CA11N_2386: $100,000 and over","v_CA11N_2548: Under $5,000","v_CA11N_2549: $5,000 to $9,999","v_CA11N_2550: $10,000 to $14,999","v_CA11N_2551: $15,000 to $19,999","v_CA11N_2552: $20,000 to $29,999","v_CA11N_2553: $30,000 to $39,999","v_CA11N_2554: $40,000 to $49,999","v_CA11N_2555: $50,000 to $59,999","v_CA11N_2556: $60,000 to $79,999","v_CA11N_2557: $80,000 to $99,999","v_CA11N_2558: $100,000 and over","v_CA11N_2559: $100,000 to $124,999","v_CA11N_2560: $125,000 and over","v_CA11N_2606: Prevalence of low income in 2010 based on after-tax low-income measure %","v_CA11N_19: Non-immigrants","v_CA11N_22: Immigrants","v_CA11N_46: Non-permanent residents","v_CA11N_505: North American Aboriginal origins","v_CA11N_517: Other North American origins","v_CA11N_547: European origins","v_CA11N_760: Caribbean origins","v_CA11N_820: Latin, Central and South American origins","v_CA11N_1084: West Central Asian and Middle Eastern origins","v_CA11N_1162: South Asian origins","v_CA11N_1204: East and Southeast Asian origins","v_CA11N_1258: Other Asian origins","v_CA11N_1264: Oceania origins","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2283: % of owner households spending 30% or more of household total income on shelter costs","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2290: % of tenant households spending 30% or more of household total income on shelter costs","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)","v_CA11N_1804: No certificate, diploma or degree","v_CA11N_1807: High school diploma or equivalent","v_CA11N_1813: Apprenticeship or trades certificate or diploma","v_CA11N_1816: College, CEGEP or other non-university certificate or diploma","v_CA11N_1819: University certificate or diploma below bachelor level","v_CA11N_1822: University certificate, diploma or degree at bachelor level or above","v_CA11N_1993: Employed","v_CA11N_1996: Unemployed","v_CA11N_1999: Not in the labour force","v_CA11N_2035: 0 Management occupations","v_CA11N_2041: 2 Natural and applied sciences and related occupations","v_CA11N_2044: 3 Health occupations","v_CA11N_2047: 4 Occupations in education, law and social, community and government services","v_CA11N_2050: 5 Occupations in art, culture, recreation and sport","v_CA11N_2053: 6 Sales and service occupations","v_CA11N_2056: 7 Trades, transport and equipment operators and related occupations","v_CA11N_2059: 8 Natural resources, agriculture and related production occupations","v_CA11N_2062: 9 Occupations in manufacturing and utilities","v_CA11N_2194: Car, truck or van - as a driver","v_CA11N_2197: Car, truck or van - as a passenger","v_CA11N_2200: Public transit","v_CA11N_2203: Walked","v_CA11N_2206: Bicycle","v_CA11N_2209: Other methods"
"1","35290007","DA","Brantford",0.21272,738,250,246,"3529006","3529","5430014.04","35543","0.152",245,155,3.1,0,5,85,90,50,45,15,15,395,215,170,10,15,20,56663,57844,55706,75,50,30,60,85,65,105,25,60,0,0,0,0,0,0,15,20,0,35,55,40,55,25,25,6.8,645,90,0,15,290,585,20,0,0,0,25,0,0,60,0,1110,1129,259306,261727,45,0,0,1030,1059,25,120,40,130,0,55,375,50,175,40,30,25,55,0,140,55,0,20,300,20,30,20,0,0
"2","35290008","DA","Brantford",0.11133,398,142,142,"3529006","3529","5430014.04","35543","0.115",140,70,3,0,0,70,50,25,20,20,0,210,110,70,5,20,15,45131,46042,28987,45,15,30,25,70,50,20,30,0,0,0,0,0,0,0,0,0,20,35,20,20,25,20,0,3.8,325,75,0,0,95,340,0,0,0,10,10,0,0,46.2,11.5,652,810,216360,221502,10,0,0,1055,973,60,30,0,55,0,35,190,15,105,25,0,0,45,0,50,0,0,10,140,15,0,0,0,0
"3","35290009","DA","Brantford",0.14176,616,199,199,"3529006","3529","5430014.04","35543","0.177",200,160,3.1,0,0,40,60,50,40,20,10,325,175,125,15,20,15,49213,64471,40040,45,25,40,15,100,75,30,50,65,25,0,0,0,0,0,0,0,30,15,50,15,65,15,50,6.5,505,105,0,30,110,505,0,0,0,25,35,0,0,68.6,14.3,1182,1095,250062,241978,20,0,0,1326,1282,25,110,30,110,15,65,380,25,95,60,0,0,55,0,140,25,0,30,295,30,35,0,0,0
"4","35290010","DA","Brantford",0.25742,700,240,238,"3529006","3529","5430014.04","35543","0.19",235,175,3,0,0,60,85,45,50,20,10,375,190,135,20,15,20,58148,55332,58187,80,0,60,15,75,30,105,45,35,0,0,0,0,0,0,15,0,25,40,35,35,40,0,30,20.6,570,130,0,40,180,595,0,0,0,40,0,0,0,55.3,27.7,1098,1150,250186,244098,0,0,0,0,0,30,120,40,105,10,80,320,30,175,60,15,10,45,0,95,40,0,35,285,10,0,0,0,0
"5","35290011","DA","Brantford",0.38496,892,360,342,"3529006","3529","5430014.04","35543","0.265",340,105,2.9,0,0,235,130,60,55,10,15,435,315,195,25,50,45,44631,45825,44631,100,30,50,70,145,90,115,80,80,0,0,0,0,0,10,0,35,70,20,80,35,80,45,40,2.8,760,120,10,25,265,655,25,0,0,0,40,0,0,53.2,17,928,1099,245195,255977,110,0,52.4,1231,1221,70,130,40,205,25,70,495,55,235,70,0,30,40,0,155,105,0,40,390,45,15,0,0,0
"6","35290012","DA","Brantford",0.17489,400,137,136,"3529006","3529","5430014.04","35543","0.162",135,130,3.1,0,0,5,45,20,25,20,5,220,110,75,0,10,15,104285,108573,54697,35,25,15,35,35,40,20,10,45,30,20,0,0,0,0,0,0,0,0,0,25,65,20,45,8.8,360,40,0,0,110,360,0,0,0,0,10,0,0,51.9,11.1,912,1081,295775,290115,0,0,0,0,0,0,50,0,60,20,85,205,0,120,45,10,35,20,0,30,25,0,0,165,0,0,0,0,0
"7","35290013","DA","Brantford",0.11891,546,194,184,"3529006","3529","5430014.03","35543","0.33399999999999996",185,135,3.2,0,0,50,55,40,35,20,10,250,175,115,15,25,15,46224,54293,40398,70,15,30,30,50,100,35,10,35,0,0,0,0,0,0,0,80,20,20,20,10,30,0,20,9.6,520,50,0,0,145,440,0,0,0,15,0,0,0,63.2,26.3,882,1025,249909,234795,90,0,77.8,1091,1126,25,115,20,80,0,40,170,0,235,15,0,25,35,0,50,25,0,0,125,15,0,0,0,0
"8","35290014","DA","Brantford",0.33112,919,414,398,"3529006","3529","5430014.03","35543","0.33799999999999997",395,20,2.7,120,0,260,125,40,25,15,10,375,435,120,35,65,220,29211,21949,46571,40,25,70,120,155,145,35,15,40,0,0,0,0,0,100,75,90,65,30,60,20,0,0,0,20.8,550,220,0,0,210,625,50,65,0,0,0,0,0,45.5,31.8,709,925,238870,225515,240,0,73.5,907,949,25,105,25,75,15,50,230,20,425,0,10,0,35,0,45,75,0,25,180,25,0,0,0,0
"9","35290015","DA","Brantford",0.22868,566,191,191,"3529006","3529","5430014.03","35543","0.379",195,105,3.3,0,0,85,65,30,35,15,10,245,195,135,15,20,15,40593,67109,27600,80,55,30,35,70,85,35,50,45,0,0,0,0,0,0,0,20,25,0,40,35,45,35,0,12.2,585,110,0,90,135,520,75,0,0,15,80,0,0,63,0,1404,1398,240471,245778,55,0,45.5,1136,1082,35,70,35,90,0,65,335,50,160,65,0,35,20,0,110,55,0,0,215,50,0,50,0,0
"10","35290016","DA","Brantford",0.10658,467,155,143,"3529006","3529","5430014.03","35543","0.095",140,75,3.3,0,0,65,40,25,30,20,10,210,185,145,15,15,10,32767,55671,28212,40,20,15,45,50,50,0,20,0,10,0,0,0,0,0,0,0,0,0,20,40,10,0,0,7.5,230,90,0,0,90,235,0,0,0,25,95,0,0,75,0,656,842,275785,251511,55,0,0,1220,1170,45,40,0,35,0,45,165,20,90,10,10,0,40,0,70,10,0,0,85,15,40,0,0,0
