"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","NHS Non Return Rate","v_CA11F_199: Total number of occupied private dwellings by structural type of dwelling","v_CA11F_200: Single-detached house","v_CA11F_163: Average number of persons per census family","v_CA11F_201: Apartment, building that has five or more storeys","v_CA11F_202: Movable dwelling","v_CA11F_203: Other dwelling","v_CA11F_211: 2 persons","v_CA11F_212: 3 persons","v_CA11F_213: 4 persons","v_CA11F_214: 5 persons","v_CA11F_215: 6 or more persons","v_CA11F_86: Married or living with a common-law partner","v_CA11F_95: Not married and not living with a common-law partner","v_CA11F_98: Single (never legally married)","v_CA11F_101: Separated","v_CA11F_104: Divorced","v_CA11F_107: Widowed","v_CA11N_2449: Median employment income in 2010 $","v_CA11N_2450: Median employment income in 2010 $","v_CA11N_2451: Median employment income in 2010 $","v_CA11N_2356: Under $5,000","v_CA11N_2359: $5,000 to $9,999","v_CA11N_2362: $10,000 to $14,999","v_CA11N_2365: $15,000 to $19,999","v_CA11N_2368: $20,000 to $29,999","v_CA11N_2371: $30,000 to $39,999","v_CA11N_2374: $40,000 to $49,999","v_CA11N_2377: $50,000 to $59,999","v_CA11N_2380: $60,000 to $79,999","v_CA11N_2383: $80,000 to $99,999","v_CA11N_2386: $100,000 and over","v_CA11N_2548: Under $5,000","v_CA11N_2549: $5,000 to $9,999","v_CA11N_2550: $10,000 to $14,999","v_CA11N_2551: $15,000 to $19,999","v_CA11N_2552: $20,000 to $29,999","v_CA11N_2553: $30,000 to $39,999","v_CA11N_2554: $40,000 to $49,999","v_CA11N_2555: $50,000 to $59,999","v_CA11N_2556: $60,000 to $79,999","v_CA11N_2557: $80,000 to $99,999","v_CA11N_2558: $100,000 and over","v_CA11N_2559: $100,000 to $124,999","v_CA11N_2560: $125,000 and over","v_CA11N_2606: Prevalence of low income in 2010 based on after-tax low-income measure %","v_CA11N_19: Non-immigrants","v_CA11N_22: Immigrants","v_CA11N_46: Non-permanent residents","v_CA11N_505: North American Aboriginal origins","v_CA11N_517: Other North American origins","v_CA11N_547: European origins","v_CA11N_760: Caribbean origins","v_CA11N_820: Latin, Central and South American origins","v_CA11N_1084: West Central Asian and Middle Eastern origins","v_CA11N_1162: South Asian origins","v_CA11N_1204: East and Southeast Asian origins","v_CA11N_1258: Other Asian origins","v_CA11N_1264: Oceania origins","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2283: % of owner households spending 30% or more of household total income on shelter costs","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2290: % of tenant households spending 30% or more of household total income on shelter costs","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)","v_CA11N_1804: No certificate, diploma or degree","v_CA11N_1807: High school diploma or equivalent","v_CA11N_1813: Apprenticeship or trades certificate or diploma","v_CA11N_1816: College, CEGEP or other non-university certificate or diploma","v_CA11N_1819: University certificate or diploma below bachelor level","v_CA11N_1822: University certificate, diploma or degree at bachelor level or above","v_CA11N_1993: Employed","v_CA11N_1996: Unemployed","v_CA11N_1999: Not in the labour force","v_CA11N_2035: 0 Management occupations","v_CA11N_2041: 2 Natural and applied sciences and related occupations","v_CA11N_2044: 3 Health occupations","v_CA11N_2047: 4 Occupations in education, law and social, community and government services","v_CA11N_2050: 5 Occupations in art, culture, recreation and sport","v_CA11N_2053: 6 Sales and service occupations","v_CA11N_2056: 7 Trades, transport and equipment operators and related occupations","v_CA11N_2059: 8 Natural resources, agriculture and related production occupations","v_CA11N_2062: 9 Occupations in manufacturing and utilities","v_CA11N_2194: Car, truck or van - as a driver","v_CA11N_2197: Car, truck or van - as a passenger","v_CA11N_2200: Public transit","v_CA11N_2203: Walked","v_CA11N_2206: Bicycle","v_CA11N_2209: Other methods"
"1","35240317","DA","Burlington",0.17417,821,375,375,"3524002","3524","5370223.07","35537","0.192",375,115,2.7,55,0,200,140,60,40,5,5,420,295,165,20,50,60,50425,54049,37620,40,50,60,70,130,105,85,50,55,25,0,0,0,20,0,30,50,35,45,115,45,25,10,15,10.4,625,195,0,0,260,680,0,0,20,20,30,0,0,60.3,20.3,1000,1239,300310,306856,25,0,0,1441,1326,20,80,30,140,0,115,440,15,245,60,35,30,65,20,130,40,0,0,350,30,35,0,0,0
"2","35240318","DA","Burlington",0.20134,838,281,278,"3524002","3524","5370223.07","35537","0.128",280,185,3.2,0,0,95,75,60,80,20,10,390,280,205,25,35,20,56910,57005,43058,80,40,45,20,105,70,90,25,70,30,55,0,0,0,0,0,25,30,0,55,35,110,40,65,13.2,565,225,0,0,230,645,60,0,0,20,35,0,0,62.2,0,1658,1420,450525,444308,55,54.5,45.5,626,826,15,155,25,105,10,130,480,20,155,50,15,20,40,0,165,65,0,0,320,30,50,25,0,0
"3","35240319","DA","Burlington",0.10104,497,146,146,"3524002","3524","5370223.07","35537","0.14",150,145,3.3,0,0,5,40,25,50,20,5,280,130,110,5,5,10,82468,95791,65586,75,30,25,45,25,20,40,40,70,30,0,0,0,0,0,0,0,0,0,20,25,80,15,65,14.9,365,140,0,0,130,320,0,0,60,0,25,0,0,56.7,10.3,1196,1320,474323,464582,0,0,0,0,0,0,40,20,65,0,145,250,35,145,35,45,25,25,0,75,0,0,15,165,15,20,0,0,0
"4","35240320","DA","Burlington",0.15418,552,356,356,"3524002","3524","5370223.07","35537","0.302",360,25,2.4,0,0,330,105,10,10,5,0,205,300,165,20,85,30,48871,58722,48776,50,0,0,30,75,120,105,70,35,0,0,0,0,0,0,20,70,105,65,60,0,25,0,0,2.7,415,120,25,0,100,410,15,0,0,65,0,0,0,72.3,29.2,1109,1130,200030,220782,40,0,0,1053,874,20,75,0,125,0,140,350,20,145,25,25,0,55,25,75,25,0,35,290,0,20,0,0,0
"5","35240321","DA","Burlington",0.262,793,263,262,"3524002","3524","5370223.07","35537","0.152",265,180,3.2,5,0,80,75,45,60,25,15,390,265,200,15,30,20,71182,74536,57532,80,35,55,40,45,45,65,50,105,70,10,0,0,0,0,0,0,20,25,40,65,100,40,60,1.2,670,150,0,0,195,715,0,0,35,60,0,0,0,66.7,11.5,1620,1482,449587,429214,0,0,0,0,0,40,65,45,145,20,150,435,25,195,75,45,25,70,25,100,35,0,10,285,60,25,0,0,0
"6","35240322","DA","Burlington",0.11742,496,146,146,"3524002","3524","5370223.07","35537","0.087",145,145,3.3,0,0,0,40,35,45,20,5,280,140,125,5,5,5,74942,75883,65638,60,25,20,35,40,40,55,40,65,20,25,0,0,0,0,0,0,0,0,15,0,100,40,60,4,385,115,0,0,105,395,0,0,0,15,0,0,0,44.8,0,757,1201,499945,487565,0,0,0,0,0,15,90,10,70,0,110,280,0,150,40,45,0,30,0,90,25,0,15,210,25,0,0,0,0
"7","35240323","DA","Burlington",0.19518,520,157,155,"3524002","3524","5370223.07","35537","0.217",155,155,3.3,0,0,5,45,25,60,10,5,290,155,135,5,5,10,82805,111545,69403,40,15,35,0,60,30,35,45,40,40,55,0,0,0,0,0,0,0,0,15,25,100,0,95,2.9,480,40,0,0,75,485,0,0,0,0,25,0,0,51.6,9.7,1797,1433,490825,498967,0,0,0,0,0,0,55,20,80,0,150,335,0,90,105,30,45,25,0,90,15,0,0,225,20,25,0,0,0
"8","35240324","DA","Burlington",0.17786,800,289,286,"3524002","3524","5370223.02","35537","0.249",285,40,3,0,0,245,80,70,55,15,10,360,295,195,35,55,15,54568,58134,49510,50,35,70,15,115,65,95,75,55,20,0,0,0,0,0,30,0,25,20,85,55,55,20,35,11.4,675,115,0,30,325,625,0,0,0,0,40,0,0,78,24.5,1429,1342,279865,285655,40,0,0,1453,1440,45,130,50,215,10,60,450,35,165,40,20,20,55,0,105,70,0,45,365,15,40,0,0,0
"9","35240325","DA","Burlington",0.19745,517,180,180,"3524002","3524","5370223.02","35537","0.135",180,165,2.9,0,0,15,70,40,35,10,5,290,140,95,15,10,20,52201,64625,42372,40,35,20,15,65,60,75,35,40,20,20,0,0,0,0,10,0,0,0,45,45,55,20,35,1.9,415,90,0,0,150,430,0,0,0,15,15,0,0,57.1,16.7,1055,1163,349350,344720,0,0,0,0,0,20,75,20,110,0,55,305,15,95,20,15,15,60,0,70,45,0,35,215,30,25,0,0,0
"10","35240326","DA","Burlington",0.14422,514,181,181,"3524002","3524","5370223.01","35537","0.221",180,175,2.9,0,0,5,70,50,40,10,0,290,145,100,15,15,15,57197,57215,57179,25,15,0,45,75,40,95,25,65,15,15,0,0,0,0,0,0,0,0,30,40,80,50,25,2,390,105,0,0,190,395,0,0,0,0,0,0,0,48.6,8.6,851,1088,348750,342604,0,0,0,0,0,15,150,30,60,20,35,240,20,165,30,0,0,10,0,60,60,0,0,180,35,0,15,0,0
