"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","NHS Non Return Rate","v_CA11F_199: Total number of occupied private dwellings by structural type of dwelling","v_CA11F_200: Single-detached house","v_CA11F_163: Average number of persons per census family","v_CA11F_201: Apartment, building that has five or more storeys","v_CA11F_202: Movable dwelling","v_CA11F_203: Other dwelling","v_CA11F_211: 2 persons","v_CA11F_212: 3 persons","v_CA11F_213: 4 persons","v_CA11F_214: 5 persons","v_CA11F_215: 6 or more persons","v_CA11F_86: Married or living with a common-law partner","v_CA11F_95: Not married and not living with a common-law partner","v_CA11F_98: Single (never legally married)","v_CA11F_101: Separated","v_CA11F_104: Divorced","v_CA11F_107: Widowed","v_CA11N_2449: Median employment income in 2010 $","v_CA11N_2450: Median employment income in 2010 $","v_CA11N_2451: Median employment income in 2010 $","v_CA11N_2356: Under $5,000","v_CA11N_2359: $5,000 to $9,999","v_CA11N_2362: $10,000 to $14,999","v_CA11N_2365: $15,000 to $19,999","v_CA11N_2368: $20,000 to $29,999","v_CA11N_2371: $30,000 to $39,999","v_CA11N_2374: $40,000 to $49,999","v_CA11N_2377: $50,000 to $59,999","v_CA11N_2380: $60,000 to $79,999","v_CA11N_2383: $80,000 to $99,999","v_CA11N_2386: $100,000 and over","v_CA11N_2548: Under $5,000","v_CA11N_2549: $5,000 to $9,999","v_CA11N_2550: $10,000 to $14,999","v_CA11N_2551: $15,000 to $19,999","v_CA11N_2552: $20,000 to $29,999","v_CA11N_2553: $30,000 to $39,999","v_CA11N_2554: $40,000 to $49,999","v_CA11N_2555: $50,000 to $59,999","v_CA11N_2556: $60,000 to $79,999","v_CA11N_2557: $80,000 to $99,999","v_CA11N_2558: $100,000 and over","v_CA11N_2559: $100,000 to $124,999","v_CA11N_2560: $125,000 and over","v_CA11N_2606: Prevalence of low income in 2010 based on after-tax low-income measure %","v_CA11N_19: Non-immigrants","v_CA11N_22: Immigrants","v_CA11N_46: Non-permanent residents","v_CA11N_505: North American Aboriginal origins","v_CA11N_517: Other North American origins","v_CA11N_547: European origins","v_CA11N_760: Caribbean origins","v_CA11N_820: Latin, Central and South American origins","v_CA11N_1084: West Central Asian and Middle Eastern origins","v_CA11N_1162: South Asian origins","v_CA11N_1204: East and Southeast Asian origins","v_CA11N_1258: Other Asian origins","v_CA11N_1264: Oceania origins","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2283: % of owner households spending 30% or more of household total income on shelter costs","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2290: % of tenant households spending 30% or more of household total income on shelter costs","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)","v_CA11N_1804: No certificate, diploma or degree","v_CA11N_1807: High school diploma or equivalent","v_CA11N_1813: Apprenticeship or trades certificate or diploma","v_CA11N_1816: College, CEGEP or other non-university certificate or diploma","v_CA11N_1819: University certificate or diploma below bachelor level","v_CA11N_1822: University certificate, diploma or degree at bachelor level or above","v_CA11N_1993: Employed","v_CA11N_1996: Unemployed","v_CA11N_1999: Not in the labour force","v_CA11N_2035: 0 Management occupations","v_CA11N_2041: 2 Natural and applied sciences and related occupations","v_CA11N_2044: 3 Health occupations","v_CA11N_2047: 4 Occupations in education, law and social, community and government services","v_CA11N_2050: 5 Occupations in art, culture, recreation and sport","v_CA11N_2053: 6 Sales and service occupations","v_CA11N_2056: 7 Trades, transport and equipment operators and related occupations","v_CA11N_2059: 8 Natural resources, agriculture and related production occupations","v_CA11N_2062: 9 Occupations in manufacturing and utilities","v_CA11N_2194: Car, truck or van - as a driver","v_CA11N_2197: Car, truck or van - as a passenger","v_CA11N_2200: Public transit","v_CA11N_2203: Walked","v_CA11N_2206: Bicycle","v_CA11N_2209: Other methods"
"1","35360158","DA","Chatham-Kent",6.88495,398,174,167,"3536020","3536","","35556","0.348",165,130,3,0,0,35,65,15,25,10,5,190,125,65,15,20,30,35781,35731,50062,45,10,25,20,55,70,15,20,25,0,0,0,0,0,10,0,0,15,15,40,0,0,0,0,17.7,395,0,0,20,195,245,0,0,0,0,0,0,0,73.1,15.4,753,744,89982,117389,40,0,25,696,589,105,75,10,20,0,20,190,0,100,0,0,0,20,0,20,50,0,55,175,0,0,0,0,0
"2","35360159","DA","Chatham-Kent",3.21958,463,216,206,"3536020","3536","","35556","0.569",210,195,2.8,0,0,15,85,20,25,10,5,240,150,80,20,30,25,32915,32943,32744,45,45,50,45,65,110,30,0,0,0,0,0,0,0,20,0,55,40,20,0,0,0,0,0,12,445,15,0,30,145,390,0,0,0,0,0,0,0,54.3,22.9,682,789,109905,125062,30,0,0,844,745,45,90,0,90,0,0,250,0,140,0,0,45,0,0,65,20,25,20,180,0,0,30,0,0
"3","35360160","DA","Chatham-Kent",16.65008,359,167,157,"3536020","3536","","35556","0.344",155,155,2.7,0,0,5,65,15,20,5,5,185,115,55,10,25,20,33409,47264,23882,15,55,15,25,40,80,35,15,0,0,0,0,0,0,0,0,45,25,25,0,15,0,0,0,13.9,350,0,0,0,135,315,0,0,0,0,0,0,0,44,25,602,715,120255,149614,20,0,0,692,744,60,40,0,25,0,0,115,10,170,20,0,0,0,0,30,25,0,25,90,0,0,0,0,0
"4","35360161","DA","Chatham-Kent",58.67918,410,182,167,"3536020","3536","","35556","0.43",170,110,2.9,0,55,0,75,20,15,10,10,225,110,60,10,15,25,37374,32179,44490,20,0,30,70,55,50,50,0,0,0,0,0,0,0,0,0,35,0,25,40,0,0,0,0,4.9,375,30,0,15,125,395,0,0,0,0,0,0,0,63,22.2,733,912,144785,149088,0,0,0,0,0,30,60,30,70,0,0,180,0,140,0,0,0,20,0,0,55,0,0,140,0,0,0,0,0
"5","35360163","DA","Chatham-Kent",74.24484,402,171,161,"3536020","3536","","35556","0.45399999999999996",165,155,3,0,5,0,70,15,25,5,10,225,110,65,10,20,20,41768,41782,38087,65,15,0,50,55,55,30,15,30,0,0,0,0,0,0,0,0,0,15,35,30,0,0,0,12.5,390,10,0,0,155,325,0,0,0,0,0,0,0,14.3,0,802,820,200381,243153,0,0,0,0,0,0,100,0,50,0,40,205,10,120,65,0,0,0,0,20,55,0,0,130,0,0,0,0,0
"6","35360164","DA","Chatham-Kent",65.43585,493,203,191,"3536020","3536","","35556","0.278",190,185,2.9,0,0,5,85,25,25,15,5,280,125,85,5,15,20,39111,42780,36880,35,20,45,40,70,100,60,20,0,0,0,0,0,0,0,0,50,25,15,40,20,25,25,0,14.9,435,70,0,0,185,360,0,0,0,0,0,0,0,56.5,17.4,929,950,154926,161764,35,0,0,511,546,30,75,15,130,0,15,265,45,115,35,0,0,30,0,15,110,25,0,175,0,0,0,0,0
"7","35360165","DA","Chatham-Kent",28.31644,467,202,189,"3536020","3536","","35556","0.4",190,180,2.8,0,0,10,75,35,20,5,10,235,165,100,15,25,25,49655,54467,34988,80,25,25,55,50,75,45,30,15,0,0,0,0,0,0,0,60,0,25,40,0,15,0,0,11.8,420,45,0,0,145,355,0,0,0,0,0,0,0,48.5,12.1,519,703,100199,116371,0,0,0,0,0,65,115,55,50,0,25,230,35,155,45,0,15,25,0,25,60,0,50,195,0,0,0,0,0
"8","35360166","DA","Chatham-Kent",68.33237,428,172,157,"3536020","3536","","35556","0.397",155,155,3,0,0,0,55,25,20,15,5,230,115,80,5,15,10,48541,51516,32605,30,70,35,30,35,65,75,20,20,0,0,0,0,0,0,0,15,20,0,15,70,0,0,0,10.5,395,30,0,0,225,240,0,0,0,0,0,0,0,68,12,974,1072,189924,197108,0,0,0,0,0,25,60,10,150,0,15,180,0,190,45,0,0,0,0,40,35,15,0,130,15,0,20,0,0
"9","35360167","DA","Chatham-Kent",41.88827,402,178,159,"3536020","3536","","35556","0.20600000000000002",160,160,2.9,0,0,0,65,20,25,10,0,220,125,80,5,15,25,39294,55474,22511,30,0,25,15,75,75,30,15,40,0,0,0,0,0,0,0,10,20,55,35,0,25,15,0,2.6,370,15,0,0,90,355,0,0,0,0,0,0,0,63.2,0,827,959,150183,186388,50,0,0,833,739,30,30,90,55,15,35,205,30,100,25,0,15,25,0,70,40,0,25,180,0,0,0,0,0
"10","35360168","DA","Chatham-Kent",2.4104,493,182,171,"3536020","3536","","35556","0.605",170,120,2.8,0,0,50,65,30,20,5,0,220,205,75,5,25,100,41193,41046,47435,0,0,55,20,60,0,30,0,0,0,0,0,0,0,0,30,0,0,0,45,0,30,0,0,20.5,310,80,0,0,115,315,0,0,0,0,0,0,0,29.2,0,525,800,219617,206605,50,0,66.7,545,651,40,55,0,45,0,45,165,0,160,25,0,0,30,0,20,0,0,0,110,0,0,0,0,0
