"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","NHS Non Return Rate","v_CA11F_199: Total number of occupied private dwellings by structural type of dwelling","v_CA11F_200: Single-detached house","v_CA11F_163: Average number of persons per census family","v_CA11F_201: Apartment, building that has five or more storeys","v_CA11F_202: Movable dwelling","v_CA11F_203: Other dwelling","v_CA11F_211: 2 persons","v_CA11F_212: 3 persons","v_CA11F_213: 4 persons","v_CA11F_214: 5 persons","v_CA11F_215: 6 or more persons","v_CA11F_86: Married or living with a common-law partner","v_CA11F_95: Not married and not living with a common-law partner","v_CA11F_98: Single (never legally married)","v_CA11F_101: Separated","v_CA11F_104: Divorced","v_CA11F_107: Widowed","v_CA11N_2449: Median employment income in 2010 $","v_CA11N_2450: Median employment income in 2010 $","v_CA11N_2451: Median employment income in 2010 $","v_CA11N_2356: Under $5,000","v_CA11N_2359: $5,000 to $9,999","v_CA11N_2362: $10,000 to $14,999","v_CA11N_2365: $15,000 to $19,999","v_CA11N_2368: $20,000 to $29,999","v_CA11N_2371: $30,000 to $39,999","v_CA11N_2374: $40,000 to $49,999","v_CA11N_2377: $50,000 to $59,999","v_CA11N_2380: $60,000 to $79,999","v_CA11N_2383: $80,000 to $99,999","v_CA11N_2386: $100,000 and over","v_CA11N_2548: Under $5,000","v_CA11N_2549: $5,000 to $9,999","v_CA11N_2550: $10,000 to $14,999","v_CA11N_2551: $15,000 to $19,999","v_CA11N_2552: $20,000 to $29,999","v_CA11N_2553: $30,000 to $39,999","v_CA11N_2554: $40,000 to $49,999","v_CA11N_2555: $50,000 to $59,999","v_CA11N_2556: $60,000 to $79,999","v_CA11N_2557: $80,000 to $99,999","v_CA11N_2558: $100,000 and over","v_CA11N_2559: $100,000 to $124,999","v_CA11N_2560: $125,000 and over","v_CA11N_2606: Prevalence of low income in 2010 based on after-tax low-income measure %","v_CA11N_19: Non-immigrants","v_CA11N_22: Immigrants","v_CA11N_46: Non-permanent residents","v_CA11N_505: North American Aboriginal origins","v_CA11N_517: Other North American origins","v_CA11N_547: European origins","v_CA11N_760: Caribbean origins","v_CA11N_820: Latin, Central and South American origins","v_CA11N_1084: West Central Asian and Middle Eastern origins","v_CA11N_1162: South Asian origins","v_CA11N_1204: East and Southeast Asian origins","v_CA11N_1258: Other Asian origins","v_CA11N_1264: Oceania origins","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2283: % of owner households spending 30% or more of household total income on shelter costs","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2290: % of tenant households spending 30% or more of household total income on shelter costs","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)","v_CA11N_1804: No certificate, diploma or degree","v_CA11N_1807: High school diploma or equivalent","v_CA11N_1813: Apprenticeship or trades certificate or diploma","v_CA11N_1816: College, CEGEP or other non-university certificate or diploma","v_CA11N_1819: University certificate or diploma below bachelor level","v_CA11N_1822: University certificate, diploma or degree at bachelor level or above","v_CA11N_1993: Employed","v_CA11N_1996: Unemployed","v_CA11N_1999: Not in the labour force","v_CA11N_2035: 0 Management occupations","v_CA11N_2041: 2 Natural and applied sciences and related occupations","v_CA11N_2044: 3 Health occupations","v_CA11N_2047: 4 Occupations in education, law and social, community and government services","v_CA11N_2050: 5 Occupations in art, culture, recreation and sport","v_CA11N_2053: 6 Sales and service occupations","v_CA11N_2056: 7 Trades, transport and equipment operators and related occupations","v_CA11N_2059: 8 Natural resources, agriculture and related production occupations","v_CA11N_2062: 9 Occupations in manufacturing and utilities","v_CA11N_2194: Car, truck or van - as a driver","v_CA11N_2197: Car, truck or van - as a passenger","v_CA11N_2200: Public transit","v_CA11N_2203: Walked","v_CA11N_2206: Bicycle","v_CA11N_2209: Other methods"
"1","35230052","DA","Guelph",0.19754,531,237,232,"3523008","3523","5500005.00","35550","0.465",230,215,2.8,0,0,15,85,40,25,10,5,225,220,125,20,30,40,47037,53835,31324,25,0,25,20,205,80,60,0,15,0,0,0,0,0,0,70,20,10,85,20,0,25,20,0,11.3,475,55,0,0,155,445,0,0,0,0,0,0,0,29.5,13.6,484,826,250597,256586,50,0,0,713,634,0,65,30,70,0,50,225,0,240,35,0,15,0,0,40,25,0,40,155,0,0,0,0,0
"2","35230054","DA","Guelph",0.16602,473,186,185,"3523008","3523","5500004.01","35550","0.268",185,180,2.9,0,0,5,70,35,35,0,5,255,140,80,10,20,25,47622,44104,47760,30,0,45,15,35,120,75,10,40,0,0,0,0,0,0,0,20,25,0,40,40,30,20,0,4.2,425,50,0,0,100,445,0,0,0,0,15,0,0,57.1,0,1200,1115,286571,288085,0,0,0,0,0,0,90,30,95,0,55,275,15,115,0,0,15,35,0,115,45,0,15,195,15,0,0,0,0
"3","35230055","DA","Guelph",0.19983,512,199,197,"3523008","3523","5500005.00","35550","0.182",200,170,3.1,0,0,30,60,35,30,15,5,240,195,120,15,20,35,44973,45424,35901,35,0,75,25,80,40,55,30,25,0,0,0,0,0,0,0,20,0,25,30,25,45,35,0,3.9,425,90,0,0,35,480,0,0,0,0,10,0,0,47.4,18.9,766,1050,279591,275109,0,0,0,0,0,20,65,10,60,0,55,245,20,160,20,15,0,40,0,90,35,0,25,180,35,0,0,0,0
"4","35230056","DA","Guelph",0.26869,484,192,190,"3523008","3523","5500012.00","35550","0.341",190,170,2.8,0,0,15,75,30,30,10,5,275,135,85,10,20,20,59951,69162,55782,30,20,0,70,55,40,55,70,45,0,15,0,0,0,0,0,10,0,0,10,35,70,45,25,5.2,365,120,0,0,80,365,0,0,0,100,0,0,0,56.8,23.7,1395,1226,300129,346467,0,0,0,0,0,15,55,0,80,0,90,230,0,180,20,20,45,25,0,20,30,0,0,185,10,0,0,0,0
"5","35230057","DA","Guelph",0.34403,604,258,247,"3523008","3523","5500012.00","35550","0.268",250,225,2.8,0,0,25,90,50,30,15,0,325,200,135,10,30,30,47697,65695,43599,35,45,60,25,75,105,70,55,35,20,0,0,0,0,0,0,35,10,20,65,60,50,20,25,5.9,480,115,0,0,140,565,0,0,0,0,0,0,0,31,7.1,576,955,300515,359073,35,0,0,1075,942,35,65,0,110,0,75,310,15,215,30,20,0,45,0,105,30,0,40,225,25,0,25,0,0
"6","35230058","DA","Guelph",0.20394,496,217,217,"3523008","3523","5500012.00","35550","0.27",215,145,2.7,0,0,75,95,30,25,10,0,270,170,105,15,25,30,50154,51152,41936,55,15,15,10,55,45,100,40,25,15,0,0,0,0,0,0,10,30,30,0,60,20,10,0,7.1,420,75,0,0,120,430,0,0,0,0,0,0,0,46.7,0,815,1074,329767,329072,70,0,42.9,791,794,20,85,0,65,0,65,220,40,130,30,0,0,35,0,50,45,0,10,170,0,10,0,0,0
"7","35230059","DA","Guelph",0.21326,690,292,288,"3523008","3523","5500012.00","35550","0.264",285,195,2.8,0,0,90,80,40,35,15,5,295,305,150,15,55,80,48557,49743,44575,60,90,75,40,70,75,45,40,25,0,0,0,35,55,0,30,0,15,50,40,0,30,0,10,18,525,85,0,45,175,465,0,0,0,0,10,0,0,56.7,12.9,1266,1084,250584,274288,135,73.1,18.5,146,426,95,65,75,70,0,65,270,50,210,0,0,45,40,0,100,65,0,15,190,10,15,0,0,0
"8","35230060","DA","Guelph",0.19463,499,208,204,"3523008","3523","5500013.01","35550","0.304",205,190,2.8,0,0,15,70,40,25,10,0,275,160,105,15,15,30,46239,59796,40021,15,20,85,10,120,95,45,20,20,10,0,0,0,0,0,30,60,15,0,25,25,45,15,30,7.9,550,20,0,0,235,420,0,0,0,0,0,0,0,48.6,18.9,712,912,298035,294854,20,0,0,1365,1118,35,85,15,65,0,50,295,0,200,10,0,50,40,0,80,60,0,0,255,20,0,0,0,0
"9","35230061","DA","Guelph",0.69732,618,277,272,"3523008","3523","5500013.01","35550","0.38299999999999995",270,185,2.6,0,0,90,135,40,25,10,0,390,160,90,10,30,35,57797,57850,49403,50,40,0,35,65,90,50,95,65,30,30,0,0,0,0,0,15,0,15,0,85,95,35,60,1.6,495,130,0,0,160,555,0,0,0,35,0,0,0,58.5,13.2,816,1255,399855,407087,0,0,0,0,0,0,75,25,145,0,90,385,0,185,20,45,20,50,20,125,45,0,0,265,45,0,35,0,0
"10","35230062","DA","Guelph",0.21295,526,235,224,"3523008","3523","5500013.01","35550","0.355",225,180,2.7,0,0,45,75,50,30,10,5,270,160,90,20,25,35,43582,40911,43924,0,15,0,90,75,95,65,35,30,0,0,0,0,0,0,0,10,90,55,20,0,35,20,15,0,480,40,0,0,150,450,0,0,0,0,0,0,0,48.4,6.5,717,1127,250328,279135,70,0,0,801,731,0,105,25,70,20,30,265,20,170,25,0,0,35,0,110,20,0,25,210,0,40,0,0,0
