"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","NHS Non Return Rate","v_CA11F_199: Total number of occupied private dwellings by structural type of dwelling","v_CA11F_200: Single-detached house","v_CA11F_163: Average number of persons per census family","v_CA11F_201: Apartment, building that has five or more storeys","v_CA11F_202: Movable dwelling","v_CA11F_203: Other dwelling","v_CA11F_211: 2 persons","v_CA11F_212: 3 persons","v_CA11F_213: 4 persons","v_CA11F_214: 5 persons","v_CA11F_215: 6 or more persons","v_CA11F_86: Married or living with a common-law partner","v_CA11F_95: Not married and not living with a common-law partner","v_CA11F_98: Single (never legally married)","v_CA11F_101: Separated","v_CA11F_104: Divorced","v_CA11F_107: Widowed","v_CA11N_2449: Median employment income in 2010 $","v_CA11N_2450: Median employment income in 2010 $","v_CA11N_2451: Median employment income in 2010 $","v_CA11N_2356: Under $5,000","v_CA11N_2359: $5,000 to $9,999","v_CA11N_2362: $10,000 to $14,999","v_CA11N_2365: $15,000 to $19,999","v_CA11N_2368: $20,000 to $29,999","v_CA11N_2371: $30,000 to $39,999","v_CA11N_2374: $40,000 to $49,999","v_CA11N_2377: $50,000 to $59,999","v_CA11N_2380: $60,000 to $79,999","v_CA11N_2383: $80,000 to $99,999","v_CA11N_2386: $100,000 and over","v_CA11N_2548: Under $5,000","v_CA11N_2549: $5,000 to $9,999","v_CA11N_2550: $10,000 to $14,999","v_CA11N_2551: $15,000 to $19,999","v_CA11N_2552: $20,000 to $29,999","v_CA11N_2553: $30,000 to $39,999","v_CA11N_2554: $40,000 to $49,999","v_CA11N_2555: $50,000 to $59,999","v_CA11N_2556: $60,000 to $79,999","v_CA11N_2557: $80,000 to $99,999","v_CA11N_2558: $100,000 and over","v_CA11N_2559: $100,000 to $124,999","v_CA11N_2560: $125,000 and over","v_CA11N_2606: Prevalence of low income in 2010 based on after-tax low-income measure %","v_CA11N_19: Non-immigrants","v_CA11N_22: Immigrants","v_CA11N_46: Non-permanent residents","v_CA11N_505: North American Aboriginal origins","v_CA11N_517: Other North American origins","v_CA11N_547: European origins","v_CA11N_760: Caribbean origins","v_CA11N_820: Latin, Central and South American origins","v_CA11N_1084: West Central Asian and Middle Eastern origins","v_CA11N_1162: South Asian origins","v_CA11N_1204: East and Southeast Asian origins","v_CA11N_1258: Other Asian origins","v_CA11N_1264: Oceania origins","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2283: % of owner households spending 30% or more of household total income on shelter costs","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2290: % of tenant households spending 30% or more of household total income on shelter costs","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)","v_CA11N_1804: No certificate, diploma or degree","v_CA11N_1807: High school diploma or equivalent","v_CA11N_1813: Apprenticeship or trades certificate or diploma","v_CA11N_1816: College, CEGEP or other non-university certificate or diploma","v_CA11N_1819: University certificate or diploma below bachelor level","v_CA11N_1822: University certificate, diploma or degree at bachelor level or above","v_CA11N_1993: Employed","v_CA11N_1996: Unemployed","v_CA11N_1999: Not in the labour force","v_CA11N_2035: 0 Management occupations","v_CA11N_2041: 2 Natural and applied sciences and related occupations","v_CA11N_2044: 3 Health occupations","v_CA11N_2047: 4 Occupations in education, law and social, community and government services","v_CA11N_2050: 5 Occupations in art, culture, recreation and sport","v_CA11N_2053: 6 Sales and service occupations","v_CA11N_2056: 7 Trades, transport and equipment operators and related occupations","v_CA11N_2059: 8 Natural resources, agriculture and related production occupations","v_CA11N_2062: 9 Occupations in manufacturing and utilities","v_CA11N_2194: Car, truck or van - as a driver","v_CA11N_2197: Car, truck or van - as a passenger","v_CA11N_2200: Public transit","v_CA11N_2203: Walked","v_CA11N_2206: Bicycle","v_CA11N_2209: Other methods"
"1","59330040","DA","Kamloops",39.60129,1949,743,715,"5933042","5933","9250006.01","59925","0.478",715,585,3,0,25,105,245,150,150,40,15,1005,465,310,50,65,35,55636,64910,42268,105,45,125,85,240,210,240,185,200,55,50,0,0,0,0,50,35,70,30,175,130,235,120,110,5.5,1810,165,35,155,580,1705,0,0,20,125,50,0,0,82.3,13.8,1801,1639,410677,423309,80,0,31.2,1351,1075,45,245,120,340,90,340,1170,105,280,195,110,100,220,0,295,150,30,0,985,75,0,0,0,10
"2","59330041","DA","Kamloops",0.82811,1036,459,450,"5933042","5933","9250006.01","59925","0.495",450,165,2.6,0,145,140,215,45,50,30,5,625,280,155,20,50,60,48118,53938,46921,70,50,40,90,155,120,190,35,95,35,15,0,0,0,50,0,20,80,50,90,35,110,50,55,5.3,955,85,0,45,220,940,0,0,0,0,60,0,0,55.6,7.8,762,949,300155,336158,0,0,0,0,0,35,95,120,125,40,90,475,85,365,40,30,45,40,0,195,105,0,0,360,75,0,0,0,0
"3","59330042","DA","Kamloops",0.21398,421,261,212,"5933042","5933","9250006.02","59925","0.281",215,40,2.4,0,0,170,100,35,10,5,0,215,160,120,10,25,10,51207,55316,43571,20,0,45,25,75,60,65,20,30,0,0,0,0,0,0,20,30,25,20,70,15,0,0,0,14.3,365,40,0,35,100,320,0,0,0,0,45,0,0,74.2,25.8,1263,1165,260095,267154,55,0,0,1098,1120,0,25,35,45,30,100,245,20,95,0,30,0,60,0,50,35,0,0,210,0,0,0,0,0
"4","59330043","DA","Kamloops",0.56917,1014,475,438,"5933042","5933","9250006.02","59925","0.205",440,110,2.4,0,0,325,175,40,25,5,5,500,455,180,30,80,175,53273,33171,53452,45,40,55,90,145,85,90,70,75,25,35,20,0,0,0,35,40,70,50,60,45,80,35,45,8.5,730,90,0,45,190,720,0,0,0,0,0,0,0,48.4,12.9,751,939,349092,410075,105,0,22.7,949,930,45,90,55,100,35,160,505,30,250,60,25,25,105,0,145,45,25,0,425,60,0,0,0,0
"5","59330045","DA","Kamloops",0.41369,783,347,330,"5933042","5933","9250005.01","59925","0.228",330,100,2.6,0,0,225,135,50,55,10,5,350,295,200,20,45,30,46625,68795,42031,35,55,40,30,105,130,60,30,80,20,15,0,0,0,0,40,45,50,20,55,30,85,65,25,4.5,740,40,0,140,290,655,0,0,0,0,15,0,0,51.9,14.5,844,978,348547,353427,60,41.7,16.7,801,892,60,75,40,70,25,100,310,25,295,20,15,70,55,0,35,50,0,0,270,0,0,0,0,0
"6","59330047","DA","Kamloops",0.48862,903,404,382,"5933042","5933","9250005.01","59925","0.27399999999999997",385,170,2.7,0,0,210,155,70,45,20,0,440,330,225,25,55,30,59122,68039,47609,145,35,60,40,85,70,70,70,65,20,30,0,0,0,0,20,30,25,55,75,25,75,30,45,26.2,780,160,0,30,265,695,0,0,90,45,25,0,0,58.8,34.3,1133,1054,348239,330460,45,0,0,927,1032,25,125,130,80,50,135,530,25,220,55,20,10,55,0,140,135,20,0,385,30,85,0,0,0
"7","59330048","DA","Kamloops",0.16636,668,316,301,"5933042","5933","9250005.01","59925","0.326",300,30,2.7,0,0,270,110,45,40,15,0,285,295,200,25,50,15,38302,39637,32595,30,65,55,65,115,140,45,0,55,15,0,0,0,0,0,65,40,0,20,85,25,40,30,15,20.3,605,40,25,0,105,505,0,0,35,0,70,0,0,53.3,10,782,981,313375,310154,150,0,48.4,1002,1075,50,75,55,30,0,125,425,80,115,30,25,10,70,55,105,80,15,0,305,20,45,15,0,0
"8","59330049","DA","Kamloops",0.75888,1037,427,399,"5933042","5933","9250005.01","59925","0.313",400,155,2.6,0,0,240,180,50,40,10,5,480,450,260,15,50,125,60400,72763,44389,95,40,105,90,105,90,75,30,65,20,30,25,0,0,0,0,60,45,35,95,25,60,0,50,10.9,750,75,0,50,140,775,0,0,0,0,0,0,0,51.9,27.3,810,890,349170,339842,125,0,19.2,901,880,20,140,35,105,25,210,485,45,230,65,25,25,55,25,115,70,0,0,435,25,0,0,0,0
"9","59330050","DA","Kamloops",0.11808,349,177,152,"5933042","5933","9250005.01","59925","0.26",150,30,2.7,0,0,125,65,30,20,0,0,150,150,120,10,15,10,40754,47647,18032,20,40,25,35,70,20,35,15,0,0,0,0,0,0,0,0,20,0,15,15,10,15,0,0,31.4,300,45,0,25,40,315,0,0,0,0,0,0,0,89.5,0,1405,1220,210350,248838,55,0,72.7,948,954,0,35,0,80,20,50,235,0,25,20,15,50,15,0,80,30,0,0,150,20,45,15,0,0
"10","59330051","DA","Kamloops",0.07234,319,170,149,"5933042","5933","9250005.01","59925","0.36200000000000004",145,25,2.7,0,0,125,70,15,10,5,0,90,150,115,15,20,5,24793,24814,11839,0,10,70,20,80,25,0,0,0,0,0,0,0,0,0,55,40,0,0,0,0,0,0,0,39.1,280,20,0,45,105,285,0,0,0,0,0,0,0,0,0,474,934,376785,392283,140,59.3,39.3,839,771,0,70,0,0,0,30,195,30,30,0,15,0,10,0,150,0,0,0,110,0,0,55,0,0
