"GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","NHS Non Return Rate","v_CA11F_8: 0 to 4 years, - Total","v_CA11F_9: 0 to 4 years, - Male","v_CA11F_10: 0 to 4 years, - Female","v_CA11F_11: 5 to 9 years, - Total","v_CA11F_12: 5 to 9 years, - Male","v_CA11F_13: 5 to 9 years, - Female","v_CA11F_14: 10 to 14 years, - Total","v_CA11F_15: 10 to 14 years, - Male","v_CA11F_16: 10 to 14 years, - Female","v_CA11F_17: 15 to 19 years, - Total","v_CA11F_18: 15 to 19 years, - Male","v_CA11F_19: 15 to 19 years, - Female","v_CA11F_35: 20 to 24 years, - Total","v_CA11F_36: 20 to 24 years, - Male","v_CA11F_37: 20 to 24 years, - Female","v_CA11F_38: 25 to 29 years, - Total","v_CA11F_39: 25 to 29 years, - Male","v_CA11F_40: 25 to 29 years, - Female","v_CA11F_41: 30 to 34 years, - Total","v_CA11F_42: 30 to 34 years, - Male","v_CA11F_43: 30 to 34 years, - Female","v_CA11F_44: 35 to 39 years, - Total","v_CA11F_45: 35 to 39 years, - Male","v_CA11F_46: 35 to 39 years, - Female","v_CA11F_47: 40 to 44 years, - Total","v_CA11F_48: 40 to 44 years, - Male","v_CA11F_49: 40 to 44 years, - Female","v_CA11F_50: 45 to 49 years, - Total","v_CA11F_51: 45 to 49 years, - Male","v_CA11F_52: 45 to 49 years, - Female","v_CA11F_53: 50 to 54 years, - Total","v_CA11F_54: 50 to 54 years, - Male","v_CA11F_55: 50 to 54 years, - Female","v_CA11F_56: 55 to 59 years, - Total","v_CA11F_57: 55 to 59 years, - Male","v_CA11F_58: 55 to 59 years, - Female","v_CA11F_59: 60 to 64 years, - Total","v_CA11F_60: 60 to 64 years, - Male","v_CA11F_61: 60 to 64 years, - Female","v_CA11F_62: 65 to 69 years, - Total","v_CA11F_63: 65 to 69 years, - Male","v_CA11F_64: 65 to 69 years, - Female","v_CA11F_65: 70 to 74 years, - Total","v_CA11F_66: 70 to 74 years, - Male","v_CA11F_67: 70 to 74 years, - Female","v_CA11F_68: 75 to 79 years, - Total","v_CA11F_69: 75 to 79 years, - Male","v_CA11F_70: 75 to 79 years, - Female","v_CA11F_71: 80 to 84 years, - Total","v_CA11F_72: 80 to 84 years, - Male","v_CA11F_73: 80 to 84 years, - Female","v_CA11F_74: 85 years and over, - Total","v_CA11F_75: 85 years and over, - Male","v_CA11F_76: 85 years and over, - Female","v_CA11F_86: Married or living with a common-law partner, - Total","v_CA11F_95: Not married and not living with a common-law partner, - Total","v_CA11F_98: Single (never legally married), - Total","v_CA11F_101: Separated, - Total","v_CA11F_104: Divorced, - Total","v_CA11F_107: Widowed, - Total","v_CA11F_163: Average number of persons per census family, - Total","v_CA11F_199: Total number of occupied private dwellings by structural type of dwelling, - Total","v_CA11F_200: Single-detached house, - Total","v_CA11F_201: Apartment, building that has five or more storeys, - Total","v_CA11F_202: Movable dwelling, - Total","v_CA11F_203: Other dwelling, - Total","v_CA11F_211: 2 persons, - Total","v_CA11F_212: 3 persons, - Total","v_CA11F_213: 4 persons, - Total","v_CA11F_214: 5 persons, - Total","v_CA11F_215: 6 or more persons, - Total","v_CA11F_551: Knowledge of official languages - Total population excluding institutional residents, - Total","v_CA11F_552: Knowledge of official languages - Total population excluding institutional residents, - Male","v_CA11F_553: Knowledge of official languages - Total population excluding institutional residents, - Female","v_CA11F_554: English only, - Total","v_CA11F_555: English only, - Male","v_CA11F_556: English only, - Female","v_CA11F_557: French only, - Total","v_CA11F_558: French only, - Male","v_CA11F_559: French only, - Female","v_CA11F_560: English and French, - Total","v_CA11F_561: English and French, - Male","v_CA11F_562: English and French, - Female","v_CA11F_563: Neither English nor French, - Total","v_CA11F_564: Neither English nor French, - Male","v_CA11F_565: Neither English nor French, - Female","v_CA11N_19: Non-immigrants, - Total","v_CA11N_22: Immigrants, - Total","v_CA11N_46: Non-permanent residents, - Total","v_CA11N_505: North American Aboriginal origins, - Total","v_CA11N_517: Other North American origins, - Total","v_CA11N_547: European origins, - Total","v_CA11N_760: Caribbean origins, - Total","v_CA11N_820: Latin, Central and South American origins, - Total","v_CA11N_1084: West Central Asian and Middle Eastern origins, - Total","v_CA11N_1162: South Asian origins, - Total","v_CA11N_1204: East and Southeast Asian origins, - Total","v_CA11N_1258: Other Asian origins, - Total","v_CA11N_1264: Oceania origins, - Total","v_CA11N_1804: No certificate, diploma or degree, - Total","v_CA11N_1807: High school diploma or equivalent, - Total","v_CA11N_1813: Apprenticeship or trades certificate or diploma, - Total","v_CA11N_1816: College, CEGEP or other non-university certificate or diploma, - Total","v_CA11N_1819: University certificate or diploma below bachelor level, - Total","v_CA11N_1822: University certificate, diploma or degree at bachelor level or above, - Total","v_CA11N_1993: Employed, - Total","v_CA11N_1996: Unemployed, - Total","v_CA11N_1999: Not in the labour force, - Total","v_CA11N_2035: 0 Management occupations, - Total","v_CA11N_2041: 2 Natural and applied sciences and related occupations, - Total","v_CA11N_2044: 3 Health occupations, - Total","v_CA11N_2047: 4 Occupations in education, law and social, community and government services, - Total","v_CA11N_2050: 5 Occupations in art, culture, recreation and sport, - Total","v_CA11N_2053: 6 Sales and service occupations, - Total","v_CA11N_2056: 7 Trades, transport and equipment operators and related occupations, - Total","v_CA11N_2059: 8 Natural resources, agriculture and related production occupations, - Total","v_CA11N_2062: 9 Occupations in manufacturing and utilities, - Total","v_CA11N_2194: Car, truck or van - as a driver, - Total","v_CA11N_2197: Car, truck or van - as a passenger, - Total","v_CA11N_2200: Public transit, - Total","v_CA11N_2203: Walked, - Total","v_CA11N_2206: Bicycle, - Total","v_CA11N_2209: Other methods, - Total","v_CA11N_2282: % of owner households with a mortgage, - Total","v_CA11N_2283: % of owner households spending 30% or more of household total income on shelter costs, - Total","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($), - Total","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($), - Total","v_CA11N_2286: Median value of dwellings ($), - Total","v_CA11N_2287: Average value of dwellings ($), - Total","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings, - Total","v_CA11N_2289: % of tenant households in subsidized housing, - Total","v_CA11N_2290: % of tenant households spending 30% or more of household total income on shelter costs, - Total","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($), - Total","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($), - Total","v_CA11N_2356: Under $5,000, - Total","v_CA11N_2359: $5,000 to $9,999, - Total","v_CA11N_2362: $10,000 to $14,999, - Total","v_CA11N_2365: $15,000 to $19,999, - Total","v_CA11N_2368: $20,000 to $29,999, - Total","v_CA11N_2371: $30,000 to $39,999, - Total","v_CA11N_2374: $40,000 to $49,999, - Total","v_CA11N_2377: $50,000 to $59,999, - Total","v_CA11N_2380: $60,000 to $79,999, - Total","v_CA11N_2383: $80,000 to $99,999, - Total","v_CA11N_2386: $100,000 and over, - Total","v_CA11N_2449: Median employment income in 2010 $, - Total","v_CA11N_2450: Median employment income in 2010 $, - Male","v_CA11N_2451: Median employment income in 2010 $, - Female","v_CA11N_2548: Under $5,000, - Total","v_CA11N_2549: $5,000 to $9,999, - Total","v_CA11N_2550: $10,000 to $14,999, - Total","v_CA11N_2551: $15,000 to $19,999, - Total","v_CA11N_2552: $20,000 to $29,999, - Total","v_CA11N_2553: $30,000 to $39,999, - Total","v_CA11N_2554: $40,000 to $49,999, - Total","v_CA11N_2555: $50,000 to $59,999, - Total","v_CA11N_2556: $60,000 to $79,999, - Total","v_CA11N_2557: $80,000 to $99,999, - Total","v_CA11N_2558: $100,000 and over, - Total","v_CA11N_2559: $100,000 to $124,999, - Total","v_CA11N_2560: $125,000 and over, - Total","v_CA11N_2606: Prevalence of low income in 2010 based on after-tax low-income measure %, - Total"
"35390010","DA","London",0.20029,536,212,212,"3539036","3539","5550049.01","35555","0.247",15,10,0,25,15,10,40,20,20,45,20,25,35,15,20,15,10,10,25,15,10,30,10,20,40,20,20,40,20,20,50,25,30,35,20,15,40,15,25,35,15,20,30,15,20,15,5,10,20,5,10,5,0,0,290,165,105,10,25,20,3,210,180,0,0,30,75,40,35,15,5,540,265,270,500,250,245,0,0,0,40,10,20,0,0,0,420,115,0,0,180,460,0,0,0,0,35,0,0,0,110,20,45,25,90,340,0,105,35,25,15,45,20,95,15,0,20,270,20,20,0,0,0,52.4,0,935,927,229102,228777,0,0,0,0,0,25,15,40,45,75,60,45,65,70,0,0,58721,64787,44499,0,0,0,0,0,0,20,40,30,65,50,30,20,0
"35390011","DA","London",0.22565,602,235,233,"3539036","3539","5550049.01","35555","0.135",25,15,10,35,15,20,35,20,15,40,15,20,30,15,15,20,5,10,25,10,15,30,10,15,55,25,25,35,15,20,50,25,20,35,15,20,45,20,20,50,15,30,35,20,15,40,15,25,20,10,5,5,5,0,345,165,105,10,25,25,2.8,235,230,0,0,0,100,40,50,10,0,600,285,320,565,270,295,0,0,0,35,15,20,0,0,0,555,45,0,0,230,450,0,0,20,0,0,0,0,15,130,20,80,0,60,320,0,160,25,0,0,55,20,105,65,0,10,255,30,15,0,0,0,53.3,6.7,1015,1089,250235,374920,0,0,0,0,0,45,45,15,30,70,90,60,40,75,0,0,59015,76404,47045,0,0,0,0,0,25,25,25,60,25,70,50,15,5
"35390012","DA","London",0.25149,631,233,232,"3539036","3539","5550049.01","35555","0.235",25,10,15,45,25,20,50,20,25,55,25,25,25,15,10,15,15,0,20,5,15,30,15,15,60,30,35,65,30,35,40,20,20,40,20,25,30,15,15,35,15,20,25,10,15,30,15,15,20,10,10,10,5,5,340,165,100,15,25,30,3,230,230,0,0,0,85,40,50,20,0,630,300,330,605,295,310,0,0,0,30,10,20,0,0,0,565,65,0,0,305,390,0,0,0,0,20,0,0,15,75,20,115,0,70,290,15,230,25,25,0,35,0,80,30,0,0,225,10,0,0,0,0,50,4.3,650,1140,250255,243062,0,0,0,0,0,20,55,10,20,45,80,75,55,40,60,0,57408,65323,56185,0,0,0,0,0,0,0,0,30,110,55,30,20,2.4
"35390013","DA","London",0.22656,608,233,229,"3539036","3539","5550049.01","35555","0.25",30,10,15,35,15,20,40,25,15,35,15,20,40,20,20,25,10,10,20,15,5,20,5,15,55,30,25,50,30,25,55,20,30,40,25,20,30,15,15,25,10,10,30,15,20,45,25,20,30,10,15,10,5,5,350,150,95,5,15,30,2.9,225,225,0,0,0,95,35,45,15,0,605,295,315,575,285,295,0,0,0,30,10,20,5,5,0,515,90,0,75,135,530,0,0,0,0,35,0,0,0,45,0,95,0,70,235,0,275,15,0,35,30,0,50,40,0,15,200,0,0,0,0,0,40.9,25,532,927,239946,236330,0,0,0,0,0,25,50,40,50,85,50,60,70,50,0,0,46633,68421,37432,0,0,0,0,0,0,25,35,35,30,65,50,15,4.9
"35390014","DA","London",0.52659,870,358,354,"3539036","3539","5550049.01","35555","0.21",30,10,15,40,30,15,40,15,20,65,30,30,55,20,30,35,20,20,35,20,20,45,30,20,45,15,30,70,40,30,80,35,45,80,35,45,60,30,35,45,25,20,35,10,20,55,25,30,35,15,20,15,5,15,455,310,195,15,25,65,2.9,355,275,0,0,80,135,60,45,15,5,855,395,455,810,380,435,0,0,0,40,20,25,0,0,0,695,220,0,0,260,560,15,15,0,50,155,0,0,100,75,15,100,10,195,490,35,280,75,35,35,60,50,110,45,0,25,410,25,20,15,0,0,40.8,16.9,676,929,240259,245881,0,0,0,0,0,30,85,85,65,150,80,65,80,70,25,20,57260,58377,56808,0,0,0,0,25,20,50,45,70,25,95,40,50,4.4
"35390018","DA","London",0.12606,368,123,123,"3539036","3539","5550049.02","35555","0.254",15,5,10,20,10,10,25,10,15,45,20,20,20,15,10,10,10,5,5,0,5,15,10,10,25,15,10,45,20,25,40,20,25,35,20,15,30,15,15,25,10,10,10,5,5,0,0,5,5,5,0,0,0,5,200,110,80,5,15,15,3,125,120,0,0,5,40,30,30,10,0,370,180,190,335,165,170,0,0,0,30,10,20,5,0,5,300,75,0,0,90,255,0,0,25,0,40,0,0,0,35,0,60,20,70,175,15,125,40,0,0,25,0,50,15,0,0,155,0,0,0,0,0,52.2,20.8,1061,1191,286673,292149,0,0,0,0,0,30,25,0,20,40,60,20,40,30,0,0,41714,37114,41720,0,0,0,0,0,0,0,30,30,0,25,0,20,9.3
"35390021","DA","London",0.11256,371,126,126,"3539036","3539","5550049.02","35555","0.36200000000000004",15,5,5,25,10,15,20,10,10,30,10,20,35,20,15,15,0,5,15,5,5,20,10,10,25,10,10,40,25,15,40,20,20,35,15,20,30,20,15,20,10,5,10,0,10,10,5,5,0,0,0,0,0,0,215,95,80,5,5,5,3.1,130,120,0,0,5,50,25,35,10,0,370,180,195,345,170,175,0,0,0,30,10,15,0,0,0,330,40,0,0,65,355,0,0,0,0,0,0,0,0,40,0,75,0,95,250,25,45,35,15,40,45,0,45,30,0,0,215,0,0,0,0,0,60,0,1380,1295,279039,291770,0,0,0,0,0,40,25,30,0,0,20,30,40,65,0,0,79130,72694,88373,0,0,0,0,0,0,0,0,25,20,65,20,45,0
"35390023","DA","London",0.37047,696,239,236,"3539036","3539","5550050.01","35555","0.198",25,10,20,40,20,20,50,20,25,55,25,25,60,30,30,25,10,15,20,10,15,25,5,20,55,25,25,50,25,30,70,35,35,60,30,35,65,35,30,45,20,25,10,5,10,15,10,5,10,5,5,5,0,5,375,205,155,10,20,20,3.2,235,235,0,0,0,70,45,60,15,10,695,335,360,625,305,320,0,0,0,60,25,35,10,5,5,540,145,0,0,120,590,0,25,40,0,0,0,0,30,75,0,70,20,185,380,30,185,40,20,40,85,0,75,45,0,0,265,40,25,0,0,0,47.8,17.8,819,1263,306763,312591,0,0,0,0,0,65,50,50,30,30,60,45,35,95,55,15,83080,93424,56311,0,0,0,0,0,0,0,0,0,55,105,20,85,14.6
"35390024","DA","London",0.1543,438,132,131,"3539036","3539","5550050.01","35555","0.237",15,10,5,20,10,10,35,15,20,35,30,15,50,30,20,20,10,10,10,10,10,15,5,10,20,10,10,45,20,25,45,20,30,45,25,20,40,20,20,15,10,10,5,0,5,10,5,5,5,5,5,0,0,5,240,130,110,0,5,10,3.1,135,130,0,0,0,40,35,35,20,5,440,220,215,390,210,180,0,0,0,45,10,30,10,5,5,240,235,0,0,95,220,0,0,105,75,55,0,0,0,25,0,75,15,125,200,50,165,15,20,20,30,0,95,0,0,0,125,20,0,0,0,0,50,0,883,1435,349584,433533,0,0,0,0,0,40,85,10,40,45,40,40,35,40,0,15,49940,88274,43638,0,0,0,0,0,0,0,0,0,15,65,35,35,23.2
"35390025","DA","London",0.24847,550,200,200,"3539036","3539","5550050.02","35555","0.165",20,15,5,30,15,15,40,15,20,45,20,25,35,20,20,20,10,10,10,5,5,25,10,20,35,15,20,55,25,30,45,25,25,40,20,20,40,20,25,40,20,25,25,10,15,25,20,5,10,5,5,5,0,0,305,165,115,10,25,15,3.1,200,195,0,0,5,70,35,50,10,0,550,270,275,500,250,255,0,0,0,40,15,25,5,0,0,425,120,0,0,215,450,0,0,0,0,25,0,0,10,65,0,70,15,110,305,0,155,35,20,50,40,0,85,20,0,0,250,0,0,0,0,0,42.5,7.5,668,1038,290187,295308,0,0,0,0,0,50,20,35,50,85,35,80,30,50,30,0,59189,72045,50398,0,0,0,0,0,45,20,0,20,40,55,15,40,3.6
