"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","NHS Non Return Rate","v_CA11F_199: Total number of occupied private dwellings by structural type of dwelling","v_CA11F_200: Single-detached house","v_CA11F_163: Average number of persons per census family","v_CA11F_201: Apartment, building that has five or more storeys","v_CA11F_202: Movable dwelling","v_CA11F_203: Other dwelling","v_CA11F_211: 2 persons","v_CA11F_212: 3 persons","v_CA11F_213: 4 persons","v_CA11F_214: 5 persons","v_CA11F_215: 6 or more persons","v_CA11F_86: Married or living with a common-law partner","v_CA11F_95: Not married and not living with a common-law partner","v_CA11F_98: Single (never legally married)","v_CA11F_101: Separated","v_CA11F_104: Divorced","v_CA11F_107: Widowed","v_CA11N_2449: Median employment income in 2010 $","v_CA11N_2450: Median employment income in 2010 $","v_CA11N_2451: Median employment income in 2010 $","v_CA11N_2356: Under $5,000","v_CA11N_2359: $5,000 to $9,999","v_CA11N_2362: $10,000 to $14,999","v_CA11N_2365: $15,000 to $19,999","v_CA11N_2368: $20,000 to $29,999","v_CA11N_2371: $30,000 to $39,999","v_CA11N_2374: $40,000 to $49,999","v_CA11N_2377: $50,000 to $59,999","v_CA11N_2380: $60,000 to $79,999","v_CA11N_2383: $80,000 to $99,999","v_CA11N_2386: $100,000 and over","v_CA11N_2548: Under $5,000","v_CA11N_2549: $5,000 to $9,999","v_CA11N_2550: $10,000 to $14,999","v_CA11N_2551: $15,000 to $19,999","v_CA11N_2552: $20,000 to $29,999","v_CA11N_2553: $30,000 to $39,999","v_CA11N_2554: $40,000 to $49,999","v_CA11N_2555: $50,000 to $59,999","v_CA11N_2556: $60,000 to $79,999","v_CA11N_2557: $80,000 to $99,999","v_CA11N_2558: $100,000 and over","v_CA11N_2559: $100,000 to $124,999","v_CA11N_2560: $125,000 and over","v_CA11N_2606: Prevalence of low income in 2010 based on after-tax low-income measure %","v_CA11N_19: Non-immigrants","v_CA11N_22: Immigrants","v_CA11N_46: Non-permanent residents","v_CA11N_505: North American Aboriginal origins","v_CA11N_517: Other North American origins","v_CA11N_547: European origins","v_CA11N_760: Caribbean origins","v_CA11N_820: Latin, Central and South American origins","v_CA11N_1084: West Central Asian and Middle Eastern origins","v_CA11N_1162: South Asian origins","v_CA11N_1204: East and Southeast Asian origins","v_CA11N_1258: Other Asian origins","v_CA11N_1264: Oceania origins","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2283: % of owner households spending 30% or more of household total income on shelter costs","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2290: % of tenant households spending 30% or more of household total income on shelter costs","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)","v_CA11N_1804: No certificate, diploma or degree","v_CA11N_1807: High school diploma or equivalent","v_CA11N_1813: Apprenticeship or trades certificate or diploma","v_CA11N_1816: College, CEGEP or other non-university certificate or diploma","v_CA11N_1819: University certificate or diploma below bachelor level","v_CA11N_1822: University certificate, diploma or degree at bachelor level or above","v_CA11N_1993: Employed","v_CA11N_1996: Unemployed","v_CA11N_1999: Not in the labour force","v_CA11N_2035: 0 Management occupations","v_CA11N_2041: 2 Natural and applied sciences and related occupations","v_CA11N_2044: 3 Health occupations","v_CA11N_2047: 4 Occupations in education, law and social, community and government services","v_CA11N_2050: 5 Occupations in art, culture, recreation and sport","v_CA11N_2053: 6 Sales and service occupations","v_CA11N_2056: 7 Trades, transport and equipment operators and related occupations","v_CA11N_2059: 8 Natural resources, agriculture and related production occupations","v_CA11N_2062: 9 Occupations in manufacturing and utilities","v_CA11N_2194: Car, truck or van - as a driver","v_CA11N_2197: Car, truck or van - as a passenger","v_CA11N_2200: Public transit","v_CA11N_2203: Walked","v_CA11N_2206: Bicycle","v_CA11N_2209: Other methods"
"1","24940010","DA","Saguenay",36.26689,524,195,193,"2494068","2494","4080104.00","24408","0.418",190,170,2.9,0,0,25,90,30,25,20,5,320,120,80,5,20,10,32061,30579,37662,95,40,40,55,65,45,45,15,15,0,0,0,0,0,0,55,0,15,0,15,20,40,35,0,31.4,525,0,0,85,425,160,0,0,0,0,0,0,0,54.1,35.1,540,788,150160,178190,0,0,0,0,0,80,115,90,30,0,30,330,0,125,35,0,35,15,0,40,85,0,10,260,0,0,0,0,0
"2","24940011","DA","Saguenay",52.11808,616,270,236,"2494068","2494","4080104.00","24408","0.564",235,220,2.8,0,0,15,100,35,40,20,5,360,145,110,5,20,10,26063,41016,22526,20,90,25,35,100,135,65,25,10,0,0,0,0,0,0,0,0,40,105,20,40,0,0,0,0,570,0,0,30,510,85,0,0,0,0,0,0,0,66.7,0,792,756,170827,176195,0,0,0,0,0,50,120,110,40,0,35,325,0,205,45,0,0,30,0,70,105,0,0,235,0,0,0,0,0
"3","24940018","DA","Saguenay",31.29904,563,222,221,"2494068","2494","4080104.00","24408","0.309",225,175,2.9,0,0,50,85,40,40,10,0,325,155,105,0,30,20,30367,30399,23793,70,35,75,30,135,90,25,20,0,0,0,0,0,15,0,35,0,30,15,55,10,15,15,0,17.2,605,0,0,25,550,180,0,0,0,0,0,0,0,48.6,16.2,634,670,150161,140850,25,0,0,401,386,55,25,160,65,15,40,310,40,155,25,0,0,40,0,75,90,0,0,235,0,0,30,0,0
"4","24940025","DA","Saguenay",0.1572,416,235,234,"2494068","2494","4080108.00","24408","0.335",235,35,2.4,0,0,195,65,15,5,0,0,130,265,105,5,70,80,43059,43123,23781,30,45,70,80,45,50,25,0,0,0,0,0,0,20,70,35,30,0,0,35,0,0,0,0,31.2,375,0,0,0,260,175,0,0,0,0,0,0,0,64.3,0,982,875,160615,161616,165,23.5,51.5,495,548,0,25,70,35,0,20,120,0,235,0,0,20,0,0,40,20,0,0,120,0,0,0,0,0
"5","24940026","DA","Saguenay",0.13292,467,273,245,"2494068","2494","4080108.00","24408","0.275",245,35,2.5,0,0,205,100,30,10,0,0,180,235,165,10,40,20,33399,35857,28946,40,40,80,65,75,40,0,0,0,0,0,0,0,50,30,50,40,0,0,0,0,0,0,0,42.9,420,0,0,10,355,70,0,0,0,0,0,0,0,90.9,33.3,957,963,150244,164311,190,0,52.6,484,505,80,20,30,50,0,25,165,20,195,0,25,0,30,0,30,30,0,0,100,0,0,25,0,0
"6","24940027","DA","Saguenay",0.22035,453,289,223,"2494068","2494","4080108.00","24408","0.426",220,50,2.5,0,0,170,80,25,10,5,0,180,245,150,5,30,60,38057,38093,27115,0,40,35,50,100,30,50,0,15,0,0,0,0,20,0,45,0,45,0,30,0,0,0,0,25.9,405,0,0,0,345,160,0,0,0,0,0,0,0,86.7,0,925,1002,180120,196005,145,0,34.5,601,565,30,0,95,60,15,0,215,25,140,0,0,20,70,0,40,45,0,0,140,0,0,0,0,0
"7","24940028","DA","Saguenay",0.16883,414,274,263,"2494068","2494","4080108.00","24408","0.259",260,30,2.4,90,0,150,65,20,10,0,5,150,225,115,10,65,40,18250,27224,16449,20,35,100,100,60,45,0,0,0,0,0,0,0,45,60,35,45,0,0,0,0,0,0,0,51.8,405,0,0,0,255,265,0,0,0,0,0,0,0,72.7,0,828,938,140084,141270,210,38.1,38.1,451,478,45,75,60,30,0,0,155,25,210,0,0,0,15,0,40,45,0,0,90,0,0,35,0,0
"8","24940029","DA","Saguenay",0.24639,413,291,279,"2494068","2494","4080108.00","24408","0.278",275,20,2.2,0,0,260,90,20,5,0,0,145,250,140,10,50,50,36361,36422,0,15,40,65,70,70,70,20,0,0,0,0,0,20,40,45,35,75,40,0,0,0,0,0,0,34.9,410,0,0,20,315,210,0,0,0,0,0,0,0,33.3,0,367,548,150048,143452,205,41.5,28.6,435,460,45,10,85,45,0,20,185,0,190,0,0,0,20,0,80,35,0,0,170,0,0,0,0,0
"9","24940030","DA","Saguenay",0.12719,513,341,306,"2494068","2494","4080109.00","24408","0.318",305,30,2.3,0,0,280,125,20,10,0,0,220,255,150,5,50,50,32596,33861,22602,30,35,55,65,170,55,40,0,0,0,0,0,0,10,20,75,75,50,20,0,0,0,0,0,19.4,515,0,0,15,405,150,0,0,0,0,0,0,0,43.8,12.5,677,636,160564,194127,210,0,28.6,522,590,40,50,65,90,0,0,235,15,215,0,65,15,20,0,80,15,0,0,190,0,0,20,0,0
"10","24940031","DA","Saguenay",0.12326,400,230,220,"2494068","2494","4080106.00","24408","0.163",220,35,2.5,0,0,190,80,30,10,5,0,145,215,145,10,35,25,30053,30064,27372,0,25,45,70,60,85,20,0,0,0,0,0,0,0,30,25,85,30,10,15,0,0,0,0,16.7,365,0,0,30,300,140,0,0,0,0,0,0,0,68.2,0,872,742,150511,148583,110,0,27.3,501,507,35,55,50,20,0,20,180,25,140,0,0,0,25,0,60,45,0,0,160,0,0,0,0,0
