"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","NHS Non Return Rate","v_CA11F_199: Total number of occupied private dwellings by structural type of dwelling","v_CA11F_200: Single-detached house","v_CA11F_163: Average number of persons per census family","v_CA11F_201: Apartment, building that has five or more storeys","v_CA11F_202: Movable dwelling","v_CA11F_203: Other dwelling","v_CA11F_211: 2 persons","v_CA11F_212: 3 persons","v_CA11F_213: 4 persons","v_CA11F_214: 5 persons","v_CA11F_215: 6 or more persons","v_CA11F_86: Married or living with a common-law partner","v_CA11F_95: Not married and not living with a common-law partner","v_CA11F_98: Single (never legally married)","v_CA11F_101: Separated","v_CA11F_104: Divorced","v_CA11F_107: Widowed","v_CA11N_2449: Median employment income in 2010 $","v_CA11N_2450: Median employment income in 2010 $","v_CA11N_2451: Median employment income in 2010 $","v_CA11N_2356: Under $5,000","v_CA11N_2359: $5,000 to $9,999","v_CA11N_2362: $10,000 to $14,999","v_CA11N_2365: $15,000 to $19,999","v_CA11N_2368: $20,000 to $29,999","v_CA11N_2371: $30,000 to $39,999","v_CA11N_2374: $40,000 to $49,999","v_CA11N_2377: $50,000 to $59,999","v_CA11N_2380: $60,000 to $79,999","v_CA11N_2383: $80,000 to $99,999","v_CA11N_2386: $100,000 and over","v_CA11N_2548: Under $5,000","v_CA11N_2549: $5,000 to $9,999","v_CA11N_2550: $10,000 to $14,999","v_CA11N_2551: $15,000 to $19,999","v_CA11N_2552: $20,000 to $29,999","v_CA11N_2553: $30,000 to $39,999","v_CA11N_2554: $40,000 to $49,999","v_CA11N_2555: $50,000 to $59,999","v_CA11N_2556: $60,000 to $79,999","v_CA11N_2557: $80,000 to $99,999","v_CA11N_2558: $100,000 and over","v_CA11N_2559: $100,000 to $124,999","v_CA11N_2560: $125,000 and over","v_CA11N_2606: Prevalence of low income in 2010 based on after-tax low-income measure %","v_CA11N_19: Non-immigrants","v_CA11N_22: Immigrants","v_CA11N_46: Non-permanent residents","v_CA11N_505: North American Aboriginal origins","v_CA11N_517: Other North American origins","v_CA11N_547: European origins","v_CA11N_760: Caribbean origins","v_CA11N_820: Latin, Central and South American origins","v_CA11N_1084: West Central Asian and Middle Eastern origins","v_CA11N_1162: South Asian origins","v_CA11N_1204: East and Southeast Asian origins","v_CA11N_1258: Other Asian origins","v_CA11N_1264: Oceania origins","v_CA11N_2282: % of owner households with a mortgage","v_CA11N_2283: % of owner households spending 30% or more of household total income on shelter costs","v_CA11N_2284: Median monthly shelter costs for owned dwellings ($)","v_CA11N_2285: Average monthly shelter costs for owned dwellings ($)","v_CA11N_2286: Median value of dwellings ($)","v_CA11N_2287: Average value of dwellings ($)","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings","v_CA11N_2289: % of tenant households in subsidized housing","v_CA11N_2290: % of tenant households spending 30% or more of household total income on shelter costs","v_CA11N_2291: Median monthly shelter costs for rented dwellings ($)","v_CA11N_2292: Average monthly shelter costs for rented dwellings ($)","v_CA11N_1804: No certificate, diploma or degree","v_CA11N_1807: High school diploma or equivalent","v_CA11N_1813: Apprenticeship or trades certificate or diploma","v_CA11N_1816: College, CEGEP or other non-university certificate or diploma","v_CA11N_1819: University certificate or diploma below bachelor level","v_CA11N_1822: University certificate, diploma or degree at bachelor level or above","v_CA11N_1993: Employed","v_CA11N_1996: Unemployed","v_CA11N_1999: Not in the labour force","v_CA11N_2035: 0 Management occupations","v_CA11N_2041: 2 Natural and applied sciences and related occupations","v_CA11N_2044: 3 Health occupations","v_CA11N_2047: 4 Occupations in education, law and social, community and government services","v_CA11N_2050: 5 Occupations in art, culture, recreation and sport","v_CA11N_2053: 6 Sales and service occupations","v_CA11N_2056: 7 Trades, transport and equipment operators and related occupations","v_CA11N_2059: 8 Natural resources, agriculture and related production occupations","v_CA11N_2062: 9 Occupations in manufacturing and utilities","v_CA11N_2194: Car, truck or van - as a driver","v_CA11N_2197: Car, truck or van - as a passenger","v_CA11N_2200: Public transit","v_CA11N_2203: Walked","v_CA11N_2206: Bicycle","v_CA11N_2209: Other methods"
"1","24560136","DA","Saint-Jean-sur-Richelieu",12.3352,302,118,117,"2456083","2456","4590400.00","24459","0.171",115,105,2.8,0,0,10,45,20,20,5,5,165,90,60,10,10,15,33733,34044,27802,0,0,25,75,50,50,25,0,0,0,0,0,0,0,0,0,0,15,20,20,0,20,0,0,3.3,295,0,0,20,180,105,0,0,0,0,0,0,0,64.7,0,901,827,219200,275624,0,0,0,0,0,40,25,30,70,0,10,165,15,95,15,0,0,0,0,55,40,0,0,140,0,0,0,0,0
"2","24560137","DA","Saint-Jean-sur-Richelieu",9.50391,1162,481,466,"2456083","2456","4590400.00","24459","0.247",465,445,2.8,0,0,20,195,85,65,20,10,670,320,250,10,40,20,39975,40055,36653,115,50,105,165,80,225,95,50,50,0,0,0,25,0,0,50,135,30,40,50,80,35,25,0,17.8,1150,0,0,65,1055,270,10,0,0,0,0,0,0,53.2,17,746,707,224660,222250,20,0,0,414,474,200,120,185,70,15,50,650,20,295,25,35,40,55,0,270,105,0,75,590,0,20,0,0,0
"3","24560138","DA","Saint-Jean-sur-Richelieu",1.69488,390,245,190,"2456083","2456","4590400.00","24459","0.457",190,165,2.8,0,5,20,75,25,20,5,0,205,135,75,0,40,15,19000,12085,19070,0,35,55,70,55,50,0,0,0,0,0,0,0,15,40,25,0,0,0,25,0,0,0,0,15.4,390,0,0,45,290,240,0,0,0,0,0,0,0,61.5,19.2,841,792,234561,255655,45,0,0,594,648,35,40,75,45,0,15,225,0,90,0,0,0,60,0,85,20,0,0,150,0,0,0,0,0
"4","24560139","DA","Saint-Jean-sur-Richelieu",1.85646,1070,403,395,"2456083","2456","4590203.00","24459","0.298",395,385,2.9,0,0,10,155,75,65,15,20,605,265,195,5,40,25,66310,72724,52421,90,60,50,70,100,105,120,75,140,20,25,0,0,0,0,30,0,40,0,75,65,140,75,65,10.3,965,105,0,0,670,620,0,0,0,0,0,0,0,75.6,16.7,1329,1374,299317,343032,15,0,0,172,262,60,155,135,160,25,185,600,50,245,65,85,30,105,0,140,75,0,30,440,0,20,0,0,0
"5","24560140","DA","Saint-Jean-sur-Richelieu",0.23918,509,183,182,"2456083","2456","4590203.00","24459","0.207",180,180,3,0,0,0,65,35,35,15,5,275,120,85,5,15,10,47598,52063,25692,35,25,35,85,70,65,50,0,25,0,0,0,0,0,0,15,25,35,0,65,15,0,0,0,8.9,495,0,0,0,385,185,0,0,0,0,0,0,0,65.7,13.9,815,973,230207,229166,0,0,0,0,0,65,70,95,40,0,15,220,15,180,0,0,0,15,0,100,50,0,0,170,0,0,0,0,0
"6","24560141","DA","Saint-Jean-sur-Richelieu",0.16805,348,140,139,"2456083","2456","4590202.00","24459","0.308",140,120,2.7,0,0,20,55,35,25,5,0,200,95,70,5,10,15,51852,52121,51714,0,30,35,25,25,50,60,25,0,0,0,0,0,0,0,0,20,0,0,40,25,0,0,0,0,320,0,0,20,240,170,0,0,0,0,0,0,0,65.2,0,891,956,240358,229965,25,0,0,821,778,0,50,40,25,20,40,185,0,105,0,0,20,25,0,70,45,0,0,160,0,0,0,0,0
"7","24560142","DA","Saint-Jean-sur-Richelieu",0.20762,688,220,218,"2456083","2456","4590202.00","24459","0.177",220,190,3.2,0,0,30,70,45,70,15,10,390,105,90,5,10,0,56479,67111,39191,40,35,0,0,65,75,75,80,50,20,0,0,0,0,0,0,0,20,20,40,75,50,25,20,1.5,660,0,0,65,525,310,0,0,0,0,0,0,0,92.9,0,1352,1274,259784,265433,0,0,0,0,0,15,75,50,85,15,155,345,25,105,80,30,20,70,0,80,25,0,25,295,0,30,0,0,0
"8","24560143","DA","Saint-Jean-sur-Richelieu",0.13752,414,140,139,"2456083","2456","4590202.00","24459","0.201",140,105,3.1,0,0,35,50,25,35,15,5,205,125,105,5,15,5,45704,52328,37401,35,35,0,40,30,55,55,45,20,0,0,0,0,0,0,0,0,20,20,55,0,15,10,0,4.4,460,0,0,0,385,135,0,0,0,0,0,0,0,60.9,0,964,880,250831,357781,20,0,0,1028,983,25,65,60,95,0,20,250,20,70,20,0,15,25,0,60,50,0,25,200,20,20,0,0,0
"9","24560144","DA","Saint-Jean-sur-Richelieu",0.15578,464,172,172,"2456083","2456","4590202.00","24459","0.235",170,135,3.1,0,15,20,65,30,30,15,5,255,125,95,10,10,10,55338,55264,55356,0,55,35,50,70,15,50,40,40,0,0,0,0,0,0,0,25,0,20,25,35,25,15,0,7.5,460,0,0,0,405,140,0,0,0,0,0,0,0,63.3,16.7,986,940,229878,242306,20,0,0,589,590,25,75,70,45,0,45,240,0,140,0,0,0,35,0,45,55,0,0,195,0,0,0,0,0
"10","24560145","DA","Saint-Jean-sur-Richelieu",0.12441,452,163,161,"2456083","2456","4590202.00","24459","0.37200000000000005",160,105,3.2,0,0,50,40,35,35,15,0,215,150,110,10,25,10,63847,83463,53193,15,0,0,30,0,40,40,50,45,20,0,0,0,0,0,0,0,0,15,20,0,70,30,45,5.5,450,0,0,0,345,145,0,0,0,0,0,0,0,69.6,0,1079,1102,268984,302322,45,0,0,638,515,0,25,0,60,55,75,250,0,80,20,35,20,45,0,50,0,0,0,220,0,0,0,0,0
"11","24560146","DA","Saint-Jean-sur-Richelieu",0.13284,518,184,181,"2456083","2456","4590202.00","24459","0.201",180,110,3.1,0,0,70,55,55,35,15,0,230,150,115,5,20,5,55940,58333,38517,20,20,45,50,35,75,55,45,15,0,0,0,0,0,0,0,25,25,0,50,20,40,0,30,12.7,495,0,0,15,425,170,0,0,0,0,0,0,0,66.7,0,1029,1049,259222,278107,80,0,33.3,654,701,40,30,75,45,0,80,315,20,70,0,0,30,95,0,70,45,0,25,265,0,25,0,0,0
"12","24560147","DA","Saint-Jean-sur-Richelieu",1.02069,1120,392,388,"2456083","2456","4590202.00","24459","0.171",385,260,3.1,0,0,130,115,75,95,25,10,560,245,180,10,35,20,54820,57486,46073,45,25,75,25,55,175,135,140,70,0,0,0,0,0,0,0,25,35,45,125,80,70,65,0,1.8,1065,35,0,50,745,575,0,0,15,0,30,0,0,90,8.6,1264,1258,250139,259938,40,0,0,948,926,25,75,160,235,20,140,655,0,140,70,60,45,120,10,75,90,0,45,505,15,60,0,0,0
"13","24560148","DA","Saint-Jean-sur-Richelieu",0.30426,611,194,194,"2456083","2456","4590202.00","24459","0.304",190,190,3.2,0,0,5,55,40,65,15,5,320,160,135,5,20,5,69249,75369,39169,65,25,20,15,25,100,20,60,60,30,20,0,0,0,0,0,0,0,0,20,80,65,35,35,3.3,610,0,0,20,465,315,0,0,0,0,0,0,0,82.1,0,1215,1325,389960,388898,0,0,0,0,0,0,70,40,40,25,175,415,0,55,75,20,15,60,0,130,20,0,0,335,0,25,0,0,0
