"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_454: Married or living common law","v_CA16_463: Not married and not living common law","v_CA16_466: Never married","v_CA16_469: Separated","v_CA16_472: Divorced","v_CA16_475: Widowed","v_CA16_479: 2 persons","v_CA16_480: 3 persons","v_CA16_481: 4 persons","v_CA16_482: 5 or more persons","v_CA16_483: Average size of census families","v_CA16_2207: Median total income in 2015 among recipients ($)","v_CA16_2209: Median total income in 2015 among recipients ($)","v_CA16_2208: Median total income in 2015 among recipients ($)","v_CA16_408: Occupied private dwellings by structural type of dwelling data","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_411: Other attached dwelling","v_CA16_417: Movable dwelling","v_CA16_2309: Under $10,000 (including loss)","v_CA16_2312: $10,000 to $19,999","v_CA16_2315: $20,000 to $29,999","v_CA16_2318: $30,000 to $39,999","v_CA16_2321: $40,000 to $49,999","v_CA16_2324: $50,000 to $59,999","v_CA16_2327: $60,000 to $69,999","v_CA16_2330: $70,000 to $79,999","v_CA16_2333: $80,000 and over","v_CA16_2336: $80,000 to $89,999","v_CA16_2339: $90,000 to $99,999","v_CA16_2342: $100,000 and over","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_5795: Car, truck, van - as a driver","v_CA16_5798: Car, truck, van - as a passenger","v_CA16_5801: Public transit","v_CA16_5804: Walked","v_CA16_5807: Bicycle","v_CA16_5810: Other method","v_CA16_5816: Less than 15 minutes","v_CA16_5819: 15 to 29 minutes","v_CA16_5822: 30 to 44 minutes","v_CA16_5825: 45 to 59 minutes","v_CA16_5828: 60 minutes and over","v_CA16_2427: Under $5,000","v_CA16_2428: $5,000 to $9,999","v_CA16_2429: $10,000 to $14,999","v_CA16_2430: $15,000 to $19,999","v_CA16_2431: $20,000 to $24,999","v_CA16_2432: $25,000 to $29,999","v_CA16_2433: $30,000 to $34,999","v_CA16_2434: $35,000 to $39,999","v_CA16_2435: $40,000 to $44,999","v_CA16_2436: $45,000 to $49,999","v_CA16_2437: $50,000 to $59,999","v_CA16_2438: $60,000 to $69,999","v_CA16_2439: $70,000 to $79,999","v_CA16_2440: $80,000 to $89,999","v_CA16_2441: $90,000 to $99,999","v_CA16_2442: $100,000 and over","v_CA16_4893: Median monthly shelter costs for owned dwellings ($)","v_CA16_4894: Average monthly shelter costs for owned dwellings ($)","v_CA16_4895: Median value of dwellings ($)","v_CA16_4896: Average value of dwellings ($)","v_CA16_4891: % of owner households with a mortgage","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4898: % of tenant households in subsidized housing...79","v_CA16_4898: % of tenant households in subsidized housing...80","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs","v_CA16_4900: Median monthly shelter costs for rented dwellings ($)","v_CA16_4901: Average monthly shelter costs for rented dwellings ($)","v_CA16_5099: No certificate, diploma or degree","v_CA16_5102: Secondary (high) school diploma or equivalency certificate","v_CA16_5108: Apprenticeship or trades certificate or diploma","v_CA16_5117: College, CEGEP or other non-university certificate or diploma","v_CA16_5120: University certificate or diploma below bachelor level","v_CA16_5123: University certificate, diploma or degree at bachelor level or above","v_CA16_5603: Employed","v_CA16_5606: Unemployed","v_CA16_5609: Not in the labour force","v_CA16_5663: 0 Management occupations","v_CA16_5669: 2 Natural and applied sciences and related occupations","v_CA16_5672: 3 Health occupations","v_CA16_5675: 4 Occupations in education, law and social, community and government services","v_CA16_5678: 5 Occupations in art, culture, recreation and sport","v_CA16_5681: 6 Sales and service occupations","v_CA16_5684: 7 Trades, transport and equipment operators and related occupations","v_CA16_5687: 8 Natural resources, agriculture and related production occupations","v_CA16_5690: 9 Occupations in manufacturing and utilities","v_CA16_4002: North American Aboriginal origins","v_CA16_4014: Other North American origins","v_CA16_4044: European origins","v_CA16_4806: Oceania origins","v_CA16_4266: Caribbean origins","v_CA16_4329: Latin, Central and South American origins","v_CA16_4611: West Central Asian and Middle Eastern origins","v_CA16_4698: South Asian origins","v_CA16_4743: East and Southeast Asian origins","v_CA16_4800: Other Asian origins","v_CA16_3408: Non-immigrants","v_CA16_3411: Immigrants","v_CA16_3435: Non-permanent residents"
"1","59090049","DA","Abbotsford",0.32431,593,190,182,"5909052","5909","9320012.01","59932",305,160,125,5,20,10,65,35,40,30,3.4,41088,30048,63232,180,150,0,30,0,60,65,60,45,55,40,30,20,60,20,10,30,5,6.7,255,10,0,10,0,15,65,125,45,20,30,0,0,0,0,0,0,5,0,0,5,10,10,15,15,15,90,1496,1459,574284,607656,64.7,12.1,0,0,0,0,0,0,20,110,40,65,15,70,305,15,125,40,20,35,35,10,70,50,0,10,20,220,490,0,0,10,15,10,15,0,510,70,10
"2","59090051","DA","Abbotsford",0.22693,711,240,237,"5909052","5909","9320011.00","59932",370,170,125,10,20,15,85,50,50,25,3.2,45611,31573,65152,235,135,0,105,0,80,75,55,60,55,50,55,35,65,20,10,30,3.5,9.2,335,10,10,10,0,0,110,140,35,25,45,0,5,5,5,5,0,5,5,5,5,20,20,20,30,20,90,1700,1709,549932,558431,81,16.7,30,0,0,0,0,1440,10,140,55,115,10,105,380,40,150,40,25,35,60,0,80,55,10,30,55,185,710,0,0,0,0,20,20,0,705,115,0
"3","59090052","DA","Abbotsford",0.23703,599,212,194,"5909052","5909","9320011.00","59932",305,160,110,5,20,15,75,35,40,25,3.2,39936,31616,55808,195,110,0,90,0,65,65,50,55,50,40,45,20,50,15,15,20,8.3,10.8,280,35,15,0,0,10,145,70,45,45,40,5,0,5,5,5,5,10,5,5,0,15,20,20,10,10,75,1895,1635,599782,608699,62.5,12.5,40,0,0,57.1,849,932,0,90,40,75,15,105,365,0,120,45,20,40,55,20,55,65,0,10,35,230,565,0,30,20,10,30,40,0,600,60,10
"4","59090054","DA","Abbotsford",0.18204,647,216,213,"5909052","5909","9320011.00","59932",360,155,115,15,15,10,80,40,45,25,3.1,40576,28800,62592,215,140,0,75,0,75,60,65,65,50,45,40,30,55,20,20,20,3.1,3.1,275,25,10,0,10,0,100,75,85,25,40,0,5,0,5,5,0,5,0,5,5,20,15,15,15,25,90,1516,1393,500339,627191,69.4,11.1,40,0,0,0,1258,1270,45,110,50,85,20,60,355,0,180,40,15,15,35,15,90,85,0,15,55,225,495,10,10,20,0,30,30,0,570,45,0
"5","59090055","DA","Abbotsford",2.20556,1129,401,389,"5909052","5909","9320011.00","59932",615,325,225,25,35,30,165,85,70,35,3,38912,30656,50688,390,255,0,135,0,120,145,125,125,85,75,75,35,105,40,20,45,4,6.7,475,45,10,0,0,0,155,180,75,60,65,0,0,5,5,10,5,20,10,15,15,20,35,35,30,25,160,1206,1313,473450,508788,58.2,7.5,35,0,0,57.1,1003,1214,60,165,70,125,35,125,575,35,265,90,10,30,115,0,115,100,10,20,55,285,925,0,0,10,0,0,25,0,985,95,0
"6","59090056","DA","Abbotsford",0.54743,1407,498,481,"5909052","5909","9320011.00","59932",660,425,280,35,75,35,165,110,95,40,3.1,38187,29792,49664,485,180,0,300,0,165,145,160,135,140,105,60,70,65,25,20,20,2.8,7.5,725,20,30,15,0,0,275,230,105,80,105,0,5,5,5,10,15,10,15,25,30,45,35,65,45,45,130,1481,1442,401059,422800,79.7,15.2,95,0,0,26.3,1133,1261,90,340,85,155,25,140,855,50,230,105,30,30,65,10,235,205,20,20,75,350,1090,10,0,10,60,85,45,0,1195,205,10
"7","59090057","DA","Abbotsford",0.07878,275,83,77,"5909052","5909","9320011.00","59932",120,75,45,5,15,0,20,20,20,15,3.4,36608,29248,52096,75,65,0,15,0,25,25,25,30,15,20,15,5,10,5,0,5,3.6,10.9,120,0,0,10,0,0,70,35,10,25,0,0,0,0,0,0,0,5,5,0,5,5,10,5,10,10,25,1511,1440,479637,489674,83.3,0,25,0,0,0,0,1355,10,55,15,30,10,35,155,0,40,10,10,25,15,10,30,35,0,0,15,115,235,0,0,10,0,10,0,0,275,15,0
"8","59090058","DA","Abbotsford",0.54426,885,290,263,"5909052","5909","9320011.00","59932",410,265,195,25,25,30,90,50,70,35,3.3,35021,25728,51456,260,140,0,120,0,100,105,95,80,75,60,40,30,40,20,10,10,8.5,13.6,270,30,20,0,0,0,140,65,75,15,40,5,0,0,10,0,10,5,10,5,10,20,15,25,30,20,95,1599,1555,601142,585454,68.3,24.4,50,0,0,0,948,903,15,125,40,50,35,135,370,35,240,40,10,30,50,15,100,60,25,10,50,165,505,0,0,10,0,60,190,0,590,170,45
"9","59090059","DA","Abbotsford",0.09609,282,91,91,"5909052","5909","9320011.00","59932",140,75,55,0,10,0,30,15,15,15,3.1,35456,28736,42112,90,65,0,30,0,25,35,40,25,30,20,20,5,10,5,5,0,3.5,7,130,10,0,0,0,0,65,30,25,10,10,0,0,0,0,0,0,5,5,5,5,5,10,5,10,5,35,1577,1259,490683,459293,61.5,0,25,0,0,0,0,1403,20,50,20,60,0,10,145,0,35,10,15,10,15,0,35,35,0,0,30,95,255,0,0,0,0,15,0,0,270,15,0
"10","59090060","DA","Abbotsford",0.21875,561,185,182,"5909052","5909","9320104.00","59932",275,160,120,10,20,15,65,30,40,25,3.2,38912,27392,52352,185,155,0,25,0,55,75,50,65,50,35,30,20,40,20,5,15,4.4,6.2,250,30,0,10,0,0,115,85,40,0,40,0,0,5,5,5,5,5,10,5,10,10,10,15,15,15,70,1756,1687,551499,542050,80.6,16.1,15,0,0,0,0,0,30,140,30,50,20,45,315,10,110,60,15,10,35,0,65,75,10,15,65,120,400,0,0,0,0,40,10,0,465,70,10
