"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_454: Married or living common law","v_CA16_463: Not married and not living common law","v_CA16_466: Never married","v_CA16_469: Separated","v_CA16_472: Divorced","v_CA16_475: Widowed","v_CA16_479: 2 persons","v_CA16_480: 3 persons","v_CA16_481: 4 persons","v_CA16_482: 5 or more persons","v_CA16_483: Average size of census families","v_CA16_2207: Median total income in 2015 among recipients ($)","v_CA16_2209: Median total income in 2015 among recipients ($)","v_CA16_2208: Median total income in 2015 among recipients ($)","v_CA16_408: Occupied private dwellings by structural type of dwelling data","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_411: Other attached dwelling","v_CA16_417: Movable dwelling","v_CA16_2309: Under $10,000 (including loss)","v_CA16_2312: $10,000 to $19,999","v_CA16_2315: $20,000 to $29,999","v_CA16_2318: $30,000 to $39,999","v_CA16_2321: $40,000 to $49,999","v_CA16_2324: $50,000 to $59,999","v_CA16_2327: $60,000 to $69,999","v_CA16_2330: $70,000 to $79,999","v_CA16_2333: $80,000 and over","v_CA16_2336: $80,000 to $89,999","v_CA16_2339: $90,000 to $99,999","v_CA16_2342: $100,000 and over","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_5795: Car, truck, van - as a driver","v_CA16_5798: Car, truck, van - as a passenger","v_CA16_5801: Public transit","v_CA16_5804: Walked","v_CA16_5807: Bicycle","v_CA16_5810: Other method","v_CA16_5816: Less than 15 minutes","v_CA16_5819: 15 to 29 minutes","v_CA16_5822: 30 to 44 minutes","v_CA16_5825: 45 to 59 minutes","v_CA16_5828: 60 minutes and over","v_CA16_2427: Under $5,000","v_CA16_2428: $5,000 to $9,999","v_CA16_2429: $10,000 to $14,999","v_CA16_2430: $15,000 to $19,999","v_CA16_2431: $20,000 to $24,999","v_CA16_2432: $25,000 to $29,999","v_CA16_2433: $30,000 to $34,999","v_CA16_2434: $35,000 to $39,999","v_CA16_2435: $40,000 to $44,999","v_CA16_2436: $45,000 to $49,999","v_CA16_2437: $50,000 to $59,999","v_CA16_2438: $60,000 to $69,999","v_CA16_2439: $70,000 to $79,999","v_CA16_2440: $80,000 to $89,999","v_CA16_2441: $90,000 to $99,999","v_CA16_2442: $100,000 and over","v_CA16_4893: Median monthly shelter costs for owned dwellings ($)","v_CA16_4894: Average monthly shelter costs for owned dwellings ($)","v_CA16_4895: Median value of dwellings ($)","v_CA16_4896: Average value of dwellings ($)","v_CA16_4891: % of owner households with a mortgage","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4898: % of tenant households in subsidized housing...79","v_CA16_4898: % of tenant households in subsidized housing...80","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs","v_CA16_4900: Median monthly shelter costs for rented dwellings ($)","v_CA16_4901: Average monthly shelter costs for rented dwellings ($)","v_CA16_5099: No certificate, diploma or degree","v_CA16_5102: Secondary (high) school diploma or equivalency certificate","v_CA16_5108: Apprenticeship or trades certificate or diploma","v_CA16_5117: College, CEGEP or other non-university certificate or diploma","v_CA16_5120: University certificate or diploma below bachelor level","v_CA16_5123: University certificate, diploma or degree at bachelor level or above","v_CA16_5603: Employed","v_CA16_5606: Unemployed","v_CA16_5609: Not in the labour force","v_CA16_5663: 0 Management occupations","v_CA16_5669: 2 Natural and applied sciences and related occupations","v_CA16_5672: 3 Health occupations","v_CA16_5675: 4 Occupations in education, law and social, community and government services","v_CA16_5678: 5 Occupations in art, culture, recreation and sport","v_CA16_5681: 6 Sales and service occupations","v_CA16_5684: 7 Trades, transport and equipment operators and related occupations","v_CA16_5687: 8 Natural resources, agriculture and related production occupations","v_CA16_5690: 9 Occupations in manufacturing and utilities","v_CA16_4002: North American Aboriginal origins","v_CA16_4014: Other North American origins","v_CA16_4044: European origins","v_CA16_4806: Oceania origins","v_CA16_4266: Caribbean origins","v_CA16_4329: Latin, Central and South American origins","v_CA16_4611: West Central Asian and Middle Eastern origins","v_CA16_4698: South Asian origins","v_CA16_4743: East and Southeast Asian origins","v_CA16_4800: Other Asian origins","v_CA16_3408: Non-immigrants","v_CA16_3411: Immigrants","v_CA16_3435: Non-permanent residents"
"1","35230052","DA","Guelph",0.19503,546,244,237,"3523008","3523","5500005.00","35550",215,235,130,20,40,50,80,45,20,5,2.8,33152,29248,39808,235,215,0,20,0,50,65,100,80,70,30,15,10,20,10,5,5,7.3,11,225,15,15,25,0,20,100,130,35,20,10,5,0,5,5,20,10,15,15,20,20,30,20,15,10,15,35,780,1061,300419,302792,55.6,18.9,55,30,30,0,960,1068,30,135,20,70,0,55,300,25,145,30,0,10,20,0,95,65,0,50,20,185,455,10,0,0,0,15,0,0,520,50,10
"2","35230054","DA","Guelph",0.16731,474,188,187,"3523008","3523","5500004.01","35550",245,155,95,5,25,30,70,25,30,15,3,38272,31168,46464,185,175,0,10,0,45,60,65,65,55,45,15,25,25,10,5,10,5.3,5.3,140,25,20,10,0,10,55,85,25,0,20,0,0,0,0,5,10,10,10,10,0,10,15,20,15,20,50,612,1037,400590,383082,48.4,12.9,15,0,0,0,0,0,20,55,10,55,0,55,190,15,175,15,15,10,30,10,65,15,10,25,15,145,415,0,15,0,0,0,10,0,400,55,0
"3","35230055","DA","Guelph",0.19796,511,203,196,"3523008","3523","5500005.00","35550",255,185,125,5,25,25,75,30,30,15,2.9,37376,28608,44672,195,165,0,30,0,60,70,60,65,40,40,25,25,40,10,10,20,2.9,5.9,165,55,15,25,0,0,120,70,30,10,30,0,0,5,5,5,5,5,10,10,10,20,10,20,15,15,55,702,1128,370624,391584,41.2,11.8,25,0,0,0,0,0,20,50,15,55,15,95,280,35,150,15,0,15,75,35,75,60,0,15,10,150,490,0,0,10,0,0,35,0,470,60,0
"4","35230056","DA","Guelph",0.26653,490,196,194,"3523008","3523","5500012.00","35550",280,145,80,15,20,30,85,35,25,15,2.8,38464,33664,44672,195,170,0,25,0,45,60,70,55,55,30,25,25,45,10,10,25,5.1,6.1,195,25,15,10,0,0,125,80,10,15,20,5,0,5,0,10,5,10,10,5,5,15,20,15,15,20,65,842,1035,420737,451723,40,8.6,0,0,0,0,0,0,10,90,15,75,0,70,265,15,165,25,10,20,30,15,60,45,0,45,10,95,495,0,0,0,0,0,0,0,435,80,10
"5","35230057","DA","Guelph",0.34525,657,256,249,"3523008","3523","5500012.00","35550",325,210,150,10,25,30,90,35,40,20,3,38288,31664,47744,250,215,0,30,0,55,80,90,65,55,60,25,25,60,15,10,30,5.4,7.7,255,10,10,20,10,10,145,80,55,15,15,5,0,5,5,10,5,15,15,10,10,25,30,15,25,10,75,859,1289,449534,497087,40.5,14.3,40,0,0,0,849,849,25,60,20,90,15,105,335,0,180,20,15,40,45,20,45,50,10,25,10,195,515,0,10,10,15,45,0,0,485,140,0
"6","35230058","DA","Guelph",0.20279,468,219,214,"3523008","3523","5500012.00","35550",230,165,95,15,35,25,85,25,20,10,2.6,41813,33984,48256,215,140,0,75,0,40,40,70,65,65,50,15,15,25,10,5,10,5.3,7.4,200,10,0,20,0,0,100,70,25,20,15,0,5,5,5,15,5,10,10,10,15,15,25,10,20,15,45,1367,1326,399900,414323,53.8,0,70,0,0,40,948,1058,20,65,0,50,10,90,235,0,100,20,10,15,45,10,45,40,10,15,20,100,370,0,0,0,0,0,20,0,365,50,10
"7","35230059","DA","Guelph",0.21106,686,284,277,"3523008","3523","5500012.00","35550",270,325,150,20,45,105,90,40,20,10,2.8,31168,29728,34368,280,190,0,85,0,70,100,75,70,60,60,30,15,10,5,5,5,13.4,16,225,15,10,20,0,0,90,100,50,15,15,5,25,30,10,5,10,15,10,15,10,30,15,20,15,20,50,1065,1068,350056,366811,52.8,13.9,90,55.6,55.6,16.7,341,589,45,120,10,95,15,45,275,15,190,15,10,35,50,10,50,50,10,30,10,185,475,0,0,0,10,0,10,0,495,90,0
"8","35230060","DA","Guelph",0.19521,496,208,208,"3523008","3523","5500013.01","35550",265,170,115,10,15,30,90,35,25,5,2.8,39616,35968,42112,205,195,0,15,0,40,55,70,75,60,40,25,25,30,10,5,15,1,5.1,185,10,10,15,15,0,105,60,40,10,20,0,0,0,0,15,5,10,15,5,5,20,20,25,20,15,55,710,1089,380195,405769,45.9,0,15,0,0,0,0,0,15,60,20,60,15,95,270,10,160,15,15,25,35,15,50,50,0,15,0,165,450,0,15,20,0,0,0,0,450,50,0
"9","35230061","DA","Guelph",0.69641,600,280,274,"3523008","3523","5500013.01","35550",355,180,100,15,30,45,125,30,25,10,2.6,51456,42496,62080,270,185,0,90,0,50,55,70,60,65,35,50,35,95,20,15,60,4.2,5,215,10,15,0,10,0,110,85,25,20,15,0,0,0,10,10,10,5,5,5,5,25,25,20,15,15,110,1215,1367,538001,543731,37.5,8.3,30,0,0,50,956,968,15,70,10,110,0,60,260,10,280,40,35,20,15,10,60,35,0,25,25,145,570,0,15,10,0,0,0,0,530,95,0
"10","35230062","DA","Guelph",0.21467,542,238,231,"3523008","3523","5500013.01","35550",275,185,115,15,25,25,85,45,25,5,2.8,39168,35328,48000,230,180,0,50,0,50,60,70,70,85,40,30,30,15,10,5,5,4.6,7.4,230,10,15,0,10,0,85,80,40,25,30,0,0,5,5,10,5,15,5,10,15,30,20,25,20,15,50,1309,1239,390417,372720,68.4,13.2,25,0,0,0,0,1111,15,75,20,105,10,65,280,10,135,15,40,25,25,0,35,50,0,10,10,130,385,0,0,10,0,0,10,0,450,35,10
