"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_454: Married or living common law","v_CA16_463: Not married and not living common law","v_CA16_466: Never married","v_CA16_469: Separated","v_CA16_472: Divorced","v_CA16_475: Widowed","v_CA16_479: 2 persons","v_CA16_480: 3 persons","v_CA16_481: 4 persons","v_CA16_482: 5 or more persons","v_CA16_483: Average size of census families","v_CA16_2207: Median total income in 2015 among recipients ($)","v_CA16_2209: Median total income in 2015 among recipients ($)","v_CA16_2208: Median total income in 2015 among recipients ($)","v_CA16_408: Occupied private dwellings by structural type of dwelling data","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_411: Other attached dwelling","v_CA16_417: Movable dwelling","v_CA16_2309: Under $10,000 (including loss)","v_CA16_2312: $10,000 to $19,999","v_CA16_2315: $20,000 to $29,999","v_CA16_2318: $30,000 to $39,999","v_CA16_2321: $40,000 to $49,999","v_CA16_2324: $50,000 to $59,999","v_CA16_2327: $60,000 to $69,999","v_CA16_2330: $70,000 to $79,999","v_CA16_2333: $80,000 and over","v_CA16_2336: $80,000 to $89,999","v_CA16_2339: $90,000 to $99,999","v_CA16_2342: $100,000 and over","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_5795: Car, truck, van - as a driver","v_CA16_5798: Car, truck, van - as a passenger","v_CA16_5801: Public transit","v_CA16_5804: Walked","v_CA16_5807: Bicycle","v_CA16_5810: Other method","v_CA16_5816: Less than 15 minutes","v_CA16_5819: 15 to 29 minutes","v_CA16_5822: 30 to 44 minutes","v_CA16_5825: 45 to 59 minutes","v_CA16_5828: 60 minutes and over","v_CA16_2427: Under $5,000","v_CA16_2428: $5,000 to $9,999","v_CA16_2429: $10,000 to $14,999","v_CA16_2430: $15,000 to $19,999","v_CA16_2431: $20,000 to $24,999","v_CA16_2432: $25,000 to $29,999","v_CA16_2433: $30,000 to $34,999","v_CA16_2434: $35,000 to $39,999","v_CA16_2435: $40,000 to $44,999","v_CA16_2436: $45,000 to $49,999","v_CA16_2437: $50,000 to $59,999","v_CA16_2438: $60,000 to $69,999","v_CA16_2439: $70,000 to $79,999","v_CA16_2440: $80,000 to $89,999","v_CA16_2441: $90,000 to $99,999","v_CA16_2442: $100,000 and over","v_CA16_4893: Median monthly shelter costs for owned dwellings ($)","v_CA16_4894: Average monthly shelter costs for owned dwellings ($)","v_CA16_4895: Median value of dwellings ($)","v_CA16_4896: Average value of dwellings ($)","v_CA16_4891: % of owner households with a mortgage","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4898: % of tenant households in subsidized housing...79","v_CA16_4898: % of tenant households in subsidized housing...80","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs","v_CA16_4900: Median monthly shelter costs for rented dwellings ($)","v_CA16_4901: Average monthly shelter costs for rented dwellings ($)","v_CA16_5099: No certificate, diploma or degree","v_CA16_5102: Secondary (high) school diploma or equivalency certificate","v_CA16_5108: Apprenticeship or trades certificate or diploma","v_CA16_5117: College, CEGEP or other non-university certificate or diploma","v_CA16_5120: University certificate or diploma below bachelor level","v_CA16_5123: University certificate, diploma or degree at bachelor level or above","v_CA16_5603: Employed","v_CA16_5606: Unemployed","v_CA16_5609: Not in the labour force","v_CA16_5663: 0 Management occupations","v_CA16_5669: 2 Natural and applied sciences and related occupations","v_CA16_5672: 3 Health occupations","v_CA16_5675: 4 Occupations in education, law and social, community and government services","v_CA16_5678: 5 Occupations in art, culture, recreation and sport","v_CA16_5681: 6 Sales and service occupations","v_CA16_5684: 7 Trades, transport and equipment operators and related occupations","v_CA16_5687: 8 Natural resources, agriculture and related production occupations","v_CA16_5690: 9 Occupations in manufacturing and utilities","v_CA16_4002: North American Aboriginal origins","v_CA16_4014: Other North American origins","v_CA16_4044: European origins","v_CA16_4806: Oceania origins","v_CA16_4266: Caribbean origins","v_CA16_4329: Latin, Central and South American origins","v_CA16_4611: West Central Asian and Middle Eastern origins","v_CA16_4698: South Asian origins","v_CA16_4743: East and Southeast Asian origins","v_CA16_4800: Other Asian origins","v_CA16_3408: Non-immigrants","v_CA16_3411: Immigrants","v_CA16_3435: Non-permanent residents"
"1","35240098","DA","Oakville",0.36144,957,272,270,"3524001","3524","5350612.12","35535",485,310,260,15,15,20,70,60,90,45,3.5,40909,30080,54528,270,175,0,95,0,150,115,70,60,55,50,40,45,160,45,30,85,4.2,4.7,345,25,50,10,15,0,80,115,115,80,60,0,0,0,0,5,5,5,0,5,5,15,15,5,10,15,180,1759,1768,848056,797495,63,11.1,0,0,0,0,0,0,10,90,25,165,0,245,530,20,210,100,50,40,60,20,110,40,10,10,30,170,635,0,35,30,40,145,100,0,590,365,25
"2","35240099","DA","Oakville",0.11449,504,143,143,"3524001","3524","5350612.11","35535",275,145,130,5,10,10,45,35,50,20,3.3,45056,37184,59712,140,115,0,30,0,85,40,35,35,45,30,25,15,85,20,20,45,3,4,200,10,45,10,0,10,80,40,40,55,55,0,5,0,0,0,0,5,5,5,5,10,5,0,10,5,95,1712,1713,698372,750580,60,13.3,0,0,0,0,0,0,0,65,0,70,10,180,290,30,105,70,30,10,35,30,65,20,0,0,10,125,335,0,0,20,30,70,45,0,310,195,0
"3","35240100","DA","Oakville",0.12915,548,162,162,"3524001","3524","5350612.11","35535",300,160,135,0,10,10,45,35,45,25,3.4,45952,31936,58496,160,150,0,5,0,75,60,45,30,45,20,30,25,105,30,20,60,1.8,2.7,240,15,30,0,0,0,50,130,55,15,50,0,0,0,0,0,0,0,0,0,5,5,5,5,10,10,110,1121,1632,890635,861626,43.8,9.4,0,0,0,0,0,0,0,30,10,105,10,130,325,25,150,45,30,20,45,25,65,35,0,15,65,135,480,0,35,10,10,15,35,0,495,100,0
"4","35240101","DA","Oakville",0.11135,373,112,111,"3524001","3524","5350612.11","35535",205,100,85,0,5,10,35,25,30,15,3.3,44032,36608,52352,110,105,0,5,0,45,45,40,20,15,20,20,25,55,15,10,30,2.7,6.7,145,20,40,0,0,0,55,45,40,25,40,5,0,0,0,0,0,0,0,0,0,5,5,0,5,5,75,1741,1766,897484,880301,62.5,0,0,0,0,0,0,0,10,30,10,30,0,130,215,25,90,25,35,10,30,0,50,20,0,0,0,105,300,0,0,0,20,10,45,0,320,85,0
"5","35240102","DA","Oakville",0.13261,453,177,177,"3524001","3524","5350612.11","35535",220,175,115,10,35,10,60,40,35,0,2.9,39893,37760,42112,175,25,0,155,0,70,50,40,45,45,35,25,20,45,10,15,15,6.7,8.9,175,10,40,10,0,0,45,55,40,25,60,0,0,5,0,0,5,5,5,10,5,10,15,10,20,15,60,1688,1771,483788,523430,75.9,39.3,30,0,0,66.7,0,1989,10,40,10,95,10,115,270,20,100,50,10,10,20,10,65,30,0,20,15,70,345,15,10,10,45,40,65,0,260,220,0
"6","35240104","DA","Oakville",0.06594,374,121,121,"3524001","3524","5350612.11","35535",190,120,90,5,10,10,40,30,25,10,3.1,39040,36992,55168,120,40,0,80,0,55,50,25,25,25,20,25,15,50,10,10,25,4,6.7,155,15,35,10,0,10,35,40,50,30,60,0,0,0,0,0,5,5,5,0,0,0,10,15,10,5,60,1480,1621,551038,620745,85.2,19.2,0,0,0,0,0,0,10,40,10,40,0,155,240,15,55,40,50,10,10,0,75,10,0,0,0,25,275,0,10,10,30,50,20,0,245,135,0
"7","35240105","DA","Oakville",0.05069,250,74,74,"3524001","3524","5350612.12","35535",140,65,55,0,5,5,25,20,20,10,3.2,46912,39616,53376,75,70,0,5,0,35,25,20,20,20,15,15,10,40,10,5,25,4,6,80,15,15,0,0,0,35,20,35,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1701,1618,700213,717308,62.5,0,0,0,0,0,0,0,0,10,0,35,10,70,145,10,80,15,25,10,30,10,25,10,0,0,0,25,210,0,10,0,0,0,55,0,155,120,0
"8","35240106","DA","Oakville",0.20001,892,280,276,"3524001","3524","5350612.12","35535",405,310,240,25,35,10,65,60,80,40,3.4,35456,33664,38272,275,55,0,220,0,115,100,105,75,70,40,35,25,95,20,20,50,8.4,12.4,360,40,65,15,10,10,105,150,100,60,75,0,0,5,5,5,5,10,10,10,10,20,15,15,15,25,120,1574,1551,590351,611821,70.3,15.8,80,43.8,43.8,31.2,1666,1381,25,115,15,110,10,215,535,30,135,85,50,20,90,10,140,50,0,10,35,240,580,0,40,10,85,75,65,0,635,235,20
"9","35240107","DA","Oakville",0.15832,378,120,120,"3524001","3524","5350612.12","35535",205,100,75,5,10,5,50,25,35,10,3.1,44288,36992,56320,120,90,0,30,0,45,40,35,30,30,20,25,15,55,10,15,30,2.6,1.3,145,10,20,10,0,0,35,40,45,15,40,0,0,0,0,0,0,0,5,5,5,5,10,10,10,5,70,818,1434,753315,764800,41.7,20.8,0,0,0,0,0,0,0,50,15,40,15,95,205,15,85,45,30,20,25,0,30,15,10,15,0,40,290,0,0,10,0,40,25,0,215,140,0
"10","35240108","DA","Oakville",0.08879,528,164,164,"3524001","3524","5350612.12","35535",265,155,115,10,20,10,55,40,40,25,3.3,39424,28864,58496,165,90,0,75,0,65,60,55,40,30,45,30,25,55,15,15,25,6.6,6.6,240,25,55,0,0,0,70,105,75,15,60,0,5,0,0,0,5,5,5,0,10,10,10,20,5,10,80,1802,1687,647698,640155,78.8,12.1,0,0,0,0,0,0,10,50,20,45,0,145,345,15,105,50,25,15,30,35,90,35,0,0,0,105,395,10,20,0,25,35,150,0,365,180,0
