"GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_7: 0 to 4 years, - Total","v_CA16_8: 0 to 4 years, - Male","v_CA16_9: 0 to 4 years, - Female","v_CA16_25: 5 to 9 years, - Total","v_CA16_26: 5 to 9 years, - Male","v_CA16_27: 5 to 9 years, - Female","v_CA16_43: 10 to 14 years, - Total","v_CA16_44: 10 to 14 years, - Male","v_CA16_45: 10 to 14 years, - Female","v_CA16_64: 15 to 19 years, - Total","v_CA16_65: 15 to 19 years, - Male","v_CA16_66: 15 to 19 years, - Female","v_CA16_82: 20 to 24 years, - Total","v_CA16_83: 20 to 24 years, - Male","v_CA16_84: 20 to 24 years, - Female","v_CA16_100: 25 to 29 years, - Total","v_CA16_101: 25 to 29 years, - Male","v_CA16_102: 25 to 29 years, - Female","v_CA16_118: 30 to 34 years, - Total","v_CA16_119: 30 to 34 years, - Male","v_CA16_120: 30 to 34 years, - Female","v_CA16_136: 35 to 39 years, - Total","v_CA16_137: 35 to 39 years, - Male","v_CA16_138: 35 to 39 years, - Female","v_CA16_154: 40 to 44 years, - Total","v_CA16_155: 40 to 44 years, - Male","v_CA16_156: 40 to 44 years, - Female","v_CA16_172: 45 to 49 years, - Total","v_CA16_173: 45 to 49 years, - Male","v_CA16_174: 45 to 49 years, - Female","v_CA16_190: 50 to 54 years, - Total","v_CA16_191: 50 to 54 years, - Male","v_CA16_192: 50 to 54 years, - Female","v_CA16_208: 55 to 59 years, - Total","v_CA16_209: 55 to 59 years, - Male","v_CA16_210: 55 to 59 years, - Female","v_CA16_226: 60 to 64 years, - Total","v_CA16_227: 60 to 64 years, - Male","v_CA16_228: 60 to 64 years, - Female","v_CA16_247: 65 to 69 years, - Total","v_CA16_248: 65 to 69 years, - Male","v_CA16_249: 65 to 69 years, - Female","v_CA16_265: 70 to 74 years, - Total","v_CA16_266: 70 to 74 years, - Male","v_CA16_267: 70 to 74 years, - Female","v_CA16_283: 75 to 79 years, - Total","v_CA16_284: 75 to 79 years, - Male","v_CA16_285: 75 to 79 years, - Female","v_CA16_301: 80 to 84 years, - Total","v_CA16_302: 80 to 84 years, - Male","v_CA16_303: 80 to 84 years, - Female","v_CA16_319: 85 years and over, - Total","v_CA16_320: 85 years and over, - Male","v_CA16_321: 85 years and over, - Female","v_CA16_408: Occupied private dwellings by structural type of dwelling data, - Total","v_CA16_409: Single-detached house, - Total","v_CA16_410: Apartment in a building that has five or more storeys, - Total","v_CA16_411: Other attached dwelling, - Total","v_CA16_417: Movable dwelling, - Total","v_CA16_454: Married or living common law, - Total","v_CA16_463: Not married and not living common law, - Total","v_CA16_466: Never married, - Total","v_CA16_469: Separated, - Total","v_CA16_472: Divorced, - Total","v_CA16_475: Widowed, - Total","v_CA16_479: 2 persons, - Total","v_CA16_480: 3 persons, - Total","v_CA16_481: 4 persons, - Total","v_CA16_482: 5 or more persons, - Total","v_CA16_483: Average size of census families, - Total","v_CA16_512: Total - Knowledge of official languages for the total population excluding institutional residents - 100% data, - Total","v_CA16_513: Total - Knowledge of official languages for the total population excluding institutional residents - 100% data, - Male","v_CA16_514: Total - Knowledge of official languages for the total population excluding institutional residents - 100% data, - Female","v_CA16_515: English only, - Total","v_CA16_516: English only, - Male","v_CA16_517: English only, - Female","v_CA16_518: French only, - Total","v_CA16_519: French only, - Male","v_CA16_520: French only, - Female","v_CA16_521: English and French, - Total","v_CA16_522: English and French, - Male","v_CA16_523: English and French, - Female","v_CA16_524: Neither English nor French, - Total","v_CA16_525: Neither English nor French, - Male","v_CA16_526: Neither English nor French, - Female","v_CA16_2207: Median total income in 2015 among recipients ($), - Total","v_CA16_2208: Median total income in 2015 among recipients ($), - Male","v_CA16_2209: Median total income in 2015 among recipients ($), - Female","v_CA16_2210: Number of after-tax income recipients aged 15 years and over in private households - 100% data, - Total","v_CA16_2211: Number of after-tax income recipients aged 15 years and over in private households - 100% data, - Male","v_CA16_2212: Number of after-tax income recipients aged 15 years and over in private households - 100% data, - Female","v_CA16_2213: Median after-tax income in 2015 among recipients ($), - Total","v_CA16_2214: Median after-tax income in 2015 among recipients ($), - Male","v_CA16_2215: Median after-tax income in 2015 among recipients ($), - Female","v_CA16_2216: Number of market income recipients aged 15 years and over in private households - 100% data, - Total","v_CA16_2217: Number of market income recipients aged 15 years and over in private households - 100% data, - Male","v_CA16_2218: Number of market income recipients aged 15 years and over in private households - 100% data, - Female","v_CA16_2219: Median market income in 2015 among recipients ($), - Total","v_CA16_2220: Median market income in 2015 among recipients ($), - Male","v_CA16_2221: Median market income in 2015 among recipients ($), - Female","v_CA16_2222: Number of government transfers recipients aged 15 years and over in private households - 100% data, - Total","v_CA16_2223: Number of government transfers recipients aged 15 years and over in private households - 100% data, - Male","v_CA16_2224: Number of government transfers recipients aged 15 years and over in private households - 100% data, - Female","v_CA16_2225: Median government transfers in 2015 among recipients ($), - Total","v_CA16_2226: Median government transfers in 2015 among recipients ($), - Male","v_CA16_2227: Median government transfers in 2015 among recipients ($), - Female","v_CA16_2228: Number of employment income recipients aged 15 years and over in private households - 100% data, - Total","v_CA16_2229: Number of employment income recipients aged 15 years and over in private households - 100% data, - Male","v_CA16_2230: Number of employment income recipients aged 15 years and over in private households - 100% data, - Female","v_CA16_2231: Median employment income in 2015 among recipients ($), - Total","v_CA16_2232: Median employment income in 2015 among recipients ($), - Male","v_CA16_2233: Median employment income in 2015 among recipients ($), - Female","v_CA16_2309: Under $10,000 (including loss), - Total","v_CA16_2312: $10,000 to $19,999, - Total","v_CA16_2315: $20,000 to $29,999, - Total","v_CA16_2318: $30,000 to $39,999, - Total","v_CA16_2321: $40,000 to $49,999, - Total","v_CA16_2324: $50,000 to $59,999, - Total","v_CA16_2327: $60,000 to $69,999, - Total","v_CA16_2330: $70,000 to $79,999, - Total","v_CA16_2333: $80,000 and over, - Total","v_CA16_2336: $80,000 to $89,999, - Total","v_CA16_2339: $90,000 to $99,999, - Total","v_CA16_2342: $100,000 and over, - Total","v_CA16_2405: Total - Household total income groups in 2015 for private households - 100% data, - Total","v_CA16_2406: Under $5,000, - Total","v_CA16_2407: $5,000 to $9,999, - Total","v_CA16_2408: $10,000 to $14,999, - Total","v_CA16_2409: $15,000 to $19,999, - Total","v_CA16_2410: $20,000 to $24,999, - Total","v_CA16_2411: $25,000 to $29,999, - Total","v_CA16_2412: $30,000 to $34,999, - Total","v_CA16_2413: $35,000 to $39,999, - Total","v_CA16_2414: $40,000 to $44,999, - Total","v_CA16_2415: $45,000 to $49,999, - Total","v_CA16_2416: $50,000 to $59,999, - Total","v_CA16_2417: $60,000 to $69,999, - Total","v_CA16_2418: $70,000 to $79,999, - Total","v_CA16_2419: $80,000 to $89,999, - Total","v_CA16_2420: $90,000 to $99,999, - Total","v_CA16_2421: $100,000 and over, - Total","v_CA16_2427: Under $5,000, - Total","v_CA16_2428: $5,000 to $9,999, - Total","v_CA16_2429: $10,000 to $14,999, - Total","v_CA16_2430: $15,000 to $19,999, - Total","v_CA16_2431: $20,000 to $24,999, - Total","v_CA16_2432: $25,000 to $29,999, - Total","v_CA16_2433: $30,000 to $34,999, - Total","v_CA16_2434: $35,000 to $39,999, - Total","v_CA16_2435: $40,000 to $44,999, - Total","v_CA16_2436: $45,000 to $49,999, - Total","v_CA16_2437: $50,000 to $59,999, - Total","v_CA16_2438: $60,000 to $69,999, - Total","v_CA16_2439: $70,000 to $79,999, - Total","v_CA16_2440: $80,000 to $89,999, - Total","v_CA16_2441: $90,000 to $99,999, - Total","v_CA16_2442: $100,000 and over, - Total","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%), - Total","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%), - Total","v_CA16_3408: Non-immigrants, - Total","v_CA16_3411: Immigrants, - Total","v_CA16_3435: Non-permanent residents, - Total","v_CA16_3957: Total visible minority population, - Total","v_CA16_3958: Total visible minority population, - Male","v_CA16_3959: Total visible minority population, - Female","v_CA16_3960: South Asian, - Total","v_CA16_3961: South Asian, - Male","v_CA16_3962: South Asian, - Female","v_CA16_3963: Chinese, - Total","v_CA16_3964: Chinese, - Male","v_CA16_3965: Chinese, - Female","v_CA16_3966: Black, - Total","v_CA16_3967: Black, - Male","v_CA16_3968: Black, - Female","v_CA16_3969: Filipino, - Total","v_CA16_3970: Filipino, - Male","v_CA16_3971: Filipino, - Female","v_CA16_3972: Latin American, - Total","v_CA16_3973: Latin American, - Male","v_CA16_3974: Latin American, - Female","v_CA16_3975: Arab, - Total","v_CA16_3976: Arab, - Male","v_CA16_3977: Arab, - Female","v_CA16_3978: Southeast Asian, - Total","v_CA16_3979: Southeast Asian, - Male","v_CA16_3980: Southeast Asian, - Female","v_CA16_3981: West Asian, - Total","v_CA16_3982: West Asian, - Male","v_CA16_3983: West Asian, - Female","v_CA16_3984: Korean, - Total","v_CA16_3985: Korean, - Male","v_CA16_3986: Korean, - Female","v_CA16_3987: Japanese, - Total","v_CA16_3988: Japanese, - Male","v_CA16_3989: Japanese, - Female","v_CA16_3990: Visible minority, n.i.e., - Total","v_CA16_3991: Visible minority, n.i.e., - Male","v_CA16_3992: Visible minority, n.i.e., - Female","v_CA16_3993: Multiple visible minorities, - Total","v_CA16_3994: Multiple visible minorities, - Male","v_CA16_3995: Multiple visible minorities, - Female","v_CA16_3996: Not a visible minority, - Total","v_CA16_3997: Not a visible minority, - Male","v_CA16_3998: Not a visible minority, - Female","v_CA16_4002: North American Aboriginal origins, - Total","v_CA16_4014: Other North American origins, - Total","v_CA16_4044: European origins, - Total","v_CA16_4266: Caribbean origins, - Total","v_CA16_4329: Latin, Central and South American origins, - Total","v_CA16_4611: West Central Asian and Middle Eastern origins, - Total","v_CA16_4698: South Asian origins, - Total","v_CA16_4743: East and Southeast Asian origins, - Total","v_CA16_4800: Other Asian origins, - Total","v_CA16_4806: Oceania origins, - Total","v_CA16_4891: % of owner households with a mortgage, - Total","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs, - Total","v_CA16_4893: Median monthly shelter costs for owned dwellings ($), - Total","v_CA16_4894: Average monthly shelter costs for owned dwellings ($), - Total","v_CA16_4895: Median value of dwellings ($), - Total","v_CA16_4896: Average value of dwellings ($), - Total","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data, - Total","v_CA16_4898: % of tenant households in subsidized housing, - Total","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs, - Total","v_CA16_4900: Median monthly shelter costs for rented dwellings ($), - Total","v_CA16_4901: Average monthly shelter costs for rented dwellings ($), - Total","v_CA16_5099: No certificate, diploma or degree, - Total","v_CA16_5102: Secondary (high) school diploma or equivalency certificate, - Total","v_CA16_5108: Apprenticeship or trades certificate or diploma, - Total","v_CA16_5117: College, CEGEP or other non-university certificate or diploma, - Total","v_CA16_5120: University certificate or diploma below bachelor level, - Total","v_CA16_5123: University certificate, diploma or degree at bachelor level or above, - Total","v_CA16_5603: Employed, - Total","v_CA16_5606: Unemployed, - Total","v_CA16_5609: Not in the labour force, - Total","v_CA16_5663: 0 Management occupations, - Total","v_CA16_5669: 2 Natural and applied sciences and related occupations, - Total","v_CA16_5672: 3 Health occupations, - Total","v_CA16_5675: 4 Occupations in education, law and social, community and government services, - Total","v_CA16_5678: 5 Occupations in art, culture, recreation and sport, - Total","v_CA16_5681: 6 Sales and service occupations, - Total","v_CA16_5684: 7 Trades, transport and equipment operators and related occupations, - Total","v_CA16_5687: 8 Natural resources, agriculture and related production occupations, - Total","v_CA16_5690: 9 Occupations in manufacturing and utilities, - Total","v_CA16_5795: Car, truck, van - as a driver, - Total","v_CA16_5798: Car, truck, van - as a passenger, - Total","v_CA16_5801: Public transit, - Total","v_CA16_5804: Walked, - Total","v_CA16_5807: Bicycle, - Total","v_CA16_5810: Other method, - Total","v_CA16_5816: Less than 15 minutes, - Total","v_CA16_5819: 15 to 29 minutes, - Total","v_CA16_5822: 30 to 44 minutes, - Total","v_CA16_5825: 45 to 59 minutes, - Total","v_CA16_5828: 60 minutes and over, - Total"
"35060001","DA","Ottawa",6.53791,496,180,174,"3506008","3506","5050171.06","505",20,10,10,25,20,5,35,15,20,35,20,20,20,10,10,10,5,5,30,10,15,25,15,15,35,20,25,30,15,20,30,20,10,55,30,25,55,25,30,40,20,15,30,20,15,15,10,5,5,0,0,0,0,0,175,155,0,15,0,290,125,100,5,5,10,80,25,40,5,2.8,475,235,240,140,65,75,10,10,5,320,165,160,0,0,5,53952,70912,40576,380,190,195,45184,58368,35136,355,180,180,53120,67456,41536,250,120,130,5424,5136,6064,265,140,130,44160,54016,36096,55,35,35,50,25,35,40,25,80,25,15,45,175,5,0,5,0,0,5,0,0,10,0,5,10,5,0,10,105,5,0,0,0,0,5,0,5,5,5,10,10,10,10,15,90,7.4,3.2,365,55,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,205,210,35,160,280,0,0,10,0,0,0,0,53.6,17.9,1453,1823,601188,685587,30,0,0,0,1214,20,40,25,85,0,60,240,10,115,80,25,20,40,0,25,15,0,0,205,10,15,0,0,0,45,90,50,15,30
"35060002","DA","Ottawa",3.81408,622,227,216,"3506008","3506","5050171.06","505",45,20,25,40,20,20,50,20,30,30,20,15,35,20,15,20,10,10,20,10,10,50,25,25,45,25,25,40,20,15,55,25,30,60,40,25,40,20,20,40,25,20,25,15,10,15,5,10,5,5,0,5,0,5,215,185,0,30,0,355,145,95,5,20,15,90,45,40,20,3,620,315,310,230,130,100,15,5,5,375,175,200,0,0,0,56000,64896,44416,480,255,225,48000,55552,39381,455,240,215,52608,63808,41856,305,145,160,5968,3240,6960,380,210,170,48576,58496,40128,40,50,55,65,45,50,45,40,85,25,15,50,220,0,5,0,0,0,0,5,5,5,5,5,10,5,20,15,140,5,0,5,0,5,0,10,5,5,5,10,10,20,25,10,110,4,4,610,70,0,45,15,30,10,10,0,10,0,10,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,15,635,350,290,65,305,490,0,30,25,10,0,0,0,68.2,11.6,1623,1723,500101,504609,15,0,0,0,0,15,100,40,95,0,125,395,25,130,45,20,25,90,10,70,55,10,0,295,25,45,0,0,15,30,105,130,70,35
"35060003","DA","Ottawa",2.28733,900,289,287,"3506008","3506","5050171.06","505",30,10,15,40,20,25,60,35,25,65,30,30,55,25,35,25,10,10,25,15,10,35,15,20,55,20,30,80,40,40,105,50,55,100,50,45,75,40,35,55,25,30,35,15,15,30,15,15,10,5,10,15,0,10,290,275,0,15,0,485,285,185,15,50,40,120,60,55,25,3,835,405,425,290,150,135,20,5,15,525,250,275,5,5,0,57344,67072,49408,670,330,345,49152,56192,42240,645,315,325,55211,65408,46933,405,175,230,2840,1612,3160,535,275,265,48683,54912,45728,85,70,50,65,70,60,55,60,145,50,30,70,285,5,0,0,0,0,5,0,0,5,5,10,10,10,15,15,200,0,5,5,5,5,5,0,10,10,5,10,15,20,15,15,175,3,3,755,135,0,110,55,55,0,0,0,15,10,10,0,0,0,10,0,10,15,10,0,50,25,20,10,10,10,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,775,440,335,45,400,600,0,20,115,0,30,0,0,55.6,5.6,1350,1589,599293,597754,0,0,0,0,0,30,90,20,90,10,195,460,15,235,75,45,25,75,15,85,40,10,0,330,25,45,0,0,0,45,105,165,35,55
"35060005","DA","Ottawa",15.34018,888,312,304,"3506008","3506","5050171.06","505",30,10,15,45,25,20,60,25,45,75,40,35,55,30,25,25,10,15,25,10,15,35,15,15,60,30,30,75,40,35,95,45,45,85,40,45,70,40,35,65,30,35,50,30,25,20,10,10,15,10,5,10,5,5,300,280,0,20,5,510,240,180,10,15,35,140,50,60,25,2.9,880,430,450,320,155,170,25,10,10,530,260,265,5,0,0,53120,61056,47200,710,350,360,45024,52736,39552,670,340,335,51797,59008,45696,435,190,240,5168,5936,4848,525,265,255,43819,44864,40448,80,85,80,75,65,60,45,60,155,45,35,75,305,0,0,0,5,5,5,5,5,5,5,10,10,15,10,20,205,0,0,5,5,5,0,0,10,5,10,15,15,15,15,30,170,4.6,2.9,735,115,0,55,25,25,30,15,10,0,0,0,15,10,10,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,795,400,395,75,395,575,10,10,35,25,20,0,0,45.8,11.7,1192,1727,648646,643572,20,0,0,0,0,0,90,40,115,0,170,385,30,300,65,30,35,45,10,90,35,20,10,285,20,15,0,0,10,85,95,105,35,15
"35060006","DA","Ottawa",14.3606,1195,507,479,"3506008","3506","5050171.06","505",60,30,30,55,35,20,65,35,30,65,35,30,55,35,20,50,25,30,60,25,35,75,35,35,75,40,35,95,45,45,110,60,55,110,55,60,95,45,50,90,45,45,75,35,40,35,25,15,15,5,10,10,5,5,475,385,0,95,0,690,330,220,20,50,40,205,70,80,20,2.8,1190,610,580,415,225,190,35,10,25,735,375,365,0,0,5,52309,58176,46208,975,495,485,43849,50496,39584,925,475,455,47040,55040,44864,645,300,345,6144,7232,5664,700,370,330,47936,52224,45632,115,120,90,125,110,115,85,80,145,50,30,55,480,5,5,10,10,5,10,5,10,20,15,25,40,25,35,20,245,5,5,10,10,0,5,10,15,25,15,40,40,35,25,25,200,6.3,3.4,1095,100,0,55,25,25,15,10,0,15,10,10,10,10,0,0,0,0,0,0,0,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1145,570,570,65,605,855,0,0,40,25,20,0,0,56.3,13.8,1332,1475,425442,502852,45,0,0,1065,1062,40,130,50,200,25,195,630,25,340,95,45,45,80,10,115,100,10,0,475,40,65,0,0,15,130,145,175,90,60
"35060007","DA","Ottawa",33.49686,871,287,284,"3506008","3506","5050171.03","505",45,20,20,35,15,15,55,25,30,80,35,45,75,45,30,35,20,15,35,20,15,30,10,20,60,35,30,65,30,35,105,55,50,90,45,40,55,30,25,45,25,20,35,20,20,10,5,5,15,5,10,5,5,5,285,275,0,10,0,480,260,205,10,20,20,125,50,70,25,3,860,440,425,305,165,140,25,15,10,530,255,280,0,0,0,47872,52608,40653,695,360,330,41498,45696,35200,655,340,315,45107,51008,37248,430,210,220,3512,2664,3832,535,285,250,44544,46720,40704,80,115,75,70,85,55,70,50,100,35,25,35,285,5,0,0,0,0,5,5,5,0,5,15,15,15,20,15,170,0,0,0,0,5,5,5,5,10,5,20,20,30,10,15,155,3.5,1.7,780,65,0,40,10,25,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,30,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,385,430,20,545,565,0,10,25,10,40,0,10,51,18.4,1085,1528,519799,564682,0,0,0,0,0,15,100,40,130,10,180,465,25,220,65,50,30,60,10,85,50,10,10,330,25,45,0,10,10,45,165,90,65,45
"35060010","DA","Ottawa",0.0732,309,103,103,"3506008","3506","5050170.08","505",15,10,10,20,10,5,15,10,10,30,15,10,20,10,10,15,5,10,15,5,5,20,10,10,15,5,5,25,10,15,35,25,15,25,10,15,25,15,10,15,5,10,5,0,5,5,0,0,0,5,0,5,0,0,105,100,0,0,0,180,75,60,10,5,0,35,20,30,10,3.1,310,155,155,115,60,55,5,5,0,185,90,95,0,0,0,56640,63552,47872,235,120,120,47168,51328,41088,240,120,115,53056,60032,42752,145,55,85,1980,690,2084,205,105,100,51840,55808,40832,30,30,20,15,35,25,20,20,40,25,10,15,105,0,0,0,0,0,0,0,0,0,0,0,5,5,10,5,75,0,0,0,0,0,0,0,0,0,5,0,5,10,10,5,65,1.6,0,295,20,0,25,15,15,0,0,0,0,0,0,25,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,150,135,30,135,200,20,0,0,0,0,0,0,65,0,1669,1672,399994,409746,0,0,0,0,0,10,30,0,70,0,55,190,10,50,30,20,15,25,15,45,15,0,0,120,10,50,10,0,0,40,60,40,25,20
"35060011","DA","Ottawa",0.20805,592,187,186,"3506008","3506","5050170.08","505",15,5,5,30,15,20,35,30,10,60,30,25,55,30,30,25,20,5,15,5,10,30,15,15,25,15,10,50,15,35,75,40,35,80,40,40,45,25,20,20,10,10,10,10,5,5,5,5,5,5,5,5,0,0,185,185,0,0,0,335,175,150,5,5,10,70,40,55,20,3.1,590,310,285,210,110,100,5,5,0,370,195,180,0,0,0,54827,67840,40320,480,250,235,45888,56192,33920,460,240,220,54912,67328,36736,285,130,150,1446,658,1960,375,205,175,52352,63104,36480,65,60,50,30,60,40,35,35,100,40,20,35,185,5,0,0,5,0,0,5,5,0,0,5,10,5,5,10,145,0,0,5,0,0,0,0,0,5,0,5,10,5,10,15,125,1.7,1.7,530,35,20,75,45,30,0,0,0,45,35,15,10,10,10,0,0,0,0,0,0,15,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510,255,255,15,310,400,10,10,25,0,30,10,0,59.5,0,1660,1649,425642,450872,0,0,0,0,0,0,55,20,80,10,200,325,25,160,35,35,25,80,25,55,20,10,0,235,20,45,0,0,0,70,75,90,45,30
"35060012","DA","Ottawa",0.10677,585,190,189,"3506008","3506","5050170.08","505",30,15,15,35,15,15,40,25,15,45,25,20,50,25,25,25,10,15,30,20,15,30,15,15,35,20,20,45,25,20,65,30,35,55,25,25,45,20,25,25,15,10,15,5,10,5,5,5,10,0,5,5,0,0,190,150,0,35,0,310,170,135,10,15,15,80,45,45,15,3,585,295,290,220,115,105,15,5,10,350,175,180,0,0,0,52096,62080,40277,455,220,230,44352,53440,34816,430,215,215,50880,60928,36992,280,120,160,2760,1832,3416,380,195,190,50432,60608,40576,50,50,55,50,50,45,40,40,75,40,15,20,185,0,0,0,0,0,0,0,0,0,5,5,5,10,10,15,130,0,0,0,0,5,5,5,0,5,0,5,10,20,15,10,110,0.9,0.9,540,65,10,45,20,25,10,0,10,0,0,0,25,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,570,260,305,45,295,445,40,20,10,0,10,0,0,73.7,0,1701,1621,384516,369897,0,0,0,0,0,10,80,15,120,10,125,385,40,80,45,50,15,55,30,75,35,0,0,215,20,115,0,0,10,65,75,100,75,50
"35060014","DA","Ottawa",0.29695,656,351,349,"3506008","3506","5050170.09","505",35,20,20,30,15,10,25,10,15,25,10,15,35,15,15,50,25,25,50,20,25,50,25,25,35,20,15,35,15,20,40,15,25,45,15,25,55,15,35,45,15,30,35,15,20,35,10,25,25,10,15,15,5,10,350,0,5,345,0,245,330,155,30,95,50,110,30,25,5,2.6,655,280,375,300,145,155,15,5,5,340,130,210,0,0,0,42197,45696,40235,560,230,330,37589,39616,35392,530,220,305,36523,41856,35371,395,150,245,8400,6480,8992,395,180,215,40704,44843,39232,30,95,85,95,110,70,30,25,20,10,5,0,350,0,5,0,15,15,10,15,20,20,25,60,30,25,30,20,70,0,5,5,15,15,10,25,15,35,35,45,35,30,25,25,35,8.4,8.4,530,115,0,125,45,75,10,10,0,0,0,10,70,25,40,10,0,10,30,10,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,235,290,55,190,470,40,30,15,10,15,0,0,69.2,19.2,1311,1254,210381,210528,70,0,0,1404,1375,15,105,15,110,10,115,335,15,210,55,10,20,55,20,75,35,0,0,205,15,85,0,0,20,80,85,55,75,35
