"GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_7: 0 to 4 years, - Total","v_CA16_8: 0 to 4 years, - Male","v_CA16_9: 0 to 4 years, - Female","v_CA16_25: 5 to 9 years, - Total","v_CA16_26: 5 to 9 years, - Male","v_CA16_27: 5 to 9 years, - Female","v_CA16_43: 10 to 14 years, - Total","v_CA16_44: 10 to 14 years, - Male","v_CA16_45: 10 to 14 years, - Female","v_CA16_64: 15 to 19 years, - Total","v_CA16_65: 15 to 19 years, - Male","v_CA16_66: 15 to 19 years, - Female","v_CA16_82: 20 to 24 years, - Total","v_CA16_83: 20 to 24 years, - Male","v_CA16_84: 20 to 24 years, - Female","v_CA16_100: 25 to 29 years, - Total","v_CA16_101: 25 to 29 years, - Male","v_CA16_102: 25 to 29 years, - Female","v_CA16_118: 30 to 34 years, - Total","v_CA16_119: 30 to 34 years, - Male","v_CA16_120: 30 to 34 years, - Female","v_CA16_136: 35 to 39 years, - Total","v_CA16_137: 35 to 39 years, - Male","v_CA16_138: 35 to 39 years, - Female","v_CA16_154: 40 to 44 years, - Total","v_CA16_155: 40 to 44 years, - Male","v_CA16_156: 40 to 44 years, - Female","v_CA16_172: 45 to 49 years, - Total","v_CA16_173: 45 to 49 years, - Male","v_CA16_174: 45 to 49 years, - Female","v_CA16_190: 50 to 54 years, - Total","v_CA16_191: 50 to 54 years, - Male","v_CA16_192: 50 to 54 years, - Female","v_CA16_208: 55 to 59 years, - Total","v_CA16_209: 55 to 59 years, - Male","v_CA16_210: 55 to 59 years, - Female","v_CA16_226: 60 to 64 years, - Total","v_CA16_227: 60 to 64 years, - Male","v_CA16_228: 60 to 64 years, - Female","v_CA16_247: 65 to 69 years, - Total","v_CA16_248: 65 to 69 years, - Male","v_CA16_249: 65 to 69 years, - Female","v_CA16_265: 70 to 74 years, - Total","v_CA16_266: 70 to 74 years, - Male","v_CA16_267: 70 to 74 years, - Female","v_CA16_283: 75 to 79 years, - Total","v_CA16_284: 75 to 79 years, - Male","v_CA16_285: 75 to 79 years, - Female","v_CA16_301: 80 to 84 years, - Total","v_CA16_302: 80 to 84 years, - Male","v_CA16_303: 80 to 84 years, - Female","v_CA16_319: 85 years and over, - Total","v_CA16_320: 85 years and over, - Male","v_CA16_321: 85 years and over, - Female","v_CA16_408: Occupied private dwellings by structural type of dwelling data, - Total","v_CA16_409: Single-detached house, - Total","v_CA16_410: Apartment in a building that has five or more storeys, - Total","v_CA16_411: Other attached dwelling, - Total","v_CA16_417: Movable dwelling, - Total","v_CA16_454: Married or living common law, - Total","v_CA16_463: Not married and not living common law, - Total","v_CA16_466: Never married, - Total","v_CA16_469: Separated, - Total","v_CA16_472: Divorced, - Total","v_CA16_475: Widowed, - Total","v_CA16_479: 2 persons, - Total","v_CA16_480: 3 persons, - Total","v_CA16_481: 4 persons, - Total","v_CA16_482: 5 or more persons, - Total","v_CA16_483: Average size of census families, - Total","v_CA16_512: Total - Knowledge of official languages for the total population excluding institutional residents - 100% data, - Total","v_CA16_513: Total - Knowledge of official languages for the total population excluding institutional residents - 100% data, - Male","v_CA16_514: Total - Knowledge of official languages for the total population excluding institutional residents - 100% data, - Female","v_CA16_515: English only, - Total","v_CA16_516: English only, - Male","v_CA16_517: English only, - Female","v_CA16_518: French only, - Total","v_CA16_519: French only, - Male","v_CA16_520: French only, - Female","v_CA16_521: English and French, - Total","v_CA16_522: English and French, - Male","v_CA16_523: English and French, - Female","v_CA16_524: Neither English nor French, - Total","v_CA16_525: Neither English nor French, - Male","v_CA16_526: Neither English nor French, - Female","v_CA16_2207: Median total income in 2015 among recipients ($), - Total","v_CA16_2208: Median total income in 2015 among recipients ($), - Male","v_CA16_2209: Median total income in 2015 among recipients ($), - Female","v_CA16_2210: Number of after-tax income recipients aged 15 years and over in private households - 100% data, - Total","v_CA16_2211: Number of after-tax income recipients aged 15 years and over in private households - 100% data, - Male","v_CA16_2212: Number of after-tax income recipients aged 15 years and over in private households - 100% data, - Female","v_CA16_2213: Median after-tax income in 2015 among recipients ($), - Total","v_CA16_2214: Median after-tax income in 2015 among recipients ($), - Male","v_CA16_2215: Median after-tax income in 2015 among recipients ($), - Female","v_CA16_2216: Number of market income recipients aged 15 years and over in private households - 100% data, - Total","v_CA16_2217: Number of market income recipients aged 15 years and over in private households - 100% data, - Male","v_CA16_2218: Number of market income recipients aged 15 years and over in private households - 100% data, - Female","v_CA16_2219: Median market income in 2015 among recipients ($), - Total","v_CA16_2220: Median market income in 2015 among recipients ($), - Male","v_CA16_2221: Median market income in 2015 among recipients ($), - Female","v_CA16_2222: Number of government transfers recipients aged 15 years and over in private households - 100% data, - Total","v_CA16_2223: Number of government transfers recipients aged 15 years and over in private households - 100% data, - Male","v_CA16_2224: Number of government transfers recipients aged 15 years and over in private households - 100% data, - Female","v_CA16_2225: Median government transfers in 2015 among recipients ($), - Total","v_CA16_2226: Median government transfers in 2015 among recipients ($), - Male","v_CA16_2227: Median government transfers in 2015 among recipients ($), - Female","v_CA16_2228: Number of employment income recipients aged 15 years and over in private households - 100% data, - Total","v_CA16_2229: Number of employment income recipients aged 15 years and over in private households - 100% data, - Male","v_CA16_2230: Number of employment income recipients aged 15 years and over in private households - 100% data, - Female","v_CA16_2231: Median employment income in 2015 among recipients ($), - Total","v_CA16_2232: Median employment income in 2015 among recipients ($), - Male","v_CA16_2233: Median employment income in 2015 among recipients ($), - Female","v_CA16_2309: Under $10,000 (including loss), - Total","v_CA16_2312: $10,000 to $19,999, - Total","v_CA16_2315: $20,000 to $29,999, - Total","v_CA16_2318: $30,000 to $39,999, - Total","v_CA16_2321: $40,000 to $49,999, - Total","v_CA16_2324: $50,000 to $59,999, - Total","v_CA16_2327: $60,000 to $69,999, - Total","v_CA16_2330: $70,000 to $79,999, - Total","v_CA16_2333: $80,000 and over, - Total","v_CA16_2336: $80,000 to $89,999, - Total","v_CA16_2339: $90,000 to $99,999, - Total","v_CA16_2342: $100,000 and over, - Total","v_CA16_2405: Total - Household total income groups in 2015 for private households - 100% data, - Total","v_CA16_2406: Under $5,000, - Total","v_CA16_2407: $5,000 to $9,999, - Total","v_CA16_2408: $10,000 to $14,999, - Total","v_CA16_2409: $15,000 to $19,999, - Total","v_CA16_2410: $20,000 to $24,999, - Total","v_CA16_2411: $25,000 to $29,999, - Total","v_CA16_2412: $30,000 to $34,999, - Total","v_CA16_2413: $35,000 to $39,999, - Total","v_CA16_2414: $40,000 to $44,999, - Total","v_CA16_2415: $45,000 to $49,999, - Total","v_CA16_2416: $50,000 to $59,999, - Total","v_CA16_2417: $60,000 to $69,999, - Total","v_CA16_2418: $70,000 to $79,999, - Total","v_CA16_2419: $80,000 to $89,999, - Total","v_CA16_2420: $90,000 to $99,999, - Total","v_CA16_2421: $100,000 and over, - Total","v_CA16_2427: Under $5,000, - Total","v_CA16_2428: $5,000 to $9,999, - Total","v_CA16_2429: $10,000 to $14,999, - Total","v_CA16_2430: $15,000 to $19,999, - Total","v_CA16_2431: $20,000 to $24,999, - Total","v_CA16_2432: $25,000 to $29,999, - Total","v_CA16_2433: $30,000 to $34,999, - Total","v_CA16_2434: $35,000 to $39,999, - Total","v_CA16_2435: $40,000 to $44,999, - Total","v_CA16_2436: $45,000 to $49,999, - Total","v_CA16_2437: $50,000 to $59,999, - Total","v_CA16_2438: $60,000 to $69,999, - Total","v_CA16_2439: $70,000 to $79,999, - Total","v_CA16_2440: $80,000 to $89,999, - Total","v_CA16_2441: $90,000 to $99,999, - Total","v_CA16_2442: $100,000 and over, - Total","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%), - Total","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%), - Total","v_CA16_3408: Non-immigrants, - Total","v_CA16_3411: Immigrants, - Total","v_CA16_3435: Non-permanent residents, - Total","v_CA16_3957: Total visible minority population, - Total","v_CA16_3958: Total visible minority population, - Male","v_CA16_3959: Total visible minority population, - Female","v_CA16_3960: South Asian, - Total","v_CA16_3961: South Asian, - Male","v_CA16_3962: South Asian, - Female","v_CA16_3963: Chinese, - Total","v_CA16_3964: Chinese, - Male","v_CA16_3965: Chinese, - Female","v_CA16_3966: Black, - Total","v_CA16_3967: Black, - Male","v_CA16_3968: Black, - Female","v_CA16_3969: Filipino, - Total","v_CA16_3970: Filipino, - Male","v_CA16_3971: Filipino, - Female","v_CA16_3972: Latin American, - Total","v_CA16_3973: Latin American, - Male","v_CA16_3974: Latin American, - Female","v_CA16_3975: Arab, - Total","v_CA16_3976: Arab, - Male","v_CA16_3977: Arab, - Female","v_CA16_3978: Southeast Asian, - Total","v_CA16_3979: Southeast Asian, - Male","v_CA16_3980: Southeast Asian, - Female","v_CA16_3981: West Asian, - Total","v_CA16_3982: West Asian, - Male","v_CA16_3983: West Asian, - Female","v_CA16_3984: Korean, - Total","v_CA16_3985: Korean, - Male","v_CA16_3986: Korean, - Female","v_CA16_3987: Japanese, - Total","v_CA16_3988: Japanese, - Male","v_CA16_3989: Japanese, - Female","v_CA16_3990: Visible minority, n.i.e., - Total","v_CA16_3991: Visible minority, n.i.e., - Male","v_CA16_3992: Visible minority, n.i.e., - Female","v_CA16_3993: Multiple visible minorities, - Total","v_CA16_3994: Multiple visible minorities, - Male","v_CA16_3995: Multiple visible minorities, - Female","v_CA16_3996: Not a visible minority, - Total","v_CA16_3997: Not a visible minority, - Male","v_CA16_3998: Not a visible minority, - Female","v_CA16_4002: North American Aboriginal origins, - Total","v_CA16_4014: Other North American origins, - Total","v_CA16_4044: European origins, - Total","v_CA16_4266: Caribbean origins, - Total","v_CA16_4329: Latin, Central and South American origins, - Total","v_CA16_4611: West Central Asian and Middle Eastern origins, - Total","v_CA16_4698: South Asian origins, - Total","v_CA16_4743: East and Southeast Asian origins, - Total","v_CA16_4800: Other Asian origins, - Total","v_CA16_4806: Oceania origins, - Total","v_CA16_4891: % of owner households with a mortgage, - Total","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs, - Total","v_CA16_4893: Median monthly shelter costs for owned dwellings ($), - Total","v_CA16_4894: Average monthly shelter costs for owned dwellings ($), - Total","v_CA16_4895: Median value of dwellings ($), - Total","v_CA16_4896: Average value of dwellings ($), - Total","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data, - Total","v_CA16_4898: % of tenant households in subsidized housing, - Total","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs, - Total","v_CA16_4900: Median monthly shelter costs for rented dwellings ($), - Total","v_CA16_4901: Average monthly shelter costs for rented dwellings ($), - Total","v_CA16_5099: No certificate, diploma or degree, - Total","v_CA16_5102: Secondary (high) school diploma or equivalency certificate, - Total","v_CA16_5108: Apprenticeship or trades certificate or diploma, - Total","v_CA16_5117: College, CEGEP or other non-university certificate or diploma, - Total","v_CA16_5120: University certificate or diploma below bachelor level, - Total","v_CA16_5123: University certificate, diploma or degree at bachelor level or above, - Total","v_CA16_5603: Employed, - Total","v_CA16_5606: Unemployed, - Total","v_CA16_5609: Not in the labour force, - Total","v_CA16_5663: 0 Management occupations, - Total","v_CA16_5669: 2 Natural and applied sciences and related occupations, - Total","v_CA16_5672: 3 Health occupations, - Total","v_CA16_5675: 4 Occupations in education, law and social, community and government services, - Total","v_CA16_5678: 5 Occupations in art, culture, recreation and sport, - Total","v_CA16_5681: 6 Sales and service occupations, - Total","v_CA16_5684: 7 Trades, transport and equipment operators and related occupations, - Total","v_CA16_5687: 8 Natural resources, agriculture and related production occupations, - Total","v_CA16_5690: 9 Occupations in manufacturing and utilities, - Total","v_CA16_5795: Car, truck, van - as a driver, - Total","v_CA16_5798: Car, truck, van - as a passenger, - Total","v_CA16_5801: Public transit, - Total","v_CA16_5804: Walked, - Total","v_CA16_5807: Bicycle, - Total","v_CA16_5810: Other method, - Total","v_CA16_5816: Less than 15 minutes, - Total","v_CA16_5819: 15 to 29 minutes, - Total","v_CA16_5822: 30 to 44 minutes, - Total","v_CA16_5825: 45 to 59 minutes, - Total","v_CA16_5828: 60 minutes and over, - Total"
"59170074","DA","Saanich",1.42573,531,208,193,"5917021","5917","9350132.04","59935",15,5,5,35,20,15,35,20,20,25,15,15,20,10,15,20,10,10,25,15,10,35,15,15,35,15,15,25,15,15,45,15,25,55,20,30,40,15,25,40,15,20,35,20,15,20,10,10,15,10,5,20,5,5,190,155,0,35,0,290,165,105,10,30,25,80,40,30,10,2.8,530,265,270,480,240,240,0,0,0,55,20,30,5,5,5,40896,46976,35264,440,215,225,35968,41536,32608,415,200,215,37504,44992,32107,295,130,170,6224,8800,4752,335,165,170,32448,36992,29952,50,70,60,70,55,50,25,25,40,10,10,20,195,0,5,0,5,5,5,10,5,0,10,15,10,20,5,5,95,0,5,5,5,10,5,5,5,5,0,15,20,10,5,10,85,7.5,5.6,380,160,10,125,65,65,90,50,40,30,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,420,205,215,0,110,390,0,10,10,90,30,0,10,53.3,25.8,1142,1746,800329,931719,50,0,66.7,1187,1158,35,65,50,40,15,110,280,10,215,25,30,55,40,15,55,35,10,10,220,25,0,10,0,0,60,150,30,10,10
"59170075","DA","Saanich",3.04445,579,267,256,"5917021","5917","9350132.04","59935",15,10,10,20,10,5,20,10,10,25,10,10,20,10,10,15,5,5,15,5,10,20,10,15,30,15,15,25,10,15,55,25,25,55,25,35,45,15,25,60,30,25,65,30,35,40,25,20,20,15,10,30,10,20,255,200,0,55,0,375,145,75,5,30,35,130,30,30,10,2.6,580,280,300,535,265,275,0,0,0,45,20,25,0,0,0,56416,65152,51072,510,250,260,49024,54357,45659,500,240,255,50560,57792,47019,340,155,185,10912,11883,10144,340,180,165,32128,31936,36032,45,45,40,65,65,50,50,20,130,25,20,85,255,5,0,0,0,5,5,5,5,5,0,15,20,15,15,10,155,0,0,0,0,5,0,5,5,5,5,20,20,15,15,20,130,4.3,2.6,390,180,15,50,30,25,0,0,0,30,15,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,530,245,290,0,115,485,10,0,0,0,45,0,20,46.8,17,1078,1834,982742,1272349,20,0,0,0,0,0,55,30,80,0,90,270,10,235,65,30,30,25,10,50,20,10,0,215,0,0,10,10,10,40,165,40,0,0
"59170076","DA","Saanich",0.91293,1383,611,566,"5917021","5917","9350132.03","59935",35,15,20,45,20,25,70,40,30,90,40,50,65,30,35,40,25,10,30,15,15,55,20,30,50,30,25,85,35,50,110,45,65,145,75,70,135,55,75,135,60,75,115,55,65,75,40,35,60,30,25,40,20,20,570,300,110,155,0,880,350,220,15,55,65,285,85,85,15,2.6,1385,665,720,1265,610,660,0,0,0,115,55,60,0,0,5,50487,64384,40576,1200,570,630,43648,53344,36045,1165,560,610,43819,55552,35456,800,345,460,8603,11760,7248,840,430,405,32288,41152,28544,150,145,120,140,125,135,95,90,205,50,40,115,565,10,0,5,10,10,10,5,10,20,10,20,35,30,30,25,345,5,5,5,10,10,5,10,25,15,15,25,40,40,35,45,275,6.9,5.8,1020,340,10,190,95,90,50,25,25,55,30,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15,20,10,10,0,0,0,15,0,0,1175,585,595,20,320,1055,0,0,10,60,140,0,10,32.7,11,968,1402,850044,894203,35,0,57.1,1603,1443,20,140,30,95,55,265,570,40,650,100,65,75,85,20,100,45,10,0,405,30,25,25,10,15,145,255,75,15,15
"59170077","DA","Saanich",0.60824,754,312,285,"5917021","5917","9350132.03","59935",30,15,15,40,15,20,45,25,15,60,35,30,45,20,25,30,20,10,25,10,15,35,15,15,40,20,15,65,30,30,65,30,45,65,30,30,75,35,35,50,25,25,30,15,20,25,15,10,20,10,10,10,0,5,285,170,0,115,0,410,230,160,10,40,25,105,40,70,15,3,755,370,380,680,335,345,0,0,0,70,30,35,5,5,5,46464,57472,38741,610,300,315,40192,47360,34816,585,285,295,41856,53120,36224,395,160,235,4320,7832,3448,475,240,240,37120,43392,35008,75,85,75,70,65,60,45,35,105,30,15,55,285,0,0,0,5,5,5,5,5,10,5,20,20,15,10,20,155,0,0,0,5,5,10,5,10,10,20,15,15,25,10,25,130,4,1.3,695,125,0,55,20,30,25,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,10,0,0,0,0,0,0,0,0,0,0,0,0,765,375,390,65,195,680,0,0,30,25,10,0,10,44,18,828,1499,824693,836443,45,0,44.4,1874,1587,10,90,60,115,20,160,445,25,225,80,30,50,55,20,85,40,10,10,335,25,15,10,15,0,80,260,40,20,0
"59170079","DA","Saanich",0.44053,618,217,212,"5917021","5917","9350132.03","59935",25,5,15,35,20,15,35,25,15,40,25,20,40,20,20,25,10,15,30,15,10,35,15,15,35,20,20,50,20,30,45,20,25,70,35,35,55,30,25,25,10,15,25,10,15,15,5,5,15,5,10,15,5,10,215,160,0,55,0,330,200,125,10,25,30,90,40,40,15,2.9,615,305,305,565,290,270,0,0,0,40,10,25,15,0,10,44288,52352,40960,505,245,255,40064,45184,36608,485,240,245,41408,48512,33920,310,130,185,4176,4488,3824,375,195,180,41984,47616,38016,75,65,55,55,55,45,40,35,70,20,15,45,210,5,5,0,5,0,5,0,5,5,5,10,10,10,15,10,125,10,0,0,0,5,5,5,5,15,5,10,10,10,10,10,110,8.1,8.1,465,190,10,230,130,100,50,20,25,165,90,70,0,0,0,0,0,0,0,0,0,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,430,215,220,35,135,400,0,0,25,50,165,0,10,65.7,27.8,2003,2058,802456,961247,30,0,0,0,0,15,95,25,60,0,170,375,15,160,60,40,25,75,25,75,25,0,10,280,20,10,10,10,10,85,200,25,0,0
"59170081","DA","Saanich",0.27221,525,238,220,"5917021","5917","9350132.04","59935",20,15,5,25,15,10,20,10,10,25,10,15,30,15,15,25,10,15,15,10,10,20,10,10,35,10,20,30,10,15,45,20,25,40,15,30,40,15,30,50,25,30,50,30,25,20,15,0,20,5,15,15,5,10,220,145,0,80,0,305,155,100,10,20,25,105,35,25,5,2.7,525,255,270,480,235,250,0,0,0,40,15,25,5,0,0,46848,57728,40704,460,215,245,41344,47744,35328,440,210,235,40000,51392,34560,295,130,165,11147,11968,8752,325,155,165,28096,37632,21696,60,55,50,55,50,35,25,40,80,15,15,50,220,5,0,0,5,5,5,5,5,5,5,25,5,10,20,5,115,0,0,5,0,5,5,5,0,10,10,15,10,15,5,20,95,7.6,4.8,270,110,0,20,10,10,0,0,0,0,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,165,205,10,65,350,10,0,0,0,10,0,0,33.3,13.3,1203,1506,898899,1223031,35,0,57.1,1006,1337,0,25,10,40,10,95,155,0,165,20,20,10,40,10,30,0,0,0,100,0,10,0,10,0,25,65,20,0,0
"59170082","DA","Saanich",0.32939,686,331,313,"5917021","5917","9350132.04","59935",15,5,5,20,10,10,35,15,20,40,20,20,35,20,15,30,20,10,25,15,15,15,5,10,25,10,15,50,20,30,45,20,25,65,25,40,55,25,30,60,30,35,60,35,30,45,15,35,30,10,15,35,15,25,315,145,35,130,0,365,255,130,5,40,65,130,35,30,10,2.6,680,305,375,615,280,335,0,0,0,60,25,40,5,0,0,41856,45696,39509,595,270,320,36896,39360,35456,565,255,305,35968,39467,32299,425,175,245,11088,10848,11104,385,190,195,29024,30741,26368,70,90,80,85,75,50,55,30,60,20,10,25,315,0,5,5,10,5,10,10,15,10,15,30,20,30,20,20,115,0,10,5,15,5,10,10,20,15,20,25,35,20,25,20,85,8.8,5.1,515,140,25,100,40,60,25,10,15,20,10,15,0,10,0,25,15,15,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,10,10,0,0,0,0,0,0,580,280,305,20,135,590,0,10,0,30,70,0,25,42.3,17.6,880,1323,690001,683917,55,36.4,63.6,1251,1197,10,90,40,80,0,110,300,0,305,40,25,15,40,0,50,60,10,0,220,10,0,10,20,10,65,165,20,10,10
"59170084","DA","Saanich",0.51924,632,261,241,"5917021","5917","9350132.04","59935",20,5,10,25,10,15,25,20,5,30,10,20,40,20,20,40,15,25,25,5,15,35,15,15,30,20,10,30,15,20,50,25,30,60,30,35,55,30,25,65,30,35,35,20,15,30,10,20,20,10,10,20,5,10,240,185,0,55,0,365,195,135,10,25,30,110,35,35,10,2.7,635,305,330,575,275,295,0,0,0,55,25,30,10,0,5,42240,56320,35712,525,245,280,37888,48000,32000,505,240,265,37589,51328,33600,355,150,210,6080,8320,4784,380,195,185,28864,31616,26176,70,80,70,65,60,30,35,25,85,15,20,50,240,5,5,5,10,0,5,10,5,0,5,15,15,15,10,10,135,0,5,0,10,5,5,5,5,10,5,10,15,15,20,20,100,8.1,7.3,495,120,20,135,70,65,15,10,10,85,35,45,20,15,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,500,245,250,35,195,430,0,0,0,20,85,0,0,41.5,17.1,1160,1745,875925,1215011,40,0,50,950,1365,15,85,45,65,10,120,320,20,225,70,35,25,40,10,60,25,0,15,235,0,10,10,10,15,90,145,35,15,0
"59170085","DA","Saanich",0.28315,691,264,259,"5917021","5917","9350132.04","59935",20,10,10,30,20,15,30,20,15,35,25,10,40,20,15,30,10,15,20,15,5,30,15,15,40,15,20,35,15,20,60,25,35,65,25,35,85,45,40,60,30,35,50,25,30,25,15,10,25,10,15,15,5,5,255,170,0,85,0,420,185,115,15,25,35,120,60,40,10,2.8,680,340,345,620,320,305,0,0,0,45,20,25,20,5,15,39616,50560,34901,580,285,295,35712,43008,31168,545,275,270,36192,44416,29888,410,180,230,7800,8736,6800,390,215,175,33152,33152,33152,80,100,75,65,65,50,40,30,80,15,15,45,255,5,0,0,10,5,5,15,0,5,10,10,15,15,10,15,130,5,0,0,15,5,10,10,0,10,10,20,20,20,25,15,110,8.8,5.9,460,275,0,390,180,215,60,30,25,255,115,135,10,0,0,10,0,0,0,0,0,0,0,0,15,10,0,0,0,0,35,15,25,0,0,0,0,0,0,20,10,10,345,165,185,10,130,360,15,0,0,80,325,0,10,50,23.9,1121,1577,802094,837354,35,0,0,0,1269,30,75,25,55,15,140,335,15,260,30,55,35,35,10,90,40,0,0,260,10,15,10,15,0,75,170,60,0,10
"59170094","DA","Saanich",0.91144,751,398,398,"5917021","5917","9350132.01","59935",10,5,5,10,5,5,10,5,5,15,10,5,15,10,5,15,10,5,10,5,5,15,10,5,10,5,10,30,10,20,40,15,25,55,25,35,75,30,40,95,30,65,115,50,60,80,40,40,70,25,50,90,40,55,400,115,0,280,0,500,220,65,15,40,100,220,20,15,5,2.3,750,325,430,700,295,400,0,0,0,45,25,20,10,5,5,46336,60608,38613,710,305,405,41024,51712,35104,685,295,385,36960,50432,28576,575,235,340,12787,12768,12800,365,180,185,15008,15232,13472,65,85,105,95,95,70,40,50,105,30,15,65,400,5,0,0,5,10,10,15,15,15,20,30,25,20,35,30,165,0,0,0,5,10,10,10,20,20,20,35,30,45,40,40,110,4.6,3.3,445,265,0,95,40,50,50,20,30,20,0,15,0,0,0,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,260,355,15,100,590,0,10,10,55,40,0,10,27.6,9.3,872,1141,647210,636012,0,0,0,0,0,0,50,0,45,10,110,200,20,465,35,10,15,25,10,60,0,0,0,110,0,20,0,0,0,50,65,20,0,0
