"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_454: Married or living common law","v_CA16_463: Not married and not living common law","v_CA16_466: Never married","v_CA16_469: Separated","v_CA16_472: Divorced","v_CA16_475: Widowed","v_CA16_479: 2 persons","v_CA16_480: 3 persons","v_CA16_481: 4 persons","v_CA16_482: 5 or more persons","v_CA16_483: Average size of census families","v_CA16_2207: Median total income in 2015 among recipients ($)","v_CA16_2209: Median total income in 2015 among recipients ($)","v_CA16_2208: Median total income in 2015 among recipients ($)","v_CA16_408: Occupied private dwellings by structural type of dwelling data","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_411: Other attached dwelling","v_CA16_417: Movable dwelling","v_CA16_2309: Under $10,000 (including loss)","v_CA16_2312: $10,000 to $19,999","v_CA16_2315: $20,000 to $29,999","v_CA16_2318: $30,000 to $39,999","v_CA16_2321: $40,000 to $49,999","v_CA16_2324: $50,000 to $59,999","v_CA16_2327: $60,000 to $69,999","v_CA16_2330: $70,000 to $79,999","v_CA16_2333: $80,000 and over","v_CA16_2336: $80,000 to $89,999","v_CA16_2339: $90,000 to $99,999","v_CA16_2342: $100,000 and over","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_5795: Car, truck, van - as a driver","v_CA16_5798: Car, truck, van - as a passenger","v_CA16_5801: Public transit","v_CA16_5804: Walked","v_CA16_5807: Bicycle","v_CA16_5810: Other method","v_CA16_5816: Less than 15 minutes","v_CA16_5819: 15 to 29 minutes","v_CA16_5822: 30 to 44 minutes","v_CA16_5825: 45 to 59 minutes","v_CA16_5828: 60 minutes and over","v_CA16_2427: Under $5,000","v_CA16_2428: $5,000 to $9,999","v_CA16_2429: $10,000 to $14,999","v_CA16_2430: $15,000 to $19,999","v_CA16_2431: $20,000 to $24,999","v_CA16_2432: $25,000 to $29,999","v_CA16_2433: $30,000 to $34,999","v_CA16_2434: $35,000 to $39,999","v_CA16_2435: $40,000 to $44,999","v_CA16_2436: $45,000 to $49,999","v_CA16_2437: $50,000 to $59,999","v_CA16_2438: $60,000 to $69,999","v_CA16_2439: $70,000 to $79,999","v_CA16_2440: $80,000 to $89,999","v_CA16_2441: $90,000 to $99,999","v_CA16_2442: $100,000 and over","v_CA16_4893: Median monthly shelter costs for owned dwellings ($)","v_CA16_4894: Average monthly shelter costs for owned dwellings ($)","v_CA16_4895: Median value of dwellings ($)","v_CA16_4896: Average value of dwellings ($)","v_CA16_4891: % of owner households with a mortgage","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4898: % of tenant households in subsidized housing...79","v_CA16_4898: % of tenant households in subsidized housing...80","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs","v_CA16_4900: Median monthly shelter costs for rented dwellings ($)","v_CA16_4901: Average monthly shelter costs for rented dwellings ($)","v_CA16_5099: No certificate, diploma or degree","v_CA16_5102: Secondary (high) school diploma or equivalency certificate","v_CA16_5108: Apprenticeship or trades certificate or diploma","v_CA16_5117: College, CEGEP or other non-university certificate or diploma","v_CA16_5120: University certificate or diploma below bachelor level","v_CA16_5123: University certificate, diploma or degree at bachelor level or above","v_CA16_5603: Employed","v_CA16_5606: Unemployed","v_CA16_5609: Not in the labour force","v_CA16_5663: 0 Management occupations","v_CA16_5669: 2 Natural and applied sciences and related occupations","v_CA16_5672: 3 Health occupations","v_CA16_5675: 4 Occupations in education, law and social, community and government services","v_CA16_5678: 5 Occupations in art, culture, recreation and sport","v_CA16_5681: 6 Sales and service occupations","v_CA16_5684: 7 Trades, transport and equipment operators and related occupations","v_CA16_5687: 8 Natural resources, agriculture and related production occupations","v_CA16_5690: 9 Occupations in manufacturing and utilities","v_CA16_4002: North American Aboriginal origins","v_CA16_4014: Other North American origins","v_CA16_4044: European origins","v_CA16_4806: Oceania origins","v_CA16_4266: Caribbean origins","v_CA16_4329: Latin, Central and South American origins","v_CA16_4611: West Central Asian and Middle Eastern origins","v_CA16_4698: South Asian origins","v_CA16_4743: East and Southeast Asian origins","v_CA16_4800: Other Asian origins","v_CA16_3408: Non-immigrants","v_CA16_3411: Immigrants","v_CA16_3435: Non-permanent residents"
"1","10010165","DA","St. John's",0.38251,506,229,213,"1001519","1001","0010170.02","10001",270,185,135,0,25,20,85,35,30,5,2.6,40192,35883,47744,215,110,0,105,0,45,80,70,65,60,35,25,20,40,10,5,25,5.9,5,245,20,10,0,0,0,160,100,10,0,10,0,0,5,5,5,15,10,10,10,10,15,25,15,15,10,65,1019,1226,329763,344179,47.1,14.7,60,0,0,50,910,990,20,55,20,105,10,120,305,15,165,35,20,20,50,20,55,15,0,0,35,215,385,0,0,0,0,0,30,0,515,20,0
"2","10010166","DA","St. John's",0.09538,327,161,147,"1001519","1001","0010170.02","10001",175,115,85,5,15,15,50,20,15,5,2.7,43904,38528,53248,150,80,0,70,0,35,30,35,50,40,35,15,15,30,15,5,10,3,3,100,15,10,10,0,0,60,50,10,0,10,0,0,5,5,5,5,5,5,5,5,10,15,5,10,10,45,634,935,321360,332502,27.8,17.6,50,0,0,40,955,971,0,20,15,35,10,50,125,20,85,20,10,10,15,15,50,10,0,10,0,105,200,0,0,0,0,0,10,0,260,0,0
"3","10010167","DA","St. John's",0.1265,431,201,181,"1001519","1001","0010170.02","10001",240,145,105,5,20,10,70,35,25,5,2.7,39936,36224,42432,180,75,0,105,0,55,55,55,65,35,35,30,25,35,15,5,15,5.8,7,150,20,0,10,0,0,70,105,0,0,0,5,0,5,5,5,5,10,10,0,5,15,20,20,10,15,55,865,1190,349128,355642,50,0,65,0,0,50,849,908,25,55,10,40,0,75,180,25,115,20,0,15,10,10,70,25,0,10,15,115,275,0,0,0,0,0,0,0,335,10,0
"4","10010168","DA","St. John's",0.19106,524,273,242,"1001519","1001","0010170.02","10001",260,220,145,10,35,30,110,40,15,5,2.5,40747,34816,46976,240,105,0,135,0,50,70,75,80,75,40,40,5,35,10,10,20,5.7,10.5,215,25,10,20,0,0,100,130,10,10,25,5,5,5,10,10,0,15,10,10,10,20,30,15,10,20,60,1372,1254,309832,316059,55.9,14.3,85,0,0,17.6,842,826,40,30,10,85,0,130,280,35,200,25,10,30,60,0,105,25,0,0,45,165,375,0,0,0,0,30,0,0,510,30,10
"5","10010169","DA","St. John's",0.06613,311,134,131,"1001519","1001","0010170.02","10001",150,125,95,0,15,5,40,15,20,5,2.9,37824,35200,46592,130,50,0,80,0,25,60,40,45,25,30,15,15,20,5,5,10,6.6,11.5,65,35,15,0,0,10,60,45,10,0,0,0,0,5,5,5,5,5,10,5,0,5,10,10,10,5,45,802,1037,320080,321745,37.5,0,45,0,0,44.4,802,848,10,40,20,45,0,40,145,10,100,20,15,10,20,10,35,20,0,0,30,120,255,0,0,0,0,0,0,0,275,20,0
"6","10010170","DA","St. John's",0.1482,397,174,167,"1001519","1001","0010170.02","10001",210,140,95,5,30,10,65,30,20,5,2.7,41856,40256,45376,165,80,0,90,0,35,45,50,50,40,30,30,15,25,10,5,15,7.7,11.5,165,20,10,0,0,0,55,130,0,10,0,0,0,10,0,10,10,0,10,5,5,10,10,10,15,5,65,1301,1343,349314,343693,55.2,0,25,0,0,60,0,0,10,55,20,85,10,70,200,0,160,35,10,20,35,0,25,20,0,0,40,225,310,0,0,0,0,0,0,0,445,0,0
"7","10010171","DA","St. John's",0.12813,484,224,204,"1001519","1001","0010170.02","10001",245,185,145,5,20,15,55,35,35,5,3,43349,41472,48128,200,80,0,130,0,50,55,50,65,60,50,25,30,30,15,0,15,4.2,4.2,185,45,15,0,0,0,105,130,0,10,0,0,0,5,5,10,15,5,15,10,5,10,20,15,15,15,65,1136,1207,348931,353612,52.2,0,85,0,0,33.3,1001,957,0,65,10,80,10,115,270,20,130,20,35,25,45,10,55,20,0,10,0,140,335,0,0,0,0,0,20,0,445,20,10
"8","10010172","DA","St. John's",0.0832,226,100,91,"1001519","1001","0010170.02","10001",105,80,60,0,10,5,30,20,15,5,3,NA,NA,NA,90,40,0,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,15,0,10,0,0,65,40,10,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,965,1259,321440,333770,53.3,NA,25,0,0,NA,0,0,20,35,0,20,10,20,110,10,60,20,0,0,10,10,50,0,0,0,0,85,140,0,0,0,0,0,0,0,215,0,0
"9","10010173","DA","St. John's",0.25292,887,405,359,"1001519","1001","0010003.02","10001",370,395,310,20,50,20,110,55,55,15,2.9,41216,37952,45312,360,90,5,270,0,95,110,95,115,75,55,50,50,85,30,10,45,5.6,8.5,365,60,45,15,0,10,215,230,25,15,15,5,0,10,15,10,10,20,20,10,25,25,25,25,25,25,120,1813,1698,365997,376061,70.7,10,145,0,0,31,951,1045,30,90,65,150,15,165,520,65,210,65,15,70,80,20,115,90,0,0,60,500,540,0,0,0,15,0,0,0,880,35,10
"10","10010174","DA","St. John's",0.23765,887,392,364,"1001519","1001","0010003.02","10001",495,305,225,15,30,30,155,50,65,15,2.8,44160,36288,51883,365,160,0,200,0,90,110,115,85,100,75,55,55,90,25,15,45,2.8,4.5,345,70,30,20,0,10,155,250,35,0,20,0,5,10,5,15,10,15,10,10,15,30,30,30,20,25,145,1280,1371,349908,374229,53.2,0,100,0,0,28.6,875,961,30,105,30,195,30,170,510,40,280,80,45,40,110,30,110,40,0,0,50,505,540,0,0,0,0,0,0,0,895,0,15
