"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","59090049","DA","59090049",0.3243,609,192,184,"5909052","5909","9320012.01","59932",185,155,0,0,0,315,155,125,10,15,10,60,35,40,30,3.3,52000,65000,41600,45,45,50,55,50,60,35,35,25,30,15,40,0,0,0,0,0,0,0,0,0,0,10,15,15,10,15,110,2,2,575,80,0,0,40,30,0,0,0,0,0,0,64.7,0,2020,1740,1e+06,1020000,30,0,50,NA,1400,50,80,80,30,15,50,55,20,365,0,160,0,10,65,60,10,80,70,10,15,280,10,0,0,0,0,60,115,55,40,40
"2","59090051","DA","59090051",0.2269,698,233,232,"5909052","5909","9320011.00","59932",230,130,0,0,0,380,180,130,10,25,10,80,40,65,20,3.1,47200,64500,36800,55,70,60,65,60,45,45,45,35,35,15,50,0,0,0,0,0,5,0,0,0,0,15,15,15,20,15,135,3.8,2.8,625,70,0,0,25,0,0,0,0,0,0,0,84.4,11.1,1940,1940,950000,970000,20,0,0,NA,1600,65,40,115,30,15,30,100,20,405,20,130,0,35,50,45,10,90,80,10,15,285,40,0,0,0,0,125,115,45,15,25
"3","59090052","DA","59090052",0.237,592,204,199,"5909052","5909","9320011.00","59932",200,105,0,0,0,315,155,115,10,20,15,75,35,30,30,3.1,48400,56400,43600,45,35,80,40,70,50,45,45,30,15,10,30,0,0,5,0,5,0,0,0,5,5,15,15,15,15,15,95,4.8,1.6,545,60,0,15,0,0,0,0,0,20,0,0,78.1,21.9,2080,2040,1e+06,1060000,45,0,0,1100,1200,70,55,100,50,25,40,80,35,370,0,110,0,20,30,40,35,80,80,10,10,295,10,0,0,0,10,140,80,25,25,45
"4","59090054","DA","59090054",0.182,599,215,209,"5909052","5909","9320011.00","59932",210,140,0,0,0,335,140,100,15,20,15,85,40,45,20,3,48400,64500,35600,45,60,50,60,45,50,50,50,30,25,15,25,0,0,0,0,5,0,5,0,10,0,10,20,20,15,10,105,6,2.4,510,45,0,20,15,0,0,0,0,0,0,0,73.5,14.7,1660,1680,9e+05,930000,20,0,0,NA,1400,55,35,60,20,25,25,45,20,280,10,165,0,10,15,45,10,65,75,0,15,205,25,0,0,0,0,70,85,25,30,30
"5","59090055","DA","59090055",2.2035,1319,449,439,"5909052","5909","9320011.00","59932",440,290,0,0,0,685,375,245,20,60,50,185,85,80,40,3,47200,54000,41600,90,115,150,125,130,115,90,90,55,30,35,85,5,0,0,0,0,10,10,5,10,15,20,25,25,30,40,235,4.4,3.3,1025,200,0,15,50,30,0,0,0,0,0,0,65.4,12.8,1780,1740,9e+05,924000,40,0,0,1000,1400,145,95,190,75,70,65,160,45,650,20,355,10,25,75,105,20,125,160,15,20,480,20,15,25,0,10,155,130,135,50,70
"6","59090057","DA","59090057",0.0788,264,81,75,"5909052","5909","9320011.00","59932",75,65,0,0,0,105,90,65,5,15,5,25,20,10,20,3.5,37200,52800,31200,20,25,35,25,30,15,15,15,10,5,5,10,0,0,0,0,0,0,0,0,0,0,10,0,10,5,10,35,7,5,295,0,0,0,0,0,0,0,0,0,0,0,76.9,0,1720,1750,9e+05,880000,0,NA,NA,NA,NA,40,15,50,0,10,15,35,0,115,15,105,0,0,15,10,0,25,45,0,0,95,0,0,0,0,0,55,25,10,0,15
"7","59090058","DA","59090058",0.5552,872,285,274,"5909052","5909","9320011.00","59932",270,145,0,0,0,415,270,200,10,35,25,95,50,60,40,3.2,38800,51200,31600,80,80,115,95,55,60,50,50,45,20,15,35,0,0,0,0,10,5,5,10,5,5,15,15,20,15,20,140,7.8,2.8,755,160,0,10,0,35,0,0,0,0,0,0,77.3,9.1,1900,1820,1e+06,1020000,50,0,0,1290,1480,135,50,155,25,40,45,135,20,460,40,210,0,20,55,75,0,95,105,20,10,355,35,0,0,0,15,150,145,60,20,45
"8","59090059","DA","59090059",0.0961,273,88,84,"5909052","5909","9320011.00","59932",85,60,0,0,0,130,80,60,0,10,5,30,15,20,10,3.2,38800,46000,32000,25,25,40,30,20,20,20,20,10,5,0,5,0,0,0,0,0,5,5,5,0,0,5,5,0,5,10,35,8.5,NA,255,20,0,0,10,0,0,0,0,0,0,0,61.5,0,1130,1440,850000,920000,0,NA,NA,NA,NA,30,30,30,0,0,15,25,0,125,15,70,0,0,0,20,0,25,40,0,15,115,0,0,0,0,0,60,40,20,0,0
"9","59090060","DA","59090060",0.2187,631,205,202,"5909052","5909","9320104.00","59932",205,155,0,0,0,320,185,125,10,25,20,75,35,45,25,3.2,42000,55200,34400,60,45,80,70,45,60,35,35,25,15,15,30,0,0,0,0,5,5,0,0,5,5,15,10,20,15,15,95,5.2,3.6,555,105,0,15,35,35,0,0,0,0,0,0,78.8,15.2,1840,1820,1e+06,1050000,40,0,37.5,2360,2200,100,40,80,30,30,30,60,20,320,20,175,0,15,20,75,0,85,80,10,20,265,15,15,0,0,0,120,80,65,10,30
"10","59090061","DA","59090061",0.2761,825,337,325,"5909052","5909","9320104.00","59932",325,200,0,0,0,435,265,195,20,30,25,125,50,40,20,2.8,44400,51200,34000,65,80,120,80,90,95,60,60,35,30,25,15,5,0,0,5,5,5,10,10,15,15,25,30,25,20,25,125,5.8,3,680,140,40,10,25,50,0,0,0,0,0,0,70.6,17.6,1620,1700,9e+05,930000,95,0,33.3,1210,1240,75,105,115,40,40,70,105,30,465,50,210,0,30,40,60,15,140,115,20,15,335,20,0,20,0,0,170,115,40,25,35
