"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35180356","DA","35180356",2.1421,1046,302,300,"3518005","3518","5350805.21","35535",300,190,0,0,0,495,320,240,25,30,25,90,65,90,40,3.3,40400,44000,38400,90,85,135,110,85,70,45,45,45,50,25,35,0,0,0,0,5,10,5,0,5,10,10,10,15,30,25,170,4.4,3,590,500,0,0,0,0,0,0,0,0,0,0,77.4,19.6,2200,2060,8e+05,820000,45,0,44.4,2340,2100,105,35,200,30,40,35,175,15,515,55,315,0,65,55,35,20,150,90,0,20,245,25,30,10,0,0,105,65,60,50,35
"2","35180357","DA","35180357",0.1499,618,207,204,"3518005","3518","5350805.21","35535",200,105,0,0,0,300,225,160,20,25,20,75,40,45,15,3,40000,49200,35600,35,75,90,80,70,50,35,35,20,25,10,15,0,0,0,0,0,0,5,0,5,5,10,20,20,20,15,100,4.8,1.2,380,250,0,0,0,0,0,0,0,0,0,0,74.4,15.4,1820,1720,7e+05,720000,20,0,0,NA,2200,30,50,165,25,20,45,120,20,345,70,150,0,35,25,35,15,130,70,10,20,210,15,25,10,0,0,45,80,70,45,30
"3","35180358","DA","35180358",0.3591,1049,347,339,"3518005","3518","5350812.00","35535",340,190,0,0,0,470,395,285,30,60,25,130,85,55,35,3,43600,45600,42800,70,90,150,115,110,90,60,60,55,35,30,20,0,0,0,5,0,5,5,5,5,5,30,25,25,25,40,155,4.4,2.6,630,425,0,0,0,0,0,0,0,0,15,0,80,23.3,2200,2140,755000,750000,20,0,0,NA,1900,100,45,215,15,55,25,180,0,520,75,265,0,45,40,85,20,140,105,0,45,300,50,10,10,0,10,90,100,85,65,40
"4","35180359","DA","35180359",0.1086,507,159,158,"3518005","3518","5350812.00","35535",155,145,0,0,0,235,195,145,15,15,25,55,40,35,15,3.1,37200,44000,35200,25,65,80,60,45,45,25,25,25,15,10,10,0,0,0,5,0,0,0,5,0,0,10,10,15,15,15,80,5.2,2,260,160,0,0,0,0,0,0,0,0,0,0,69.2,11.5,1740,1640,755000,760000,15,0,0,NA,1400,40,10,95,10,20,0,65,0,215,40,115,0,10,15,0,10,55,65,10,15,145,0,10,0,0,0,45,30,50,25,25
"5","35180360","DA","35180360",0.1146,442,199,192,"3518005","3518","5350812.00","35535",190,180,0,0,0,205,185,110,10,40,25,80,35,15,5,2.6,43600,46000,39200,35,40,55,65,60,35,30,30,25,15,5,5,0,0,0,5,0,5,10,5,10,5,20,15,15,15,15,65,7.2,6.8,385,105,0,0,0,0,0,0,0,0,0,0,58.8,23.5,1540,1510,6e+05,612000,25,0,0,NA,1900,90,10,85,0,40,0,65,0,210,35,175,0,25,15,20,10,50,80,0,0,125,30,0,10,0,0,40,40,35,30,20
"6","35180361","DA","35180361",0.2042,822,263,261,"3518005","3518","5350812.00","35535",265,185,0,0,0,380,260,185,15,35,25,80,70,65,20,3.1,43600,45200,42800,50,75,105,85,85,60,45,45,35,30,15,20,0,0,0,0,0,10,5,5,5,10,15,15,20,20,15,120,9.8,4.8,485,300,20,0,0,0,0,0,0,0,0,0,72.9,20.8,1920,1820,7e+05,705000,35,0,0,1800,1700,75,35,135,0,35,30,105,0,400,60,180,0,40,40,25,10,115,90,10,25,215,10,30,30,0,0,60,65,65,50,45
"7","35180362","DA","35180362",0.0623,417,133,131,"3518005","3518","5350812.00","35535",130,120,0,0,0,215,135,100,10,15,10,45,35,25,15,3.1,42400,46400,37600,40,45,55,35,30,45,20,20,15,25,10,15,0,0,0,0,0,0,0,0,0,0,10,5,15,5,10,75,5.6,2.8,260,160,0,15,0,0,0,0,0,0,10,0,56.5,21.7,1380,1500,755000,730000,0,NA,NA,NA,NA,15,20,90,0,10,10,60,0,180,35,145,0,25,15,30,10,60,35,0,0,75,25,0,15,0,0,50,35,15,15,15
"8","35180363","DA","35180363",0.1549,423,169,165,"3518005","3518","5350812.00","35535",165,130,0,0,0,195,155,105,10,25,10,75,35,20,5,2.7,43200,49600,39200,25,40,40,65,40,40,35,35,10,15,5,10,0,0,0,0,0,5,10,5,0,10,10,15,15,25,20,45,6,4.5,335,55,0,0,0,0,0,0,0,0,0,0,80,20,1260,1560,6e+05,550000,70,0,28.6,1370,1700,70,35,85,10,15,25,65,10,190,25,95,0,15,0,30,10,40,60,0,0,120,10,20,0,0,10,35,35,30,25,40
"9","35180364","DA","35180364",0.1155,425,216,210,"3518005","3518","5350812.00","35535",210,185,0,0,0,195,175,105,10,40,25,80,25,10,5,2.5,47200,53600,43600,20,35,50,60,50,50,40,40,30,10,5,5,0,0,0,0,5,5,10,5,10,15,30,25,10,25,15,50,7.2,6.4,350,60,0,0,0,0,0,0,0,0,0,0,55,12.5,860,1280,6e+05,604000,15,0,0,NA,NA,80,30,110,0,25,20,90,0,220,40,135,0,20,10,25,0,80,45,0,20,100,20,10,10,0,0,30,40,35,10,30
"10","35180365","DA","35180365",0.1949,871,275,273,"3518005","3518","5350812.00","35535",270,235,0,0,0,405,310,210,30,35,35,105,65,55,25,3.1,38800,43200,33600,75,95,115,100,90,80,40,40,35,25,10,25,0,0,0,0,0,5,5,0,10,5,20,25,25,25,25,115,6,3.4,425,395,0,0,10,0,0,0,0,0,10,0,67.4,17.4,1800,1860,8e+05,780000,35,0,0,1840,1700,60,20,210,10,30,15,135,0,395,80,250,10,50,25,55,10,125,80,0,20,250,20,20,0,0,0,40,95,70,40,50
"11","35180366","DA","35180366",0.2008,990,318,310,"3518005","3518","5350812.00","35535",310,240,0,0,0,465,360,260,25,40,35,110,80,75,30,3.1,41200,45600,38800,75,100,130,130,100,75,60,60,60,25,20,20,0,0,0,0,5,5,5,5,10,0,20,15,20,20,35,165,4.8,1.8,575,460,0,0,0,0,30,0,0,0,0,0,70.5,19.7,2040,1860,725000,720000,20,0,0,NA,2000,90,50,210,25,45,40,150,20,515,75,280,0,60,45,15,15,180,100,20,20,295,35,25,40,0,0,65,105,90,65,65
"12","35180367","DA","35180367",0.0326,257,73,72,"3518005","3518","5350812.00","35535",75,25,0,0,0,115,110,85,10,10,10,35,25,10,10,3,34400,33600,34800,30,35,45,30,25,20,10,10,10,10,0,5,0,0,0,0,0,0,0,0,0,0,5,5,10,5,5,40,NA,5,155,95,25,0,0,0,0,0,0,0,0,0,83.3,0,1840,1850,850000,8e+05,15,0,0,NA,2000,50,25,60,0,15,15,35,0,130,15,95,0,25,0,10,0,60,25,0,0,95,10,10,0,0,0,45,20,20,20,10
"13","35180368","DA","35180368",0.2165,1227,462,449,"3518005","3518","5350805.06","35535",450,55,90,0,0,520,445,290,35,80,35,145,110,85,20,3,39600,40800,38400,75,130,175,125,95,110,70,70,60,35,15,25,0,5,10,5,20,10,15,15,15,15,35,35,35,40,40,145,13,8.4,565,630,40,0,0,0,30,0,0,0,0,0,83.3,25,2180,2100,7e+05,710000,145,44.8,41.4,1000,1120,175,35,185,55,90,25,140,35,580,95,345,0,80,55,70,25,150,80,0,50,285,50,45,15,0,0,55,85,145,35,65
"14","35180369","DA","35180369",0.0715,491,153,146,"3518005","3518","5350805.06","35535",145,120,0,0,0,235,195,150,10,20,10,55,30,40,20,3.1,36000,39600,30400,30,70,80,60,50,35,30,30,20,15,10,10,0,0,0,0,0,0,0,0,5,0,5,10,15,15,10,75,6.4,5.2,270,235,0,20,0,0,0,0,0,0,0,0,69.6,26.1,2140,2000,850000,860000,30,0,0,NA,1900,85,15,85,20,20,10,75,15,235,40,150,0,20,15,25,15,60,65,0,15,150,15,0,0,0,0,20,15,70,50,20
"15","35180370","DA","35180370",0.0567,356,116,111,"3518005","3518","5350805.06","35535",110,65,0,0,0,180,115,95,5,10,0,40,30,25,10,3,41600,44800,36800,25,40,50,35,50,25,25,25,10,5,5,10,0,0,0,0,0,0,0,0,5,0,10,10,0,15,5,60,7.6,4,175,165,15,0,0,0,20,0,0,0,0,0,52.9,23.5,1390,1480,850000,840000,25,0,0,NA,1500,45,10,60,10,25,0,30,10,130,45,100,0,10,0,20,10,35,50,0,0,70,15,0,15,0,0,35,15,30,10,15
"16","35180371","DA","35180371",0.1168,460,127,126,"3518005","3518","5350805.06","35535",125,105,0,0,0,220,160,130,10,10,10,45,30,35,15,3.2,38400,40800,35200,35,45,80,45,50,30,25,25,15,20,5,10,0,0,0,0,5,5,0,0,0,0,5,0,5,20,10,65,5.2,4,275,160,0,0,0,0,0,0,0,0,0,0,72.7,18.2,2000,2040,9e+05,9e+05,0,NA,NA,NA,NA,55,0,90,0,10,0,80,0,210,30,100,0,40,10,20,0,55,40,0,0,100,0,0,0,0,0,20,45,15,10,20
"17","35180372","DA","35180372",0.1808,1002,265,258,"3518005","3518","5350805.06","35535",255,180,0,0,0,455,400,235,20,30,120,115,50,55,35,3.1,34000,36000,32400,65,100,160,95,65,60,45,45,35,25,10,40,0,0,0,0,5,5,0,5,5,5,15,15,10,20,15,140,4.8,3,435,375,0,0,0,0,0,0,0,0,45,0,52.5,15,1410,1900,9e+05,960000,40,0,0,2000,2000,75,30,175,10,25,25,90,0,325,75,310,15,10,30,35,15,120,90,0,10,195,10,35,10,0,10,60,65,55,35,35
"18","35180373","DA","35180373",0.1405,582,159,151,"3518005","3518","5350805.06","35535",150,130,0,0,0,265,215,175,10,25,15,55,25,40,35,3.4,38000,36000,38400,40,70,80,70,50,35,25,25,25,25,15,25,0,0,0,0,0,0,5,0,0,0,5,10,15,10,5,100,2.4,1.8,385,245,0,0,0,0,10,0,0,0,0,0,76,16,2640,2440,950000,980000,30,0,0,NA,680,50,30,125,0,30,20,90,0,305,50,185,0,15,30,55,10,125,45,0,10,220,0,20,0,0,0,45,95,75,25,25
"19","35180374","DA","35180374",0.0556,375,112,110,"3518005","3518","5350805.06","35535",110,80,0,0,0,180,125,95,10,10,15,45,35,20,15,3.1,42800,49200,36400,25,35,55,35,45,30,30,30,20,5,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,10,10,65,3.6,1.6,255,130,0,0,0,0,0,0,0,0,0,0,71.4,14.3,2180,1960,755000,750000,0,NA,NA,NA,NA,30,15,65,0,10,15,50,0,165,45,100,0,15,0,15,0,45,40,0,0,90,0,0,0,0,0,20,30,30,20,15
"20","35180375","DA","35180375",0.253,1122,367,361,"3518005","3518","5350805.06","35535",360,120,0,0,0,425,445,345,20,55,20,120,80,90,30,3.2,38800,43200,36400,85,115,145,90,85,90,65,65,50,35,25,25,0,0,0,10,5,15,10,15,15,15,30,25,35,25,35,140,12,7.4,765,400,10,20,0,0,30,0,0,0,15,0,79.2,27.1,2000,2040,750000,765000,140,64.3,22.2,660,920,130,45,255,20,55,40,210,20,440,125,330,0,45,55,75,0,135,70,0,20,245,25,40,0,0,20,65,95,45,70,55
"21","35180380","DA","35180380",0.1608,630,186,183,"3518005","3518","5350820.03","35535",185,175,0,0,0,315,225,170,15,10,25,75,50,50,15,3.1,44000,52800,34000,40,75,80,50,55,45,30,30,30,35,15,40,0,0,0,0,0,0,0,0,0,5,5,10,10,15,15,115,2.4,2,385,265,0,0,0,0,0,0,0,0,0,0,56.8,18.9,1920,2000,950000,1030000,0,NA,NA,NA,NA,80,25,115,10,20,10,90,0,355,20,195,0,45,40,40,0,90,35,0,0,165,20,25,0,0,0,40,45,45,45,40
"22","35180381","DA","35180381",0.198,609,171,166,"3518005","3518","5350820.03","35535",165,160,0,0,0,310,205,170,5,15,20,60,40,55,20,3.2,38400,41200,36400,50,65,85,65,55,45,35,35,25,20,10,40,0,0,0,0,0,0,0,0,0,5,5,10,5,10,5,110,8,4,365,255,10,0,0,50,0,0,0,0,15,0,59.4,12.5,2000,2000,1e+06,1020000,0,NA,NA,NA,NA,35,15,120,15,10,15,95,10,310,50,200,0,50,15,30,10,100,65,0,10,140,10,35,0,0,10,45,50,60,25,25
"23","35180382","DA","35180382",0.1525,692,191,186,"3518005","3518","5350820.04","35535",190,175,0,0,0,315,285,235,10,20,20,50,55,55,30,3.4,38000,43600,35200,60,90,100,60,70,45,45,45,30,20,10,35,0,0,0,0,0,0,0,0,0,5,5,10,10,10,10,125,3.4,2,370,345,0,0,0,0,0,0,0,0,0,0,67.6,16.2,2520,2320,9e+05,920000,0,NA,NA,NA,NA,85,0,145,10,30,0,110,15,370,40,165,0,50,55,35,20,85,40,0,20,185,25,20,0,0,0,65,60,55,25,40
"24","35180383","DA","35180383",0.0545,539,159,157,"3518005","3518","5350820.04","35535",160,10,0,0,0,205,240,180,15,35,10,45,40,45,20,3.3,39600,40000,39200,40,60,65,70,50,40,35,35,25,10,10,5,0,0,0,0,0,0,0,0,5,0,10,10,20,15,20,80,3.2,NA,290,250,0,0,0,30,0,0,0,0,0,0,80.6,9.7,1620,1800,7e+05,710000,0,NA,NA,NA,NA,95,15,125,10,25,15,85,10,225,35,175,0,25,30,35,10,55,45,0,10,125,15,30,0,0,0,25,50,35,45,25
"25","35180385","DA","35180385",0.1584,898,246,244,"3518005","3518","5350820.03","35535",245,155,0,0,0,405,350,275,15,30,20,70,75,55,40,3.4,38800,43200,36000,80,80,130,105,85,60,45,45,35,30,20,40,0,0,0,0,0,0,0,5,5,10,10,15,5,15,10,160,4.4,3.6,410,440,0,10,0,0,30,0,0,0,0,0,70.5,25,2200,2160,850000,880000,20,0,0,NA,2200,125,50,185,15,45,30,125,15,420,55,285,0,40,60,40,20,140,85,0,15,245,25,20,10,0,15,75,80,65,60,45
"26","35180388","DA","35180388",0.0639,316,101,94,"3518005","3518","5350820.03","35535",95,85,0,0,0,160,110,90,5,10,5,40,25,20,10,3,38800,38800,37200,25,35,55,25,20,20,20,20,20,15,5,15,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,55,6,3.6,195,135,0,0,0,0,0,0,0,0,0,0,70.6,17.6,2180,2080,9e+05,960000,0,NA,NA,NA,NA,10,15,90,0,0,10,65,10,170,10,90,0,0,10,20,15,40,30,0,10,85,15,15,0,0,0,15,25,40,20,15
"27","35180389","DA","35180389",0.1037,430,127,123,"3518005","3518","5350820.03","35535",125,110,0,0,0,220,150,125,10,5,15,40,35,25,15,3.2,43600,46800,38800,35,35,60,40,50,30,15,15,30,15,15,20,0,0,0,0,0,0,0,0,0,5,10,5,0,10,5,80,NA,NA,265,180,0,0,0,0,0,0,0,0,0,0,66.7,19,1840,2040,1e+06,1040000,0,NA,NA,NA,NA,55,20,80,0,10,10,65,0,170,35,180,0,20,20,15,0,45,20,0,0,100,10,0,0,0,0,20,20,35,15,15
"28","35180391","DA","35180391",0.0832,549,173,170,"3518005","3518","5350805.19","35535",170,155,0,0,0,285,175,135,5,20,15,65,40,35,20,3.1,42000,49600,32400,40,65,75,45,55,55,40,40,25,10,10,15,0,0,0,0,0,0,0,5,5,5,5,15,15,15,10,85,2.8,2,295,230,0,0,0,0,0,0,0,0,0,0,61.3,19.4,1470,1640,8e+05,780000,0,NA,NA,NA,NA,55,40,130,10,10,25,75,0,215,35,185,0,15,0,40,15,75,55,0,0,130,0,10,0,0,0,50,15,20,20,40
"29","35180392","DA","35180392",0.1047,712,289,283,"3518005","3518","5350805.19","35535",285,125,155,0,0,310,300,180,20,50,50,95,50,40,20,2.9,36400,38800,35600,50,75,125,95,70,55,45,45,20,25,10,25,0,0,0,5,10,10,15,15,10,15,20,20,30,15,25,85,9.2,4,445,295,0,0,0,0,0,0,0,0,0,0,53.5,20.9,1460,1620,680000,636000,70,0,42.9,1600,1240,135,40,105,10,50,15,70,0,255,70,320,0,20,20,25,0,120,60,0,15,160,15,10,0,0,15,45,70,55,30,10
"30","35180393","DA","35180393",0.1089,533,174,171,"3518005","3518","5350805.19","35535",170,160,0,0,0,270,160,110,15,20,15,65,30,50,10,3.1,47200,52800,41200,30,50,65,50,45,50,45,45,20,15,15,25,0,0,0,0,0,0,0,0,5,0,10,10,10,15,10,95,4.4,3.2,280,175,0,0,0,20,0,0,0,0,0,0,67.7,19.4,2200,2160,9e+05,9e+05,0,NA,NA,NA,NA,55,15,90,15,25,10,60,15,210,35,120,0,35,0,25,0,60,30,0,15,100,10,10,0,0,0,30,40,20,10,15
"31","35180394","DA","35180394",0.3857,539,174,172,"3518005","3518","5350805.06","35535",175,170,0,0,0,275,180,135,10,25,15,60,50,40,15,3.1,42000,50800,38000,45,55,65,60,50,50,35,35,25,15,10,25,0,0,0,0,0,0,0,0,10,5,10,10,15,15,5,90,4.8,2.8,280,210,0,0,0,0,0,0,0,0,0,0,71,19.4,1800,1720,8e+05,8e+05,0,NA,NA,NA,NA,50,20,130,0,10,15,105,0,245,35,155,0,25,25,45,0,65,40,0,20,130,25,25,0,0,0,40,35,60,25,15
"32","35180397","DA","35180397",0.2143,536,181,178,"3518005","3518","5350805.18","35535",175,135,0,0,0,300,165,115,15,20,15,85,40,35,10,2.9,42800,52400,36800,45,55,75,60,40,45,30,30,30,30,15,25,0,0,0,0,0,0,0,5,0,0,5,10,10,10,20,105,2.8,1.2,310,220,0,0,0,0,0,0,0,0,0,0,74.2,0,2000,2000,8e+05,820000,10,0,0,NA,1600,30,25,125,20,15,20,85,20,280,35,140,0,35,10,45,10,85,45,0,0,125,15,20,0,0,0,50,40,30,25,15
"33","35180398","DA","35180398",0.1046,639,187,183,"3518005","3518","5350805.18","35535",180,170,0,0,0,320,220,175,5,20,15,70,50,40,30,3.2,38800,48000,35200,75,75,80,45,55,45,50,50,30,15,10,25,0,0,0,0,0,0,0,0,5,5,5,5,10,10,10,110,4,2.8,465,205,0,0,0,0,0,0,0,0,0,0,67.6,17.6,2020,1760,8e+05,810000,20,0,0,NA,1600,70,50,80,0,30,45,60,0,300,65,180,0,55,10,40,15,90,35,10,10,135,0,15,15,0,0,40,40,50,15,30
"34","35180399","DA","35180399",0.1534,612,198,193,"3518005","3518","5350805.18","35535",195,140,0,0,0,265,265,185,15,40,25,80,45,30,25,3.1,35200,42400,32400,50,70,105,70,55,50,35,35,25,20,5,15,5,0,0,0,0,5,0,0,5,0,15,10,15,20,15,90,3.8,3.2,375,265,0,0,0,0,0,0,0,0,0,0,69.7,27.3,1920,2000,8e+05,810000,35,0,0,1590,1600,70,60,130,15,30,40,100,10,285,35,230,0,25,20,45,10,40,95,0,10,175,15,15,0,0,0,40,80,30,35,35
"35","35180400","DA","35180400",0.062,436,136,135,"3518005","3518","5350805.18","35535",135,125,0,0,0,215,155,120,10,10,15,50,35,35,10,3.1,41600,49200,37600,20,45,65,55,50,45,15,15,20,10,10,15,0,0,0,0,0,0,0,5,5,0,10,5,5,10,10,85,NA,1,200,215,45,0,0,0,0,0,0,0,0,0,79.2,29.2,2240,2280,850000,820000,15,0,0,NA,1600,45,20,95,10,10,15,55,10,255,35,115,10,25,15,20,0,90,60,0,10,120,15,35,0,0,0,45,40,40,20,35
"36","35180401","DA","35180401",0.1437,546,170,166,"3518005","3518","5350805.18","35535",165,75,0,0,0,230,210,165,5,30,15,60,35,40,15,3.2,40400,42400,38000,50,40,70,75,60,45,40,40,20,10,10,15,0,0,0,0,0,0,0,0,0,0,10,15,20,15,20,80,4.8,2,295,255,0,0,0,0,0,0,0,0,0,0,82.8,17.2,1980,1920,7e+05,740000,15,0,0,NA,NA,30,15,140,20,0,0,115,10,265,50,110,0,20,20,35,10,80,35,0,20,170,0,45,0,0,0,55,40,40,55,30
