"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35430647","DA","35430647",0.3468,842,296,289,"3543042","3543","5680011.01","35568",290,235,0,0,0,415,265,190,10,35,25,110,55,50,30,3.1,43200,52800,38000,55,80,100,105,85,65,60,60,45,30,10,30,5,0,0,0,0,5,0,5,10,10,15,25,25,30,20,135,4,2.8,650,240,0,0,20,20,0,0,0,0,0,0,68.9,24.4,1740,1720,750000,735000,75,0,42.9,1760,1650,90,25,210,15,60,20,180,0,370,55,270,0,50,35,55,0,75,90,0,25,250,25,0,20,0,0,125,70,30,20,65
"2","35430648","DA","35430648",0.1745,543,185,184,"3543042","3543","5680011.01","35568",185,170,0,0,0,255,180,130,10,30,10,65,40,35,15,3,42800,57600,35600,35,50,75,55,35,55,50,50,25,10,10,20,0,0,0,0,0,0,0,5,0,5,10,15,20,20,10,80,4.8,3.6,465,70,0,0,0,0,0,0,0,0,0,0,67.7,13.3,1660,1640,6e+05,620000,20,0,0,NA,1600,55,30,100,10,20,25,85,0,290,45,110,10,30,20,45,10,75,65,0,10,175,35,0,0,0,10,80,60,25,20,25
"3","35430649","DA","35430649",0.098,420,147,146,"3543042","3543","5680011.01","35568",145,140,0,0,0,220,135,100,5,20,15,65,35,20,5,2.8,39200,50000,32800,40,35,65,45,35,40,20,20,15,25,15,10,0,0,0,0,0,0,5,0,5,0,15,15,15,15,10,55,4.8,2,325,85,20,0,0,0,0,0,0,0,0,0,84.6,11.5,1580,1800,7e+05,690000,10,0,0,NA,2000,65,15,100,0,40,0,75,0,270,30,65,0,25,20,45,20,90,50,0,10,170,25,0,15,0,0,75,80,30,15,25
"4","35430650","DA","35430650",0.1717,643,236,227,"3543042","3543","5680011.01","35568",225,200,0,0,0,320,200,135,15,30,20,90,45,35,15,3,44400,55600,38400,30,55,80,80,60,45,50,50,30,20,15,20,0,0,0,0,0,5,5,5,5,5,15,15,20,30,20,95,4.4,1.8,525,130,0,0,15,35,0,0,0,0,0,0,56.1,0,1340,1540,650000,695000,25,0,0,NA,1900,85,20,150,25,30,15,110,20,295,40,210,0,20,40,30,10,65,60,0,25,225,0,10,20,0,0,75,80,40,40,25
"5","35430651","DA","35430651",0.1951,431,140,140,"3543042","3543","5680011.01","35568",140,140,0,0,0,215,140,110,10,15,10,45,35,25,15,3.2,43600,48800,38800,30,45,40,55,50,30,25,25,20,20,5,20,0,0,0,0,0,0,0,5,5,0,5,15,10,10,10,70,6.4,2.4,390,95,0,0,25,0,0,0,0,0,0,0,59.3,11.1,1300,1440,725000,7e+05,0,NA,NA,NA,NA,45,35,120,10,25,25,105,15,195,30,145,0,25,10,35,10,55,20,0,10,110,0,0,0,0,0,30,35,10,10,45
"6","35430652","DA","35430652",0.1309,499,197,187,"3543042","3543","5680009.00","35568",190,150,0,0,0,225,200,120,15,35,30,70,40,20,15,2.8,42000,47600,37200,30,50,80,60,70,45,25,25,20,15,5,10,0,0,0,0,10,5,5,0,5,5,15,10,20,25,10,70,6.8,4.4,425,85,0,0,15,0,0,0,0,0,0,0,65.6,15.6,1420,1480,695000,680000,35,0,57.1,1340,1500,65,25,90,35,25,20,55,10,230,55,145,0,0,25,30,0,60,50,10,40,135,30,15,0,0,0,65,40,25,30,20
"7","35430653","DA","35430653",0.2582,513,191,186,"3543042","3543","5680010.00","35568",190,170,0,0,0,260,170,115,20,25,15,75,45,25,10,2.8,44000,50000,38800,35,35,65,80,75,50,25,25,20,15,5,15,0,0,0,0,0,5,0,0,0,5,20,20,15,15,20,75,3.2,2.8,450,45,0,0,15,0,0,0,0,0,0,0,37,14.8,680,1060,6e+05,630000,55,0,0,1490,1560,50,35,125,0,20,25,110,0,205,15,180,0,15,40,35,0,25,55,0,0,150,0,0,0,0,10,70,50,25,10,15
"8","35430654","DA","35430654",0.1211,496,191,187,"3543042","3543","5680009.00","35568",190,175,0,0,0,250,185,120,15,30,20,80,35,25,10,2.8,41600,53200,34400,40,55,70,60,55,50,30,30,25,15,5,15,0,0,0,0,5,5,5,5,5,10,20,10,10,15,15,80,4.8,1.6,425,35,0,0,0,35,0,0,0,0,0,0,67.9,17.9,1740,1600,650000,670000,40,0,62.5,1680,1700,30,30,85,0,10,25,75,0,220,35,115,0,15,15,25,15,55,55,0,15,160,0,10,0,0,0,60,40,20,25,25
"9","35430655","DA","35430655",0.121,637,242,240,"3543042","3543","5680009.00","35568",240,95,0,0,0,270,250,170,25,35,15,105,45,30,15,2.8,37200,40000,34400,45,60,90,110,70,55,35,35,25,10,5,0,5,0,0,0,5,5,5,5,10,20,25,25,25,25,20,60,7.8,3.4,550,55,0,0,0,0,0,0,0,0,0,0,82.9,28.6,1410,1390,5e+05,496000,65,0,38.5,1640,1700,90,20,160,0,50,15,125,0,300,50,145,0,10,20,35,20,95,100,0,30,185,45,20,0,0,15,130,65,15,25,35
"10","35430656","DA","35430656",0.1089,478,173,169,"3543042","3543","5680009.00","35568",170,105,0,0,0,195,205,125,20,40,20,70,35,20,10,2.9,39200,45600,36800,30,45,70,75,50,40,25,25,15,10,10,5,0,0,0,0,0,0,0,10,10,10,15,15,20,15,20,55,8,4.4,435,45,0,15,20,0,0,0,0,0,0,0,60,20,1360,1300,5e+05,520000,40,0,0,1760,1900,110,35,95,0,60,25,70,0,215,30,135,0,15,25,10,10,65,45,0,30,130,20,0,0,0,0,60,50,15,25,15
