"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35210023","DA","35210023",2.7292,937,291,280,"3521010","3521","5350576.07","35535",280,205,0,0,0,470,290,215,15,40,25,105,80,60,25,3.1,39600,46800,34000,65,90,145,100,100,75,55,55,40,20,20,20,0,0,0,0,5,0,0,10,10,5,15,20,20,20,30,140,6.6,4.6,405,425,0,0,0,0,0,0,0,0,0,0,75,31.3,2220,2060,850000,830000,25,0,0,NA,2200,115,40,105,20,45,20,90,15,375,40,275,0,40,15,30,20,90,80,0,35,205,30,10,0,0,0,30,100,70,30,30
"2","35210024","DA","35210024",0.0677,400,122,115,"3521010","3521","5350576.07","35535",115,75,0,0,0,190,145,115,5,10,20,35,35,20,10,3.1,36400,43600,32400,25,50,60,45,40,35,10,10,20,10,5,5,0,0,0,0,0,0,0,0,0,5,10,15,10,10,10,50,3.2,6,135,205,20,0,0,0,0,0,0,0,0,0,66.7,16.7,1620,1800,9e+05,860000,15,0,0,NA,1600,50,10,45,15,20,10,30,10,160,30,110,0,20,0,10,0,30,30,0,30,110,10,0,0,0,0,15,80,25,0,0
"3","35210025","DA","35210025",0.038,250,81,74,"3521010","3521","5350576.07","35535",75,50,0,0,0,120,95,70,5,15,5,25,25,15,5,3,34000,33600,34800,25,35,35,25,20,25,5,5,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,10,10,10,35,6,6,90,185,10,0,0,0,0,0,0,0,0,0,71.4,21.4,2000,1900,9e+05,960000,0,NA,NA,NA,NA,25,0,70,0,15,0,50,0,145,25,75,0,0,0,15,0,60,35,0,10,90,10,0,0,0,0,0,50,20,15,0
"4","35210026","DA","35210026",0.0764,560,159,154,"3521010","3521","5350576.07","35535",155,85,0,0,0,245,205,165,10,20,10,45,40,30,20,3.3,33200,32400,33600,45,65,90,60,35,45,25,25,20,15,5,10,0,0,0,0,0,0,0,0,0,5,15,15,15,10,10,70,6,6.8,205,300,25,0,0,0,0,0,0,0,0,0,63,18.5,1820,1840,9e+05,880000,20,0,0,NA,1400,55,20,70,0,15,10,60,0,275,30,130,0,40,15,10,0,60,55,0,15,140,25,30,0,0,0,30,85,45,15,30
"5","35210027","DA","35210027",0.3208,945,308,294,"3521010","3521","5350576.07","35535",295,210,0,0,0,460,325,245,15,20,40,105,80,70,25,3.1,40000,43200,35600,70,105,140,105,105,70,45,45,30,30,15,30,0,0,0,0,5,5,0,0,5,10,35,30,20,25,25,135,5.2,4.8,555,370,70,0,0,0,0,0,0,0,0,0,56,20,1740,1640,9e+05,930000,50,0,50,2060,2100,130,35,160,15,50,30,130,15,450,75,320,0,55,25,60,0,130,95,0,30,245,30,35,0,0,10,75,145,55,25,25
"6","35210028","DA","35210028",0.4534,482,161,158,"3521010","3521","5350576.05","35535",155,140,0,0,0,235,170,125,5,20,15,55,50,25,10,3,45200,50000,41600,40,35,60,50,50,40,45,45,30,20,10,10,0,0,0,0,0,0,0,0,10,10,10,10,15,10,15,85,4.8,2.4,275,180,0,0,0,0,0,0,0,15,35,0,75,28.6,1860,1960,8e+05,840000,0,NA,NA,NA,NA,25,20,115,15,15,25,90,0,205,40,135,0,25,10,30,0,60,35,0,0,115,10,15,0,0,0,20,30,65,10,10
"7","35210029","DA","35210029",0.0968,577,185,179,"3521010","3521","5350576.05","35535",180,85,0,0,0,295,185,140,10,30,10,60,40,45,20,3.2,45200,53200,41600,40,50,65,65,80,55,40,40,25,20,10,15,0,0,0,5,0,0,0,0,0,5,5,10,10,15,10,100,3.2,3.6,340,245,0,0,0,0,0,0,0,0,0,0,76.5,20.6,2160,2080,8e+05,810000,0,NA,NA,NA,NA,35,15,105,10,20,10,90,10,340,40,115,0,50,30,25,0,70,45,0,35,200,30,0,0,0,0,20,155,25,10,20
"8","35210030","DA","35210030",0.2044,790,245,238,"3521010","3521","5350576.05","35535",235,125,0,0,0,370,285,210,30,20,20,85,65,65,15,3.1,37200,42000,34000,65,85,115,110,90,70,35,35,30,15,10,15,0,0,0,0,0,0,0,5,10,5,15,20,15,25,20,115,7.8,4,425,360,40,0,0,0,0,0,0,0,0,0,65.9,11.4,1640,1640,8e+05,790000,25,0,0,NA,1700,65,30,140,15,20,15,90,10,405,45,240,0,45,45,40,0,90,120,0,40,220,20,50,0,0,10,45,120,100,30,10
"9","35210031","DA","35210031",0.0428,325,123,117,"3521010","3521","5350576.05","35535",120,10,0,0,0,135,135,95,5,25,10,40,30,15,5,2.9,40800,45200,36400,20,35,40,45,30,25,25,25,15,10,0,10,0,0,0,0,0,0,10,5,5,0,10,10,5,15,10,45,6.4,7.2,120,75,15,0,0,0,0,0,0,0,0,0,73.3,NA,1700,1700,7e+05,680000,20,0,NA,NA,1000,30,0,60,10,10,10,45,10,115,10,60,0,10,0,15,0,35,20,0,10,80,0,0,0,0,0,15,45,20,10,10
"10","35210032","DA","35210032",0.0799,490,159,151,"3521010","3521","5350576.06","35535",155,40,0,0,0,215,180,130,10,20,20,55,35,25,20,3.1,39200,41200,36400,30,55,65,65,60,35,25,25,10,10,10,0,0,0,0,5,0,0,5,5,5,0,0,15,15,15,15,60,8,6.4,215,225,15,0,0,0,0,0,0,0,0,0,87.5,33.3,1920,2000,715000,740000,0,NA,NA,NA,NA,35,25,50,20,15,20,35,15,190,20,145,0,25,15,15,0,55,30,0,25,110,25,10,0,0,0,15,70,45,15,10
