"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35290007","DA","35290007",0.2107,682,246,241,"3529006","3529","5430014.04","35543",240,155,0,0,0,330,210,135,15,25,35,85,50,50,20,3,44000,46800,41600,45,55,85,85,70,60,35,35,20,35,15,30,0,0,0,0,0,5,5,5,10,10,20,15,20,15,15,110,5.2,1,565,95,0,25,15,0,0,0,0,0,0,0,52.4,0,1100,1370,7e+05,715000,35,0,0,NA,1100,75,70,120,0,20,55,85,0,300,40,190,0,30,35,45,0,110,60,0,20,220,10,0,15,0,0,120,30,50,15,25
"2","35290008","DA","35290008",0.1081,395,141,141,"3529006","3529","5430014.04","35543",140,75,0,0,0,205,115,70,10,20,20,65,20,35,10,3,42400,49600,36000,25,35,55,45,45,35,20,20,20,10,5,5,0,0,0,0,0,5,0,10,10,5,5,20,5,15,15,50,2.8,NA,340,75,0,25,0,0,0,0,0,0,0,0,47.8,0,690,1080,548000,530000,35,0,57.1,NA,1600,70,15,90,15,25,10,45,10,190,0,145,0,0,35,30,0,50,35,0,15,130,20,0,0,0,0,70,45,35,0,0
"3","35290009","DA","35290009",0.1414,583,197,194,"3529006","3529","5430014.04","35543",195,155,0,0,0,320,145,100,15,15,15,80,40,40,20,3,46800,55200,40400,45,40,75,70,60,50,40,40,25,30,10,15,0,0,0,0,0,0,0,0,5,0,15,15,15,10,30,85,2.8,NA,590,65,0,20,0,0,0,0,0,0,0,0,65.8,0,1300,1410,650000,624000,0,NA,NA,NA,NA,35,45,115,0,15,20,105,0,350,10,130,0,20,30,35,10,80,65,0,45,245,15,0,0,0,0,130,40,70,10,20
"4","35290010","DA","35290010",0.2576,721,239,237,"3529006","3529","5430014.04","35543",235,175,0,0,0,355,220,150,15,25,25,100,40,45,30,3.1,38000,50400,33600,45,75,115,70,70,55,45,45,35,10,10,20,0,0,0,0,0,10,5,0,5,5,25,20,20,25,25,90,2.8,1,510,180,0,15,0,40,0,0,0,0,0,0,57.8,8.9,1240,1300,6e+05,560000,0,NA,NA,NA,NA,135,45,115,15,60,20,85,10,240,40,260,0,20,10,25,10,75,70,0,30,160,10,0,15,0,10,75,45,30,25,25
"5","35290011","DA","35290011",0.3851,1430,699,688,"3529006","3529","5430014.04","35543",685,95,295,0,0,680,575,280,50,120,125,275,80,45,20,2.6,40000,44800,36400,65,130,240,245,185,155,65,65,55,10,20,30,5,5,5,15,20,25,30,40,50,40,100,65,60,50,45,140,10,3.5,1180,210,20,55,30,15,0,0,0,0,0,0,51.2,18.6,1180,1460,552000,576000,470,9.6,44.7,1640,1555,205,80,305,40,45,30,200,20,575,110,600,0,35,60,70,15,180,135,10,50,420,30,20,10,0,10,200,130,85,50,20
"6","35290012","DA","35290012",0.1738,399,137,135,"3529006","3529","5430014.04","35543",135,135,0,0,0,220,100,65,5,15,20,50,30,25,15,3.1,46800,52400,40000,20,40,50,45,45,40,30,30,20,15,10,25,0,0,0,0,0,0,0,0,5,0,10,10,5,10,10,75,NA,NA,375,45,0,0,0,0,0,0,0,0,0,0,61.5,0,1270,1400,650000,660000,0,NA,NA,NA,NA,45,15,105,15,20,20,65,0,210,15,110,0,15,10,10,0,80,40,0,25,130,15,0,0,0,0,60,60,15,20,0
"7","35290013","DA","35290013",0.1193,546,191,191,"3529006","3529","5430014.03","35543",190,135,0,0,0,250,185,120,20,20,25,70,40,35,15,3,38400,46000,34400,35,50,90,60,60,50,35,35,15,15,5,10,0,0,0,0,0,10,5,5,5,10,20,15,15,10,15,70,11.6,3.2,485,30,0,10,0,0,0,0,0,0,0,0,59.3,14.8,1400,1340,6e+05,570000,65,0,0,1480,1440,85,45,125,0,20,40,90,0,275,45,115,0,0,25,30,0,120,40,0,25,200,40,0,0,0,0,120,75,20,20,10
"8","35290014","DA","35290014",0.3368,855,414,406,"3529006","3529","5430014.03","35543",405,15,120,0,0,340,400,150,30,45,175,135,40,15,20,2.7,38400,44400,36000,30,80,140,130,110,75,40,40,20,15,5,5,5,0,0,10,20,30,30,30,40,15,35,50,45,20,20,55,11.4,4,610,130,0,10,0,0,0,0,0,0,0,0,48.5,18.2,1030,1220,472000,468000,230,0,62.2,1470,1450,165,45,105,10,45,10,55,0,170,50,425,0,15,20,10,0,55,55,0,25,135,10,0,10,0,0,70,50,20,10,0
"9","35290015","DA","35290015",0.2257,555,190,187,"3529006","3529","5430014.03","35543",190,105,0,0,0,230,210,145,20,25,20,65,40,35,15,3.1,40800,41600,40000,30,55,70,70,75,50,20,20,15,10,10,10,0,0,0,0,0,0,5,5,5,10,20,20,20,10,15,65,7.2,2.8,550,80,0,15,0,0,0,0,0,0,0,0,52.6,0,1120,1280,7e+05,670000,105,0,23.8,1440,1400,90,20,90,0,40,20,75,0,275,30,170,0,10,15,0,0,75,80,10,40,205,20,0,0,0,0,95,65,55,0,10
"10","35290016","DA","35290016",0.1073,482,158,156,"3529006","3529","5430014.03","35543",155,75,0,0,0,210,180,120,15,30,15,65,35,25,15,3,43600,46800,39200,35,45,65,40,60,40,25,25,20,15,5,20,0,0,0,0,0,0,0,0,0,5,15,20,5,10,15,70,4.8,2.8,465,95,0,0,0,0,0,0,0,0,0,0,57.1,0,1280,1750,8e+05,760000,85,0,23.5,1540,1560,45,15,120,10,10,10,85,0,275,35,170,0,10,15,30,0,95,40,10,45,180,20,10,0,0,0,90,70,20,10,15
