"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35240317","DA","35240317",0.1741,814,372,368,"3524002","3524","5370223.07","35537",365,115,60,0,0,430,275,150,10,55,55,140,60,45,10,2.7,53600,62800,46000,60,55,100,65,95,85,55,55,40,45,25,55,0,0,0,0,10,10,10,15,5,15,25,40,20,30,25,155,3.8,2.4,560,215,0,0,0,0,0,0,0,0,0,0,58.8,16.2,1680,1630,750000,744000,0,NA,NA,NA,NA,45,35,150,20,0,0,100,10,395,40,225,10,35,20,70,15,135,15,0,15,195,25,0,10,0,10,120,55,50,0,0
"2","35240318","DA","35240318",0.2013,805,281,277,"3524002","3524","5370223.07","35537",280,180,0,0,0,390,270,200,20,35,15,120,55,65,20,3,48800,61200,44400,55,75,80,70,80,60,45,45,35,40,20,70,0,0,0,0,0,10,5,5,5,10,20,15,15,10,20,150,8.8,3.8,605,180,0,0,0,30,0,0,0,0,0,0,62.2,13.3,1550,1800,1e+06,1010000,55,90.9,0,460,740,70,35,180,10,15,20,145,0,365,45,240,10,30,45,60,15,65,70,0,20,170,20,20,0,0,0,70,65,55,10,10
"3","35240319","DA","35240319",0.101,458,145,145,"3524002","3524","5370223.07","35537",145,140,0,0,0,265,120,95,5,5,10,55,25,40,15,3.1,62000,74000,52800,35,40,35,35,25,35,35,35,20,35,15,45,0,0,0,0,0,0,0,0,0,0,10,5,5,10,10,105,3.2,2,340,95,0,0,0,0,0,0,0,0,0,0,44.8,10.3,840,1720,1110000,1140000,0,NA,NA,NA,NA,65,15,40,0,0,0,35,0,210,25,140,0,40,15,25,0,65,20,0,10,95,10,0,0,0,0,45,40,0,0,10
"4","35240320","DA","35240320",0.1542,577,356,349,"3524002","3524","5370223.07","35537",350,25,0,0,0,210,320,175,35,75,35,100,20,10,5,2.5,51600,58800,48000,30,30,80,80,80,75,55,55,35,30,10,20,5,0,0,0,15,20,15,15,20,25,50,45,25,30,20,65,6.4,2.8,450,130,0,0,0,0,10,0,0,0,0,0,68.5,35.2,1600,1540,488000,516000,75,0,46.7,1740,1800,60,25,190,0,25,15,145,0,340,50,130,0,30,20,45,15,115,65,0,0,185,15,0,10,0,0,70,95,20,20,10
"5","35240321","DA","35240321",0.262,746,264,262,"3524002","3524","5370223.07","35537",265,180,0,0,0,375,255,195,10,25,30,75,55,55,25,3.2,56800,63600,55200,45,65,70,55,60,55,55,55,40,50,25,75,0,0,0,0,0,5,5,0,5,5,15,10,15,20,15,160,1,0.5,630,150,0,0,0,30,0,0,0,0,0,0,66,13.2,1660,1940,1e+06,970000,0,NA,NA,NA,NA,60,30,155,10,10,10,115,0,395,35,230,20,55,10,70,15,95,50,15,15,175,15,0,0,0,0,65,55,35,30,0
"6","35240322","DA","35240322",0.1174,460,145,145,"3524002","3524","5370223.07","35537",145,145,0,0,0,265,105,85,5,5,10,45,35,50,10,3.2,59600,75500,41200,40,50,45,25,25,30,35,35,15,20,25,60,0,0,0,0,0,0,0,0,0,0,0,10,10,0,5,110,NA,NA,390,80,0,0,0,0,0,0,0,0,0,0,63.3,10,1720,2000,1100000,1140000,0,NA,NA,NA,NA,0,10,110,15,0,0,65,15,265,10,110,0,35,25,40,20,40,30,20,15,115,15,15,0,0,0,30,75,20,10,15
"7","35240323","DA","35240323",0.1952,492,155,155,"3524002","3524","5370223.07","35537",155,155,0,0,0,285,115,90,5,15,10,60,40,40,15,3.1,56800,65500,49600,35,35,45,35,45,40,25,25,25,25,20,55,0,0,0,0,0,0,0,0,0,0,5,5,10,10,10,110,2.8,NA,335,145,0,0,0,0,0,0,0,0,0,0,64.5,9.7,2020,2120,1100000,1100000,0,NA,NA,NA,NA,35,0,85,0,0,0,50,0,210,40,145,0,40,10,65,0,50,30,0,0,105,0,0,0,0,10,50,25,30,10,0
"8","35240324","DA","35240324",0.1779,764,284,281,"3524002","3524","5370223.02","35537",280,35,0,0,0,370,265,175,20,60,15,95,55,50,20,3,45200,50800,40800,60,55,100,90,85,65,70,70,35,25,15,20,0,0,0,0,5,5,5,5,10,10,20,40,25,30,15,120,3.2,2.4,630,240,0,15,0,30,0,0,0,0,0,0,67.9,22.6,1800,1660,650000,685000,40,0,0,2020,1900,70,35,195,10,20,25,140,0,405,60,240,0,30,25,35,30,160,75,15,15,260,50,15,0,0,0,110,100,50,50,15
"9","35240325","DA","35240325",0.1974,494,180,179,"3524002","3524","5370223.02","35537",180,165,0,0,0,265,135,75,10,20,25,65,40,35,10,3,49600,58800,41200,25,35,65,50,45,35,30,30,30,25,15,25,0,0,0,0,0,5,0,0,5,0,10,10,20,10,15,95,4.4,NA,345,110,0,0,0,30,0,0,0,0,0,0,57.6,12.1,2000,1700,9e+05,9e+05,0,NA,NA,NA,NA,35,25,95,0,10,20,60,10,265,20,105,0,45,20,45,0,55,45,0,0,150,10,0,0,0,0,45,65,25,0,20
"10","35240326","DA","35240326",0.1442,483,183,181,"3524002","3524","5370223.01","35537",180,175,0,0,0,270,135,85,5,15,25,65,45,35,10,2.9,49200,62800,36800,35,40,60,45,40,50,30,30,25,20,10,30,0,0,0,0,0,0,0,5,5,0,15,15,15,15,10,95,4,2,325,140,0,0,0,0,0,0,0,0,0,0,52.8,11.1,1050,1450,9e+05,920000,0,NA,NA,NA,NA,30,15,65,10,10,10,40,10,250,25,130,0,25,15,30,10,80,45,0,10,145,10,0,15,0,0,80,30,35,10,10
