"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35180652","DA","35180652",0.1418,604,228,219,"3518017","3518","5320202.04","35532",220,190,0,0,0,320,205,135,20,30,25,90,45,35,10,2.9,44800,49600,39200,35,65,75,70,85,60,35,35,30,20,15,15,0,0,0,0,0,5,0,10,10,10,10,30,15,20,10,95,2.4,1.2,470,120,0,0,0,0,0,0,0,0,0,0,58.3,13.9,1380,1490,7e+05,695000,45,0,0,1660,1650,85,40,115,0,30,30,80,0,295,55,170,0,10,10,50,10,105,80,0,15,190,35,10,0,0,0,70,80,20,20,35
"2","35180654","DA","35180654",0.2562,634,183,179,"3518017","3518","5320202.08","35532",180,160,0,0,0,275,260,125,55,25,55,55,50,40,10,3,44000,52000,36400,35,45,65,65,65,35,30,30,15,15,15,30,0,0,0,0,0,0,0,5,5,5,10,10,10,10,15,85,6,1.8,390,65,0,0,0,0,0,0,0,0,0,0,65.5,24.1,1800,1760,8e+05,8e+05,25,0,0,NA,1200,40,35,100,0,10,20,80,0,205,25,170,0,10,10,50,10,70,25,0,0,125,0,0,0,0,0,35,45,15,25,15
"3","35180655","DA","35180655",0.4831,575,206,204,"3518017","3518","5320202.08","35532",205,190,0,0,0,330,170,115,10,20,25,95,35,45,5,2.8,49200,56400,43200,50,55,75,50,70,35,50,50,35,20,15,45,0,0,0,0,0,5,0,5,0,0,10,15,20,10,15,115,4,1,500,55,0,0,10,0,0,0,0,0,0,0,69.4,13.9,1560,2100,9e+05,910000,15,0,0,NA,1200,40,30,115,10,10,30,90,0,285,30,175,0,15,35,55,10,75,30,0,20,165,15,0,0,0,0,55,55,35,25,10
"4","35180656","DA","35180656",0.2063,640,218,217,"3518017","3518","5320202.05","35532",220,210,0,0,0,330,190,135,15,25,20,75,50,55,15,3.1,44400,50400,40800,50,60,75,60,75,45,35,35,35,30,15,25,0,0,0,0,0,0,5,0,5,5,10,20,20,20,20,100,6,2.8,485,50,0,0,0,0,0,0,0,0,0,0,66.7,0,1250,1470,7e+05,670000,0,NA,NA,NA,NA,75,35,135,0,35,25,115,0,240,35,195,0,10,0,25,10,85,45,0,20,155,0,0,0,0,0,65,65,35,0,10
"5","35180657","DA","35180657",0.1648,645,236,233,"3518017","3518","5320202.05","35532",235,170,0,0,0,325,210,150,5,35,15,80,60,45,15,3,47600,55200,40800,45,60,70,70,80,65,50,50,25,15,10,25,0,0,0,0,0,0,5,5,0,10,15,15,20,25,15,110,2.8,NA,460,120,0,0,15,10,0,0,0,0,0,0,76.7,18.6,1860,1800,695000,660000,0,NA,NA,NA,NA,65,25,175,10,25,15,120,0,335,40,135,10,20,15,35,10,95,60,15,35,205,15,0,0,0,0,60,85,30,25,30
"6","35180658","DA","35180658",0.1141,647,236,233,"3518017","3518","5320202.05","35532",235,140,0,0,0,300,205,145,20,30,15,80,40,55,10,3,51200,58400,42400,30,45,70,75,55,70,55,55,35,25,15,15,0,0,0,0,0,0,0,5,0,10,20,25,20,30,20,100,2.8,NA,540,115,0,0,0,0,0,0,0,0,0,0,65.1,11.6,1400,1450,650000,650000,20,0,0,NA,2000,85,50,170,10,45,50,145,15,370,55,110,0,25,30,30,10,125,120,0,10,275,10,10,15,0,0,70,145,60,25,15
"7","35180659","DA","35180659",0.1675,760,272,266,"3518017","3518","5320202.05","35532",270,200,0,0,0,390,245,180,15,30,20,95,75,45,15,2.9,48400,58400,40000,45,50,100,80,90,75,45,45,50,35,15,25,0,0,0,0,0,5,5,5,10,10,15,15,15,20,25,135,2.8,1.4,660,105,0,0,30,0,0,0,0,0,0,0,80,23.6,1760,1760,650000,628000,0,NA,NA,NA,NA,60,50,210,0,25,50,155,0,430,65,135,0,30,35,90,0,120,105,0,0,250,45,10,0,0,10,65,155,20,45,25
"8","35180661","DA","35180661",0.1353,683,235,232,"3518017","3518","5320202.05","35532",230,230,0,0,0,355,200,155,10,20,15,85,55,45,20,3,48000,55200,42400,45,60,80,70,70,40,40,40,40,30,15,45,0,0,0,0,0,0,0,0,0,5,10,20,15,15,20,130,3,1.2,520,175,0,20,0,30,0,0,0,0,0,0,77.8,20,1880,1920,750000,750000,0,NA,NA,NA,NA,35,20,155,15,0,15,135,15,360,60,180,0,15,20,75,15,115,100,0,15,250,0,10,10,0,0,60,100,50,40,35
"9","35180662","DA","35180662",0.2478,785,269,264,"3518017","3518","5320202.04","35532",265,255,0,0,0,450,230,170,10,20,25,100,70,60,15,3,50000,61200,43200,60,55,85,85,85,65,45,45,40,45,35,50,0,0,0,0,0,0,5,5,5,10,10,15,15,20,25,155,4.4,2.6,765,110,0,0,0,30,0,0,0,0,0,0,67.3,12,1760,2100,850000,880000,0,NA,NA,NA,NA,95,35,195,25,25,30,160,25,500,40,180,10,45,50,85,10,110,110,0,10,320,15,20,0,0,10,120,120,60,25,45
"10","35180663","DA","35180663",0.1933,588,190,190,"3518017","3518","5320202.04","35532",190,185,0,0,0,340,145,115,10,10,10,80,50,55,10,3,54400,65500,44000,55,45,40,45,55,35,40,40,30,50,25,50,0,0,0,0,0,0,0,0,0,0,5,10,10,15,10,130,2.4,NA,465,75,0,0,0,0,0,0,0,0,0,0,58.3,0,1380,1660,850000,810000,0,NA,NA,NA,NA,25,30,125,0,0,20,100,0,265,20,145,0,30,30,65,10,45,60,0,0,205,10,0,0,0,0,55,80,40,20,25
"11","35180665","DA","35180665",0.5613,2487,797,786,"3518017","3518","5320202.04","35532",785,620,0,0,0,1190,760,570,55,80,55,245,155,200,95,3.3,52000,60400,44000,155,185,255,190,225,210,180,180,135,120,75,115,0,0,0,0,10,5,10,15,15,15,35,45,60,50,70,450,3.4,1.2,1865,615,30,10,30,30,50,0,0,0,15,0,77.7,15.5,2100,2044,8e+05,760000,70,0,42.9,2220,2300,225,95,540,15,20,75,460,15,1220,185,555,0,95,125,210,10,345,220,0,80,770,60,45,15,0,10,205,310,145,105,135
"12","35180666","DA","35180666",0.0981,443,156,154,"3518017","3518","5320202.04","35532",155,125,0,0,0,210,130,90,10,20,10,40,45,30,10,3.1,46400,49600,44400,20,40,50,45,45,30,35,35,25,10,5,15,0,0,0,0,0,0,5,5,10,5,5,10,15,10,15,65,5.6,1.2,380,65,0,0,0,0,0,0,0,0,0,0,76,12,1760,1720,695000,660000,45,0,0,1300,1400,15,20,125,15,0,20,95,15,220,20,90,0,10,15,25,0,75,60,0,0,155,10,0,0,0,10,70,70,0,25,10
"13","35180676","DA","35180676",0.9276,411,143,139,"3518017","3518","5320202.18","35532",140,130,0,0,0,230,110,85,5,10,10,45,30,30,10,3.1,52800,58400,50000,20,30,45,35,50,40,30,30,25,25,10,25,0,0,0,0,0,0,0,0,5,5,5,5,10,5,10,85,3.6,2.8,360,40,0,0,0,0,0,0,0,0,0,0,60.7,14.3,1620,1600,750000,750000,0,NA,NA,NA,NA,20,30,115,0,0,25,95,0,220,30,85,0,20,0,25,0,35,50,10,25,165,10,0,0,0,0,40,90,25,10,15
"14","35180677","DA","35180677",0.4413,625,329,323,"3518017","3518","5320202.17","35532",325,40,0,0,0,280,275,110,20,75,65,125,30,25,5,2.5,46000,49600,44000,40,55,85,95,90,65,35,35,35,20,10,25,5,0,0,5,5,20,15,20,20,10,40,20,30,25,25,80,9.2,3.4,520,90,0,0,0,0,0,0,0,0,0,0,53.6,26.8,1190,1440,5e+05,512000,35,0,57.1,1320,1300,95,15,140,10,25,0,95,0,235,50,275,0,20,35,30,0,85,55,10,0,180,0,0,0,0,0,65,45,40,30,15
