"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","59151520","DA","59151520",0.0811,732,560,386,"5915034","5915","9330283.00","59933",390,0,370,0,0,340,325,235,25,50,15,125,40,20,5,2.6,36000,44400,30200,70,75,130,110,75,70,35,35,40,15,5,15,10,0,15,10,30,15,20,20,25,15,50,30,35,20,30,60,20.4,15,165,325,125,0,0,0,0,0,0,0,0,0,67.9,32.1,1140,1400,460000,480000,220,0,52.3,1550,1580,60,45,75,30,45,40,60,25,380,70,135,0,60,15,25,30,150,65,10,15,150,0,65,50,0,15,65,120,60,25,15
"2","59151521","DA","59151521",0.0911,938,459,436,"5915034","5915","9330284.01","59933",440,40,295,0,0,450,395,310,25,45,10,150,65,30,10,2.6,39200,44400,34400,140,75,135,110,105,60,55,55,40,40,15,35,25,10,5,5,10,15,15,20,20,20,35,45,30,35,25,120,16.8,13.2,275,475,135,10,0,35,0,10,15,0,0,10,68.1,36.2,1720,1680,650000,820000,215,0,46.5,1800,1860,45,20,125,60,20,20,105,50,585,65,155,0,120,50,70,20,190,40,0,30,250,25,100,35,0,0,80,120,155,45,20
"3","59151522","DA","59151522",0.1921,413,140,135,"5915034","5915","9330284.01","59933",135,105,0,0,0,220,140,105,10,10,20,60,30,25,5,2.9,44400,56400,36400,45,35,65,40,35,40,30,30,10,20,10,35,0,0,0,0,0,0,5,0,5,5,10,10,0,10,10,70,3.6,4,260,135,45,0,0,0,0,0,0,0,0,0,50,0,1500,1800,1700000,1760000,25,0,0,NA,2600,40,20,95,10,10,15,75,10,205,15,145,0,30,15,25,0,45,20,0,10,125,0,15,15,0,0,10,75,25,25,25
"4","59151523","DA","59151523",0.0393,432,272,226,"5915034","5915","9330284.01","59933",230,0,0,0,0,185,205,130,10,45,15,75,20,15,5,2.6,33600,36000,29800,35,65,90,65,55,35,25,25,10,5,0,5,5,0,0,5,10,20,15,25,20,10,25,20,15,15,5,35,19.6,7.6,145,290,10,0,0,0,0,0,0,15,0,0,65.7,34.3,1380,1330,452000,540000,55,0,45.5,970,1040,55,35,85,25,25,20,65,20,230,40,145,0,10,25,10,15,90,15,0,25,110,10,45,25,0,0,45,55,40,50,0
"5","59151524","DA","59151524",0.056,1971,1134,1086,"5915034","5915","9330284.01","59933",1085,0,855,0,0,920,850,705,45,85,25,360,110,45,10,2.4,41200,46400,37200,245,160,280,225,240,180,140,140,100,60,35,75,70,15,20,25,45,55,35,50,45,60,110,115,100,70,55,225,20.3,14.7,635,875,310,0,10,45,0,0,0,10,15,0,83,45.3,1880,1970,628000,644000,615,0,56.6,1740,1780,110,70,270,115,60,65,215,80,1110,125,445,10,175,50,125,70,340,145,10,15,525,40,105,20,0,35,110,245,230,80,55
"6","59151525","DA","59151525",0.1194,1577,792,772,"5915034","5915","9330284.01","59933",775,15,5,0,0,655,735,525,55,110,45,235,130,45,15,2.6,36800,40400,33200,180,170,240,230,185,130,75,75,70,35,20,30,15,5,20,25,35,30,35,45,40,50,80,70,65,60,55,130,18.4,12.7,705,745,135,10,0,15,0,0,0,25,0,0,80.8,44.2,1780,1840,640000,660000,520,8.7,32.7,1240,1345,110,120,205,45,45,100,185,30,895,125,365,0,75,85,125,30,295,215,0,15,430,40,185,35,0,10,120,220,210,85,75
"7","59151529","DA","59151529",0.1105,308,106,100,"5915034","5915","9330284.03","59933",100,75,0,0,0,160,110,90,0,5,10,35,20,20,10,3,36000,41200,32000,40,30,45,40,30,25,15,15,10,15,5,5,0,0,0,0,0,5,5,0,5,0,10,5,5,10,0,40,14,8.5,195,100,0,0,0,0,0,0,0,0,0,0,35.3,0,920,1680,1510000,1720000,20,0,0,NA,1600,40,10,25,0,25,10,20,0,155,0,105,0,0,10,10,0,30,50,0,15,85,0,20,0,0,0,0,25,40,10,20
"8","59151531","DA","59151531",0.1751,680,237,226,"5915034","5915","9330284.03","59933",225,80,0,0,0,305,265,185,15,35,25,80,45,55,20,3.1,40000,44400,36000,60,65,100,80,65,50,35,35,35,20,10,40,0,0,0,0,0,5,10,10,5,5,10,15,20,10,10,115,5.6,5.6,415,355,20,0,0,0,0,0,0,0,0,0,63.9,27.8,1700,1900,1400000,1620000,70,0,0,1510,1750,70,30,125,40,20,15,85,30,420,35,245,10,65,30,85,30,75,70,0,15,260,15,40,15,0,0,65,115,95,15,35
"9","59151532","DA","59151532",0.1303,586,226,217,"5915034","5915","9330284.03","59933",220,40,0,0,0,270,240,175,10,45,15,75,50,35,10,2.9,39600,44800,35200,60,55,85,70,60,55,35,35,25,10,10,20,5,0,0,0,5,10,5,5,10,5,20,20,15,15,10,85,7.6,6,295,235,15,0,0,15,0,0,0,0,0,0,77.4,29,1920,1960,1e+06,1040000,60,0,33.3,1390,1600,80,20,65,0,10,20,50,0,275,30,180,0,70,25,40,15,95,15,0,0,105,15,65,0,0,0,40,80,35,35,15
"10","59151534","DA","59151534",0.1632,434,161,158,"5915034","5915","9330284.04","59933",155,80,0,0,0,210,160,110,5,25,15,55,35,25,5,2.9,41200,49200,37200,40,30,60,65,40,30,25,25,20,15,15,25,0,0,0,0,0,5,0,10,5,5,5,5,10,15,5,80,4.8,4.5,260,150,40,0,0,15,0,0,0,0,0,0,71.4,28.6,2600,2760,1500000,1640000,60,0,41.7,2060,2100,40,20,80,25,0,10,60,30,235,20,130,0,30,0,35,15,40,55,0,0,145,0,35,0,0,0,45,35,60,40,10
"11","59151535","DA","59151535",0.1622,444,157,153,"5915034","5915","9330284.04","59933",155,120,0,0,0,210,175,120,15,25,25,60,30,30,5,2.9,35600,42800,31400,50,45,65,60,30,25,20,20,30,10,15,15,0,0,0,0,5,10,0,0,0,5,10,10,10,5,10,65,11.6,11.6,265,165,0,0,0,0,0,0,0,0,0,0,48,24,820,2040,1500000,1640000,35,0,0,NA,1600,75,40,35,10,35,30,20,0,205,0,180,0,20,0,35,0,70,55,0,10,150,30,0,0,0,0,45,70,60,10,0
"12","59151536","DA","59151536",0.322,940,338,314,"5915034","5915","9330284.01","59933",310,195,0,0,0,510,320,235,10,30,35,140,55,75,15,2.9,41600,51200,36000,95,105,120,80,90,85,60,60,35,25,15,80,5,0,0,5,10,5,5,5,10,10,15,20,20,15,20,165,7.8,5.4,595,340,20,0,0,20,0,0,0,0,0,0,41.2,19.6,880,1920,1700000,1720000,55,0,45.5,2240,2600,70,65,120,35,0,40,85,20,480,45,330,10,60,55,40,20,135,70,10,10,280,20,25,0,0,0,70,125,90,35,15
"13","59151537","DA","59151537",0.1645,480,168,156,"5915034","5915","9330285.02","59933",155,90,0,0,0,240,160,125,10,20,20,65,25,35,15,3,40400,45600,36800,45,50,65,60,50,30,35,35,20,15,10,15,0,0,0,0,5,0,5,0,0,10,10,15,15,10,15,70,6,5.6,325,150,0,0,0,25,0,0,0,0,0,0,55,15,2140,1880,1500000,1400000,60,0,0,1720,1560,40,30,105,10,20,25,90,0,265,25,95,0,20,25,35,0,80,60,0,10,200,10,10,0,0,0,30,90,60,30,20
"14","59151538","DA","59151538",0.2908,738,245,235,"5915034","5915","9330285.02","59933",235,185,0,0,0,380,245,185,15,20,20,70,60,55,20,3.2,48000,55200,39200,55,60,85,70,70,60,45,45,30,30,20,65,0,0,0,0,0,0,0,5,0,5,20,15,15,5,15,135,6.6,3.4,470,300,0,0,0,0,0,0,0,0,0,0,48.8,19.5,1410,2060,1500000,1620000,30,0,0,NA,1900,65,45,100,25,15,35,75,15,450,25,170,10,50,40,65,35,90,70,0,0,290,20,30,0,10,0,50,125,105,60,15
"15","59151539","DA","59151539",0.2503,598,206,196,"5915034","5915","9330285.02","59933",195,105,0,0,0,325,200,160,5,20,20,65,55,45,10,3,44000,50400,38400,75,60,65,55,70,55,30,30,20,25,10,40,10,0,0,5,0,5,0,5,10,10,10,5,20,10,15,95,14,11.2,310,330,15,0,0,10,0,0,0,0,0,0,51.6,22.6,1780,2200,2e+06,2120000,50,0,0,1500,2300,35,50,85,70,20,35,70,45,325,25,255,0,50,20,70,0,80,35,0,10,170,10,35,10,0,0,40,60,65,40,25
"16","59151540","DA","59151540",0.1839,543,184,174,"5915034","5915","9330285.02","59933",175,130,0,0,0,305,155,125,0,10,20,60,45,45,10,3,43200,53600,36400,50,55,65,45,45,35,45,45,25,15,15,35,0,0,0,0,0,5,0,5,0,0,10,10,5,10,10,100,5.2,3.8,340,175,20,0,0,0,0,0,0,0,0,0,51.7,17.2,1590,2040,1510000,1680000,40,0,0,1300,1560,65,60,105,15,20,35,70,0,275,35,185,0,30,20,40,10,90,50,0,0,185,10,15,10,0,0,50,85,55,30,10
"17","59151541","DA","59151541",0.1039,249,96,90,"5915034","5915","9330285.02","59933",90,55,0,0,0,135,85,55,5,5,10,40,20,15,5,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,80,0,0,0,0,0,0,0,0,0,0,58.8,NA,2220,2200,1500000,1440000,20,0,NA,NA,1600,10,15,50,0,0,15,50,0,145,0,80,0,15,20,0,0,40,35,0,0,95,0,10,0,0,0,35,25,20,20,15
"18","59151542","DA","59151542",0.2476,778,385,364,"5915034","5915","9330285.01","59933",365,80,0,0,0,350,350,255,15,60,20,110,50,40,10,2.8,42800,46000,40400,65,65,115,110,110,75,50,50,25,25,10,30,0,0,5,10,15,20,25,15,15,20,35,40,25,30,15,95,10,6.4,400,315,15,10,25,0,0,0,0,0,0,0,65.7,31.4,960,1820,4e+05,880000,155,0,35.5,1250,1340,100,65,135,20,50,40,110,15,395,35,200,10,50,25,25,20,125,80,0,0,195,15,40,20,0,0,40,85,85,40,20
"19","59151543","DA","59151543",0.1095,718,327,311,"5915034","5915","9330285.01","59933",310,40,0,0,0,315,320,215,20,60,30,90,50,45,10,2.9,34400,37200,32800,80,85,110,105,70,50,35,35,20,10,10,20,5,0,5,10,15,15,15,20,10,25,25,35,25,20,10,70,19.6,9.6,350,365,10,0,0,10,0,0,0,0,0,0,61.9,0,1230,1460,1200000,1260000,230,8.7,30.4,1080,1080,170,35,100,0,110,20,70,0,380,70,225,0,15,25,30,15,125,95,10,35,235,20,35,15,0,15,85,70,110,40,20
"20","59151544","DA","59151544",0.0518,473,290,283,"5915034","5915","9330285.01","59933",280,0,0,0,0,180,245,135,25,70,10,75,35,10,0,2.5,37600,44400,30200,30,55,100,70,70,60,25,25,5,0,0,5,0,0,0,15,25,20,10,30,20,20,35,35,25,10,10,20,20.8,13.2,245,135,30,15,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,275,7.3,42.6,1180,1200,50,30,50,30,40,30,35,25,225,40,115,0,15,35,15,0,90,50,15,0,105,25,40,20,0,10,30,80,45,15,25
"21","59151545","DA","59151545",0.3146,846,300,280,"5915034","5915","9330282.02","59933",280,140,0,0,0,425,305,245,5,25,30,100,50,70,20,3.1,37200,40400,32800,80,90,130,120,70,70,35,35,35,15,15,45,5,0,0,0,5,0,5,10,10,15,20,25,25,10,20,125,8,5,420,385,20,15,0,0,0,0,20,0,0,0,42.9,22,795,1660,1500000,1450000,65,0,38.5,1500,1600,150,30,90,25,70,25,60,20,395,70,275,0,60,45,35,10,125,65,0,10,230,25,25,20,0,0,75,105,65,40,30
"22","59151547","DA","59151547",0.1438,657,243,235,"5915034","5915","9330282.02","59933",235,15,0,0,0,265,295,180,25,35,65,60,50,35,5,2.9,39600,48400,33200,35,65,90,70,60,35,35,35,20,25,15,15,0,0,0,10,10,15,10,5,15,15,10,15,15,15,25,75,14.2,8.4,380,185,10,40,20,15,0,0,0,0,0,0,85,15,1860,2360,1e+06,1160000,145,20.7,46.4,1150,1240,85,35,70,10,60,25,65,10,310,55,115,15,30,25,15,15,105,40,0,25,185,30,20,0,0,15,55,75,70,25,20
"23","59151553","DA","59151553",0.1383,703,257,243,"5915034","5915","9330282.01","59933",245,50,0,0,0,360,240,170,10,35,20,80,60,50,10,3,38000,42000,34000,90,45,125,85,75,45,40,40,35,25,15,20,0,0,5,0,10,5,10,0,10,10,15,25,15,25,15,100,7.2,6.2,315,325,20,25,0,0,0,0,0,0,0,0,68.8,37.5,1760,2120,1100000,1260000,70,0,28.6,1450,1440,65,25,100,30,25,15,80,25,325,25,205,0,25,30,25,15,110,65,0,25,180,25,45,0,0,0,45,60,80,25,50
"24","59151554","DA","59151554",0.1697,639,235,222,"5915034","5915","9330282.01","59933",220,80,0,0,0,325,215,150,10,20,25,95,45,45,5,2.8,38800,42800,36800,55,70,80,95,60,35,40,40,25,20,15,30,0,0,0,0,10,5,10,15,5,5,15,15,10,15,5,105,14.4,9.2,320,335,30,0,0,0,0,0,0,0,0,0,52.8,19.4,1640,1880,1600000,1580000,55,0,0,1580,1600,125,35,100,15,55,15,90,10,340,30,240,0,25,30,45,15,85,60,0,15,195,15,30,10,0,0,100,70,50,20,20
"25","59151555","DA","59151555",0.1875,780,324,311,"5915034","5915","9330282.01","59933",310,40,0,0,0,375,285,200,15,45,25,90,50,45,20,3,42400,50800,37600,60,75,110,70,80,65,40,40,40,30,25,40,5,5,0,0,5,10,10,10,15,10,25,30,15,25,20,115,10,7.2,445,285,25,0,0,15,0,0,0,0,0,0,50,11.8,880,1360,890000,970000,140,0,39.3,1900,1800,50,45,85,15,20,30,70,0,390,55,190,0,35,30,65,10,95,70,0,10,225,20,20,0,0,0,60,80,105,30,10
"26","59151556","DA","59151556",0.0452,503,314,303,"5915034","5915","9330285.01","59933",305,0,125,0,0,200,250,160,20,55,20,80,25,15,5,2.6,42400,48000,36800,35,45,80,70,65,45,35,35,20,10,5,20,10,0,5,10,20,20,15,25,20,10,30,35,20,15,10,50,20.4,10.4,270,185,20,0,15,0,0,0,0,0,0,0,90,40,1840,1720,452000,490000,225,11.1,57.8,1280,1320,25,45,80,15,15,35,60,10,275,25,135,0,20,30,15,10,85,75,0,15,170,0,40,15,0,0,50,80,60,25,20
