"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","59152083","DA","59152083",0.2458,533,204,187,"5915011","5915","9330162.01","59933",190,40,0,0,0,235,225,160,10,30,25,60,40,30,10,3,35200,40000,31800,55,65,75,65,60,45,20,20,15,10,10,15,0,0,0,0,10,5,5,10,10,10,15,15,15,15,10,65,6.8,6,285,285,70,0,0,0,0,0,0,0,0,0,63.6,0,1030,1200,9e+05,860000,75,0,40,1470,1650,95,25,100,0,40,15,65,0,335,20,185,0,10,50,40,15,95,80,0,15,200,30,65,10,0,0,75,55,80,50,40
"2","59152084","DA","59152084",0.0634,275,85,84,"5915011","5915","9330162.01","59933",85,75,0,0,0,145,90,80,5,0,5,30,20,25,10,3.2,42400,45200,40000,35,25,30,15,20,20,20,20,15,15,10,10,0,0,0,0,0,0,0,0,5,0,0,0,10,5,10,45,6,5,140,95,0,0,0,0,0,0,0,0,0,0,58.8,NA,2220,1840,1350000,1380000,0,NA,NA,NA,NA,45,10,35,10,0,0,0,0,110,0,120,0,25,20,0,0,35,10,0,0,60,0,10,0,0,0,0,30,15,20,0
"3","59152086","DA","59152086",0.1364,692,221,201,"5915011","5915","9330162.01","59933",200,55,0,0,0,360,215,150,20,30,15,85,45,50,20,3,40400,47200,36400,45,75,70,100,70,75,40,40,25,20,10,10,0,0,0,0,0,0,5,0,5,5,10,10,10,15,10,115,3.4,3,350,270,55,25,0,10,0,0,0,0,0,0,57.1,14.3,1800,1800,1100000,1080000,55,0,30,1550,1650,65,35,155,0,20,25,105,0,345,40,180,0,40,15,35,20,110,60,0,20,170,25,60,0,0,0,45,115,85,15,20
"4","59152087","DA","59152087",0.0929,500,147,141,"5915011","5915","9330162.01","59933",140,45,0,0,0,225,195,155,10,15,10,55,25,40,10,3.1,32800,39600,28800,45,60,80,50,45,35,25,25,10,15,10,10,0,0,0,0,5,5,0,0,0,5,10,15,5,10,10,70,10,7.2,250,245,0,0,0,0,0,0,0,0,0,0,89.5,21.1,2060,2280,1100000,1180000,35,0,0,1000,1200,105,20,55,10,30,20,45,15,265,10,135,0,25,15,50,0,60,65,0,20,175,10,30,0,0,0,30,90,75,0,30
"5","59152088","DA","59152088",0.104,518,161,147,"5915011","5915","9330162.06","59933",145,45,0,0,0,245,215,170,10,15,20,60,25,35,15,3,36400,40400,32000,45,65,85,70,60,45,30,30,20,15,5,5,0,0,0,0,0,0,0,5,10,0,15,0,10,10,5,75,6.8,6,185,255,65,0,0,0,0,0,0,0,0,0,76.2,28.6,1880,2080,1300000,1420000,45,0,0,NA,1240,115,30,70,15,20,15,60,15,255,20,195,0,0,20,15,0,70,100,0,10,135,0,50,0,0,40,25,55,75,40,25
"6","59152089","DA","59152089",0.1466,606,162,149,"5915011","5915","9330162.06","59933",150,75,0,0,0,280,225,170,10,20,30,40,35,50,25,3.5,36000,44000,30000,55,65,100,75,50,45,30,30,15,20,10,15,0,0,0,0,0,0,0,5,5,0,10,10,10,5,10,80,3.8,2.4,240,230,75,0,0,0,0,0,0,0,0,0,78.9,31.6,2480,2280,980000,1100000,35,0,0,1300,1600,80,15,35,30,30,10,25,15,280,10,140,0,20,0,20,0,80,85,10,40,180,20,35,0,0,15,20,120,75,15,25
"7","59152090","DA","59152090",0.1152,623,177,165,"5915011","5915","9330162.06","59933",165,70,0,0,0,310,225,195,5,10,20,50,35,50,20,3.3,33200,35200,30200,50,75,120,115,65,40,10,10,15,10,10,10,0,0,0,0,5,0,0,0,5,5,15,10,15,10,10,80,6,8.4,260,275,125,0,0,0,0,0,0,0,0,0,58.8,23.5,1410,2080,1200000,1160000,90,0,22.2,1210,1400,115,20,75,25,65,10,30,15,395,10,170,0,0,10,55,10,115,145,10,0,225,55,65,0,0,15,85,80,100,55,45
"8","59152091","DA","59152091",0.336,1449,513,474,"5915011","5915","9330162.06","59933",475,105,0,0,0,670,570,420,25,50,75,160,85,95,30,3,35200,40000,31400,105,175,260,210,165,130,65,65,45,25,10,20,0,5,5,5,5,15,10,20,15,10,35,35,35,40,40,185,5.4,6.4,635,610,175,0,0,0,0,0,0,15,35,0,67.7,25.8,1980,1980,1150000,1090000,175,11.4,25.7,1200,1400,205,35,195,50,115,30,155,25,790,50,335,0,70,40,55,15,195,250,25,45,560,50,85,25,0,10,130,250,185,100,70
"9","59152108","DA","59152108",0.175,800,244,235,"5915011","5915","9330163.06","59933",235,85,0,0,0,390,310,250,15,15,30,90,50,45,25,3,35600,38400,34800,60,115,115,140,80,60,45,45,15,15,10,20,0,0,0,0,0,5,10,5,5,5,20,15,15,20,10,115,7.6,6,385,405,75,0,0,15,0,0,0,0,25,0,81.8,24.2,2060,2100,1200000,1160000,90,0,33.3,1400,1520,135,35,85,25,45,30,50,0,445,55,235,0,0,35,50,20,145,140,10,15,285,35,50,10,0,0,65,135,100,30,45
"10","59152109","DA","59152109",0.2415,1063,340,316,"5915011","5915","9330163.05","59933",315,110,0,0,0,460,435,310,25,45,50,100,75,75,30,3.2,35200,40000,32000,95,110,170,155,110,80,45,45,40,20,15,25,0,0,0,5,10,0,10,10,15,10,30,20,30,15,25,145,7,5,430,405,110,0,0,0,0,0,0,0,0,0,62.5,21.9,2060,1960,1e+06,1080000,130,0,26.9,1200,1300,125,65,145,40,45,45,85,20,485,20,275,0,25,25,50,10,145,170,0,15,305,25,55,20,0,0,95,110,100,55,40
"11","59152110","DA","59152110",0.0656,371,107,103,"5915011","5915","9330163.06","59933",105,40,0,0,0,170,140,100,15,5,20,35,25,25,15,3.2,30200,36400,27800,40,55,60,40,40,30,15,15,10,10,0,5,0,0,0,0,0,0,0,5,0,0,5,10,15,5,5,40,6.8,4.5,165,225,10,0,0,0,0,0,0,0,40,0,76.5,35.3,2460,2240,1200000,1360000,15,0,0,NA,900,70,20,15,25,30,10,15,20,200,15,110,0,0,20,0,0,95,55,0,10,160,25,10,0,0,0,35,70,60,0,25
"12","59152111","DA","59152111",0.0945,575,152,144,"5915011","5915","9330163.06","59933",145,80,0,0,0,250,235,190,10,15,20,35,45,40,20,3.4,34800,38400,30000,45,75,90,70,60,40,35,35,10,5,5,0,0,0,0,0,0,0,0,0,0,5,5,15,10,5,15,80,6.8,7.8,180,240,60,0,0,0,0,0,0,0,25,0,92.3,38.5,2660,2700,1200000,1200000,60,0,25,1210,1360,75,0,50,25,30,0,20,15,250,35,110,0,20,10,25,0,80,100,0,20,185,20,25,10,0,0,65,55,60,30,25
"13","59152112","DA","59152112",0.2635,1962,838,799,"5915011","5915","9330163.06","59933",800,95,0,0,0,900,795,535,50,125,85,265,155,100,30,2.8,37200,44000,32400,160,225,325,255,215,180,115,115,80,40,25,35,5,5,0,30,50,20,15,35,35,30,75,70,65,60,65,225,11.1,7.3,1030,775,175,10,25,30,0,0,50,0,45,0,75,27.9,1780,1800,7e+05,836000,465,21.5,31.2,1460,1390,260,120,290,80,125,75,220,50,1000,140,565,0,65,35,120,50,340,270,10,55,595,60,155,40,0,20,160,265,220,115,130
"14","59152113","DA","59152113",0.2624,1049,291,280,"5915011","5915","9330163.06","59933",280,90,0,0,0,465,405,310,15,35,35,85,65,70,40,3.3,35600,38400,33200,90,115,170,150,100,75,60,60,25,15,20,20,0,0,0,0,5,0,5,5,5,10,15,20,20,25,20,150,4.6,3.9,445,480,95,25,35,0,0,0,0,0,0,0,80.8,26.9,2420,2480,1200000,1260000,130,0,19.2,1380,1480,145,35,100,60,45,35,75,35,550,55,255,0,35,35,50,0,195,130,10,25,335,60,65,15,0,10,105,185,110,35,45
