"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","24810001","DA","24810001",0.5208,600,347,324,"2481017","2481","5050712.00","505",320,95,0,5,0,205,320,205,15,70,25,100,20,25,5,2.6,30600,34400,25600,35,105,145,85,55,55,15,15,5,0,0,10,0,0,10,30,40,20,20,25,20,15,40,30,15,5,10,30,26.4,8,565,10,0,20,10,0,0,0,0,0,0,0,68.2,27.3,1220,1180,240000,240000,205,0,34.1,750,830,200,80,50,0,100,55,50,0,235,10,260,0,10,15,15,0,80,65,0,0,130,20,15,30,0,0,65,50,25,35,20
"2","24810002","DA","24810002",0.1188,376,225,213,"2481017","2481","5050712.00","505",215,75,0,5,0,120,205,140,10,40,15,70,15,10,5,2.4,33200,33600,33200,20,70,70,65,35,35,15,15,0,5,0,0,0,0,5,20,25,15,10,20,20,15,15,20,10,10,10,15,28.4,7.2,355,10,0,10,0,0,0,0,0,0,0,0,66.7,33.3,1040,1000,2e+05,220000,145,17.2,34.5,710,730,115,65,20,0,85,60,15,0,135,45,135,0,10,10,20,0,50,20,0,15,80,0,10,10,0,0,25,35,35,0,0
"3","24810003","DA","24810003",0.323,458,195,190,"2481017","2481","5050712.00","505",190,115,0,0,0,190,190,120,5,40,25,70,20,20,10,2.7,35200,38800,34000,25,45,85,55,50,35,15,15,15,5,0,0,0,0,0,10,15,20,10,10,15,15,30,15,10,15,5,25,20.4,4,385,15,0,30,0,0,0,0,0,0,0,0,85.7,23.8,1170,1280,220000,224000,80,0,25,890,860,120,45,55,0,85,45,45,0,170,35,120,0,15,0,15,0,55,50,0,20,115,15,0,0,0,0,55,25,15,20,25
"4","24810004","DA","24810004",0.1884,346,166,159,"2481017","2481","5050712.00","505",160,120,0,0,0,165,125,85,0,20,20,70,20,15,5,2.6,39600,41600,36800,25,30,60,60,40,30,10,10,10,5,5,0,0,0,0,0,15,5,10,10,5,10,15,20,5,10,20,25,14.8,2,355,0,0,15,0,20,0,0,0,0,0,0,61.5,15.4,830,980,250000,260000,40,75,0,484,560,65,80,50,20,20,65,35,15,150,15,130,0,10,15,20,0,30,35,0,0,100,0,10,10,0,0,50,25,35,0,20
"5","24810005","DA","24810005",0.2305,471,271,253,"2481017","2481","5050712.00","505",250,100,0,0,0,175,235,130,10,70,25,80,25,5,10,2.6,31600,34400,27600,20,70,110,70,45,25,25,25,10,5,5,0,5,0,0,20,40,15,10,20,15,10,30,20,15,10,10,30,21.6,6,495,10,0,0,15,15,0,0,0,0,0,0,66.7,0,1130,980,250000,288000,145,13.8,41.4,745,770,150,125,50,10,60,90,40,0,190,25,240,0,15,20,25,0,60,65,0,10,140,0,0,15,0,10,70,15,50,20,20
"6","24810006","DA","24810006",0.1397,450,235,226,"2481017","2481","5050712.00","505",230,100,0,5,0,185,205,125,10,40,30,75,25,20,5,2.6,34800,37200,32800,25,65,90,95,60,30,15,15,10,5,0,0,0,0,5,10,20,10,20,15,15,15,15,20,20,20,10,30,20,6,395,0,0,10,0,0,0,0,0,0,0,0,60,15,760,840,2e+05,2e+05,120,0,45.8,810,760,100,80,40,0,45,30,25,0,125,30,215,0,0,10,10,0,60,35,10,0,70,25,0,0,0,0,35,35,20,10,0
"7","24810007","DA","24810007",0.4452,488,252,240,"2481017","2481","5050712.00","505",240,100,0,0,0,210,195,120,5,40,30,95,25,15,10,2.6,37200,36400,37200,25,50,100,80,55,45,25,25,10,5,0,0,0,0,0,10,25,10,15,25,15,10,30,25,15,15,10,35,17.6,2.4,475,20,0,50,0,20,0,0,0,0,0,0,74.1,22.2,1010,1000,250000,252000,115,0,43.5,755,860,120,100,40,10,70,75,30,0,225,25,175,0,10,35,35,0,60,60,0,15,185,0,0,0,0,0,60,55,75,10,20
"8","24810008","DA","24810008",1.1259,1805,866,842,"2481017","2481","5050712.00","505",840,240,0,0,0,850,625,335,30,115,145,335,100,65,35,2.7,43600,48000,38400,65,180,295,235,260,185,120,120,65,30,10,15,0,0,10,15,55,30,35,55,60,60,85,95,65,60,60,155,11.4,2.6,1775,60,0,45,20,70,0,0,0,0,0,0,72.1,5.8,1190,1164,276000,285000,395,26.6,24.4,1090,1088,425,265,265,20,205,200,195,0,765,50,665,20,50,40,100,10,195,165,10,20,535,25,10,25,0,10,205,140,170,45,40
"9","24810009","DA","24810009",0.505,551,286,271,"2481017","2481","5050712.00","505",270,95,0,0,0,215,240,155,20,45,25,95,30,20,10,2.6,38800,42800,36000,30,60,80,90,70,60,30,30,10,5,5,0,0,0,0,10,15,15,25,15,20,15,30,30,25,10,10,35,20.4,4,585,0,0,35,10,10,0,0,0,0,0,0,57.1,0,790,880,230000,276000,150,0,30,770,800,95,100,100,15,45,70,70,10,245,45,200,0,0,25,20,0,45,100,15,0,175,15,0,0,0,15,70,50,75,10,0
"10","24810010","DA","24810010",0.4365,469,202,198,"2481017","2481","5050712.00","505",200,70,0,0,0,225,155,105,5,30,10,80,30,25,10,2.8,45600,49200,42800,20,35,70,65,60,65,30,30,20,5,0,10,0,0,0,0,5,5,5,10,10,15,25,15,25,15,15,50,8,1.6,480,10,0,15,0,0,0,0,0,0,0,0,82.8,0,1030,1100,220000,268000,70,0,28.6,850,880,95,65,95,10,55,45,75,10,270,15,95,0,30,20,55,0,80,25,0,15,180,15,10,0,0,0,50,55,70,25,10
