"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35530032","DA","35530032",15.6516,409,182,178,"3553005","3553","5800017.02","35580",175,135,0,0,0,200,160,110,15,30,10,75,30,15,5,2.6,44000,46000,40400,20,45,55,50,55,30,30,30,15,20,10,5,0,0,0,5,5,0,10,5,10,5,20,10,10,20,10,65,9.6,4.5,345,25,0,20,0,10,0,0,0,0,0,0,46.2,0,880,1000,260000,375000,35,0,0,1400,1300,65,25,70,15,35,10,60,10,170,30,140,0,0,10,15,0,55,55,15,0,130,10,0,0,0,10,65,65,10,0,10
"2","35530034","DA","35530034",0.1954,518,201,196,"3553005","3553","5800017.01","35580",195,175,0,0,0,250,180,115,20,25,20,75,40,20,15,2.9,43600,47600,40000,35,45,55,65,55,45,35,35,25,20,10,5,0,0,0,0,0,0,15,0,15,10,25,20,10,10,20,70,6,1,525,25,0,20,30,0,0,0,0,0,0,0,41.9,0,665,1060,3e+05,320000,45,33.3,0,1000,960,100,35,120,10,35,25,95,10,220,30,215,0,20,10,45,0,80,25,0,0,145,15,0,20,0,0,60,90,15,20,0
"3","35530036","DA","35530036",0.3096,772,320,309,"3553005","3553","5800017.02","35580",310,170,0,0,0,375,260,170,20,45,30,115,65,40,15,2.9,51600,56800,49200,50,60,75,75,90,70,45,45,40,40,20,45,0,0,0,5,10,0,5,5,15,15,25,30,30,25,25,125,6,2.4,705,65,0,40,10,0,0,0,0,0,0,0,63,21.7,1640,1560,3e+05,376000,85,0,17.6,1360,1400,120,40,185,0,25,20,135,0,335,35,275,0,15,40,65,10,70,50,25,10,250,10,10,0,0,0,85,145,25,0,10
"4","35530037","DA","35530037",0.2156,452,187,179,"3553005","3553","5800017.02","35580",180,135,0,0,0,240,145,90,15,25,15,85,30,20,10,2.7,48400,52400,46400,35,40,45,55,50,50,30,30,20,15,10,15,0,0,0,0,0,5,0,0,5,5,20,20,20,15,15,65,5.2,5.2,370,25,30,40,10,0,0,0,0,0,0,0,65.5,20.7,1310,1440,3e+05,312000,25,0,0,NA,1500,40,15,125,0,0,15,85,0,180,25,150,0,20,20,15,0,45,25,0,10,130,10,0,10,0,0,75,50,10,20,0
"5","35530038","DA","35530038",0.1175,389,207,189,"3553005","3553","5800017.02","35580",190,35,0,0,0,155,180,125,15,25,10,60,20,20,5,2.7,39200,40000,34800,10,45,65,75,50,35,15,15,10,10,0,5,0,0,0,10,5,10,15,15,15,5,30,10,10,15,10,30,10.8,5.2,320,20,10,25,20,0,0,0,0,0,0,0,60,0,1290,1240,3e+05,3e+05,145,0,41.4,970,1060,70,35,80,0,30,30,70,0,175,30,95,0,0,10,20,0,85,45,0,0,115,15,0,25,0,0,95,60,0,0,0
"6","35530039","DA","35530039",0.1438,325,148,139,"3553005","3553","5800017.02","35580",140,115,0,0,0,155,135,85,10,20,15,55,25,15,5,2.7,44800,51600,34800,15,35,40,50,50,35,20,20,15,15,0,10,0,0,0,0,0,5,0,10,5,5,10,10,10,10,15,50,6,3.6,265,0,0,15,0,0,0,0,0,0,0,0,66.7,0,1330,1300,3e+05,296000,40,0,50,1170,1200,55,10,85,0,30,0,65,0,170,10,70,0,10,20,0,0,45,55,0,10,140,15,0,0,0,0,65,70,0,0,15
"7","35530040","DA","35530040",10.5215,424,184,176,"3553005","3553","5800008.00","35580",180,155,0,5,0,215,160,105,10,20,25,75,25,25,5,2.8,48400,61200,38800,25,35,45,65,50,45,35,35,10,20,15,10,0,0,0,0,5,0,0,10,0,10,20,15,20,15,10,70,3.6,NA,405,30,0,0,15,0,0,0,0,0,0,0,60,0,1580,1400,340000,355000,45,0,0,1180,1200,60,10,90,10,10,10,85,10,255,25,105,0,10,10,40,0,80,35,10,15,160,20,0,15,0,0,80,70,30,10,15
"8","35530041","DA","35530041",0.6284,448,183,181,"3553005","3553","5800008.00","35580",180,160,0,5,0,255,125,70,10,15,25,85,25,30,0,2.7,47600,52800,45200,25,35,50,55,60,45,35,35,20,15,10,15,0,0,0,0,0,5,5,5,5,5,20,20,15,10,20,75,3.6,NA,420,35,0,15,10,0,0,0,0,0,0,0,51.6,0,840,1220,324000,350000,20,0,0,NA,1300,65,20,135,0,0,20,95,0,220,15,145,0,15,0,45,0,50,50,10,0,160,15,0,0,0,0,100,85,0,0,0
"9","35530042","DA","35530042",0.1137,317,164,162,"3553005","3553","5800008.00","35580",160,55,0,0,0,145,155,90,15,30,25,70,20,10,5,2.4,48000,56000,41200,30,30,50,35,40,35,30,30,25,20,5,10,0,0,0,0,5,5,0,5,10,10,20,15,15,15,15,45,6,3.2,345,15,0,50,45,0,0,0,0,0,0,0,56.7,0,880,1160,280000,288000,20,0,0,NA,1200,40,35,95,0,15,15,65,0,180,15,140,0,20,10,20,0,50,45,0,0,115,10,0,20,0,10,80,60,0,0,0
"10","35530043","DA","35530043",0.1834,438,184,182,"3553005","3553","5800008.00","35580",180,170,0,0,0,230,165,110,10,20,25,85,30,20,0,2.6,43200,58000,35200,30,40,65,60,45,40,30,30,25,25,10,10,0,0,0,0,0,0,0,10,5,5,15,15,10,15,15,75,5.2,2,340,105,0,15,10,0,0,0,0,0,0,0,73.5,14.7,1500,1340,348000,360000,0,NA,NA,NA,NA,35,20,100,0,15,15,80,0,215,35,155,0,10,20,30,0,85,45,10,0,140,10,0,0,0,10,75,55,25,0,10
