"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35230052","DA","35230052",0.195,571,250,237,"3523008","3523","5500005.00","35550",240,215,0,0,0,230,230,145,10,40,35,85,40,30,15,2.9,42400,48400,39600,30,45,80,75,70,55,40,40,20,10,0,10,0,0,0,5,5,15,10,10,10,10,30,20,30,20,10,65,9.2,3.6,525,35,0,0,0,15,0,0,0,0,0,0,57.1,17.1,1350,1370,6e+05,645000,65,30.8,0,1390,1320,105,25,125,0,20,10,85,0,235,40,215,0,20,20,20,15,50,65,0,25,155,0,10,10,0,0,95,30,35,0,15
"2","35230054","DA","35230054",0.1673,468,192,184,"3523008","3523","5500004.01","35550",185,175,0,0,0,245,150,95,5,25,30,75,20,30,10,2.9,47200,54000,41600,45,35,45,60,55,45,25,25,25,15,10,20,0,0,0,0,0,5,0,5,10,10,15,5,10,15,15,80,5.2,3.6,375,80,0,0,0,0,0,0,0,0,0,0,45.7,0,735,1230,650000,665000,0,NA,NA,NA,NA,65,30,85,0,10,15,70,0,210,10,175,0,20,10,20,0,50,55,0,30,145,15,0,0,0,0,80,50,10,15,0
"3","35230055","DA","35230055",0.198,548,206,202,"3523008","3523","5500005.00","35550",205,170,0,0,0,280,165,105,15,30,20,75,40,35,15,3,44800,51200,38800,40,50,75,55,55,55,40,40,30,15,15,20,0,0,0,0,10,5,0,5,10,5,15,15,20,10,10,95,4.4,2.4,675,75,0,0,0,0,0,0,0,0,0,0,71.8,10.3,1900,1800,7e+05,735000,35,0,42.9,1620,1500,80,65,90,0,40,45,85,0,380,50,130,0,25,25,80,0,95,65,0,45,195,40,10,30,0,0,140,90,25,0,20
"4","35230056","DA","35230056",0.2665,489,196,192,"3523008","3523","5500012.00","35550",195,165,0,0,0,260,160,95,5,25,35,70,30,25,15,2.9,49600,57600,42400,20,50,55,65,60,35,25,25,30,20,10,40,0,0,0,0,0,5,5,5,0,5,10,10,15,20,20,90,3.6,2.8,420,70,0,0,0,0,0,0,0,0,0,0,45.2,0,1050,1420,8e+05,860000,30,0,0,NA,1500,60,20,115,10,10,10,95,0,295,10,130,10,35,15,45,0,70,65,0,25,170,30,0,0,10,0,95,60,35,10,10
"5","35230057","DA","35230057",0.3453,657,264,258,"3523008","3523","5500012.00","35550",260,225,0,0,0,330,210,145,5,25,35,100,40,40,15,2.9,49600,55200,44800,45,50,70,80,60,60,45,45,35,35,20,45,5,0,0,5,10,5,10,10,5,5,15,20,15,15,20,115,4.4,2.4,610,95,0,0,0,20,0,0,0,0,0,0,56.1,12.2,1540,1620,8e+05,850000,55,0,36.4,1580,1520,100,20,55,20,35,15,35,0,320,40,225,0,70,35,75,10,45,25,10,10,185,15,0,20,0,0,80,75,35,10,15
"6","35230058","DA","35230058",0.2028,513,220,211,"3523008","3523","5500012.00","35550",215,135,0,0,0,250,165,95,10,30,30,80,25,30,10,2.9,47600,57200,37200,20,40,65,50,60,50,35,35,25,15,10,25,0,0,0,0,10,5,5,0,15,15,20,15,15,25,15,70,5.2,2,485,65,0,0,0,0,0,0,0,0,0,0,42.9,10.7,1000,1460,750000,740000,80,0,31.3,1300,1380,90,30,90,0,45,10,70,0,235,20,165,0,10,20,30,0,40,45,0,50,125,30,10,10,0,0,100,25,35,0,10
"7","35230059","DA","35230059",0.2111,653,291,280,"3523008","3523","5500012.00","35550",280,185,0,0,0,255,325,170,20,60,75,75,30,25,10,2.8,38000,40000,37200,30,90,85,80,65,45,40,40,20,15,5,15,0,0,25,10,15,10,5,15,20,5,25,20,20,25,10,65,17.6,8.8,515,70,0,0,0,0,0,0,0,0,0,0,58.5,17.1,1100,1410,650000,650000,80,68.8,31.3,496,680,150,25,80,0,60,15,65,0,240,35,225,0,15,20,50,10,50,55,10,25,155,25,10,0,0,0,75,45,40,15,25
"8","35230060","DA","35230060",0.1952,477,211,209,"3523008","3523","5500013.01","35550",210,190,0,0,0,280,155,100,5,25,25,105,25,25,5,2.6,44800,49600,41200,15,50,85,55,55,45,30,30,25,25,5,20,0,0,0,0,0,15,10,10,5,5,15,20,20,15,10,80,6.4,2.8,395,40,0,0,0,25,0,0,0,0,0,0,37.8,0,665,1020,7e+05,680000,35,0,57.1,1110,1100,80,20,80,0,20,20,65,0,215,20,180,0,0,15,20,0,65,55,0,10,150,15,0,15,0,0,115,40,20,10,10
"9","35230061","DA","35230061",0.6336,629,281,273,"3523008","3523","5500013.01","35550",275,190,0,0,0,370,195,115,10,25,45,125,35,30,10,2.7,52800,66500,46000,45,50,70,65,65,55,50,50,40,30,20,70,0,0,0,0,5,0,10,0,10,10,15,25,25,15,20,130,6,2,590,55,0,0,0,10,0,0,0,0,0,0,44.7,8.5,1360,1620,8e+05,860000,40,0,0,1470,1750,70,35,110,15,20,20,75,0,270,20,250,10,15,10,40,0,45,65,15,25,155,15,0,0,0,0,105,65,0,0,10
"10","35230062","DA","35230062",0.2147,563,238,234,"3523008","3523","5500013.01","35550",235,175,0,0,0,290,195,130,10,30,25,95,35,30,10,2.7,47200,52000,41200,30,60,55,70,75,60,40,40,25,25,10,10,0,0,5,5,5,5,10,5,5,10,20,15,15,25,20,85,6.8,4,500,60,0,20,10,15,0,0,0,0,0,0,53.8,15.4,930,1190,650000,640000,50,0,0,1270,1400,70,35,105,25,45,25,85,20,280,30,160,0,30,10,40,0,65,60,0,20,180,20,0,0,0,0,60,100,30,0,0
