"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35140139","DA","35140139",4.2341,485,319,223,"3514019","3514","9969935.00","",225,220,0,0,0,280,165,85,15,35,30,95,30,25,5,2.6,44400,49600,40800,25,50,70,65,70,45,20,20,25,20,10,20,0,5,0,0,10,10,5,5,15,10,20,25,20,15,20,65,5.6,1.6,400,70,0,0,0,0,0,0,0,0,0,0,51.2,14.6,890,1230,552000,616000,0,NA,NA,NA,NA,90,35,100,10,35,25,85,10,250,50,140,0,0,25,25,0,80,80,0,45,195,15,0,0,0,0,20,135,25,15,25
"2","35140140","DA","35140140",12.3099,469,192,180,"3514019","3514","9969935.00","",180,175,0,0,0,275,125,95,10,10,10,90,30,30,10,2.8,43200,48800,40000,35,50,60,65,45,40,30,30,15,15,10,25,5,0,0,0,0,5,5,5,10,5,15,15,10,15,20,70,5.2,3.2,370,45,0,0,0,0,0,0,0,0,0,0,62.5,0,1360,1420,6e+05,620000,0,NA,NA,NA,NA,50,45,120,0,15,35,80,10,225,35,120,0,0,15,30,0,60,75,10,20,180,15,0,0,0,0,15,70,40,30,35
"3","35140141","DA","35140141",16.9623,481,179,170,"3514019","3514","9969935.00","",170,170,0,0,0,280,120,90,5,15,10,80,25,25,20,2.9,40400,50000,34400,35,65,50,70,40,40,20,20,20,10,15,25,0,0,0,5,5,0,0,5,5,10,15,5,10,20,10,80,8.4,1.6,490,30,0,0,0,0,0,0,0,0,0,0,62.5,21.9,1640,1480,645000,655000,0,NA,NA,NA,NA,60,30,105,0,35,20,80,0,275,40,110,0,10,10,25,10,95,65,20,30,185,15,0,0,0,0,25,115,35,15,10
"4","35140142","DA","35140142",25.0425,606,233,222,"3514019","3514","9969935.00","",220,220,0,0,0,345,155,95,15,25,25,95,30,45,15,2.9,48400,63200,37600,40,50,60,75,60,55,35,35,30,20,15,35,0,0,0,0,0,5,10,5,5,10,15,15,15,25,20,100,6,2,540,30,0,0,0,0,0,0,0,0,0,0,55.8,16.7,1370,1460,695000,740000,0,NA,NA,NA,NA,55,50,140,0,15,30,110,0,230,20,200,0,10,20,25,10,50,95,0,15,190,10,0,0,0,0,40,80,40,35,15
"5","35140143","DA","35140143",16.2489,491,194,188,"3514019","3514","9969935.00","",185,180,0,0,0,315,110,85,10,5,20,100,30,25,10,2.7,50000,56000,43200,25,50,50,55,65,40,35,35,30,15,20,35,0,0,0,0,0,0,5,0,10,10,5,10,20,15,10,100,3.2,NA,490,25,0,0,0,0,0,0,0,0,0,0,62.9,8.6,1270,1600,695000,715000,0,NA,NA,NA,NA,60,50,105,0,10,30,80,0,285,20,140,0,15,30,55,10,70,55,0,30,195,25,0,0,0,0,65,90,25,30,15
"6","35140144","DA","35140144",6.383,489,190,185,"3514019","3514","9969935.00","",185,175,0,0,0,295,120,80,10,15,15,100,25,30,10,2.7,45600,55200,37600,35,40,65,60,60,40,25,25,15,25,10,30,0,0,0,0,0,0,0,0,10,15,15,15,10,15,10,85,2,NA,395,45,0,0,0,0,0,0,0,0,0,0,57.6,9.1,1430,1510,685000,705000,0,NA,NA,NA,NA,35,40,155,10,10,30,145,0,240,30,140,0,20,25,20,10,60,60,0,25,135,10,0,0,0,0,45,50,40,15,0
"7","35140145","DA","35140145",9.7373,727,262,255,"3514019","3514","9969935.00","",255,245,0,0,0,410,210,155,5,20,30,90,60,60,15,3,48000,60000,37200,60,65,85,80,75,55,35,35,35,30,30,50,0,0,0,0,5,0,5,5,5,5,10,20,20,20,10,145,3.2,1,600,55,0,0,0,15,0,0,0,0,0,0,51,12.2,1180,1520,7e+05,745000,0,NA,NA,NA,NA,70,25,155,0,45,20,110,0,350,25,165,10,10,45,55,10,115,60,0,10,275,0,0,0,0,15,155,80,25,25,20
"8","35140146","DA","35140146",4.9322,573,222,218,"3514019","3514","9969935.00","",215,210,0,0,0,360,130,90,10,20,15,115,35,40,10,2.7,44800,57200,37600,40,55,75,60,50,55,40,40,25,20,10,35,0,0,0,0,0,0,0,10,10,5,25,10,25,15,15,100,2.8,NA,500,75,0,0,0,0,0,0,0,0,0,0,45.2,9.5,1000,1350,7e+05,760000,0,NA,NA,NA,NA,70,50,130,0,20,20,105,0,275,15,205,0,20,20,30,10,100,65,0,30,200,30,0,0,0,0,75,55,45,35,20
"9","35140147","DA","35140147",3.6501,545,214,211,"3514019","3514","9969935.00","",210,205,0,0,0,335,160,105,5,25,25,110,40,30,10,2.7,42000,50000,34400,35,55,85,80,65,45,35,35,25,15,10,30,0,0,0,0,0,5,0,5,15,5,15,20,15,20,20,90,3.2,1.6,455,50,0,15,0,0,0,0,0,0,0,0,55.3,0,1400,1450,650000,655000,0,NA,NA,NA,NA,60,80,115,0,25,45,80,10,220,15,210,0,0,10,20,0,40,90,0,10,170,10,0,0,0,0,90,30,10,30,25
"10","35140170","DA","35140170",15.2146,435,171,163,"3514019","3514","9969935.00","",160,160,0,0,0,250,130,85,10,20,20,70,30,25,10,2.9,42800,51200,36400,30,50,70,45,55,35,30,30,10,20,5,25,0,0,0,0,0,10,5,10,10,5,15,15,10,10,15,65,7.6,1.6,390,55,0,10,0,0,0,0,0,0,0,0,62.5,18.8,1390,1480,750000,820000,0,NA,NA,NA,NA,40,50,80,0,0,40,50,0,215,30,140,10,10,10,30,0,35,80,15,0,150,10,0,10,0,0,60,60,30,10,15
