"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","59330042","DA","59330042",0.214,580,292,283,"5933042","5933","9250006.02","59925",285,45,0,0,0,270,230,165,20,30,10,120,30,15,0,2.4,43200,50800,38000,20,55,80,100,90,50,35,35,30,10,10,20,0,0,0,0,5,5,15,15,20,10,35,20,30,25,20,70,6.4,3.2,485,55,50,0,20,0,0,0,0,0,0,0,72.4,0,1520,1380,360000,385000,145,0,46.4,1410,1420,60,20,100,40,20,10,70,35,340,50,120,10,30,35,55,15,125,40,10,20,220,0,30,15,0,0,140,110,15,10,0
"2","59330043","DA","59330043",0.5692,1200,497,485,"5933042","5933","9250006.02","59925",485,115,0,0,0,565,555,280,40,75,165,210,40,30,5,2.4,45200,51200,40800,75,85,140,130,120,100,80,80,55,40,20,40,10,5,0,5,10,15,15,15,15,35,55,55,40,40,30,130,7,5.6,750,145,65,45,25,30,0,0,0,0,0,0,54.2,16.7,1130,1276,452000,504000,130,0,23.1,1300,1320,70,65,130,25,25,40,80,20,495,10,360,0,55,40,45,10,125,100,20,0,350,40,0,25,0,0,245,120,25,15,15
"3","59330045","DA","59330045",0.4143,783,347,332,"5933042","5933","9250005.01","59925",330,90,0,0,0,325,335,230,30,50,30,135,50,35,10,2.6,41600,48800,38400,60,65,95,115,90,65,45,45,35,25,20,20,0,0,0,0,5,10,15,15,20,20,25,20,30,40,25,100,10,3.8,610,115,25,70,15,0,0,0,0,0,0,0,61.5,13.5,1270,1280,424000,460000,80,43.8,0,1200,1240,85,60,120,15,30,35,90,0,365,25,265,0,20,35,55,0,80,85,10,20,285,20,25,0,0,0,155,105,30,25,10
"4","59330047","DA","59330047",0.4641,1234,570,552,"5933042","5933","9250005.01","59925",555,180,0,0,0,605,485,300,40,75,70,230,75,35,15,2.6,42400,51600,37600,85,120,180,160,140,110,90,90,65,35,25,50,5,0,10,10,5,20,15,20,25,25,50,60,45,50,30,175,7,4.6,1000,165,90,0,35,20,0,0,0,0,0,0,53.4,8.2,1200,1310,6e+05,602000,195,0,46.2,1570,1530,125,85,165,80,35,55,115,40,620,50,450,0,60,65,105,25,205,100,15,10,440,40,25,15,0,10,300,155,40,20,15
"5","59330048","DA","59330048",0.1861,677,318,307,"5933042","5933","9250005.01","59925",305,35,0,0,0,270,340,255,10,60,20,105,30,20,5,2.6,40800,44000,36800,55,80,105,95,75,55,50,50,35,20,10,20,5,0,0,0,10,15,10,5,15,15,35,35,35,25,25,85,6.4,8.4,555,75,85,65,20,60,0,0,0,0,0,0,65.7,14.3,1430,1390,440000,484000,135,0,29.6,1660,1580,75,45,75,15,25,35,50,15,450,40,150,0,30,50,75,0,165,65,0,20,280,15,45,25,0,0,185,155,25,15,0
"6","59330049","DA","59330049",0.7682,1146,520,484,"5933042","5933","9250005.01","59925",485,150,0,0,0,450,575,370,30,80,95,175,50,25,15,2.6,39600,44800,34000,80,115,170,130,110,90,70,70,45,30,15,35,10,0,5,15,20,25,15,20,20,30,55,45,35,40,30,120,11,8.6,890,95,120,40,45,45,0,0,0,0,0,0,55.4,0,980,1140,552000,508000,240,0,50,1200,1300,60,35,165,40,25,20,115,30,650,45,265,0,50,80,120,10,215,80,10,25,400,50,45,25,0,0,265,200,30,25,10
"7","59330050","DA","59330050",0.1181,390,174,170,"5933042","5933","9250005.01","59925",170,25,0,0,0,135,175,135,5,30,5,45,25,10,10,2.9,37600,41200,34400,30,40,65,45,45,30,25,25,15,10,0,5,0,0,5,5,0,10,10,5,5,10,20,20,20,15,5,30,18.5,13.2,260,65,40,10,25,0,0,0,0,0,0,0,50,16.7,745,820,320000,4e+05,70,0,42.9,1360,1360,20,20,50,30,0,20,30,25,205,40,55,0,25,15,30,0,100,35,0,0,115,30,20,10,0,0,110,50,20,0,0
"8","59330051","DA","59330051",0.0723,332,170,166,"5933042","5933","9250005.01","59925",165,25,0,0,0,90,190,145,10,30,0,55,20,10,5,2.6,32400,36000,32000,35,35,55,40,35,20,15,15,10,5,0,5,0,0,5,5,10,15,10,10,15,10,20,15,10,5,5,20,25.6,9.5,250,15,25,20,20,0,0,0,0,0,0,0,40,0,580,840,240000,390000,120,37.5,29.2,870,880,40,10,55,15,10,0,50,15,135,10,115,0,0,15,10,0,55,20,0,10,90,10,25,0,0,0,80,35,10,0,0
"9","59330054","DA","59330054",0.328,602,242,236,"5933042","5933","9250009.00","59925",235,170,0,0,0,290,235,160,5,35,30,90,30,25,15,2.8,44000,51600,40000,40,55,100,60,60,45,35,35,25,20,20,55,0,0,0,0,5,5,10,10,5,0,15,20,20,15,15,115,5.2,3.6,505,50,45,10,0,40,0,0,0,0,0,0,58.8,0,1180,1390,650000,665000,65,0,46.2,1000,1160,50,25,70,25,10,10,45,10,300,0,190,0,30,25,60,10,90,50,0,0,165,15,10,35,0,0,130,75,20,0,0
"10","59330055","DA","59330055",0.2277,479,197,194,"5933042","5933","9250009.00","59925",195,95,0,0,0,235,210,165,5,25,15,85,25,15,5,2.5,39600,37600,41200,40,45,85,60,50,50,25,25,25,15,5,20,0,0,0,0,5,10,10,0,0,10,20,15,15,10,15,75,7.2,8.5,330,30,80,10,20,0,0,0,0,0,0,0,39.1,0,745,1200,6e+05,610000,80,0,37.5,1310,1440,50,25,75,35,10,10,60,15,220,40,160,0,0,20,20,25,130,15,15,0,90,15,40,45,0,0,110,70,0,0,10
