"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","59350022","DA","59350022",14.0053,1266,625,526,"5935010","5935","9150019.03","59915",525,360,0,0,0,780,335,220,20,65,25,240,75,70,15,2.7,52000,60000,45600,125,80,140,120,135,85,70,70,65,55,45,175,15,0,5,5,15,15,10,10,10,20,25,30,30,25,25,280,9,4.2,930,195,0,0,30,50,0,0,0,0,0,0,58.8,21.3,1510,2160,1100000,1188000,80,0,37.5,1740,2120,80,115,215,25,15,80,165,20,610,50,330,10,55,85,55,20,165,110,10,10,400,15,0,0,0,0,105,230,75,0,25
"2","59350023","DA","59350023",2.4501,1815,632,600,"5935010","5935","9150019.03","59915",600,365,0,0,0,935,505,355,30,60,65,200,110,150,50,3.1,54400,68000,44000,145,120,160,140,135,135,110,110,90,75,55,170,0,0,0,10,10,10,10,15,15,10,30,35,30,30,30,365,5.1,1.9,1590,135,20,10,60,35,0,0,0,0,0,0,73.4,22.9,2480,2360,950000,1e+06,60,0,45.5,1600,1850,135,95,260,25,25,85,215,30,950,60,360,20,70,75,170,45,215,145,20,35,590,30,10,0,30,25,250,340,80,10,10
"3","59350024","DA","59350024",0.0894,374,133,128,"5935010","5935","9150019.04","59915",130,80,0,0,0,200,100,75,10,10,5,55,20,30,5,2.9,47600,50400,44400,30,25,50,30,45,35,15,15,15,15,15,10,0,0,0,0,0,0,0,0,5,5,10,5,15,5,15,60,6.4,2,350,25,0,0,25,0,0,0,0,0,0,0,68.2,0,1800,1800,8e+05,750000,0,NA,NA,NA,NA,20,25,60,15,0,15,50,15,225,10,70,0,20,35,35,0,80,20,0,0,165,15,0,0,0,0,115,55,0,0,0
"4","59350025","DA","59350025",0.1241,377,123,123,"5935010","5935","9150019.04","59915",125,85,0,0,0,195,100,80,5,15,5,45,20,30,10,3.1,46000,54800,36800,30,30,45,40,45,30,25,25,15,15,10,10,0,0,0,0,0,0,0,0,5,0,0,10,10,10,15,60,3.6,1.6,340,60,0,0,0,10,0,0,0,0,0,0,81,0,1900,1760,8e+05,790000,20,0,0,NA,1500,15,15,80,15,0,15,55,15,215,0,70,0,15,20,20,15,70,25,0,0,150,10,0,0,0,0,65,85,15,0,10
"5","59350026","DA","59350026",0.4093,792,290,281,"5935010","5935","9150019.04","59915",280,210,0,0,0,415,205,150,15,25,15,105,55,55,15,3,50400,56000,45600,45,55,85,70,90,55,60,60,35,30,30,50,0,0,0,0,0,0,0,10,10,15,15,20,20,20,25,145,6,2.6,735,95,10,35,30,25,0,0,0,0,0,0,69.6,10.9,1920,1960,8e+05,810000,50,0,0,1440,1560,80,70,110,20,20,50,85,25,440,35,150,0,35,65,50,15,125,70,0,0,310,10,0,0,0,10,135,160,10,10,20
"6","59350027","DA","59350027",0.1145,415,134,130,"5935010","5935","9150019.04","59915",130,105,0,0,0,215,120,85,10,15,10,40,25,35,10,3.2,47200,60400,36000,35,30,40,45,35,35,25,25,20,20,15,20,0,0,0,0,0,0,0,5,0,0,10,10,10,5,10,80,2.8,NA,380,40,0,25,15,20,0,0,0,0,0,0,77.3,0,1720,1840,8e+05,790000,0,NA,NA,NA,NA,35,25,70,10,0,30,50,10,260,15,55,0,25,35,35,0,65,35,0,15,175,0,0,0,0,10,65,115,0,0,15
"7","59350028","DA","59350028",0.1211,272,102,101,"5935010","5935","9150019.04","59915",100,90,0,0,0,140,90,60,0,10,10,40,15,15,10,2.9,49200,52400,46400,20,30,25,35,30,25,20,20,15,10,10,5,0,0,0,0,0,0,0,5,0,0,5,10,15,5,5,50,7,NA,190,35,0,0,0,0,0,0,0,0,0,0,47.4,NA,795,1460,750000,740000,0,NA,NA,NA,NA,40,15,35,15,0,10,35,15,130,0,75,0,10,10,10,10,40,25,0,0,90,0,0,15,0,10,70,30,0,0,0
"8","59350029","DA","59350029",0.4986,1859,775,757,"5935010","5935","9150019.04","59915",755,110,0,0,0,825,800,425,50,145,175,270,75,75,25,2.7,41200,46000,39200,95,155,255,240,205,150,125,125,65,35,20,40,5,0,5,15,25,35,30,40,45,35,75,80,80,65,40,190,9.6,5.1,1310,345,55,40,30,50,0,0,0,0,0,0,52.6,21.1,775,1256,5e+05,552000,325,13.8,48.4,1800,1680,125,95,285,80,35,55,195,50,895,100,465,0,55,90,130,20,285,150,30,25,585,25,40,50,20,0,295,335,80,0,15
"9","59350030","DA","59350030",0.2896,1123,413,393,"5935010","5935","9150019.04","59915",390,105,0,0,0,465,360,250,30,60,15,125,100,75,20,3,46400,52400,43200,60,75,105,115,130,90,70,70,60,35,20,25,0,0,0,0,10,10,10,15,15,10,30,35,30,30,35,155,8.4,3.4,930,170,0,15,75,10,0,0,0,0,0,0,87.2,30.8,1920,1800,6e+05,636000,200,32.5,27.5,1500,1720,70,65,165,55,25,55,145,40,575,60,175,0,30,75,60,20,200,110,20,20,400,10,20,0,20,0,175,220,25,15,20
"10","59350031","DA","59350031",6.0465,823,373,344,"5935010","5935","9150019.01","59915",340,150,0,0,0,375,350,270,20,45,15,110,55,35,5,2.7,39600,44800,35200,50,85,145,100,105,95,40,40,30,20,10,20,5,0,5,5,15,15,15,10,15,10,40,25,25,25,25,105,9.6,6.2,625,135,30,20,10,0,0,0,0,0,0,0,64.7,20.6,1530,1570,650000,735000,160,0,43.8,1320,1460,95,100,115,20,50,80,90,15,485,40,170,0,40,20,20,15,155,105,40,25,340,15,0,0,0,0,155,165,25,0,0
