"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","59152341","DA","59152341",0.1944,1092,557,451,"5915002","5915","9330503.08","59933",450,20,0,0,0,540,345,195,20,50,75,165,90,40,20,2.8,46000,52800,38400,50,75,135,145,155,100,80,80,45,30,15,25,5,0,0,0,10,15,10,20,25,20,40,30,45,35,50,150,7.2,4.4,640,350,40,0,0,0,0,0,0,0,0,0,64.4,12.3,1540,1595,650000,618000,60,0,0,1700,1800,145,80,150,30,70,50,100,20,540,35,305,0,60,35,30,15,150,115,10,15,345,30,35,0,0,10,80,120,95,75,50
"2","59152342","DA","59152342",0.2406,316,116,111,"5915002","5915","9330503.08","59933",110,90,0,0,0,165,85,55,5,15,10,45,15,30,10,3,45600,54800,36000,15,20,40,30,35,15,25,25,20,10,5,15,0,0,0,0,0,5,0,5,5,0,10,10,5,10,5,50,7.2,4.5,260,65,0,0,10,0,0,0,0,0,0,0,60,30,1380,1600,1e+06,1020000,20,0,0,NA,NA,40,15,50,15,30,15,35,10,150,10,95,0,15,0,30,0,40,30,15,0,110,10,0,0,0,0,30,35,25,30,10
"3","59152343","DA","59152343",0.1638,1106,536,523,"5915002","5915","9330503.08","59933",525,30,0,0,0,535,400,265,35,65,30,175,75,45,15,2.7,50000,59200,42400,65,70,105,135,165,140,95,95,65,25,10,15,10,0,5,0,20,15,15,20,20,30,65,55,50,55,40,130,8.8,5.2,645,390,15,20,15,25,0,0,0,0,0,0,91.1,34.2,1660,1730,448000,532000,100,0,40,1600,1560,60,75,190,40,25,60,175,35,640,30,185,0,45,75,50,15,150,130,25,45,470,40,30,10,0,10,150,140,185,60,30
"4","59152344","DA","59152344",0.0967,1039,522,506,"5915002","5915","9330503.06","59933",505,10,0,0,0,465,425,250,40,90,45,175,45,40,20,2.7,44000,52000,39200,50,85,135,170,135,125,80,80,35,20,20,20,5,0,0,5,15,20,20,30,30,30,60,50,45,35,35,120,7.6,5,745,290,20,50,50,10,0,0,0,0,0,0,62.3,24.5,1380,1310,448000,484000,265,0,49.1,1680,1620,140,55,185,30,60,40,135,25,570,35,295,0,25,40,60,0,190,95,0,50,365,50,30,20,15,0,120,170,110,50,30
"5","59152345","DA","59152345",0.1121,1023,590,579,"5915002","5915","9330503.06","59933",575,0,0,0,0,425,505,260,40,125,80,190,40,20,10,2.4,43200,48800,38800,55,85,170,150,155,110,90,90,35,20,5,15,5,0,0,15,25,40,25,30,40,45,70,70,55,60,35,65,10.2,5,700,345,0,0,0,15,0,0,0,0,0,0,55.1,19.2,920,1164,416000,414000,230,0,39.1,1360,1360,145,110,180,45,65,75,120,35,540,40,395,0,35,35,75,10,130,130,10,25,360,30,40,10,0,0,120,140,90,50,45
"6","59152346","DA","59152346",0.084,1057,500,488,"5915002","5915","9330503.06","59933",490,5,0,0,0,445,445,260,35,90,65,155,60,40,20,2.7,42000,50800,37600,60,85,145,155,105,115,75,75,40,15,10,15,5,0,5,10,30,25,10,35,25,15,55,60,40,35,45,100,12.4,6.2,710,365,15,0,55,45,0,0,0,0,0,0,77.8,19,1480,1440,424000,448000,180,0,33.3,1320,1350,135,105,185,20,60,90,145,10,580,50,290,0,50,45,60,15,140,175,15,50,410,35,15,15,0,0,120,160,105,50,50
"7","59152347","DA","59152347",0.0725,1009,483,472,"5915002","5915","9330503.06","59933",470,5,0,0,0,445,395,265,35,75,20,185,60,40,15,2.6,46000,52800,41200,55,90,105,145,165,105,70,70,40,30,5,10,5,0,10,10,10,15,20,20,20,30,60,40,40,35,50,110,13.4,7.4,695,290,65,0,20,15,0,0,0,25,0,0,76.8,26.8,1410,1480,448000,460000,210,19,35.7,1530,1470,115,100,145,60,65,75,125,55,660,20,195,0,45,25,45,45,160,150,50,30,430,25,40,45,0,0,110,195,135,55,55
"8","59152348","DA","59152348",0.0437,415,195,186,"5915002","5915","9330503.07","59933",185,0,0,0,0,145,195,120,25,35,10,50,20,20,5,2.9,37600,42400,33600,25,45,70,65,50,30,20,20,15,5,10,5,0,0,0,10,15,10,15,10,10,10,15,15,15,15,15,40,13.6,7.6,295,90,20,0,0,0,0,0,0,0,0,0,88.2,0,1660,1640,488000,460000,95,0,52.6,1250,1200,50,40,65,15,30,30,45,10,220,10,90,0,10,10,20,10,75,30,15,25,130,10,55,10,0,0,35,75,45,20,30
"9","59152350","DA","59152350",0.0982,784,501,482,"5915002","5915","9330503.07","59933",480,0,0,0,0,350,370,135,35,115,80,155,30,5,5,2.4,36400,43200,31200,40,85,175,130,125,55,45,45,35,5,0,10,5,0,0,10,50,50,30,40,40,30,45,35,60,20,20,45,18,6.6,600,170,0,10,10,0,0,0,0,0,0,0,57.3,25.3,1000,1060,352000,372000,105,0,42.9,920,940,95,115,140,40,25,55,75,30,310,45,385,0,25,10,25,0,105,50,20,30,195,15,20,0,0,0,95,55,45,25,25
"10","59152351","DA","59152351",0.1997,546,188,181,"5915002","5915","9330503.03","59933",180,120,0,0,0,245,190,130,20,20,20,65,35,50,15,3.1,41600,48800,36400,45,35,70,65,60,40,20,20,30,20,10,15,0,0,0,0,0,0,5,0,5,5,10,10,15,15,10,90,7.8,3.8,455,105,0,30,25,25,0,0,0,0,0,0,88.5,19.2,1720,1880,950000,9e+05,55,0,27.3,1280,1480,65,45,95,15,30,40,80,15,335,15,85,0,30,35,20,0,125,60,10,10,235,25,10,25,0,0,85,115,50,25,15
"11","59152352","DA","59152352",0.3,618,198,193,"5915002","5915","9330503.03","59933",195,150,0,0,0,290,175,125,15,15,15,60,30,70,15,3.3,45200,54400,39600,45,45,60,70,50,45,35,35,35,25,15,30,0,0,0,0,5,5,5,5,5,5,10,10,15,10,10,110,4,2.8,490,110,0,15,0,0,0,0,0,0,0,0,69.7,12.1,2120,1960,990000,980000,30,0,0,NA,1400,70,40,105,10,15,40,85,10,310,25,130,0,10,30,40,15,70,75,15,0,235,25,0,0,0,0,90,75,40,45,15
"12","59152353","DA","59152353",0.1782,399,135,127,"5915002","5915","9330503.03","59933",130,90,0,0,0,205,115,90,0,20,10,40,30,30,10,3.2,44800,54000,35200,25,35,50,45,35,30,30,30,15,15,10,15,0,0,0,0,0,0,0,5,0,5,10,10,10,5,5,65,3.2,3.2,300,60,0,0,0,0,0,0,0,0,0,0,75,25,1900,1800,1e+06,1020000,0,NA,NA,NA,NA,50,0,40,10,20,0,30,10,190,10,90,0,10,10,35,0,45,45,10,0,135,10,0,0,0,0,40,35,50,10,10
"13","59152354","DA","59152354",0.1704,513,182,177,"5915002","5915","9330503.03","59933",180,85,0,0,0,255,160,115,10,25,15,65,35,40,15,3,44800,59600,38800,35,45,50,65,50,45,35,35,35,15,5,15,0,0,0,0,5,0,5,0,10,0,15,10,20,20,10,80,6.8,5.2,515,25,0,20,30,0,0,0,0,0,0,0,74.2,25.8,1940,1800,9e+05,840000,35,0,0,NA,1200,55,65,100,20,20,60,90,10,285,25,130,0,25,10,40,15,60,110,0,10,240,0,0,10,0,10,70,65,75,25,30
"14","59152355","DA","59152355",0.1986,513,162,155,"5915002","5915","9330503.03","59933",155,120,0,0,0,275,145,125,5,5,15,60,25,45,20,3.2,48800,58800,37600,45,45,55,40,50,55,40,40,30,15,10,25,0,0,0,0,0,0,0,0,5,0,5,5,5,15,10,95,3.2,2.4,415,80,0,0,0,20,0,0,0,0,0,0,50,0,1040,2040,1100000,1200000,20,0,0,NA,NA,50,65,80,10,30,30,55,0,260,20,135,0,25,15,25,15,70,70,0,15,190,0,0,0,0,0,45,35,70,20,35
"15","59152356","DA","59152356",0.2195,483,172,161,"5915002","5915","9330503.03","59933",165,110,0,0,0,245,160,120,5,15,15,65,30,30,15,3,43600,50800,38400,45,30,75,50,45,40,25,25,25,20,10,20,0,0,0,0,5,0,0,5,0,5,10,10,15,15,5,85,5.6,4.4,450,60,0,0,15,20,0,0,0,0,0,0,76.9,15.4,2640,2400,1200000,1080000,35,0,0,1140,1000,75,50,75,10,20,45,60,10,290,10,115,10,0,10,40,15,60,105,0,10,240,10,0,0,0,0,55,80,60,45,0
"16","59152357","DA","59152357",0.1209,294,111,104,"5915002","5915","9330503.03","59933",100,85,0,0,0,180,65,40,5,15,10,45,20,15,10,2.8,48000,73000,31600,25,25,25,25,40,15,20,20,15,10,10,20,0,0,0,0,0,0,0,0,0,5,0,5,5,0,15,60,8,6,210,25,0,0,0,0,0,0,0,0,0,0,66.7,NA,2020,2500,1300000,1360000,0,NA,NA,NA,NA,25,25,60,0,15,25,35,0,75,0,95,10,0,0,0,0,10,25,0,0,50,0,0,0,0,0,20,10,15,0,10
"17","59152358","DA","59152358",0.5155,898,298,293,"5915002","5915","9330503.03","59933",295,255,0,0,0,500,250,170,15,40,25,135,50,65,20,2.9,50800,68500,39200,60,80,95,70,100,60,85,85,50,45,20,60,0,0,0,0,0,0,0,0,5,5,15,15,10,25,20,185,2.4,2,805,195,0,15,0,50,0,0,0,0,0,0,76.8,12.5,2640,2480,1110000,1200000,30,0,0,NA,1900,105,70,160,40,30,55,125,35,600,40,210,25,45,30,75,0,165,150,10,30,425,10,30,0,0,10,100,170,105,55,50
"18","59152359","DA","59152359",0.4081,843,305,295,"5915002","5915","9330503.03","59933",295,220,0,0,0,450,250,175,5,40,30,110,55,70,15,3,48400,55200,40400,70,65,85,95,110,65,70,70,40,35,25,35,0,0,0,0,10,0,5,10,5,10,20,15,20,20,25,155,4.8,3.8,735,50,0,45,20,40,0,0,0,0,0,0,66.7,14.8,1580,1700,1e+06,1010000,20,0,0,NA,NA,75,105,135,15,30,60,85,15,405,25,225,0,20,25,75,20,70,85,15,20,305,0,0,10,0,0,100,90,55,40,30
