"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","24250003","DA","24250003",1.7062,444,197,195,"2425213","2425","4210830.01","24421",195,140,0,0,0,275,115,80,5,15,15,100,30,20,5,2.6,50800,56800,43200,30,40,50,60,60,55,40,40,30,15,0,10,0,0,0,0,0,0,5,5,15,10,20,25,10,15,20,70,1.6,1.2,465,0,0,0,0,0,0,0,0,0,0,0,45.9,0,645,860,274000,284000,25,0,0,NA,850,55,85,100,20,15,55,60,0,255,25,155,0,25,30,10,10,70,55,0,0,170,20,0,0,0,0,85,90,35,0,0
"2","24250004","DA","24250004",0.3222,690,268,267,"2425213","2425","4210830.01","24421",270,250,0,0,0,410,165,130,5,10,20,130,30,45,20,2.8,50400,57200,42000,45,70,65,75,95,70,50,50,35,30,15,20,0,0,0,0,0,0,0,5,15,15,20,20,20,30,25,110,1.6,1,735,20,0,10,0,0,0,0,0,0,0,0,58,0,1190,1070,3e+05,316000,25,0,0,NA,800,60,110,105,40,10,95,85,15,380,15,210,0,30,20,50,10,105,70,0,20,245,0,0,10,0,0,70,120,50,15,10
"3","24250005","DA","24250005",0.4255,1007,426,394,"2425213","2425","4210830.01","24421",395,200,0,0,0,415,425,270,5,40,105,155,60,40,20,2.7,44800,49200,42000,50,75,110,130,110,90,65,65,30,10,10,20,0,0,0,5,15,15,20,20,15,25,45,50,35,35,35,75,6.6,3.2,795,90,0,0,0,0,0,0,0,0,0,0,70.5,9.1,950,1190,278000,312000,155,25.8,19.4,725,800,115,140,140,15,20,110,110,15,475,0,200,15,60,55,65,0,110,65,0,20,295,35,15,10,0,0,110,150,70,30,10
"4","24250006","DA","24250006",0.1461,437,239,234,"2425213","2425","4210830.01","24421",235,100,0,5,0,180,200,120,10,45,30,65,15,20,5,2.7,42000,43600,40400,15,35,70,95,70,40,25,25,10,5,0,10,0,0,5,0,10,15,5,25,25,20,25,25,15,10,10,35,9.6,4.4,345,15,0,0,0,0,0,0,0,0,0,0,63.6,0,1060,900,224000,260000,120,0,20.8,730,770,85,65,60,0,40,50,55,0,225,10,115,0,30,20,10,0,60,45,0,45,155,15,0,10,0,0,65,100,15,0,0
"5","24250007","DA","24250007",0.1576,588,318,310,"2425213","2425","4210830.01","24421",310,145,0,0,0,245,270,195,5,45,30,90,20,20,10,2.7,36000,37600,35200,30,85,120,95,85,40,25,25,10,5,5,5,5,0,10,5,30,15,20,30,25,25,30,35,25,15,10,35,16.8,8.8,540,25,35,35,0,0,0,0,0,0,0,0,53.3,0,960,880,230000,228000,150,0,31,735,790,95,145,90,0,45,100,55,0,300,10,205,0,20,35,40,10,100,45,0,0,230,10,10,0,0,0,80,125,35,0,10
"6","24250008","DA","24250008",0.275,430,243,234,"2425213","2425","4210830.01","24421",230,110,0,0,0,170,205,125,10,45,25,70,25,10,5,2.6,40000,44400,38000,10,45,90,65,65,40,15,15,15,5,5,5,0,0,10,0,15,20,15,20,15,10,30,25,10,20,15,25,13.2,8,340,20,20,30,0,0,0,0,0,0,0,0,58.3,0,830,1080,250000,276000,110,0,20,710,710,55,40,45,15,25,30,20,0,220,10,105,0,45,20,45,0,40,50,0,10,125,0,0,20,0,0,60,65,10,10,10
"7","24250009","DA","24250009",0.219,661,303,289,"2425213","2425","4210830.01","24421",285,125,0,0,0,295,305,190,5,45,65,85,35,20,5,2.7,42000,47200,38400,20,55,110,85,85,45,35,35,25,10,5,10,0,0,0,5,20,20,20,20,25,20,25,25,20,20,15,55,7.6,2.8,575,10,0,0,0,10,0,0,0,0,0,0,70.3,0,1090,1190,260000,282000,125,0,16,730,730,85,70,110,15,20,65,85,10,340,15,170,0,30,30,40,10,90,70,0,15,195,30,20,15,0,0,70,125,65,0,10
"8","24250010","DA","24250010",0.3227,1054,567,552,"2425213","2425","4210830.02","24421",550,140,40,0,0,495,395,235,10,90,70,180,50,35,15,2.7,42800,48400,38800,35,100,170,170,120,75,70,70,40,25,25,60,0,0,5,10,45,30,40,35,50,35,50,50,40,20,25,125,10,5,1030,20,60,0,0,25,0,0,0,0,0,0,70.5,11.4,1380,1520,348000,416000,340,0,27.9,980,976,105,170,145,60,45,125,100,25,545,35,340,20,55,65,75,10,140,65,0,30,335,15,10,15,0,0,150,145,55,10,20
"9","24250011","DA","24250011",0.1073,403,231,218,"2425213","2425","4210830.02","24421",220,50,0,0,0,170,180,130,5,25,15,65,20,5,10,2.7,37600,39200,34000,20,45,80,75,55,25,15,15,10,5,0,0,0,0,5,10,10,20,20,20,25,10,20,20,15,10,5,25,16.5,9.5,390,10,0,20,0,0,0,0,0,0,0,0,61.5,0,990,1000,276000,260000,150,0,23.3,755,770,60,65,65,0,20,45,55,0,225,15,115,0,15,20,20,10,70,35,0,20,130,0,10,20,0,0,75,50,45,0,0
"10","24250012","DA","24250012",0.1048,253,109,107,"2425213","2425","4210830.02","24421",110,75,0,0,0,150,65,40,0,15,5,40,20,20,0,2.8,52800,62400,41600,10,20,30,25,25,35,25,25,20,5,0,10,0,0,0,0,0,0,5,0,0,0,10,5,10,10,5,45,3,NA,230,20,0,0,0,20,0,0,0,0,0,0,71.4,NA,1270,1160,278000,288000,0,NA,NA,NA,NA,25,35,40,25,10,30,35,10,150,0,60,0,20,0,15,0,35,40,0,0,80,10,10,10,0,0,30,50,25,0,0
