"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35240098","DA","35240098",0.3614,911,272,271,"3524001","3524","5350612.12","35535",270,175,0,0,0,470,315,265,10,20,25,85,60,85,35,3.3,47200,61200,36800,95,80,95,80,60,65,45,45,30,45,35,115,0,0,0,0,0,0,0,0,5,5,10,10,15,10,10,205,3.4,2,540,320,0,0,0,0,0,0,0,0,0,0,50,9.3,1180,1740,1200000,1210000,0,NA,NA,NA,NA,55,20,140,30,25,15,90,20,495,45,210,10,60,55,65,20,140,25,10,0,200,25,25,0,0,0,50,85,55,15,50
"2","35240099","DA","35240099",0.1145,489,141,141,"3524001","3524","5350612.11","35535",145,110,0,0,0,255,160,130,0,10,15,40,35,50,15,3.3,49200,63600,39600,50,50,50,40,25,40,30,30,20,15,15,70,0,0,0,0,0,0,0,0,0,0,0,5,10,5,5,110,2.8,2.8,295,115,0,0,0,25,0,0,0,0,0,0,50,0,1420,1800,1200000,1240000,0,NA,NA,NA,NA,20,0,45,15,0,0,40,10,225,45,75,0,30,25,40,10,55,15,0,10,140,0,0,0,0,0,40,50,30,20,15
"3","35240100","DA","35240100",0.1292,515,163,160,"3524001","3524","5350612.11","35535",160,155,0,0,0,295,145,115,10,10,15,60,40,45,15,3.1,58000,60800,52800,45,45,45,35,45,35,30,30,25,25,20,75,0,0,0,0,0,0,0,0,0,0,5,5,5,5,15,120,4.4,1.6,325,165,0,0,0,20,0,0,0,0,35,0,41.9,12.9,1140,1880,1300000,1320000,0,NA,NA,NA,NA,40,10,60,10,0,0,45,10,245,20,140,20,25,20,35,20,45,30,0,0,95,10,15,0,0,0,0,40,45,0,30
"4","35240101","DA","35240101",0.1114,379,113,111,"3524001","3524","5350612.11","35535",110,105,0,0,0,215,100,80,5,10,5,40,30,35,10,3.2,54800,60000,46800,35,35,35,30,25,20,20,20,15,20,20,45,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,90,NA,NA,235,165,0,0,0,0,0,0,0,0,0,0,52.2,13,1510,2120,1250000,1320000,0,NA,NA,NA,NA,55,10,40,15,0,10,30,15,195,35,120,15,30,15,30,10,40,20,0,0,85,15,0,0,0,0,20,45,20,25,0
"5","35240102","DA","35240102",0.1326,466,178,177,"3524001","3524","5350612.11","35535",175,25,0,0,0,235,135,80,10,40,10,50,50,35,10,3,49600,60800,40000,40,40,45,45,35,30,30,30,30,25,10,35,0,0,0,0,0,0,0,5,0,5,15,15,15,15,20,80,2.4,1.6,200,240,0,0,0,0,0,0,0,0,0,0,61.8,20.6,1660,1820,8e+05,9e+05,0,NA,NA,NA,NA,35,25,100,0,15,10,60,0,190,45,160,15,25,15,25,10,60,30,0,0,90,0,0,0,0,0,40,50,10,0,10
"6","35240104","DA","35240104",0.0659,387,121,119,"3524001","3524","5350612.11","35535",120,40,0,0,0,190,120,85,5,15,15,40,35,25,15,3.2,50800,60400,43200,30,45,30,35,30,20,15,15,20,25,15,40,0,0,0,0,0,0,0,0,0,0,10,5,5,5,10,85,4,3.2,190,175,35,0,0,0,0,0,0,0,0,0,81,19,2100,2120,9e+05,1020000,0,NA,NA,NA,NA,15,0,45,10,0,0,25,0,215,35,75,0,20,10,55,0,55,30,0,15,70,0,0,0,0,0,30,25,35,0,10
"7","35240105","DA","35240105",0.0507,240,73,73,"3524001","3524","5350612.12","35535",75,70,0,0,0,125,65,45,5,5,5,25,20,20,10,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,115,0,0,0,0,0,0,0,0,0,0,46.7,NA,870,1950,1250000,1240000,0,NA,NA,NA,NA,25,0,45,0,0,0,40,0,145,10,105,0,40,10,20,0,35,10,0,0,85,10,0,0,0,0,35,30,35,0,0
"8","35240106","DA","35240106",0.2,872,282,278,"3524001","3524","5350612.12","35535",280,55,0,0,0,410,290,220,25,30,20,75,60,75,40,3.3,43600,48800,39600,65,85,100,70,75,55,30,30,35,30,20,75,0,0,0,0,5,10,0,0,5,5,20,20,20,15,15,150,7.8,4.4,525,345,0,0,0,0,0,0,0,25,0,0,65,15,2120,2040,9e+05,1010000,70,35.7,0,1720,1750,75,35,130,15,15,15,115,15,445,55,200,0,55,30,40,0,150,55,10,20,250,30,20,0,0,0,50,105,85,35,25
"9","35240107","DA","35240107",0.1583,384,121,120,"3524001","3524","5350612.12","35535",120,95,0,0,0,215,90,70,5,10,5,45,30,30,10,3.1,55200,71000,42800,30,40,35,25,30,20,30,30,25,15,10,35,0,0,0,0,0,0,0,5,0,0,0,10,10,5,0,85,6,6.8,280,125,0,0,0,0,0,0,0,0,0,0,56.5,17.4,2360,2120,1100000,1160000,0,NA,NA,NA,NA,20,0,35,0,0,0,30,0,160,10,120,0,25,10,10,10,40,0,0,0,45,0,10,0,0,0,20,25,10,10,10
"10","35240108","DA","35240108",0.0888,498,163,158,"3524001","3524","5350612.12","35535",160,85,0,0,0,255,160,125,10,20,15,50,40,40,15,3.1,48800,62000,40000,30,55,60,45,40,40,30,30,30,25,20,30,0,0,0,0,0,0,0,0,0,0,10,10,10,10,15,100,2.4,1.6,365,145,20,0,0,0,0,0,0,0,0,0,76.7,0,2180,2160,1e+06,1020000,0,NA,NA,NA,NA,30,15,80,10,0,0,55,10,290,30,105,0,45,20,40,10,85,35,0,0,140,0,15,10,0,0,60,70,30,10,15
