"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35180086","DA","35180086",0.0521,267,85,84,"3518013","3518","5320015.02","35532",85,60,0,0,0,115,105,75,0,10,20,20,20,10,10,3.4,35200,40400,29200,25,25,45,30,25,15,10,10,5,10,0,10,0,0,0,0,0,0,0,0,0,5,0,5,5,10,5,40,3,2,190,70,0,0,0,0,0,0,0,0,0,0,50,0,1590,1480,650000,580000,0,NA,NA,NA,NA,25,10,60,10,0,10,55,10,115,0,75,0,20,20,10,0,25,20,0,0,75,0,0,0,0,0,10,30,15,10,10
"2","35180087","DA","35180087",0.1394,894,312,303,"3518013","3518","5320015.02","35532",305,45,50,0,0,305,405,280,30,60,30,105,70,50,20,3,34800,37200,33600,55,95,160,100,100,75,35,35,20,15,5,10,5,0,0,0,5,5,5,10,5,20,25,40,35,25,25,90,11,4.6,725,205,0,0,0,0,0,0,0,0,0,0,74.1,25.9,1780,1580,620000,590000,170,0,30.3,1820,1720,155,65,190,0,85,55,145,0,340,60,290,0,25,35,35,0,105,135,0,20,215,45,20,10,0,0,85,110,35,20,35
"3","35180091","DA","35180091",0.2113,1913,972,939,"3518013","3518","5320014.02","35532",940,5,845,0,0,570,1025,630,90,190,115,310,115,55,30,2.7,30000,31600,29000,125,275,400,305,190,110,50,50,20,10,5,5,10,10,40,35,65,75,70,80,75,65,135,85,55,50,30,50,27.3,9.7,1515,380,80,15,40,0,0,0,0,30,0,0,NA,NA,NA,NA,NA,NA,940,20.2,43.6,1240,1214,380,100,365,10,155,45,280,10,540,255,845,0,45,60,45,25,305,135,15,45,315,55,35,50,0,10,145,135,75,60,45
"4","35180094","DA","35180094",0.0755,293,102,101,"3518013","3518","5320015.02","35532",100,0,0,0,0,125,115,80,10,10,10,30,30,10,10,3,36800,42000,33600,25,30,35,50,30,20,20,20,5,5,0,5,0,0,0,0,0,0,0,5,5,5,10,10,10,5,10,30,9,3,215,65,0,0,0,0,0,0,0,0,0,0,73.3,0,1500,1560,472000,440000,30,0,0,NA,1500,30,30,55,0,20,15,45,0,120,15,115,0,15,0,25,0,25,25,0,0,65,0,15,0,0,10,10,30,15,20,20
"5","35180097","DA","35180097",0.4854,950,378,372,"3518013","3518","5320009.05","35532",370,175,0,0,0,420,395,240,35,75,45,135,80,50,15,2.8,44400,50400,41600,50,95,110,140,135,75,70,70,30,25,25,25,0,0,0,5,10,10,5,20,20,20,30,25,35,35,25,140,4.8,4,770,180,20,0,0,0,0,0,0,0,0,0,72.1,14.7,1660,1630,6e+05,592000,35,0,57.1,1940,1700,70,40,275,15,30,25,220,10,465,80,275,0,35,80,60,10,110,95,10,20,295,10,10,15,0,0,85,105,65,20,65
"6","35180098","DA","35180098",0.1575,672,285,279,"3518013","3518","5320009.05","35532",275,30,0,0,0,295,275,170,25,45,35,90,50,35,10,2.9,36800,42800,34400,30,85,115,90,75,70,30,30,20,15,15,10,0,0,0,0,30,15,10,10,5,15,25,20,15,20,30,70,11.6,1.2,465,165,10,10,0,20,0,0,0,0,0,0,82.5,22.5,1700,1640,5e+05,520000,75,60,33.3,592,800,110,35,105,10,35,25,80,0,325,20,230,0,10,20,35,10,125,70,0,15,235,10,15,0,0,0,70,65,55,45,35
"7","35180099","DA","35180099",0.1366,389,155,152,"3518013","3518","5320009.05","35532",150,90,0,0,0,195,135,90,10,20,20,70,25,20,10,2.7,47600,51200,43600,15,30,55,45,50,30,25,25,20,15,10,5,0,0,0,0,0,0,0,5,5,0,10,15,10,15,20,55,5.6,3.2,350,50,0,0,0,20,0,0,0,0,0,0,53.8,23.1,1320,1380,6e+05,620000,20,0,0,NA,1400,75,15,60,0,25,10,45,0,155,25,155,0,10,15,20,0,75,15,0,0,80,30,0,0,0,0,25,40,20,25,10
"8","35180101","DA","35180101",0.4313,810,369,362,"3518013","3518","5320009.05","35532",360,200,155,0,0,455,270,140,10,40,80,170,45,30,15,2.6,49600,58400,44000,55,70,80,110,100,75,65,65,35,35,20,60,0,0,0,5,0,5,5,10,15,20,35,25,25,30,40,135,3.8,2.4,735,105,0,0,0,25,15,0,0,0,0,0,41.7,20.8,1520,1610,750000,760000,0,NA,NA,NA,NA,75,40,220,20,20,25,120,0,245,30,455,0,20,15,45,0,75,60,0,10,160,20,0,0,0,0,50,75,25,10,30
"9","35180102","DA","35180102",0.0865,925,590,580,"3518013","3518","5320009.05","35532",580,35,235,0,0,445,440,110,25,75,230,220,25,15,0,2.2,36800,42000,32800,40,130,175,210,170,75,40,40,20,10,0,5,5,0,0,10,30,45,45,45,70,50,90,65,45,30,20,35,7.8,1.4,780,165,0,0,20,15,0,0,0,0,0,0,37.5,0,755,1300,695000,640000,535,0,54.7,1370,1435,270,75,125,10,20,10,45,0,120,25,755,0,15,10,10,0,40,35,0,0,85,10,0,0,0,0,35,45,0,0,15
"10","35180103","DA","35180103",0.065,360,211,210,"3518013","3518","5320009.05","35532",210,15,135,0,0,195,145,35,15,35,70,95,10,5,5,2.3,40000,45200,34800,15,40,65,60,60,40,25,25,15,0,5,10,0,0,0,0,0,15,15,20,10,20,30,30,25,15,15,25,6,NA,290,50,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,190,0,44.7,1510,1620,75,15,75,0,20,0,25,0,60,20,260,0,0,0,10,0,15,15,0,0,55,0,0,0,0,0,15,15,20,0,0
