"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35060001","DA","35060001",6.5379,529,198,191,"3506008","3506","5050171.06","505",190,175,0,0,0,330,125,100,10,10,10,95,35,45,5,2.8,63600,74500,56000,40,45,45,30,40,40,30,30,45,25,20,75,0,0,0,5,0,0,0,0,5,0,5,5,5,10,10,125,3.2,NA,510,40,0,40,10,0,0,0,0,0,0,0,54.1,8.1,1660,2000,8e+05,870000,15,0,0,NA,1400,50,40,140,25,0,15,95,10,290,10,170,15,15,25,45,20,45,65,0,0,180,0,0,0,0,0,10,80,70,25,15
"2","35060002","DA","35060002",3.8141,621,217,216,"3506008","3506","5050171.06","505",220,190,0,0,0,350,140,95,10,20,15,95,35,30,20,3,61200,67000,54800,30,45,35,50,65,50,45,45,25,35,20,65,0,0,0,0,0,5,0,0,10,5,10,10,15,10,15,130,2.4,1.2,545,115,0,0,0,15,0,0,0,0,0,0,76.9,15.4,2040,2000,695000,685000,20,0,0,NA,1600,60,25,105,0,15,15,85,0,290,20,200,10,10,25,65,10,50,60,0,0,150,10,0,0,0,10,20,70,70,10,0
"3","35060003","DA","35060003",2.2873,894,296,293,"3506008","3506","5050171.06","505",295,280,0,0,0,500,260,160,20,45,40,130,50,60,25,2.9,65000,76000,58800,55,65,55,65,55,65,65,65,45,60,45,100,0,0,0,0,0,0,0,0,5,0,10,15,15,15,15,200,1.8,2.4,725,60,0,30,20,0,0,0,0,0,0,0,54.5,5.5,1560,1880,8e+05,830000,0,NA,NA,NA,NA,80,30,165,30,25,25,120,20,380,30,240,10,85,15,40,30,45,50,10,20,150,10,0,0,0,10,35,55,60,0,15
"4","35060005","DA","35060005",15.3429,874,305,303,"3506008","3506","5050171.06","505",300,280,0,0,5,515,250,190,10,15,30,145,65,55,15,2.8,53200,65000,44800,80,75,100,70,70,55,50,50,60,50,30,100,0,0,0,0,10,0,5,5,5,5,10,10,25,10,20,200,3.8,2,815,70,0,35,15,20,0,0,0,0,0,0,44.6,12.5,1040,1860,8e+05,930000,30,0,0,NA,950,50,50,175,10,15,20,110,0,475,15,320,20,60,25,85,15,105,50,30,0,255,20,0,10,0,0,60,125,90,20,0
"5","35060006","DA","35060006",8.4734,2360,932,895,"3506008","3506","5050171.06","505",895,550,0,0,0,1330,615,415,45,85,70,385,145,140,65,2.9,64500,72000,56800,115,155,205,165,190,200,200,200,190,145,120,185,0,0,5,5,5,15,10,10,20,20,30,45,45,70,70,530,3.7,1.9,1865,385,0,85,40,45,0,0,0,0,0,0,63.8,8.1,1600,1772,7e+05,748000,85,0,17.6,1780,1640,130,75,460,40,30,50,350,20,1105,90,685,25,140,65,250,50,230,135,15,0,550,25,45,10,0,0,195,255,130,30,30
"6","35060007","DA","35060007",33.4714,827,290,284,"3506008","3506","5050171.03","505",280,270,0,0,0,470,240,170,15,30,20,145,45,50,20,2.8,55600,65500,46000,75,60,75,75,75,65,70,70,50,40,30,70,5,0,0,0,0,0,5,0,0,5,10,20,10,15,10,180,2.4,1.8,705,45,0,0,20,25,0,0,0,0,0,0,48.9,0,1360,1640,750000,770000,35,0,0,NA,1500,85,55,175,15,20,30,125,10,415,35,200,0,55,25,50,0,55,95,70,0,195,20,0,0,0,15,50,65,100,0,10
"7","35060010","DA","35060010",0.0732,291,105,105,"3506008","3506","5050170.08","505",105,100,0,0,0,175,55,40,5,10,5,45,20,20,5,2.9,66500,82000,52000,15,20,15,25,25,35,25,25,25,15,10,25,0,0,0,0,0,0,0,0,0,0,5,0,5,10,10,75,NA,NA,245,15,0,0,0,0,0,0,0,0,0,0,65,0,1660,1720,650000,650000,0,NA,NA,NA,NA,15,10,50,0,0,15,30,0,130,15,70,0,20,10,20,10,35,0,0,0,65,0,0,0,0,0,25,30,10,0,0
"8","35060011","DA","35060011",0.2081,549,187,186,"3506008","3506","5050170.08","505",185,185,0,0,0,330,145,120,5,10,10,80,45,40,15,2.9,62800,75000,49600,40,45,50,45,40,55,40,40,35,50,25,50,0,0,0,0,0,0,0,0,0,0,5,0,5,10,10,145,1.2,NA,475,70,0,0,0,0,0,0,0,0,0,0,50,0,1260,1620,650000,7e+05,0,NA,NA,NA,NA,15,10,65,0,0,10,45,0,275,35,160,0,35,10,60,0,50,25,0,0,75,0,0,0,0,0,25,30,25,10,0
"9","35060012","DA","35060012",0.1068,552,190,190,"3506008","3506","5050170.08","505",190,155,0,0,0,295,155,110,15,10,20,85,30,45,15,2.9,60400,67000,50800,35,40,45,45,50,60,45,45,30,45,15,30,0,0,0,0,0,0,0,0,0,5,0,5,15,15,20,125,NA,NA,440,80,0,0,0,0,0,0,0,0,0,0,62.2,8.1,1700,1620,6e+05,624000,0,NA,NA,NA,NA,30,30,100,0,0,25,80,0,240,10,165,0,25,15,45,0,35,35,0,0,110,0,35,0,0,0,25,50,45,15,15
"10","35060014","DA","35060014",0.2969,628,351,343,"3506008","3506","5050170.09","505",340,0,5,0,0,210,320,150,30,80,55,90,35,25,10,2.7,52400,59600,48800,20,50,55,90,85,95,50,50,40,10,5,15,0,0,0,0,10,10,5,25,25,20,65,35,30,20,10,75,5.6,3.4,535,75,0,20,0,0,0,0,0,0,0,0,66.7,25.9,1410,1320,3e+05,316000,65,0,30.8,1350,1360,60,15,120,0,15,10,100,0,315,20,175,0,20,10,50,15,75,55,0,0,165,20,15,10,0,15,60,85,40,35,0
