"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35180411","DA","35180411",0.0398,299,76,76,"3518001","3518","5350804.12","35535",75,75,0,0,0,135,110,85,5,10,10,25,30,10,15,3.2,32800,31600,33600,20,30,55,30,20,20,15,15,10,5,5,10,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,45,NA,NA,125,115,0,0,0,0,0,0,0,0,0,0,69.2,NA,1900,1900,9e+05,760000,0,NA,NA,NA,NA,10,0,60,0,0,10,55,0,125,10,60,0,20,0,15,0,40,25,0,10,60,10,0,0,0,0,20,15,25,10,0
"2","35180412","DA","35180412",0.1068,648,190,188,"3518001","3518","5350804.12","35535",185,140,0,0,0,315,230,175,10,30,15,55,50,50,30,3.3,40000,44000,34400,60,80,80,70,70,55,30,30,20,20,10,20,0,0,0,0,0,0,10,5,0,5,10,10,15,10,10,115,6.2,2.8,315,265,0,0,0,0,0,0,0,0,25,0,58.1,25.8,1620,1760,9e+05,880000,20,0,0,NA,1800,65,15,105,15,10,10,65,0,265,40,190,0,45,15,45,10,55,40,0,15,150,20,15,0,0,0,40,50,65,30,10
"3","35180413","DA","35180413",0.0858,574,150,147,"3518001","3518","5350804.13","35535",150,120,0,0,0,245,230,175,10,25,20,60,25,40,35,3.4,32800,34800,32400,65,55,105,55,45,40,30,30,20,10,15,20,0,0,0,0,5,0,0,0,5,0,10,10,5,5,10,95,7.2,6.8,230,265,20,0,0,15,0,0,0,0,0,0,73.9,30.4,2120,2200,950000,980000,25,0,80,NA,1600,100,45,65,0,60,20,55,0,200,35,195,0,30,0,10,0,85,45,0,15,125,15,0,0,0,0,35,70,25,10,15
"4","35180414","DA","35180414",0.0593,420,136,128,"3518001","3518","5350804.12","35535",125,65,0,0,0,180,190,140,15,15,15,45,30,30,10,3.1,35600,36800,35200,60,50,65,55,35,30,30,30,15,15,10,5,0,0,0,0,0,0,0,5,0,0,10,5,10,5,10,70,2.4,2,165,145,0,0,0,0,0,0,0,0,0,0,75,20,1660,1640,755000,8e+05,0,NA,NA,NA,NA,10,10,50,20,0,10,45,10,195,25,85,10,25,20,40,0,50,25,0,10,115,10,20,0,0,0,10,55,45,10,20
"5","35180416","DA","35180416",0.0564,321,88,87,"3518001","3518","5350804.13","35535",85,70,0,0,0,140,125,90,10,15,10,30,20,25,10,3.2,36400,33600,36400,15,45,50,35,30,30,10,10,15,5,5,10,0,0,0,0,0,0,0,0,0,0,10,5,0,10,5,50,8,2.5,150,215,10,0,0,0,0,0,0,0,60,0,62.5,25,2020,1800,890000,880000,0,NA,NA,NA,NA,70,15,65,0,20,15,45,0,150,45,150,0,20,0,15,10,60,45,0,15,90,30,10,0,0,0,35,30,25,10,25
"6","35180417","DA","35180417",0.0421,302,75,74,"3518001","3518","5350804.13","35535",75,60,0,0,0,130,115,90,5,20,0,25,35,10,10,3.3,36800,34400,38400,30,30,50,25,35,25,10,10,15,15,5,5,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,40,7.2,6,145,210,0,0,0,0,0,0,0,0,0,0,75,0,2260,2500,940000,1e+06,0,NA,NA,NA,NA,25,10,40,0,15,0,30,0,160,40,90,0,25,20,10,0,50,50,0,0,85,10,0,0,0,0,25,20,20,20,15
"7","35180418","DA","35180418",0.1648,706,207,199,"3518001","3518","5350804.13","35535",200,170,0,0,0,335,250,190,20,25,15,75,45,55,25,3.2,39200,42000,38000,55,75,95,70,65,55,45,45,25,25,15,25,0,0,0,0,0,0,0,5,0,5,10,15,20,15,10,105,3.6,2,355,420,70,0,0,0,15,0,0,0,0,0,75,13.9,2200,2120,9e+05,9e+05,30,0,0,NA,1800,100,30,180,40,60,15,120,30,400,45,270,0,30,40,30,0,85,80,0,15,230,50,20,10,0,0,55,70,90,50,45
"8","35180419","DA","35180419",0.1075,744,209,204,"3518001","3518","5350804.13","35535",200,155,0,0,0,320,285,215,15,35,25,65,70,45,30,3.3,38000,39200,36800,55,75,125,75,75,50,40,40,35,20,15,20,0,0,0,0,5,0,0,0,10,0,5,10,10,10,15,120,5.6,5.2,295,350,0,0,0,0,0,0,0,0,0,0,82.9,28.6,2440,2480,1e+06,980000,25,0,0,NA,1500,85,50,85,30,30,35,70,15,320,55,165,15,60,30,35,20,110,40,0,0,175,20,30,0,0,0,70,50,35,35,35
"9","35180421","DA","35180421",0.0689,489,153,147,"3518001","3518","5350804.13","35535",145,130,0,0,0,245,175,135,10,15,15,55,50,30,15,3,33200,34400,32800,35,70,85,55,45,45,20,20,15,10,5,10,0,0,0,0,0,0,5,5,0,5,10,10,10,15,10,75,6,4,240,310,0,0,0,0,0,0,0,0,45,0,66.7,23.3,1940,1880,820000,8e+05,0,NA,NA,NA,NA,55,15,115,15,15,10,85,0,275,55,150,0,35,20,35,0,95,45,0,0,165,10,10,0,0,0,20,50,45,40,25
"10","35180423","DA","35180423",0.4672,606,195,188,"3518001","3518","5350804.08","35535",185,175,0,0,0,325,200,145,10,20,25,80,45,40,15,3,44800,54800,36000,55,50,85,60,65,50,35,35,20,30,15,35,0,0,0,0,0,0,0,5,5,0,10,10,10,10,5,125,4,0.8,345,235,0,0,0,0,0,0,0,0,0,0,71.4,22.9,2100,2060,980000,970000,0,NA,NA,NA,NA,75,45,100,15,30,25,65,20,285,55,165,0,20,15,40,15,65,70,0,10,125,10,25,10,0,10,55,30,40,25,25
