"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","48080072","DA","48080072",0.0881,285,112,112,"4808011","4808","8300008.02","48830",110,80,0,0,0,150,95,55,10,10,20,50,25,15,5,2.7,45600,51600,37200,20,25,40,35,30,20,15,15,15,15,5,20,0,0,0,0,0,0,0,5,0,5,5,5,10,10,10,50,6,4.5,205,50,0,0,0,0,0,0,0,0,0,0,39.1,0,705,1240,360000,390000,0,NA,NA,NA,NA,15,25,40,10,0,20,25,15,105,15,100,0,0,20,10,0,25,20,0,0,105,0,0,0,0,0,55,35,0,0,10
"2","48080073","DA","48080073",0.2035,440,163,158,"4808011","4808","8300008.02","48830",160,160,0,0,0,245,120,80,5,20,10,70,30,15,15,2.9,50400,59600,44000,25,30,55,40,40,25,25,25,20,20,20,35,0,0,0,0,0,0,5,0,5,5,15,5,5,10,10,90,7.6,3.6,375,20,0,0,0,0,0,0,0,0,0,0,51.7,17.2,1340,1440,4e+05,410000,0,NA,NA,NA,NA,30,35,80,10,20,30,70,10,225,15,110,10,15,40,35,0,40,25,20,20,170,0,0,0,0,0,65,85,20,0,0
"3","48080074","DA","48080074",0.1142,266,96,93,"4808011","4808","8300008.02","48830",95,90,0,0,0,135,75,55,0,10,0,35,10,20,10,3.2,48000,66500,32000,20,15,40,20,25,15,15,15,10,15,5,20,0,0,0,0,0,0,0,0,0,0,10,10,10,5,5,40,4,3,245,15,0,0,0,0,0,0,0,0,0,0,75,18.8,1620,1800,4e+05,4e+05,15,0,0,NA,1800,30,20,40,0,10,20,35,0,145,30,40,0,0,15,30,0,35,25,0,0,110,0,0,0,0,10,70,35,0,0,0
"4","48080075","DA","48080075",0.1394,633,228,225,"4808011","4808","8300006.00","48830",225,125,0,0,0,260,250,180,15,45,5,80,45,30,20,3,45200,48000,41600,25,50,70,85,70,65,40,40,35,15,5,15,0,0,0,0,5,5,5,5,10,5,20,15,25,15,15,85,10,4,530,140,0,0,35,20,0,0,0,0,0,0,71.4,0,1420,1390,284000,286000,60,0,0,1320,1360,85,45,110,40,35,35,90,30,360,30,135,0,20,55,20,0,115,65,25,25,295,20,0,0,0,0,145,130,20,10,15
"5","48080076","DA","48080076",0.1868,477,215,205,"4808011","4808","8300007.00","48830",205,140,0,0,0,245,145,85,15,25,15,85,30,15,15,2.8,45200,51600,37200,25,45,45,60,65,40,25,25,20,15,5,15,5,0,0,0,5,15,5,10,15,10,15,15,20,25,10,50,10.8,5.2,520,40,0,0,15,10,0,0,0,0,0,0,64.3,0,1340,1440,320000,325000,90,0,37.5,960,1060,85,55,100,0,25,35,90,0,290,25,145,0,20,25,45,0,80,50,15,0,225,10,15,0,0,0,90,130,10,0,15
"6","48080077","DA","48080077",0.1408,373,130,128,"4808011","4808","8300008.03","48830",125,125,0,0,0,195,120,85,10,15,15,55,20,15,15,3,47200,51200,41600,20,30,55,40,40,20,25,25,20,15,15,20,0,0,0,0,0,0,0,0,0,0,10,5,5,15,10,70,3.6,NA,305,50,0,0,0,0,0,0,0,0,0,0,68.2,0,1700,1600,376000,365000,0,NA,NA,NA,NA,50,30,110,0,0,25,90,0,215,0,105,0,20,35,20,0,40,45,0,15,160,15,0,0,0,0,65,95,15,0,10
"7","48080078","DA","48080078",0.2058,402,154,152,"4808011","4808","8300007.00","48830",150,95,0,0,0,165,140,95,10,25,10,50,25,25,10,3,41600,53600,34400,30,25,50,50,40,35,15,15,15,10,0,15,0,0,0,0,0,0,5,10,10,5,15,20,25,10,10,45,10.4,4.5,355,35,0,0,40,0,0,0,0,0,0,0,57.9,26.3,1170,1260,348000,312000,50,0,0,1300,1120,70,35,65,0,35,35,50,0,155,35,110,0,10,20,25,0,75,35,0,0,115,0,0,10,0,0,45,70,20,0,0
"8","48080079","DA","48080079",0.1408,488,183,180,"4808011","4808","8300007.00","48830",180,100,0,0,0,225,155,105,10,20,15,70,30,25,15,3,42800,59600,36000,25,45,55,55,40,35,30,30,25,20,5,20,0,0,0,5,0,5,0,10,10,5,15,20,15,20,10,65,6.8,1,395,35,0,15,0,20,0,0,0,0,0,0,66.7,0,1420,1440,340000,345000,55,0,0,1390,1280,80,30,80,0,30,25,60,0,185,45,110,0,0,15,20,25,60,35,20,0,140,0,0,0,0,0,95,35,10,0,0
"9","48080080","DA","48080080",0.1753,554,169,167,"4808011","4808","8300007.00","48830",170,160,0,0,0,230,235,195,5,25,5,70,25,20,15,2.9,50400,58000,42800,25,45,55,50,45,45,30,30,25,20,10,20,0,0,0,0,0,0,0,0,5,5,10,20,15,10,15,75,3.6,2.4,465,35,0,0,35,20,0,0,0,0,0,0,70.4,0,2000,1720,348000,360000,30,0,0,NA,2000,60,35,95,10,35,30,65,0,260,20,105,0,15,15,30,15,85,55,10,10,205,0,0,0,0,0,70,110,30,0,10
"10","48080081","DA","48080081",0.3489,544,210,202,"4808011","4808","8300007.00","48830",200,130,0,0,0,250,155,95,25,25,15,80,45,30,15,2.9,47600,54400,42000,35,35,50,60,65,50,40,40,25,20,15,10,0,0,0,0,5,0,0,10,10,15,10,20,20,15,10,80,11.6,2.8,480,95,0,40,15,0,0,0,0,0,0,0,67.7,22.6,1660,1500,310000,320000,60,0,41.7,1450,1400,70,40,85,15,45,25,75,10,260,50,135,0,15,30,50,0,70,65,10,15,195,15,0,0,0,10,90,100,25,10,10
