"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","47060129","DA","47060129",0.4838,468,145,141,"4706027","4706","7050005.00","47705",140,115,0,0,0,205,220,100,15,30,70,65,15,10,10,2.7,52800,58000,47600,15,20,35,45,40,35,30,30,25,10,10,15,0,0,0,0,0,5,5,5,5,5,15,10,15,10,10,50,5,NA,240,40,0,0,0,0,0,0,0,0,0,0,52.2,0,910,1180,348000,340000,25,0,0,NA,1600,20,15,50,0,10,0,30,0,130,15,85,0,25,10,30,0,35,10,0,0,85,0,10,0,0,0,45,50,0,0,0
"2","47060130","DA","47060130",0.2668,515,219,213,"4706027","4706","7050005.00","47705",210,195,0,0,0,250,170,115,10,35,15,80,30,35,0,2.7,56800,59200,54000,30,25,50,40,75,55,45,45,40,15,15,25,0,0,0,0,0,0,5,5,10,10,15,15,20,15,25,95,4.4,2.4,400,80,0,0,10,0,0,0,0,0,0,0,56.8,8.1,1250,1310,340000,340000,25,0,0,NA,1600,35,45,50,10,15,35,30,10,270,20,115,0,20,50,65,0,75,35,10,0,195,10,0,10,0,0,115,75,10,0,10
"3","47060131","DA","47060131",0.211,487,262,241,"4706027","4706","7050005.00","47705",240,140,0,0,0,180,240,165,15,40,20,75,20,20,10,2.7,44800,48000,43200,30,35,55,70,50,45,35,35,20,25,10,15,5,0,0,10,10,10,15,15,15,10,30,20,15,15,15,55,17.2,12,375,60,20,40,25,40,0,0,0,0,0,0,50,12.5,750,1100,324000,308000,105,0,38.1,950,1000,40,15,55,15,15,10,50,10,210,30,135,10,20,10,45,20,45,20,0,0,110,0,10,10,0,0,95,30,10,0,0
"4","47060132","DA","47060132",0.2022,493,248,233,"4706027","4706","7050005.00","47705",235,190,0,0,0,230,180,115,10,35,20,80,20,20,5,2.7,52800,52800,52400,20,25,55,55,75,50,35,35,35,10,10,20,0,0,0,0,5,10,10,5,10,15,15,20,30,15,20,65,7.6,3.2,410,105,0,10,15,0,0,0,0,0,0,0,57.1,17.1,1150,1380,3e+05,336000,55,0,36.4,1500,1400,25,35,40,15,0,30,30,10,255,0,140,0,20,25,50,0,45,50,0,10,160,15,0,0,0,0,90,70,15,10,0
"5","47060133","DA","47060133",0.3545,468,203,197,"4706027","4706","7050005.00","47705",195,180,0,0,0,240,150,100,10,25,10,70,20,35,10,2.9,64500,72000,59200,20,20,35,55,40,35,35,35,25,25,15,70,0,0,0,0,0,0,5,5,5,0,5,15,10,15,15,100,2.8,2.8,430,25,0,0,10,15,0,0,0,0,0,0,44.4,0,990,1600,5e+05,532000,20,0,0,NA,1500,20,0,20,25,0,0,0,15,255,15,115,10,30,40,55,25,40,15,0,0,130,10,0,10,10,0,115,35,10,0,0
"6","47060134","DA","47060134",0.1876,507,225,211,"4706027","4706","7050005.00","47705",210,200,0,0,0,255,160,110,5,35,15,70,35,30,10,2.9,67000,74500,64500,30,30,35,35,35,35,35,35,40,30,25,60,0,0,0,0,0,5,5,0,10,10,10,20,15,10,15,110,3.6,2.4,500,55,0,15,10,0,0,0,0,0,0,0,62.2,10.8,1460,1920,452000,528000,35,0,0,1550,1400,40,15,40,15,0,15,15,20,270,20,165,0,10,40,70,15,45,30,10,0,145,0,0,0,0,0,85,55,0,0,0
"7","47060135","DA","47060135",0.1294,432,198,192,"4706027","4706","7050005.00","47705",190,185,0,0,0,245,130,85,10,30,5,80,30,20,5,2.7,69000,74500,63600,30,30,30,40,35,30,30,30,45,25,20,55,0,0,0,0,5,0,0,0,10,5,15,15,15,10,5,105,2.8,NA,370,20,0,0,10,0,0,0,0,0,0,0,48.5,0,1520,1510,4e+05,496000,25,0,0,NA,1300,10,15,60,10,0,10,25,0,230,0,115,0,10,25,50,10,45,15,0,0,115,10,0,20,0,0,120,25,0,0,0
"8","47060136","DA","47060136",0.1495,463,208,199,"4706027","4706","7050005.00","47705",200,175,0,0,0,235,135,90,0,35,10,65,30,25,10,2.8,60000,70000,52000,35,30,40,40,30,45,25,25,30,20,15,55,0,0,0,0,5,0,5,10,5,10,15,15,10,15,15,85,6.8,4.4,415,15,0,0,40,0,0,0,0,0,0,0,63.3,0,1550,1600,356000,410000,40,0,50,1410,1360,40,15,30,30,0,10,25,25,220,30,115,0,15,30,70,10,40,30,0,0,150,0,0,0,0,0,100,30,25,0,10
"9","47060137","DA","47060137",0.2331,633,304,283,"4706027","4706","7050003.00","47705",285,165,0,0,0,285,230,180,10,35,10,80,35,30,20,2.9,46800,49200,45600,50,60,70,65,70,55,30,30,30,25,15,40,5,5,10,10,10,10,15,10,15,10,30,15,20,20,10,100,10.8,6,630,65,25,0,35,15,0,0,0,0,0,0,61.1,19.4,1590,1440,348000,376000,110,0,27.3,940,1040,40,50,90,25,10,30,60,15,405,35,135,0,25,30,75,15,90,95,15,0,250,15,25,10,0,0,115,145,25,15,0
"10","47060138","DA","47060138",0.1979,476,219,214,"4706027","4706","7050005.00","47705",215,200,0,0,0,240,155,105,5,30,15,75,30,20,15,2.8,52800,56800,49600,35,40,35,40,50,45,35,35,35,15,10,20,5,0,0,0,5,0,5,15,10,10,20,20,20,20,5,75,8,2.8,440,15,0,0,35,0,0,0,0,0,0,0,57.6,21.2,1420,1320,348000,388000,55,0,36.4,1390,1280,45,15,65,0,15,10,60,0,210,40,130,0,25,20,55,20,50,45,0,0,95,0,0,10,0,0,60,45,0,0,0
