"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35190434","DA","35190434",3.3045,1775,828,784,"3519038","3519","5350420.05","35535",780,185,595,0,0,955,670,405,50,120,100,335,130,75,15,2.6,33600,35600,31400,205,260,305,225,160,115,80,80,80,50,30,75,15,5,15,20,50,30,45,35,30,30,80,65,65,40,50,210,16.2,9.4,465,1250,70,0,0,0,0,0,25,0,0,0,41,34.5,1270,1650,695000,896000,210,0,64.3,1800,1820,210,40,245,50,35,30,185,25,730,125,785,10,150,55,55,15,240,65,0,30,365,55,30,10,0,30,115,175,150,40,10
"2","35190435","DA","35190435",0.0611,279,86,85,"3519038","3519","5350420.05","35535",85,85,0,0,0,150,105,85,0,5,15,35,30,20,5,2.9,28200,27800,28400,45,40,50,30,20,10,15,15,5,5,10,15,0,0,0,0,0,0,0,0,5,0,0,10,10,5,5,40,13,6,50,235,10,0,0,0,0,0,0,0,0,0,38.9,38.9,1180,1960,1600000,1580000,0,NA,NA,NA,NA,30,10,40,25,10,0,35,15,110,25,135,0,10,0,0,0,25,10,0,10,30,0,0,10,0,0,0,15,25,0,0
"3","35190436","DA","35190436",0.0628,301,97,93,"3519038","3519","5350420.05","35535",95,80,0,0,0,185,85,65,0,5,15,40,30,15,5,2.9,36800,43200,31800,30,40,50,20,20,25,15,15,15,10,10,25,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,55,6,NA,105,215,0,0,0,0,0,0,0,0,0,0,47.1,23.5,1480,2120,1510000,1480000,0,NA,NA,NA,NA,30,0,10,15,15,0,0,0,135,0,120,0,25,45,15,0,25,20,0,0,85,0,0,0,0,0,0,25,25,25,0
"4","35190437","DA","35190437",0.0538,264,79,78,"3519038","3519","5350420.05","35535",80,75,0,0,0,165,65,50,5,5,5,35,30,20,5,2.9,33600,38800,30000,30,30,45,25,15,10,10,10,10,10,10,20,0,0,0,0,0,0,0,0,5,0,0,5,5,0,5,40,10,8.5,70,180,0,0,0,0,0,0,0,0,25,0,37.5,31.3,1080,2200,1550000,1640000,0,NA,NA,NA,NA,20,0,25,25,0,0,15,10,130,15,90,0,20,20,15,0,35,10,0,0,55,0,0,0,0,0,10,0,30,15,10
"5","35190438","DA","35190438",0.0868,365,121,119,"3519038","3519","5350420.05","35535",120,110,0,0,0,220,105,80,5,10,15,50,25,30,5,2.9,38000,40800,34400,35,45,60,35,30,15,20,20,15,10,10,35,0,0,0,0,0,0,0,0,5,10,5,5,10,5,5,60,6.4,5.6,125,230,0,0,0,0,0,0,0,0,0,0,47.8,17.4,1420,2040,1800000,1640000,0,NA,NA,NA,NA,20,0,50,0,0,0,25,0,180,15,140,0,30,25,15,15,45,10,0,15,90,0,0,0,0,0,10,50,25,0,15
"6","35190439","DA","35190439",0.1026,487,145,142,"3519038","3519","5350420.05","35535",140,135,0,0,0,280,135,105,0,10,20,60,45,45,5,3,37600,48400,32000,40,70,75,50,35,20,25,25,25,15,15,35,0,0,0,0,0,0,0,0,5,0,5,15,5,15,5,85,5.6,3.6,140,350,0,0,0,0,0,0,0,0,0,0,60,16,1820,2520,1600000,1640000,0,NA,NA,NA,NA,30,10,60,40,0,0,25,40,225,40,155,0,35,25,30,0,75,10,0,0,100,10,15,0,0,0,35,30,35,15,20
"7","35190440","DA","35190440",0.1338,390,128,127,"3519038","3519","5350420.05","35535",130,125,0,0,0,225,130,90,10,15,20,65,30,30,0,2.7,43200,49200,38000,45,50,40,30,30,25,30,30,20,10,20,35,0,0,0,0,0,0,5,0,0,0,0,10,10,0,15,75,6.8,6.8,185,265,30,0,0,0,0,0,0,0,0,0,50,23.1,1720,2480,1600000,1580000,0,NA,NA,NA,NA,35,10,35,10,0,0,25,0,245,25,150,0,50,15,30,15,70,20,0,0,110,10,0,0,0,0,0,60,45,0,0
"8","35190441","DA","35190441",0.1051,341,102,100,"3519038","3519","5350420.05","35535",100,95,0,0,0,195,100,75,5,10,10,45,35,25,10,3,34400,35600,34400,35,50,45,45,20,20,20,20,15,15,10,20,0,0,0,0,0,0,5,0,0,0,5,0,0,5,5,65,4.5,4.5,95,195,15,0,0,0,0,0,0,0,0,0,62.5,31.3,2340,2640,1700000,1640000,0,NA,NA,NA,NA,20,10,30,0,0,0,0,0,130,25,105,0,35,0,15,10,20,10,0,0,45,10,10,0,0,0,15,35,10,0,10
"9","35190442","DA","35190442",0.0945,416,143,141,"3519038","3519","5350420.05","35535",140,80,60,0,0,230,140,95,5,25,20,55,40,30,5,2.9,31600,32800,30200,40,70,70,45,35,15,15,15,15,20,10,20,0,0,0,5,5,0,5,5,0,0,10,10,10,10,10,60,16.5,11.6,80,335,0,0,0,0,0,0,0,0,0,0,53.8,34.6,1420,2200,1500000,1200000,20,0,0,NA,NA,80,15,30,15,50,10,20,15,150,55,165,0,20,15,20,0,85,20,0,0,65,0,0,0,0,0,20,30,20,10,0
"10","35190443","DA","35190443",0.1038,1853,1060,982,"3519038","3519","5350420.05","35535",985,55,860,0,0,925,760,540,45,115,60,360,115,40,10,2.4,33200,35200,31000,245,240,300,185,180,135,100,100,75,55,25,55,60,25,15,30,70,45,45,55,65,40,105,95,85,65,50,140,28.8,18.2,385,1110,215,0,0,0,0,0,0,0,0,0,60.2,51,1530,1770,560000,696000,430,0,57.3,1860,1770,140,45,205,45,45,35,135,30,775,90,655,0,175,45,85,40,225,45,0,25,360,30,30,35,0,0,100,200,120,20,10
"11","35190444","DA","35190444",0.2933,1522,671,653,"3519038","3519","5350420.05","35535",650,80,380,0,0,685,670,405,50,115,95,245,130,70,15,2.7,34800,36400,33200,155,190,255,185,135,110,80,80,60,50,20,60,20,5,0,10,30,30,35,30,25,25,60,65,45,45,40,180,16.6,8.6,520,995,50,0,0,0,0,15,15,0,0,0,45.3,38.4,1340,1780,640000,856000,245,16.3,45.8,1700,1640,120,60,210,55,10,50,135,45,660,125,620,0,85,85,100,0,155,95,0,15,365,45,30,10,0,10,90,170,135,45,20
"12","35190445","DA","35190445",0.2479,864,285,280,"3519038","3519","5350420.06","35535",280,180,0,0,0,470,265,190,15,30,35,115,75,55,15,2.9,36800,44000,33600,90,105,125,70,55,40,55,55,35,30,15,80,10,5,10,0,5,5,5,5,10,5,10,15,25,15,10,140,10.6,7.8,330,550,10,0,0,0,0,0,0,0,0,0,57.4,27.8,1580,2500,1500000,1480000,20,0,75,NA,2000,65,0,90,15,35,0,75,15,420,50,255,25,85,55,35,20,100,20,0,0,205,15,25,0,0,10,45,65,65,50,25
"13","35190446","DA","35190446",0.0802,372,116,114,"3519038","3519","5350420.06","35535",115,105,0,0,0,220,115,85,0,10,20,55,30,30,5,2.9,35600,47200,28000,35,60,55,15,25,30,15,15,20,15,15,25,0,0,0,0,0,0,0,5,0,0,5,10,5,10,0,65,10.8,4,95,280,0,0,0,0,0,0,0,0,0,0,23.8,19,1010,1760,1500000,1460000,0,NA,NA,NA,NA,60,15,20,0,0,10,10,0,120,15,205,0,25,15,0,0,25,20,0,0,65,0,10,0,0,0,0,15,50,10,0
"14","35190447","DA","35190447",0.0899,355,108,105,"3519038","3519","5350420.06","35535",105,90,0,0,0,220,90,70,0,5,15,50,25,30,5,3,34400,38400,33600,35,60,50,35,25,15,20,20,10,20,10,35,0,0,0,0,0,0,0,5,0,0,5,5,5,0,5,65,2.8,2,95,255,0,0,0,0,0,0,0,0,0,0,28.6,14.3,1030,1720,1600000,1580000,0,NA,NA,NA,NA,25,0,25,15,0,0,10,10,135,30,175,0,50,10,15,0,35,0,0,0,45,15,0,0,0,10,20,30,20,0,0
"15","35190448","DA","35190448",0.2281,1045,352,344,"3519038","3519","5350420.06","35535",345,185,0,0,0,560,365,270,10,35,45,130,95,80,15,3,29800,33600,26800,140,165,170,90,70,60,50,50,25,40,25,70,5,10,0,5,10,5,15,10,10,10,15,25,25,25,20,160,13.4,9,250,755,85,0,0,0,0,0,0,0,0,0,54.8,38.7,1740,2260,1200000,1300000,45,0,0,3000,2200,95,35,105,55,30,40,60,45,500,85,385,10,105,40,30,20,140,45,0,0,220,25,30,0,0,10,75,50,65,40,45
"16","35190453","DA","35190453",0.1159,666,219,216,"3519038","3519","5350420.03","35535",215,30,0,0,0,210,355,235,25,65,25,75,55,35,20,3,27800,26000,30200,60,100,145,85,40,30,30,30,20,10,15,15,0,0,5,5,10,5,15,5,15,5,10,25,25,15,10,75,12.2,5.6,290,435,0,0,0,25,0,0,0,0,0,0,70.6,29.4,2460,2680,1e+06,1120000,150,56.7,26.7,1540,1340,110,40,110,20,60,25,85,10,345,70,230,0,25,45,25,10,90,55,10,20,165,25,60,10,0,0,45,105,65,25,30
"17","35190454","DA","35190454",0.051,281,96,94,"3519038","3519","5350420.03","35535",95,85,0,0,0,160,95,75,0,5,10,35,30,20,5,2.9,35600,36800,34000,35,35,40,25,20,15,15,15,10,15,0,20,0,0,0,0,0,0,5,0,0,0,5,5,10,0,5,45,10,6,65,210,15,0,0,0,0,0,0,0,0,0,44.4,27.8,1040,1920,1300000,1220000,0,NA,NA,NA,NA,15,15,60,0,0,0,35,0,145,10,110,0,30,10,15,0,40,15,0,10,55,0,15,0,0,0,15,25,20,0,0
"18","35190455","DA","35190455",1.023,1111,693,385,"3519038","3519","5350420.03","35535",385,335,0,0,0,615,320,210,10,60,40,150,85,80,25,2.9,34400,37200,33200,140,140,135,90,70,55,55,55,45,45,25,90,15,10,5,0,15,25,15,5,5,0,20,35,15,30,20,165,18,12,295,565,0,0,0,0,0,0,0,0,0,0,50,39.7,1640,2800,1900000,1920000,0,NA,NA,NA,NA,60,0,95,70,15,0,45,45,355,50,310,10,70,35,35,20,75,10,0,10,155,10,0,0,0,0,25,70,45,15,20
"19","35190457","DA","35190457",0.0596,366,125,124,"3519038","3519","5350420.09","35535",125,110,0,0,0,190,130,95,5,15,10,45,45,25,5,2.9,36800,37600,33600,35,40,60,45,35,30,15,15,10,10,10,15,0,0,0,0,0,0,5,0,10,0,10,15,10,10,10,50,9.5,3.6,175,200,0,0,0,0,0,0,0,30,0,0,66.7,12.5,1960,1760,950000,1e+06,15,0,0,NA,1800,20,25,55,10,15,15,40,0,205,25,110,0,25,20,30,15,80,25,0,0,95,0,20,0,0,0,25,25,35,0,25
"20","35190458","DA","35190458",0.1117,880,482,467,"3519038","3519","5350420.09","35535",465,70,390,0,0,440,385,165,20,70,135,170,40,30,5,2.5,38400,40000,37600,60,95,180,135,100,65,50,50,30,35,15,30,10,0,5,0,25,20,25,25,35,30,55,50,40,30,25,85,14,8.4,310,510,25,0,0,0,0,20,0,0,0,0,30,47.5,1280,1640,6e+05,696000,65,0,66.7,1800,1480,80,40,135,35,0,10,40,30,250,50,480,0,35,55,30,0,75,30,0,0,135,10,20,15,0,0,35,60,45,15,25
"21","35190459","DA","35190459",0.1568,1297,755,729,"3519038","3519","5350420.08","35535",725,0,720,0,0,645,570,230,40,110,195,290,70,25,0,2.3,31800,33200,31400,110,200,295,185,140,95,55,55,35,30,20,20,15,10,5,25,50,45,50,60,50,65,85,65,50,55,35,75,22,10.4,295,925,70,0,0,0,0,0,0,0,0,0,37,48.1,1380,1580,6e+05,652000,185,0,61.1,1900,1860,185,45,235,25,25,10,115,15,400,85,720,10,75,45,45,15,85,95,10,10,220,20,20,0,0,15,45,85,55,45,45
"22","35190460","DA","35190460",0.2392,1178,647,594,"3519038","3519","5350421.06","35535",595,100,480,0,0,575,480,310,45,75,50,205,85,45,5,2.6,34000,34800,33200,105,155,215,125,120,75,60,60,50,30,10,45,25,15,10,30,35,35,35,30,40,25,55,50,50,30,20,110,23.6,16.8,390,720,110,0,0,0,0,0,0,0,0,0,67.1,48,2000,2080,650000,968000,210,0,70,2020,2060,95,35,210,25,35,15,170,20,580,75,400,10,90,60,85,15,125,105,0,20,380,10,15,10,0,0,50,170,105,65,35
"23","35190463","DA","35190463",0.2931,1048,451,430,"3519038","3519","5350421.04","35535",430,40,275,0,0,470,430,265,30,75,60,130,100,45,20,2.9,35200,36000,35200,65,130,190,150,125,70,45,45,40,30,5,20,5,0,5,10,20,20,15,25,25,15,45,25,35,40,25,115,14.6,6.8,350,605,60,0,0,0,0,0,0,0,0,0,86.7,36.7,2100,2240,7e+05,780000,275,0,58.2,1960,1980,110,40,150,20,25,30,125,20,455,105,345,0,40,15,40,30,185,105,10,45,220,40,75,40,0,0,120,85,110,45,25
"24","35190464","DA","35190464",0.1233,481,171,167,"3519038","3519","5350421.04","35535",165,135,0,0,0,250,165,105,5,20,30,65,35,35,10,2.9,36800,44000,33200,45,50,75,45,40,30,25,25,15,10,15,25,5,0,0,0,0,0,5,0,15,5,15,10,15,10,10,70,10.8,6,200,270,25,0,0,0,0,0,0,0,0,0,63.3,26.7,2300,2320,1100000,1100000,0,NA,NA,NA,NA,20,10,65,10,0,0,25,0,170,30,190,0,50,0,10,0,35,25,0,0,105,0,0,0,0,0,10,40,30,10,10
"25","35190465","DA","35190465",0.1086,381,136,133,"3519038","3519","5350421.04","35535",130,100,0,0,0,195,130,90,10,20,20,50,35,30,5,2.9,38000,40800,37600,30,40,65,35,35,35,15,15,20,15,5,20,0,0,0,0,5,0,0,0,0,5,10,10,15,10,10,50,5.6,6,145,265,25,0,0,0,0,0,0,0,0,0,70.8,30.4,2340,2160,1e+06,1100000,25,0,0,NA,2200,35,20,45,20,20,15,25,10,230,20,115,0,40,15,20,0,55,45,0,10,145,10,0,0,0,0,20,30,70,10,30
"26","35190466","DA","35190466",0.4266,1165,421,410,"3519038","3519","5350421.05","35535",410,290,0,0,0,645,350,245,25,40,35,160,100,85,20,2.9,43600,53200,38400,95,110,165,120,110,85,80,80,60,45,30,65,5,0,0,0,0,10,10,10,10,10,30,30,30,30,35,195,4.8,3,580,695,10,0,0,10,0,0,0,0,0,0,60.5,19.8,1800,1870,1e+06,1048000,15,0,0,NA,1800,95,25,210,50,0,20,145,40,560,125,435,0,125,55,90,30,130,85,0,25,245,20,20,15,0,30,55,95,125,40,15
"27","35190467","DA","35190467",0.3097,724,242,230,"3519038","3519","5350421.07","35535",230,200,0,0,0,390,260,210,10,20,25,80,65,45,25,3,40800,49200,34800,75,70,105,65,70,45,35,35,30,20,20,75,5,0,0,0,5,5,5,5,0,10,10,15,20,10,5,130,12.6,8.8,340,365,25,0,0,0,0,0,0,0,0,0,46.3,41.5,1760,3020,1900000,2120000,30,0,0,NA,3000,70,30,105,20,10,20,65,15,365,50,255,0,70,35,25,10,90,75,0,0,200,30,0,0,0,0,65,90,70,0,20
"28","35190468","DA","35190468",0.166,379,130,127,"3519038","3519","5350421.07","35535",125,115,0,0,0,205,115,80,10,10,20,45,40,20,10,3,42000,40400,45600,30,40,60,35,25,30,20,20,15,10,10,25,5,0,0,0,0,5,0,0,10,5,10,10,5,15,5,65,10,4.5,125,210,10,0,0,0,0,0,0,0,0,0,47.6,33.3,2020,3250,1900000,2200000,15,0,0,NA,1600,20,10,45,15,0,0,45,10,115,15,145,10,10,0,10,0,30,25,0,0,60,0,0,0,0,0,10,15,25,10,10
