"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","24560136","DA","24560136",12.5352,277,120,117,"2456083","2456","4622400.00","24462",120,105,0,0,0,155,95,65,5,5,15,50,15,10,10,2.7,42800,46000,31600,15,25,50,40,40,25,10,10,15,0,0,10,0,0,0,0,5,0,0,10,0,5,20,15,15,5,10,30,6,NA,315,0,0,0,0,0,0,0,0,0,0,0,47.6,0,1020,960,324000,345000,0,NA,NA,NA,NA,50,90,40,10,15,60,40,10,190,0,75,0,10,0,35,0,55,50,10,0,110,25,0,0,0,0,55,30,30,25,0
"2","24560137","DA","24560137",9.5555,1146,477,468,"2456083","2456","4622400.00","24462",470,450,0,5,0,645,310,220,5,55,25,190,80,50,30,2.8,40000,43600,34400,80,155,150,170,150,100,65,65,35,10,10,15,0,5,5,10,15,15,20,25,20,20,50,50,45,30,45,105,7.8,1.8,1025,35,0,10,20,35,0,0,0,0,0,0,73.5,8.4,1040,1068,3e+05,315000,45,0,0,800,720,150,240,130,15,75,170,90,10,515,15,340,15,40,45,45,15,120,125,20,35,415,20,0,0,0,0,110,155,110,40,20
"3","24560138","DA","24560138",0.3897,414,231,204,"2456083","2456","4622400.00","24462",205,180,0,0,0,210,175,125,5,30,20,80,20,15,5,2.5,38000,41200,36800,30,45,95,55,45,30,30,30,15,10,0,20,0,0,0,0,10,10,10,10,10,10,20,15,15,10,10,50,10,4,400,10,0,0,0,0,0,0,0,0,0,0,66.7,0,1030,1280,360000,460000,40,0,0,780,850,105,50,50,10,55,40,50,0,225,25,135,10,20,15,10,15,55,70,0,10,155,10,0,0,0,0,55,25,40,40,0
"4","24560139","DA","24560139",1.2296,1550,562,555,"2456083","2456","4622203.00","24462",555,540,0,0,0,890,315,225,10,35,40,230,85,135,35,3,58800,71000,47200,85,120,145,140,120,125,120,120,90,70,40,140,0,0,5,0,5,5,10,10,15,15,25,45,35,20,45,320,2.8,0.6,1350,60,0,15,0,55,0,0,0,0,0,0,65.7,6.7,1480,1650,552000,628000,30,0,0,NA,640,165,175,220,55,75,135,155,50,700,25,385,25,50,110,85,30,105,120,0,20,515,15,0,0,0,0,115,200,130,80,15
"5","24560140","DA","24560140",0.2392,509,206,200,"2456083","2456","4622203.00","24462",200,200,0,0,0,290,130,100,0,20,5,80,40,20,10,2.8,46400,50400,41600,30,50,60,65,65,50,35,35,15,15,10,15,0,0,0,0,5,5,5,5,5,10,25,15,10,15,20,85,4.8,1.6,520,20,0,20,0,30,0,0,0,0,0,0,78.6,11.9,1360,1370,352000,4e+05,0,NA,NA,NA,NA,80,125,30,20,45,95,25,15,300,15,130,0,25,20,15,15,85,90,0,10,220,25,0,0,0,10,75,70,60,35,20
"6","24560141","DA","24560141",0.1392,324,147,143,"2456083","2456","4622202.00","24462",145,125,0,0,0,190,100,75,5,10,5,70,15,15,5,2.6,46400,51200,40000,10,40,40,45,45,50,15,15,20,0,5,0,0,0,0,0,5,5,10,5,5,10,10,15,20,15,10,40,7.6,2,280,25,0,0,0,0,0,0,0,0,0,0,78.3,0,1340,1180,3e+05,335000,25,0,0,NA,680,35,65,60,0,20,45,40,0,165,0,105,0,15,0,15,0,65,50,0,0,150,0,0,0,0,0,70,45,35,15,0
"7","24560142","DA","24560142",0.2101,732,230,230,"2456083","2456","4622202.00","24462",230,195,0,0,0,385,150,120,0,15,10,70,35,75,30,3.3,54800,63200,49600,20,45,85,55,70,70,60,60,35,40,20,30,0,0,0,0,0,0,0,5,5,0,15,10,10,15,20,140,NA,NA,725,0,0,10,30,0,0,0,0,0,0,0,71.1,0,1500,1470,448000,476000,0,NA,NA,NA,NA,55,60,150,20,10,40,130,20,380,20,110,10,35,20,95,15,85,50,15,15,280,0,0,0,0,0,115,55,70,35,20
"8","24560143","DA","24560143",0.1378,363,140,139,"2456083","2456","4622202.00","24462",140,105,0,0,0,200,100,80,0,15,5,65,25,20,5,2.8,47200,50000,45600,25,20,35,55,55,35,30,30,20,5,5,5,0,0,0,0,0,5,0,0,0,0,15,15,15,15,10,55,3.2,NA,350,10,0,20,0,0,0,0,0,0,0,0,56.5,13,1010,1240,348000,360000,25,0,0,NA,900,50,45,110,25,20,35,80,10,220,15,75,0,10,20,30,0,75,35,0,0,160,0,10,0,0,0,35,70,55,0,0
"9","24560144","DA","24560144",0.1545,412,171,169,"2456083","2456","4622202.00","24462",170,125,0,0,20,235,115,80,5,20,5,80,20,20,10,2.8,48000,56800,39200,20,40,55,55,50,35,35,35,15,5,0,15,0,0,0,0,5,5,0,10,10,10,10,10,10,15,15,65,4.5,NA,415,0,0,0,0,0,0,0,0,0,0,0,58.6,0,785,1100,348000,350000,25,0,0,NA,850,55,55,60,15,20,40,45,10,250,20,95,10,30,20,40,0,65,40,0,10,185,10,10,0,0,0,60,60,75,0,15
"10","24560145","DA","24560145",0.1289,428,174,173,"2456083","2456","4622202.00","24462",175,105,0,0,0,230,130,90,5,20,5,70,30,20,10,2.8,48000,56000,42000,30,45,45,55,50,40,35,35,20,5,5,25,0,0,0,0,0,0,5,5,15,5,20,20,20,15,5,60,2.4,2.8,400,0,0,0,0,0,0,0,0,0,0,0,69.6,0,1390,1360,448000,470000,50,0,0,850,880,45,55,60,15,30,50,45,10,225,10,120,0,20,30,35,0,65,35,0,0,175,0,0,0,0,0,75,35,45,15,10
