"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","24430011","DA","24430011",0.2151,533,248,241,"2443027","2443","4330016.00","24433",240,220,0,0,0,280,185,110,5,35,45,115,20,25,5,2.5,37200,45600,29000,15,70,110,75,75,50,20,20,10,10,0,5,0,0,0,0,15,15,5,15,20,15,35,30,20,10,15,45,9.2,0.8,495,25,0,0,0,0,0,0,0,0,0,0,36.6,0,484,700,2e+05,208000,30,0,0,670,640,75,95,90,20,20,65,70,15,230,0,215,0,10,35,25,0,55,35,0,15,165,0,10,15,0,10,90,80,20,0,10
"2","24430012","DA","24430012",0.1845,669,321,293,"2443027","2443","4330016.00","24433",295,85,0,0,0,230,290,210,10,50,20,65,35,20,30,3.4,30400,31600,28800,35,95,140,75,65,35,25,25,20,5,0,0,0,0,5,15,40,25,20,20,10,20,30,30,25,15,15,25,25.8,8.8,530,145,0,20,0,0,0,0,0,0,0,0,55,0,740,820,226000,240000,190,13.2,26.3,624,670,130,115,85,25,35,75,60,15,310,10,250,0,10,55,45,0,90,60,0,15,200,40,25,10,0,0,130,115,30,0,0
"3","24430013","DA","24430013",0.1065,687,437,414,"2443027","2443","4330016.00","24433",410,10,0,0,0,240,370,230,15,85,40,115,20,15,15,2.5,30000,32400,28000,35,95,190,130,65,30,25,25,5,10,0,0,10,10,20,20,55,45,30,40,30,25,35,30,30,10,5,20,28.4,10,595,115,10,10,10,0,0,0,0,0,0,0,68.4,0,960,860,176000,176000,320,9.4,25.8,645,660,205,90,90,20,115,60,55,15,320,25,275,0,0,70,55,0,105,30,0,50,215,45,25,15,0,0,150,70,35,35,10
"4","24430014","DA","24430014",0.1157,490,308,281,"2443027","2443","4330016.00","24433",285,55,0,10,0,160,270,185,5,55,25,70,20,10,5,2.5,30600,31000,30200,25,65,145,100,40,20,20,20,5,0,0,0,0,0,5,15,45,30,30,30,25,10,30,20,10,5,10,20,26,8.4,375,50,30,15,0,0,0,0,0,0,0,0,53.8,0,900,920,250000,230000,220,0,29.5,616,632,115,70,55,10,60,55,10,0,205,25,180,0,25,20,30,0,60,40,0,30,125,0,20,15,0,15,55,80,20,20,0
"5","24430015","DA","24430015",0.0957,455,271,256,"2443027","2443","4330016.00","24433",255,50,0,0,0,180,220,145,10,50,20,85,15,15,5,2.5,33600,34000,32800,25,50,110,105,55,30,15,15,0,5,0,0,0,0,0,10,30,25,20,25,20,20,25,30,20,10,5,15,21.6,6,440,15,0,0,0,0,0,0,0,0,0,0,73.7,0,1100,1060,250000,240000,145,0,17.2,655,730,100,85,85,10,50,65,60,10,190,40,150,0,15,20,20,0,70,30,0,10,150,0,0,0,0,0,80,65,20,0,0
"6","24430016","DA","24430016",0.0894,406,288,247,"2443027","2443","4330016.00","24433",245,25,0,0,0,110,235,160,15,50,20,50,10,10,10,2.8,31600,34000,28800,20,65,95,70,50,20,15,15,0,0,0,0,0,0,10,25,45,20,20,25,25,10,20,15,10,10,0,15,31.2,12.8,385,30,0,10,0,0,0,0,0,0,0,0,46.2,0,468,740,174000,185000,200,0,32.5,670,670,60,50,50,0,35,30,30,0,185,15,170,0,0,25,25,15,80,25,0,0,125,0,20,10,0,0,55,65,35,0,0
"7","24430017","DA","24430017",0.095,357,235,207,"2443027","2443","4330016.00","24433",205,20,0,15,0,120,195,140,5,35,20,55,15,10,5,2.5,29400,34400,25000,15,60,105,70,35,10,5,5,0,0,0,0,5,0,10,15,30,15,20,20,10,20,10,10,15,15,0,10,26,9,355,55,0,20,0,0,0,0,0,0,0,0,81.8,0,1080,1080,240000,230000,165,0,27.3,675,690,90,75,60,0,35,50,35,0,180,30,120,0,10,20,20,10,60,40,0,0,95,0,10,40,0,0,40,90,0,10,15
"8","24430018","DA","24430018",0.1276,389,247,231,"2443027","2443","4330016.00","24433",230,25,0,0,0,145,210,130,0,50,20,65,20,5,0,2.5,30000,36000,26400,20,55,120,80,30,20,15,15,5,0,0,0,0,5,5,15,40,20,20,20,20,10,25,20,10,10,5,10,25.2,7.2,365,0,0,15,0,0,0,0,0,0,0,0,50,0,616,880,2e+05,195000,195,0,23.1,604,645,115,60,45,0,55,50,30,10,135,15,215,0,15,0,10,0,60,40,0,20,100,0,0,10,0,0,25,80,10,0,0
"9","24430019","DA","24430019",0.0741,381,285,252,"2443027","2443","4330015.01","24433",250,15,0,0,0,120,230,135,5,60,25,45,15,5,5,2.6,27200,28200,25200,25,65,125,70,30,20,10,10,0,0,0,0,0,10,10,25,50,25,15,35,15,10,20,15,0,5,0,10,34.5,13.2,355,40,0,0,0,0,0,0,0,0,0,0,0,0,NA,850,NA,190000,195,0,35.9,604,650,110,65,50,0,55,45,25,0,115,20,205,0,0,0,0,0,40,20,10,20,70,0,0,15,0,0,35,40,15,0,0
"10","24430020","DA","24430020",0.0274,296,122,112,"2443027","2443","4330015.02","24433",110,0,0,0,0,75,140,110,5,20,10,25,15,10,15,3.4,21800,22600,20800,20,65,55,25,10,10,0,0,0,0,0,0,0,0,10,10,15,10,5,10,5,10,5,10,5,0,0,5,47,13,155,105,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,100,65,20,396,450,105,20,25,0,55,20,15,0,80,10,115,0,0,0,0,0,40,0,0,35,45,10,30,0,0,0,10,15,35,10,0
