"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","10010165","DA","10010165",0.3817,500,229,217,"1001519","1001","0010170.02","10001",220,105,0,0,0,255,200,140,5,25,30,95,40,25,5,2.6,44000,50400,40400,30,45,85,65,70,35,25,25,35,10,5,25,0,0,5,0,5,5,5,15,10,10,15,10,25,15,15,75,9.2,5.2,480,15,0,0,0,0,0,0,0,0,0,0,56.3,0,1620,1500,348000,350000,75,0,26.7,950,1000,35,30,125,15,0,20,120,15,250,20,175,10,20,20,50,0,75,45,0,0,150,30,15,0,0,0,80,105,10,0,0
"2","10010166","DA","10010166",0.0954,340,165,146,"1001519","1001","0010170.02","10001",145,80,0,0,0,175,110,70,15,10,15,65,15,15,10,2.7,46400,58000,42400,20,35,45,40,55,25,25,25,10,10,5,10,0,0,0,0,10,5,0,10,10,5,10,5,15,10,15,45,9.5,NA,305,0,0,0,0,0,0,0,0,0,0,0,37.5,0,660,1080,332000,340000,45,0,0,795,880,30,15,55,15,10,10,35,0,140,15,100,0,15,15,20,15,40,10,0,10,85,0,10,0,0,0,45,60,10,0,0
"3","10010167","DA","10010167",0.1265,407,201,184,"1001519","1001","0010170.02","10001",185,75,0,0,0,235,130,80,5,25,15,85,20,20,5,2.6,41600,45600,40000,25,50,65,50,50,35,25,25,20,10,5,20,5,0,0,5,5,10,5,5,15,5,20,15,20,15,10,55,10.4,5.2,410,0,0,0,0,0,0,0,0,0,0,0,32.1,0,810,1140,324000,350000,45,0,0,750,760,30,20,90,30,15,0,60,15,145,25,215,0,15,20,20,0,45,15,0,0,100,10,0,0,0,0,70,40,10,0,0
"4","10010168","DA","10010168",0.1911,523,274,248,"1001519","1001","0010170.02","10001",250,110,0,0,0,250,220,135,10,40,35,110,35,20,5,2.5,41600,45200,40800,30,55,90,85,65,45,25,25,30,10,5,15,0,0,5,5,10,20,10,10,10,15,20,25,20,10,10,70,11.2,3.6,555,40,0,0,0,0,0,0,0,0,0,0,50,31,1060,1330,3e+05,312000,70,0,0,1100,1000,45,35,165,25,10,15,110,10,275,30,230,0,25,35,35,0,95,30,0,0,185,30,0,0,0,0,125,90,0,0,0
"5","10010169","DA","10010169",0.0662,285,131,123,"1001519","1001","0010170.02","10001",120,50,0,0,0,150,95,70,10,10,5,50,10,15,5,2.7,46800,54000,38400,15,35,40,30,35,35,20,20,10,15,5,5,0,0,0,5,5,0,5,5,10,5,10,10,5,5,10,45,7.6,4.5,285,15,0,0,0,10,0,0,0,0,0,0,52.9,0,950,1280,320000,325000,45,0,66.7,930,1000,25,10,70,10,10,10,50,0,125,25,115,0,25,15,15,10,40,10,0,0,80,10,0,0,0,0,50,45,0,0,0
"6","10010170","DA","10010170",0.1482,407,175,162,"1001519","1001","0010170.02","10001",160,80,0,0,0,210,155,105,10,20,15,70,25,15,10,2.6,47200,55200,44400,15,25,65,50,50,45,35,35,15,15,5,5,0,0,0,0,10,5,5,5,5,5,10,10,15,15,15,60,3.6,1,360,10,0,0,0,0,0,0,0,0,0,0,37,0,920,1160,320000,325000,40,0,50,820,920,40,25,85,10,25,20,55,0,125,25,170,0,15,10,20,0,35,35,0,0,65,10,0,0,0,0,50,15,0,0,0
"7","10010171","DA","10010171",0.128,461,226,205,"1001519","1001","0010170.02","10001",205,75,0,0,0,230,185,120,5,30,20,70,35,25,5,2.8,48000,48800,44800,20,40,60,65,50,50,35,35,25,15,15,20,0,0,0,5,10,10,10,10,15,5,15,20,15,15,10,75,6.8,2,415,0,0,25,0,0,0,0,0,0,0,0,53.3,0,1070,1340,332000,350000,45,0,0,900,960,25,35,95,20,0,25,70,10,230,20,130,0,35,10,35,0,85,35,0,10,155,10,0,10,0,10,85,80,10,0,0
"8","10010172","DA","10010172",0.0823,248,115,102,"1001519","1001","0010170.02","10001",105,45,0,0,0,105,110,85,5,5,10,35,20,20,0,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,10,25,0,0,0,0,0,0,0,0,0,63.6,NA,1800,1400,320000,330000,35,0,NA,1380,1300,30,0,70,0,0,0,55,0,165,0,55,0,15,0,20,10,65,10,0,10,90,25,0,25,0,0,75,60,0,0,0
"9","10010173","DA","10010173",0.2529,808,418,373,"1001519","1001","0010003.02","10001",370,90,0,0,0,375,330,240,15,50,25,130,55,35,10,2.7,43600,47200,41600,55,85,115,100,80,70,50,50,25,45,15,40,0,0,5,10,25,15,10,25,10,15,30,25,30,25,25,120,13.4,4.8,715,40,0,0,15,20,0,0,0,0,0,0,66.7,16.7,1620,1540,348000,344000,175,11.4,31.4,900,950,85,20,170,25,25,10,150,20,335,55,265,0,40,25,50,10,115,60,0,10,205,30,15,10,0,15,170,75,15,0,0
"10","10010174","DA","10010174",0.2385,866,405,363,"1001519","1001","0010003.02","10001",360,155,0,0,0,460,315,220,15,40,45,150,55,40,15,2.7,50000,57600,44800,40,80,100,110,90,80,60,60,50,30,20,50,0,0,5,0,15,15,5,25,15,15,30,30,25,30,15,150,8,2.4,835,15,0,0,0,20,0,0,0,0,0,0,52.8,15.1,1000,1300,360000,368000,115,0,21.7,1000,980,45,30,200,20,10,15,155,20,435,35,285,0,25,65,85,0,125,35,0,0,305,30,10,15,0,20,190,140,25,10,10
