"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","48111601","DA","48111601",0.1718,374,139,136,"4811052","4811","8350101.01","48835",135,135,0,0,0,195,115,80,5,10,15,60,25,25,10,2.9,50800,63600,39200,20,25,50,35,30,35,30,30,25,5,20,20,0,0,0,0,0,0,0,0,0,0,10,15,5,15,15,65,5,2.8,350,20,0,0,45,0,0,0,0,0,0,0,58.3,0,1510,1400,380000,395000,0,NA,NA,NA,NA,20,75,40,0,15,60,15,0,190,10,105,0,10,20,45,10,30,75,0,0,130,0,0,10,0,0,20,55,50,15,0
"2","48111602","DA","48111602",0.4945,1081,417,409,"4811052","4811","8350101.01","48835",410,405,0,0,0,580,320,215,15,55,35,175,70,65,25,2.8,50800,66000,40400,45,80,145,100,110,95,75,75,55,55,30,65,0,0,0,0,0,5,5,10,10,10,25,30,30,40,30,200,3.4,2.4,865,95,0,10,0,0,0,0,0,0,0,0,57.1,14.3,1500,1375,380000,394000,40,0,0,1740,1400,100,125,145,15,40,90,95,10,515,40,295,10,20,40,55,10,155,145,10,15,360,15,0,20,0,25,170,140,80,15,20
"3","48111603","DA","48111603",0.3449,704,251,246,"4811052","4811","8350101.01","48835",245,245,0,0,0,345,220,150,10,35,20,75,45,35,35,3.2,45600,57600,38800,35,50,80,75,70,55,50,50,30,25,10,25,0,0,0,0,0,5,0,5,15,10,15,20,20,20,15,110,4.8,4,550,75,0,20,25,30,0,0,0,0,0,0,60.5,11.6,1540,1410,4e+05,380000,20,0,0,NA,1900,105,65,90,25,25,45,75,20,300,35,175,0,10,30,55,20,75,60,10,10,195,25,20,0,0,10,90,110,45,10,0
"4","48111604","DA","48111604",0.1899,536,211,208,"4811052","4811","8350101.01","48835",205,210,0,0,0,285,165,100,15,25,20,85,30,35,15,2.9,50800,65500,38800,30,45,50,55,55,45,40,40,30,20,10,30,0,0,0,0,10,0,5,10,5,5,5,15,15,25,15,90,5.2,4.4,405,110,0,0,25,0,0,0,0,0,0,0,64.9,8.1,1780,1550,380000,392000,0,NA,NA,NA,NA,40,45,110,15,0,40,100,10,255,30,155,0,35,20,40,10,35,85,0,0,185,0,0,0,0,0,30,80,80,0,0
"5","48111605","DA","48111605",0.4492,631,256,252,"4811052","4811","8350101.01","48835",250,210,0,0,0,375,155,75,5,30,35,115,30,35,20,2.8,53200,73500,39200,35,50,90,50,45,40,45,45,35,30,20,65,0,0,0,0,10,15,10,5,5,5,5,15,10,10,20,135,5.6,2.4,595,75,0,0,50,0,0,0,0,0,0,0,60.4,12.5,1620,1640,448000,460000,20,0,0,NA,1300,55,65,160,30,0,50,100,20,270,60,230,15,20,55,40,25,40,45,0,0,205,0,0,10,0,0,75,105,40,10,0
"6","48111606","DA","48111606",0.553,616,271,264,"4811052","4811","8350102.00","48835",265,190,0,0,0,330,210,115,10,35,55,120,30,30,15,2.7,43600,56000,38400,30,55,100,75,60,50,55,55,20,25,10,40,0,0,0,0,5,10,5,15,15,10,20,20,20,15,25,100,3.4,2,565,20,0,0,20,0,0,0,0,0,0,0,43.8,6.4,860,1230,376000,376000,30,0,0,1400,1400,45,60,155,25,15,25,80,20,215,15,290,0,15,20,20,10,25,65,0,0,145,0,0,10,0,0,20,90,60,0,0
"7","48111607","DA","48111607",0.151,402,165,162,"4811052","4811","8350102.00","48835",165,160,0,0,0,225,125,90,10,10,20,70,35,20,5,2.7,52400,56000,48400,25,30,40,45,50,45,25,25,25,20,10,25,0,0,0,0,0,5,0,0,0,10,10,15,15,15,15,70,6.4,1.2,415,0,0,0,0,0,0,0,0,0,0,0,70,23.3,1620,1500,4e+05,410000,0,NA,NA,NA,NA,50,40,75,10,0,35,60,0,200,30,115,10,15,25,30,0,30,55,10,0,160,0,0,0,0,0,55,70,35,10,0
"8","48111608","DA","48111608",0.4356,687,272,267,"4811052","4811","8350102.00","48835",265,265,0,0,0,375,190,125,10,35,20,125,45,35,20,2.8,50400,64500,42400,40,50,80,70,60,55,45,45,40,25,25,50,0,0,0,0,5,0,5,10,5,5,20,25,20,25,25,115,4,2.8,700,65,0,20,35,75,0,0,0,0,0,0,56.9,3.9,1600,1430,4e+05,408000,25,0,0,NA,1700,85,80,135,20,30,65,115,15,395,50,185,0,20,35,40,10,90,115,20,10,265,0,0,10,0,15,95,120,80,0,0
"9","48111609","DA","48111609",0.1553,402,177,175,"4811052","4811","8350102.00","48835",175,170,0,0,0,225,125,75,5,20,15,70,30,20,5,2.7,50800,60000,43600,20,30,45,45,50,35,30,30,15,20,10,30,0,0,0,0,0,5,0,5,5,10,10,20,10,20,10,80,5.6,3.6,360,15,0,0,0,0,0,0,0,0,0,0,61.3,19.4,1500,1460,380000,390000,0,NA,NA,NA,NA,30,65,75,10,10,50,50,0,175,20,120,0,15,0,0,10,30,80,0,10,135,10,10,0,0,0,55,50,40,15,0
"10","48111610","DA","48111610",0.2483,538,215,212,"4811052","4811","8350102.00","48835",210,210,0,0,0,295,145,80,10,30,25,90,35,35,10,2.8,52800,62000,45600,30,30,65,50,55,50,40,40,30,20,20,35,0,0,0,0,0,5,0,5,5,10,15,20,15,15,20,95,4.8,1.6,510,35,0,0,20,50,0,0,0,0,0,0,58.3,0,1490,1460,4e+05,404000,25,0,0,NA,1800,55,55,75,15,10,40,55,10,265,30,155,0,10,35,45,10,45,85,0,15,210,0,10,0,0,10,65,120,25,10,0
