"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","24640034","DA","24640034",0.2102,788,252,251,"2464008","2464","4620684.13","24462",250,225,0,0,0,410,225,195,5,15,15,75,55,65,35,3.3,52000,59200,41600,55,60,100,70,85,70,65,65,45,25,15,40,0,0,0,0,0,5,0,0,5,5,15,15,10,15,25,145,1.2,0.8,645,130,0,0,0,0,0,0,0,0,0,0,56,8,1100,1310,424000,436000,0,NA,NA,NA,NA,65,80,150,25,25,60,105,20,445,35,140,0,55,35,65,15,130,70,15,0,270,25,10,20,0,15,90,115,75,20,40
"2","24640035","DA","24640035",0.095,359,129,128,"2464008","2464","4620684.13","24462",130,130,0,0,0,200,110,90,5,10,5,50,30,20,10,3,50000,56400,46800,15,35,40,50,35,45,35,35,15,10,10,10,0,0,0,0,0,0,0,0,0,0,15,5,10,5,15,60,2,NA,315,45,0,0,0,0,0,0,0,0,0,0,61.5,0,1400,1300,4e+05,395000,0,NA,NA,NA,NA,50,25,60,20,25,25,60,15,195,0,95,0,25,15,30,0,25,30,0,0,105,20,0,0,0,10,40,50,15,15,20
"3","24640036","DA","24640036",0.1993,459,165,165,"2464008","2464","4620684.13","24462",165,165,0,0,0,265,115,95,0,15,5,75,30,30,10,2.9,46400,52000,40000,20,40,65,60,65,50,35,35,20,5,5,15,0,0,0,0,0,0,0,5,0,5,10,15,20,20,10,70,2.4,NA,380,80,0,0,0,0,0,0,0,0,0,0,74.2,0,1250,1300,348000,355000,0,NA,NA,NA,NA,40,55,55,25,10,50,40,15,215,20,125,0,15,15,55,10,55,40,0,10,140,15,10,0,0,0,40,55,55,0,20
"4","24640037","DA","24640037",0.231,772,279,276,"2464008","2464","4620684.13","24462",275,265,0,0,0,440,190,140,0,30,20,135,35,55,20,2.9,49600,54400,44800,45,60,85,90,100,85,55,55,45,25,15,15,0,0,0,0,0,0,10,5,5,10,25,20,20,20,35,120,2.8,1.6,650,115,0,10,0,0,0,0,0,0,0,0,64.2,5.7,1360,1240,348000,344000,0,NA,NA,NA,NA,75,145,95,35,20,105,70,25,410,20,200,0,30,50,45,0,120,70,0,20,310,20,25,0,0,0,50,120,130,45,30
"5","24640040","DA","24640040",0.6975,889,322,316,"2464008","2464","4620684.09","24462",315,250,0,0,0,450,255,190,10,35,30,110,55,70,30,3.1,50000,60400,42800,45,75,100,85,95,75,65,65,50,30,15,40,0,0,0,5,20,10,10,15,10,10,15,15,20,15,25,145,9.2,3.2,740,115,0,10,0,20,0,0,0,0,0,0,66,8,1510,1500,5e+05,536000,50,60,0,444,580,110,120,100,35,40,100,90,35,400,15,280,20,40,40,65,0,90,55,0,10,305,0,15,0,0,0,40,125,95,20,40
"6","24640041","DA","24640041",0.139,356,142,139,"2464008","2464","4620684.13","24462",140,70,0,0,0,190,125,85,5,20,15,55,25,25,10,2.9,48000,54000,44800,10,30,50,45,45,45,30,30,10,10,0,10,0,0,0,0,0,0,0,5,5,10,10,15,15,10,10,55,3.2,1.6,310,60,0,10,0,0,0,0,0,0,0,0,52,20,990,1300,3e+05,325000,20,0,0,NA,1000,30,40,65,15,10,25,60,10,210,10,105,10,0,0,10,10,110,15,0,20,150,10,10,10,0,0,25,50,45,45,20
"7","24640042","DA","24640042",0.207,508,219,214,"2464008","2464","4620684.09","24462",215,140,0,0,35,260,170,125,5,20,20,85,25,35,5,2.8,42000,48000,36400,25,50,85,80,65,50,25,25,15,10,5,10,0,0,0,0,10,10,5,5,15,10,30,10,20,15,20,60,5.2,2.4,465,35,0,0,0,0,0,0,0,0,0,0,67.6,13.5,960,1240,348000,408000,35,0,0,830,800,120,75,80,0,60,75,55,0,275,20,135,10,10,10,45,0,75,70,0,15,260,0,0,0,0,0,35,140,65,30,0
"8","24640043","DA","24640043",0.1816,361,151,145,"2464008","2464","4620684.08","24462",145,135,0,0,0,205,95,75,5,15,10,70,20,20,5,2.7,45200,54400,41600,15,30,40,50,50,45,20,20,20,10,0,5,0,0,0,0,0,5,5,0,0,5,10,15,15,15,10,50,6.4,4,335,45,0,0,0,0,0,0,0,0,0,0,68,16,1210,1360,376000,410000,25,0,0,NA,1200,75,85,40,10,55,65,30,10,210,10,90,0,10,10,30,10,60,40,10,15,160,0,0,0,0,0,25,55,65,10,10
"9","24640044","DA","24640044",0.3743,1398,458,454,"2464008","2464","4620684.08","24462",450,445,0,0,0,730,385,315,15,35,25,135,100,125,40,3.2,52000,60000,45200,80,105,150,140,150,125,120,120,90,50,25,50,0,0,0,0,0,5,5,5,5,10,25,25,25,30,25,275,1.2,0.6,1330,160,0,50,0,0,0,0,0,0,0,0,75.8,6.6,1530,1480,4e+05,390000,20,0,0,NA,1400,140,180,260,35,40,165,195,40,855,50,230,25,85,60,145,25,225,130,0,35,590,30,40,0,0,0,105,265,150,80,75
"10","24640047","DA","24640047",0.1173,433,154,154,"2464008","2464","4620684.11","24462",155,140,0,0,0,230,125,95,0,15,10,65,25,30,10,3,38400,45600,30200,35,45,70,50,60,30,30,30,10,5,0,5,0,0,0,0,0,0,5,15,5,0,20,15,15,10,15,45,6,2.4,365,90,0,0,0,0,0,0,0,0,0,0,72,0,1380,1280,336000,308000,20,0,0,NA,1000,50,90,80,15,15,60,60,0,250,10,115,10,15,25,15,15,60,45,0,15,150,15,0,0,0,30,35,85,65,15,0
