"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35580029","DA","35580029",13.0616,357,141,140,"3558004","3558","5950023.02","35595",140,140,0,0,0,215,95,60,0,10,20,60,20,25,5,2.8,54400,58400,49600,25,25,40,35,40,30,30,30,25,10,15,15,0,0,0,0,0,0,5,0,5,10,5,10,15,5,5,70,5,NA,310,20,0,0,0,0,0,0,0,0,0,0,48.1,14.8,1090,1380,448000,450000,0,NA,NA,NA,NA,55,50,95,0,15,30,50,0,160,15,135,10,10,10,20,0,10,60,0,0,120,15,0,0,0,0,65,65,0,0,0
"2","35580030","DA","35580030",1.6844,573,205,204,"3558004","3558","5950023.02","35595",205,200,0,0,0,345,130,95,15,10,15,80,40,40,15,2.9,61200,71000,47600,30,45,65,35,50,55,55,55,30,40,20,50,0,0,0,0,0,0,0,0,5,5,15,10,0,15,10,130,2.4,1.2,520,45,0,0,15,0,0,0,0,0,0,0,51.3,0,1150,1470,476000,480000,0,NA,NA,NA,NA,50,55,120,20,15,45,90,10,270,35,160,0,35,55,40,0,70,55,0,0,230,15,0,0,0,10,75,155,15,0,0
"3","35580031","DA","35580031",2.5095,1011,379,372,"3558004","3558","5950023.02","35595",375,365,0,0,0,630,220,170,5,15,30,180,60,70,25,2.8,58000,73000,50400,60,60,80,95,110,115,65,65,50,55,30,100,0,0,0,0,5,0,0,5,0,5,20,20,25,25,20,225,2.2,1.4,920,50,0,25,20,0,0,0,0,0,0,0,48.5,4.5,1170,1450,452000,5e+05,25,0,0,NA,1200,75,70,210,25,10,30,135,15,460,15,330,15,50,85,60,15,90,65,0,0,330,15,0,0,0,0,115,230,0,0,10
"4","35580032","DA","35580032",3.4442,622,251,249,"3558004","3558","5950023.02","35595",250,250,0,0,0,365,170,105,15,15,35,110,45,35,10,2.7,52000,60800,44800,30,50,75,65,80,70,55,55,30,25,20,35,0,0,0,0,0,5,5,5,5,5,15,25,10,20,20,120,2.4,1,595,45,0,20,0,0,0,0,0,0,0,0,46.9,6.1,880,1180,348000,368000,0,NA,NA,NA,NA,65,65,140,10,30,40,110,10,310,30,200,0,20,25,30,10,70,100,10,10,225,20,0,0,0,10,90,140,10,0,10
"5","35580033","DA","35580033",5.5428,611,259,253,"3558004","3558","5950023.02","35595",250,250,0,0,0,365,155,95,5,25,25,120,30,40,10,2.7,54800,65500,42400,35,45,70,55,70,60,35,35,45,25,20,50,0,0,0,0,5,5,5,5,0,15,15,15,35,15,15,120,2.4,NA,595,30,0,10,0,0,0,0,0,0,0,0,52,0,950,1220,4e+05,412000,0,NA,NA,NA,NA,40,55,125,10,0,25,105,10,295,35,200,10,25,25,75,0,45,60,0,15,205,10,0,0,0,10,100,105,10,0,0
"6","35580038","DA","35580038",2.7722,442,220,215,"3558004","3558","5950003.00","35595",215,195,0,0,0,200,190,115,20,35,20,70,25,15,10,2.7,40000,46800,35600,25,50,70,65,70,50,15,15,10,5,5,0,0,0,5,5,15,10,15,15,20,5,30,20,15,20,10,35,14.4,7.2,500,15,0,0,25,0,0,0,0,0,0,0,59.4,12.5,1050,1060,2e+05,210000,65,0,38.5,1000,920,80,30,105,0,35,30,95,0,240,35,135,0,20,40,25,0,70,40,0,35,190,15,0,0,10,0,135,75,15,0,0
"7","35580039","DA","35580039",0.1836,489,228,224,"3558004","3558","5950003.00","35595",225,185,0,10,0,205,200,135,15,25,25,80,35,15,10,2.7,42000,44800,36800,30,45,65,75,75,55,25,25,5,5,5,5,0,0,0,5,5,15,10,15,10,15,25,20,20,25,15,35,10,7.2,505,25,0,0,10,0,0,0,0,0,0,0,58.6,0,930,980,2e+05,224000,80,0,50,1360,1160,115,25,120,0,45,15,90,0,245,40,160,0,0,30,25,0,115,65,0,10,150,25,15,0,15,0,90,110,0,0,0
"8","35580040","DA","35580040",0.2002,433,203,197,"3558004","3558","5950003.00","35595",200,180,0,0,0,190,180,110,15,25,30,75,30,10,5,2.6,44400,50000,38800,25,30,65,60,65,40,20,20,20,10,10,10,0,0,0,0,5,5,5,15,20,5,15,20,25,15,15,45,7.2,3.2,420,10,0,0,15,0,0,0,0,0,0,0,60.5,10.5,960,940,240000,230000,20,0,0,NA,1000,100,25,80,10,45,10,55,0,180,15,175,0,10,20,30,0,45,40,0,10,150,10,0,0,0,0,85,60,10,0,15
"9","35580041","DA","35580041",0.1943,423,201,197,"3558004","3558","5950003.00","35595",200,185,0,5,0,210,160,95,15,15,30,65,30,20,5,2.7,42800,54400,37600,20,45,65,55,60,50,35,35,10,15,0,10,0,0,0,0,5,15,10,10,10,15,20,10,20,20,5,55,9.6,2,400,20,0,25,0,30,0,0,0,0,0,0,36.1,0,608,830,250000,256000,15,0,0,NA,1200,75,60,95,0,30,45,60,0,155,15,180,0,10,15,20,0,30,45,10,10,135,0,0,0,0,0,70,45,0,0,10
"10","35580042","DA","35580042",0.1214,465,168,160,"3558004","3558","5950003.00","35595",160,30,0,0,0,130,190,130,15,20,20,45,35,20,20,3.2,37200,37600,36000,20,40,45,70,45,35,15,15,10,0,0,0,0,0,0,0,0,0,10,10,5,20,20,20,15,15,10,25,25.2,8.8,470,10,10,115,0,25,0,0,0,0,0,0,60,0,NA,1000,NA,240000,135,0,44.4,1400,1320,115,35,55,0,90,20,35,0,155,50,115,0,0,0,25,0,90,45,0,0,90,20,15,10,0,0,65,40,20,0,0
