GeoUID,Type,Region Name,Area (sq km),Population,Dwellings,Households,CSD_UID,CD_UID,CT_UID,CMA_UID,v_CA21_1040,v_CA21_107,v_CA21_108,v_CA21_109,v_CA21_125,v_CA21_126,v_CA21_127,v_CA21_143,v_CA21_144,v_CA21_145,v_CA21_1085,v_CA21_1144,v_CA21_1145,v_CA21_1146,v_CA21_1147,v_CA21_1148,v_CA21_1149,v_CA21_1150,v_CA21_1151,v_CA21_1152,v_CA21_1153,v_CA21_1154,v_CA21_1155,v_CA21_1156,v_CA21_1157,v_CA21_1158,v_CA21_14,v_CA21_15,v_CA21_16,v_CA21_32,v_CA21_33,v_CA21_34,v_CA21_50,v_CA21_161,v_CA21_162,v_CA21_163,v_CA21_179,v_CA21_180,v_CA21_181,v_CA21_197,v_CA21_198,v_CA21_199,v_CA21_215,v_CA21_216,v_CA21_217,v_CA21_233,v_CA21_234,v_CA21_235,v_CA21_254,v_CA21_255,v_CA21_256,v_CA21_272,v_CA21_273,v_CA21_274,v_CA21_290,v_CA21_291,v_CA21_292,v_CA21_308,v_CA21_309,v_CA21_310,v_CA21_326,v_CA21_327,v_CA21_328,v_CA21_4306,v_CA21_4307,v_CA21_4309,v_CA21_4310,v_CA21_4311,v_CA21_4312,v_CA21_4313,v_CA21_4314,v_CA21_4315,v_CA21_4317,v_CA21_4318,v_CA21_434,v_CA21_435,v_CA21_440,v_CA21_441,v_CA21_442,v_CA21_4407,v_CA21_4410,v_CA21_4434,v_CA21_456,v_CA21_477,v_CA21_480,v_CA21_483,v_CA21_486,v_CA21_489,v_CA21_493,v_CA21_494,v_CA21_495,v_CA21_496,v_CA21_497,v_CA21_4809,v_CA21_4875,v_CA21_4876,v_CA21_4877,v_CA21_4878,v_CA21_4879,v_CA21_4880,v_CA21_4881,v_CA21_4882,v_CA21_4883,v_CA21_4884,v_CA21_4885,v_CA21_4886,v_CA21_4887,v_CA21_4888,v_CA21_4889,v_CA21_4890,v_CA21_4891,v_CA21_4892,v_CA21_4893,v_CA21_4894,v_CA21_4895,v_CA21_4896,v_CA21_4897,v_CA21_4898,v_CA21_4899,v_CA21_4900,v_CA21_4901,v_CA21_4902,v_CA21_4903,v_CA21_4904,v_CA21_4905,v_CA21_4906,v_CA21_4907,v_CA21_4908,v_CA21_4909,v_CA21_4910,v_CA21_4911,v_CA21_4912,v_CA21_4913,v_CA21_4914,v_CA21_4915,v_CA21_4916,v_CA21_4971,v_CA21_4974,v_CA21_4977,v_CA21_5094,v_CA21_51,v_CA21_52,v_CA21_71,v_CA21_72,v_CA21_73,v_CA21_89,v_CA21_90,v_CA21_91,v_CA21_5109,v_CA21_5202,v_CA21_5205,v_CA21_5208,v_CA21_560,v_CA21_561,v_CA21_562,v_CA21_563,v_CA21_564,v_CA21_565,v_CA21_566,v_CA21_567,v_CA21_568,v_CA21_569,v_CA21_570,v_CA21_571,v_CA21_5670,v_CA21_5671,v_CA21_5672,v_CA21_5673,v_CA21_5674,v_CA21_5675,v_CA21_5676,v_CA21_5677,v_CA21_5678,v_CA21_5724,v_CA21_5725,v_CA21_5726,v_CA21_5727,v_CA21_5728,v_CA21_5729,v_CA21_5730,v_CA21_5731,v_CA21_5732,v_CA21_5733,v_CA21_5734,v_CA21_5735,v_CA21_5736,v_CA21_5737,v_CA21_5738,v_CA21_5739,v_CA21_5740,v_CA21_5741,v_CA21_5742,v_CA21_5743,v_CA21_5744,v_CA21_5817,v_CA21_5818,v_CA21_5819,v_CA21_5820,v_CA21_5821,v_CA21_5822,v_CA21_5823,v_CA21_5824,v_CA21_5825,v_CA21_5832,v_CA21_5833,v_CA21_5834,v_CA21_5841,v_CA21_5842,v_CA21_5843,v_CA21_5844,v_CA21_5845,v_CA21_5846,v_CA21_5850,v_CA21_5851,v_CA21_5852,v_CA21_5853,v_CA21_5854,v_CA21_5855,v_CA21_5856,v_CA21_5857,v_CA21_5858,v_CA21_5859,v_CA21_5860,v_CA21_5861,v_CA21_5862,v_CA21_5863,v_CA21_5864,v_CA21_5868,v_CA21_5880,v_CA21_5889,v_CA21_5892,v_CA21_6498,v_CA21_6501,v_CA21_6504,v_CA21_6570,v_CA21_6576,v_CA21_6579,v_CA21_6582,v_CA21_6585,v_CA21_6588,v_CA21_6591,v_CA21_6594,v_CA21_6597,v_CA21_722,v_CA21_725,v_CA21_728,v_CA21_731,v_CA21_734,v_CA21_737,v_CA21_740,v_CA21_743,v_CA21_746,v_CA21_749,v_CA21_752,v_CA21_7638,v_CA21_7641,v_CA21_7644,v_CA21_7647,v_CA21_7650,v_CA21_7653,v_CA21_7659,v_CA21_7662,v_CA21_7665,v_CA21_7668,v_CA21_7671,v_CA21_830,v_CA21_831,v_CA21_832,v_CA21_833,v_CA21_834,v_CA21_835,v_CA21_836,v_CA21_837,v_CA21_838,v_CA21_839,v_CA21_840,v_CA21_841,v_CA21_842,v_CA21_843,v_CA21_844,v_CA21_845,v_CA21_846,v_CA21_847,v_CA21_848,v_CA21_849,v_CA21_850,v_CA21_923,v_CA21_924,v_CA21_925,v_CA21_926,v_CA21_927,v_CA21_928,v_CA21_929,v_CA21_930,v_CA21_931,v_CA21_932,v_CA21_933,v_CA21_934,v_CA21_935,v_CA21_936,v_CA21_937,v_CA21_938,v_CA21_939,v_CA21_945,v_CA21_946,v_CA21_947,v_CA21_948,v_CA21_949,v_CA21_950,v_CA21_951,v_CA21_952,v_CA21_953,v_CA21_954,v_CA21_955,v_CA21_956,v_CA21_957,v_CA21_958,v_CA21_959,v_CA21_960
24370016,DA,24370016,0.841,724,427,402,2437067,2437,4420200.00,24442,28,85,35,50,55,30,30,35,20,15,10,725,360,360,0,5,0,500,235,265,220,120,100,0,5,0,65,35,20,45,20,20,30,40,25,20,40,20,25,50,25,20,35,15,20,45,15,30,30,15,20,30,20,10,15,5,10,15,5,10,10,5,0,70,0,1050,960,180000,220000,350,15.7,8.7,624,610,400,40,0,0,0,735,0,0,220,375,270,10,55,35,105,40,15,15,2.7,0,35,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,355,355,35,15,10,0,15,10,35,15,20,60,30,35,0,0,0,0,31600,33200,28800,575,275,300,29000,30200,27800,475,235,235,745,370,375,0,0,0,450,195,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,165,110,600,275,325,125,70,55,185,75,110,120,60,60,130,45,85,0,0,0,30,10,15,0,0,0,0,0,0,10,0,0,0,0,0,75,95,90,0,335,15,245,0,15,20,50,0,115,55,0,30,35,95,175,125,85,40,15,5,0,0,0,245,15,0,15,10,0,135,115,35,0,10,23800,27800,20200,395,195,205,26600,30000,22600,510,235,275,8200,7350,9700,90,40,45,4000,3960,4080,400,5,0,15,15,40,35,30,25,30,40,45,25,25,15,15,25,10,0,15,15,50,40,35,50,35,30,40,25,15,15,10,15
24370017,DA,24370017,0.1905,467,311,292,2437067,2437,4420200.00,24442,22.8,45,25,20,30,15,15,25,15,10,7.6,465,235,230,0,0,0,355,170,180,115,65,55,0,0,0,10,5,5,20,10,10,15,25,15,10,25,15,15,25,15,10,35,20,20,45,25,20,35,15,20,40,15,25,30,20,15,10,5,5,10,0,5,53.3,0,624,720,139000,144000,210,0,23.8,670,660,295,65,0,5,0,420,50,0,160,260,160,5,65,35,75,20,10,5,2.5,0,50,25,25,0,0,0,0,0,0,50,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,210,210,0,0,15,0,10,10,15,10,5,15,5,10,0,0,0,0,33200,37200,30000,410,200,205,30200,34000,28000,330,160,170,470,235,240,0,0,0,340,165,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,65,65,425,210,215,130,65,60,90,40,55,80,60,20,45,15,35,10,0,10,55,30,30,0,0,0,0,0,0,0,0,0,0,0,0,70,70,40,0,225,10,185,0,0,35,20,0,70,40,0,15,20,60,115,95,75,20,10,5,0,0,0,190,0,0,0,0,0,40,115,35,10,0,24400,29800,18400,255,130,125,26800,31200,24000,375,180,195,9900,9400,10300,60,35,20,4440,7100,3720,295,0,10,10,15,40,20,20,15,20,20,35,25,15,10,15,20,0,10,10,15,40,25,30,20,25,20,30,20,20,20,5,5
24370018,DA,24370018,0.0835,392,244,236,2437067,2437,4420200.00,24442,30,30,15,15,20,5,10,30,10,15,7.2,390,175,220,0,0,0,310,125,180,85,45,40,0,0,0,15,5,5,25,10,15,10,20,10,10,20,10,15,20,10,10,30,10,15,40,20,15,35,15,25,35,15,25,15,5,10,10,0,10,10,5,5,61.5,0,695,760,160000,170000,160,0,12.5,620,612,235,30,0,0,0,385,0,0,135,215,145,10,40,25,75,15,10,5,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,150,230,0,0,0,0,5,5,15,0,10,25,15,10,0,0,0,0,32000,37200,28800,340,150,195,29600,32800,26400,280,125,155,385,155,235,0,0,0,220,85,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,60,80,325,125,195,70,30,40,75,25,55,80,40,40,60,25,35,10,0,0,20,0,20,0,0,0,0,0,0,0,0,0,10,0,0,35,75,35,0,150,35,140,0,0,20,10,0,65,40,0,0,25,50,100,70,60,15,10,10,0,0,0,95,0,15,15,10,0,35,50,25,15,15,23000,26600,19000,220,100,115,24400,27000,21800,310,130,175,10200,8400,12000,50,25,25,4240,5000,3360,235,5,0,5,15,35,15,10,25,15,10,25,15,15,15,5,30,5,0,0,15,35,15,20,25,15,20,15,15,15,5,10,10
24370019,DA,24370019,0.1909,371,236,220,2437067,2437,4420200.00,24442,19.5,25,15,5,20,5,10,10,0,5,6,370,160,210,0,0,0,285,110,170,85,45,35,0,0,0,15,5,10,15,5,10,10,20,15,10,15,10,5,20,10,10,10,5,5,35,10,25,40,20,20,50,15,30,30,10,20,20,5,15,20,10,10,55.6,16.7,500,680,150000,148000,135,0,22.2,650,690,220,60,0,5,0,340,25,0,140,190,105,10,50,30,65,10,10,0,2.6,0,20,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,140,205,0,0,0,0,10,5,5,0,5,5,0,0,0,0,0,0,30600,37600,25600,325,145,180,28800,34800,24800,265,130,135,365,150,215,0,0,0,265,100,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,50,45,335,140,190,65,20,45,130,55,85,55,45,10,30,0,30,25,20,15,15,0,10,0,0,0,0,0,0,10,0,10,0,0,0,10,35,15,10,105,10,215,0,0,0,0,10,40,25,0,10,25,60,90,65,50,20,10,5,0,0,0,75,0,0,0,0,0,35,35,15,0,0,22800,27400,16600,165,90,75,26800,31800,24600,300,120,175,12400,12000,12600,35,25,10,5840,5960,NA,220,0,0,5,10,25,20,15,15,20,15,30,15,10,5,5,20,0,0,5,5,25,25,15,25,20,15,25,20,5,5,5,15
24370020,DA,24370020,0.0836,344,215,199,2437067,2437,4420200.00,24442,25.2,20,10,10,25,15,5,25,15,15,8.5,335,170,165,0,0,0,255,120,130,80,45,35,0,0,0,20,10,10,15,5,10,15,15,10,5,20,10,5,30,10,20,25,10,15,30,15,20,40,25,15,20,5,15,5,5,5,10,5,0,5,5,5,93.3,20,810,960,150000,160000,135,0,14.8,520,550,195,40,0,5,0,325,0,0,115,185,130,5,35,15,50,15,5,5,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,155,180,0,0,0,0,0,5,5,10,0,15,5,5,0,0,0,0,30400,30600,30200,290,145,145,27800,27800,28000,225,115,105,340,160,180,0,0,0,210,90,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,60,55,290,130,160,85,20,65,50,35,10,80,45,30,40,10,30,10,0,10,25,10,15,0,0,0,0,0,0,0,0,0,0,0,0,40,65,25,0,150,10,140,0,0,15,20,0,45,25,0,10,20,40,100,55,35,20,10,5,0,0,0,85,15,0,20,0,0,50,50,10,15,0,24200,32000,21600,180,90,90,25600,30800,24000,250,120,130,10100,8800,10700,50,30,15,3960,3320,NA,200,0,0,10,15,25,15,10,5,10,15,20,20,15,10,10,15,0,0,10,15,30,25,5,10,15,15,20,15,20,10,5,10
24370021,DA,24370021,0.1364,468,244,233,2437067,2437,4420200.00,24442,16,25,10,10,15,5,10,25,15,10,6.4,460,195,265,0,0,0,360,150,210,100,45,60,0,0,0,20,10,10,10,5,0,20,25,5,15,20,10,10,30,15,15,35,15,20,35,10,20,45,25,25,45,15,25,25,5,15,30,10,20,20,5,20,47.6,0,560,700,190000,204000,145,0,24.1,564,580,230,60,0,0,0,400,15,0,185,230,150,5,40,40,80,20,15,5,2.5,0,25,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,175,215,0,0,0,0,5,15,15,5,5,30,15,15,0,0,0,0,34000,39200,29200,365,165,205,31200,34400,27800,315,140,175,415,185,230,0,0,0,300,130,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,55,60,375,170,205,100,45,55,100,30,70,80,50,30,60,25,35,0,0,0,25,10,10,10,0,0,0,0,0,0,0,0,0,0,0,40,50,20,0,175,10,190,0,0,15,10,0,90,40,0,0,25,50,105,85,50,35,10,10,0,0,0,140,10,0,10,0,0,85,65,15,0,0,27000,32000,24800,220,105,115,28400,32000,27200,310,135,180,10800,11200,10500,50,25,25,3960,4480,2960,235,0,0,0,15,25,15,10,15,25,5,20,20,15,15,10,30,0,0,0,15,20,15,15,20,20,5,30,20,20,15,10,20
24370022,DA,24370022,0.1892,466,287,272,2437067,2437,4420201.00,24442,27.6,25,15,15,20,10,5,25,10,15,6.4,470,220,250,0,0,0,345,145,200,120,70,45,0,0,0,15,10,5,15,10,5,15,30,10,20,15,10,5,15,10,5,35,15,20,35,10,25,40,20,25,50,30,20,40,20,20,20,5,15,10,5,10,52.6,0,440,670,150000,144000,165,0,24.2,584,650,270,80,0,0,0,410,0,0,180,235,140,5,50,40,85,20,10,5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410,200,210,10,0,0,0,10,10,20,10,10,40,25,15,0,0,0,0,29000,33200,25600,405,185,225,27200,30600,24800,320,145,175,415,200,215,0,0,0,320,150,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,45,385,190,195,80,40,40,110,45,65,110,70,40,50,20,30,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,65,35,10,165,15,205,0,10,10,15,0,60,45,0,15,25,70,140,80,55,30,5,0,0,0,0,120,0,0,20,0,0,45,70,20,0,15,22400,26600,20400,230,110,120,26000,26600,25400,375,160,210,11300,10700,11400,65,25,35,5000,5600,4520,275,0,0,10,10,55,15,20,20,20,20,35,10,20,10,5,25,0,0,10,10,55,25,20,25,25,15,30,10,15,10,5,20
24370023,DA,24370023,0.1408,440,282,262,2437067,2437,4420201.00,24442,23.6,35,15,20,35,15,15,25,15,10,6.8,430,200,230,0,0,0,330,140,185,100,55,50,0,0,0,15,5,5,15,5,10,5,30,10,15,20,10,10,20,10,10,35,15,20,35,20,25,40,20,20,35,10,25,25,15,15,15,10,5,10,0,10,57.7,15.4,580,650,120000,118000,150,0,20,544,570,260,115,0,15,0,440,10,0,170,230,150,10,40,25,75,10,15,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,200,255,15,0,0,0,5,5,15,5,5,25,15,15,0,0,0,0,29200,34400,27200,385,180,210,27800,30200,25400,315,150,165,455,200,255,0,0,0,325,150,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,50,70,415,180,235,85,45,40,135,45,85,95,50,45,60,25,35,10,0,10,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,50,70,35,0,220,25,165,0,0,35,20,0,110,40,0,0,30,50,135,80,40,20,15,5,5,0,0,160,10,10,10,0,0,55,105,15,0,10,22800,26600,19200,245,115,125,25800,31400,22800,335,145,190,9700,8300,10200,50,20,30,4680,6360,3960,260,5,5,5,10,40,25,15,20,20,20,15,30,15,15,15,20,5,5,5,10,40,25,15,25,15,20,35,20,20,10,10,15
24370024,DA,24370024,0.1274,351,199,186,2437067,2437,4420202.00,24442,26.4,20,10,15,35,20,15,10,5,5,11,350,185,165,0,0,0,270,135,135,80,45,30,0,0,0,25,15,10,15,10,5,15,20,15,5,15,5,5,25,15,10,35,20,20,35,20,10,20,10,15,20,10,10,10,0,5,15,10,5,5,5,5,70,0,735,760,150000,144000,70,0,0,512,480,185,65,0,0,0,330,0,0,125,170,120,5,25,20,55,20,5,5,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,150,185,0,0,0,0,5,10,10,5,5,20,10,10,0,0,0,0,32400,34400,30400,285,150,135,29600,30800,27400,225,120,105,335,155,185,0,0,0,270,120,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,35,35,280,135,145,95,45,55,70,25,45,70,40,25,35,20,10,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,55,60,25,0,140,25,120,0,10,15,0,0,55,30,0,0,15,45,90,70,35,20,10,5,0,0,0,105,10,0,0,0,0,40,50,30,0,0,23400,29600,20400,180,100,80,26000,29600,23400,250,125,115,9500,8100,13300,40,15,20,4800,NA,4160,185,0,0,5,10,15,15,15,20,15,15,15,15,10,0,15,20,0,0,5,10,20,20,15,20,15,15,15,10,10,5,0,20
24370025,DA,24370025,0.0722,342,230,207,2437067,2437,4420202.00,24442,31.2,25,10,15,20,10,10,10,10,5,9,345,170,170,0,0,0,275,130,150,65,40,20,0,0,0,15,10,5,10,5,10,15,20,15,10,15,5,10,25,15,10,25,10,15,45,25,25,35,20,15,20,5,15,15,5,15,10,5,5,10,5,5,75,0,765,880,150000,146000,115,39.1,13,476,520,210,50,0,0,0,355,0,0,110,190,115,5,50,15,50,20,10,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,170,185,0,0,10,0,5,10,5,5,0,10,5,5,0,0,0,0,26200,34000,23200,295,145,150,25400,31800,23200,215,115,95,355,170,185,0,0,0,250,110,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,60,40,295,135,160,75,30,45,85,30,55,65,55,10,50,15,35,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,50,25,0,115,15,165,0,0,10,0,0,40,45,0,25,20,60,100,50,45,20,5,5,0,0,0,65,20,10,15,0,0,40,20,25,10,10,23000,28000,19800,175,95,80,24400,28200,21600,270,135,140,10000,9300,11600,45,35,15,5880,7250,NA,210,0,0,10,10,45,15,5,10,15,10,25,15,10,10,10,10,0,0,10,10,50,15,10,15,20,10,20,10,10,10,0,10
