"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","59150307","DA","59150307",0.2991,677,297,266,"5915022","5915","9330053.02","59933",270,175,0,5,0,335,230,150,15,35,25,100,40,45,10,2.9,45200,51600,39600,55,65,90,60,55,45,40,40,30,25,20,65,0,5,5,0,5,10,5,5,5,10,20,15,20,15,10,130,6.6,5.2,515,190,10,0,0,0,0,0,0,0,0,0,50,21.1,1450,1880,1700000,1820000,70,0,28.6,1440,1750,55,35,120,20,30,25,85,10,360,40,185,0,35,40,60,25,100,45,0,0,185,20,30,10,10,0,75,90,75,15,10
"2","59150308","DA","59150308",0.1096,541,229,218,"5915022","5915","9330053.02","59933",220,105,0,0,0,265,200,145,5,20,25,65,40,45,5,2.9,44000,52400,40000,50,55,70,50,40,35,35,35,20,25,15,60,5,0,0,5,5,5,10,10,5,5,15,10,10,15,10,110,7.2,6.4,365,160,25,10,10,0,0,0,0,0,0,0,37.5,18.8,890,1680,1510000,1500000,70,0,28.6,1100,1480,50,15,100,25,0,0,75,15,305,20,135,0,35,0,85,25,70,35,10,10,125,15,30,0,10,0,45,100,45,15,0
"3","59150309","DA","59150309",0.1119,761,299,282,"5915022","5915","9330053.02","59933",280,95,0,0,0,365,315,220,15,50,30,105,50,40,10,2.8,41600,43200,40800,55,75,100,85,55,50,55,55,45,15,20,45,5,0,5,0,10,0,15,15,5,10,10,35,20,10,10,120,7.8,5.8,405,210,30,10,15,15,0,0,0,0,0,0,68.8,18.8,2080,1960,1300000,1100000,95,0,36.8,1620,1640,70,20,70,30,10,15,55,20,365,20,165,0,30,20,50,30,85,20,15,10,135,10,65,0,0,0,40,80,70,25,10
"4","59150310","DA","59150310",0.1094,748,411,389,"5915022","5915","9330053.02","59933",390,30,130,0,0,300,370,300,20,30,20,115,35,25,5,2.6,40000,40400,38800,40,85,120,120,85,65,50,50,35,15,10,30,5,5,0,20,20,20,20,25,20,20,40,35,30,15,20,90,13.2,8.4,480,195,70,20,10,20,0,0,25,0,0,0,93.8,37.5,2340,2400,1400000,1320000,315,7.9,46,1400,1440,60,40,85,30,40,30,85,30,500,55,105,0,50,10,70,55,140,55,15,25,140,20,140,20,20,25,90,120,110,10,25
"5","59150311","DA","59150311",0.0809,537,202,187,"5915022","5915","9330053.02","59933",185,60,0,0,0,240,235,185,5,20,20,70,35,30,5,2.9,33600,31600,34400,60,70,90,60,45,35,25,25,30,20,10,15,0,0,5,0,5,5,10,10,10,0,10,15,10,10,10,75,11.6,9.6,275,155,40,0,0,0,0,0,0,0,0,0,33.3,19,880,1580,1500000,1680000,75,0,46.7,1200,1280,70,25,60,20,25,20,45,15,220,45,155,0,20,15,40,20,60,35,0,15,120,10,30,0,10,0,45,80,30,10,10
"6","59150312","DA","59150312",0.0871,555,218,201,"5915022","5915","9330053.02","59933",200,50,0,0,0,265,215,165,10,25,20,80,30,35,5,2.8,38400,41600,36000,45,50,105,55,55,45,30,30,30,10,10,25,5,0,0,0,10,10,5,5,5,10,15,10,15,10,10,85,8,6.8,345,215,30,0,0,0,0,0,0,0,0,0,60.9,0,1760,1880,1460000,1440000,75,0,53.3,1680,1560,50,50,105,20,25,30,85,10,310,45,150,0,45,10,35,10,110,50,0,30,115,35,55,0,0,0,60,70,45,20,15
"7","59150313","DA","59150313",0.1728,1003,368,355,"5915022","5915","9330052.02","59933",355,40,0,0,0,405,485,340,20,75,45,125,75,45,10,2.8,42000,43200,39600,65,105,120,105,120,70,40,40,45,30,15,25,0,0,5,5,10,25,10,10,20,10,30,15,30,30,30,125,7.2,4.4,575,350,15,20,0,40,0,0,0,0,0,0,64.7,17.6,1480,1800,1e+06,1090000,205,36.6,19.5,1030,1140,145,35,185,25,50,20,155,15,455,60,320,10,60,65,40,30,120,70,0,10,200,10,105,10,10,0,35,95,160,25,20
"8","59150328","DA","59150328",0.2322,508,177,169,"5915022","5915","9330052.02","59933",165,45,0,0,0,250,190,135,10,25,15,70,40,35,10,2.9,38000,43600,35200,40,65,70,70,50,45,25,25,20,10,10,15,0,0,0,0,5,0,5,5,5,15,5,5,10,20,10,65,8,5.6,165,290,30,0,0,0,0,0,0,25,0,0,45,25,790,1500,1500000,1460000,65,0,46.2,1780,1700,65,15,55,15,10,0,45,0,225,15,170,0,20,35,20,10,60,35,10,0,105,0,40,10,0,10,10,85,35,20,15
"9","59150329","DA","59150329",0.3085,966,369,350,"5915022","5915","9330052.02","59933",350,130,0,0,0,465,385,295,15,40,35,135,70,45,20,2.8,34000,38000,30000,85,135,175,140,100,75,50,50,30,15,10,30,5,0,0,5,10,15,10,15,15,10,35,30,30,20,20,125,10.2,6.6,375,445,45,0,0,25,0,0,0,0,0,0,35.3,20.6,785,1740,1400000,1560000,160,0,43.8,1540,1540,140,60,85,10,65,35,75,0,440,20,255,0,60,20,40,10,130,100,10,15,245,0,75,10,0,10,60,125,105,35,35
"10","59150330","DA","59150330",0.0782,544,221,209,"5915022","5915","9330052.02","59933",210,70,0,0,0,245,225,165,15,20,25,55,50,40,0,2.9,40000,40800,40000,35,55,85,75,65,40,25,25,25,15,10,25,5,0,0,5,5,5,15,10,10,5,15,5,10,10,15,80,10.4,6.8,290,300,20,30,0,0,0,0,0,0,0,0,55.6,19.2,980,1960,1460000,1460000,80,0,37.5,1200,1200,95,10,105,10,25,10,50,10,275,45,235,0,30,30,40,0,100,30,0,30,125,15,55,0,15,0,15,55,100,20,15
