"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_456: Married or living common-law","v_CA21_477: Not married and not living common-law","v_CA21_480: Never married","v_CA21_483: Separated","v_CA21_486: Divorced","v_CA21_489: Widowed","v_CA21_493: 2 persons","v_CA21_494: 3 persons","v_CA21_495: 4 persons","v_CA21_496: 5 or more persons","v_CA21_497: Average size of census families","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_561: Median total income in 2020 among recipients ($)","v_CA21_562: Median total income in 2020 among recipients ($)","v_CA21_722: Under $10,000 (including loss)","v_CA21_725: $10,000 to $19,999","v_CA21_728: $20,000 to $29,999","v_CA21_731: $30,000 to $39,999","v_CA21_734: $40,000 to $49,999","v_CA21_737: $50,000 to $59,999","v_CA21_740: $60,000 to $69,999...37","v_CA21_740: $60,000 to $69,999...38","v_CA21_743: $70,000 to $79,999","v_CA21_746: $80,000 to $89,999","v_CA21_749: $90,000 to $99,999","v_CA21_752: $100,000 and over","v_CA21_945: Under $5,000","v_CA21_946: $5,000 to $9,999","v_CA21_947: $10,000 to $14,999","v_CA21_948: $15,000 to $19,999","v_CA21_949: $20,000 to $24,999","v_CA21_950: $25,000 to $29,999","v_CA21_951: $30,000 to $34,999","v_CA21_952: $35,000 to $39,999","v_CA21_953: $40,000 to $44,999","v_CA21_954: $45,000 to $49,999","v_CA21_955: $50,000 to $59,999","v_CA21_956: $60,000 to $69,999","v_CA21_957: $70,000 to $79,999","v_CA21_958: $80,000 to $89,999","v_CA21_959: $90,000 to $99,999","v_CA21_960: $100,000 and over","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_4407: Non-immigrants","v_CA21_4410: Immigrants","v_CA21_4434: Non-permanent residents","v_CA21_4971: First Nations (North American Indian), n.o.s.","v_CA21_4974: Métis","v_CA21_4977: European, n.o.s.","v_CA21_5208: Caribbean, n.o.s.","v_CA21_5205: West or Central Asian or Middle Eastern, n.o.s.","v_CA21_5202: East or Southeast Asian, n.o.s.","v_CA21_5109: Latin, Central or South American, n.o.s.","v_CA21_5094: South Asian, n.o.s.","v_CA21_4809: Oceania and other","v_CA21_4306: % of owner households with a mortgage (58)","v_CA21_4307: % of owner households spending 30% or more of its income on shelter costs (55)","v_CA21_4309: Median monthly shelter costs for owned dwellings ($) (59)","v_CA21_4310: Average monthly shelter costs for owned dwellings ($) (59)","v_CA21_4311: Median value of dwellings ($) (60)","v_CA21_4312: Average value of dwellings ($) (60)","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings","v_CA21_4314: % of tenant households in subsidized housing (61)","v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55)","v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59)","v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)","v_CA21_5820: No certificate, diploma or degree","v_CA21_5832: Apprenticeship or trades certificate or diploma","v_CA21_5841: College, CEGEP or other non-university certificate or diploma","v_CA21_5844: University certificate or diploma below bachelor level","v_CA21_5868: No certificate, diploma or degree","v_CA21_5880: Apprenticeship or trades certificate or diploma","v_CA21_5889: College, CEGEP or other non-university certificate or diploma","v_CA21_5892: University certificate or diploma below bachelor level","v_CA21_6498: Employed","v_CA21_6501: Unemployed","v_CA21_6504: Not in the labour force","v_CA21_6570: 0 Legislative and senior management occupations","v_CA21_6576: 2 Natural and applied sciences and related occupations","v_CA21_6579: 3 Health occupations","v_CA21_6582: 4 Occupations in education, law and social, community and government services","v_CA21_6585: 5 Occupations in art, culture, recreation and sport","v_CA21_6588: 6 Sales and service occupations","v_CA21_6591: 7 Trades, transport and equipment operators and related occupations","v_CA21_6594: 8 Natural resources, agriculture and related production occupations","v_CA21_6597: 9 Occupations in manufacturing and utilities","v_CA21_7638: Car, truck or van - as a driver","v_CA21_7641: Car, truck or van - as a passenger","v_CA21_7644: Public transit","v_CA21_7647: Walked","v_CA21_7650: Bicycle","v_CA21_7653: Other method","v_CA21_7659: Less than 15 minutes","v_CA21_7662: 15 to 29 minutes","v_CA21_7665: 30 to 44 minutes","v_CA21_7668: 45 to 59 minutes","v_CA21_7671: 60 minutes and over"
"1","35180075","DA","35180075",17.2482,881,309,293,"3518009","3518","5320105.17","35532",290,290,0,0,0,495,250,190,10,25,25,125,55,70,25,3,52400,64000,44400,75,85,75,75,75,60,60,60,55,35,25,100,0,0,0,5,0,5,10,0,5,10,10,20,15,15,20,180,4.6,1.8,875,80,0,0,0,15,0,0,0,0,0,0,50,20.4,2060,2420,1300000,1480000,0,NA,NA,NA,NA,90,65,185,0,20,50,135,10,470,40,280,20,35,25,65,20,110,90,15,25,250,20,0,15,0,0,30,95,125,15,25
"2","35180220","DA","35180220",1.1559,1529,459,450,"3518009","3518","5320101.06","35532",450,360,0,0,0,715,485,360,35,55,40,160,95,125,60,3.2,42800,46400,39200,110,145,180,150,155,105,85,85,60,65,35,60,0,0,0,5,5,10,5,5,5,5,25,30,35,35,40,245,4.4,2.4,905,665,0,0,0,20,0,0,0,0,0,0,83.5,26.6,2280,2220,8e+05,8e+05,60,0,36.4,2000,2000,175,55,255,25,75,40,190,20,720,105,360,15,75,60,75,15,220,150,10,45,360,55,30,15,0,0,90,95,100,100,80
"3","35180221","DA","35180221",0.2432,673,226,222,"3518009","3518","5320101.06","35532",220,185,0,0,0,350,225,165,15,20,20,95,45,45,15,3,44400,53600,39600,35,65,95,80,75,50,45,45,35,20,20,30,0,0,0,0,0,0,5,5,5,5,10,20,10,20,20,125,3.2,2.4,370,290,0,0,0,0,0,0,35,0,25,0,64.4,15.6,1460,1820,8e+05,820000,0,NA,NA,NA,NA,55,25,105,25,0,20,90,15,335,45,210,0,35,10,70,15,100,85,0,15,200,30,0,0,0,0,80,80,35,20,20
"4","35180222","DA","35180222",0.1587,586,183,179,"3518009","3518","5320101.06","35532",180,170,0,0,0,315,170,140,10,15,15,70,45,35,25,3.2,42000,50800,37600,50,60,70,65,50,55,25,25,20,25,20,35,0,0,0,0,0,5,0,0,0,5,10,5,15,15,15,100,4.8,2.8,390,205,0,0,0,0,0,0,0,0,0,0,64.5,16.1,2000,1880,850000,790000,0,NA,NA,NA,NA,60,15,75,20,20,10,60,15,275,75,105,0,75,30,35,10,55,45,0,10,145,15,0,0,0,0,60,40,25,20,15
"5","35180223","DA","35180223",0.136,652,225,225,"3518009","3518","5320101.06","35532",225,180,0,0,0,320,200,140,15,25,15,75,45,55,15,3.1,48000,48800,43200,35,55,75,65,60,70,45,45,30,20,10,30,0,0,0,0,5,0,5,0,5,5,15,15,10,30,15,105,5.2,1.6,450,235,0,0,0,15,0,0,0,0,0,0,76.2,16.7,1760,1880,7e+05,685000,0,NA,NA,NA,NA,45,10,110,20,15,0,70,15,310,50,150,0,15,35,65,25,80,40,0,0,170,0,25,0,0,10,60,35,25,50,45
"6","35180224","DA","35180224",0.3446,423,120,118,"3518009","3518","5320101.06","35532",115,90,0,0,0,195,165,65,5,15,75,40,25,20,10,3,49600,59600,35600,30,30,30,25,45,25,25,25,15,20,5,10,0,0,0,0,0,0,0,0,5,5,15,10,15,10,10,45,5,NA,255,125,15,0,0,0,0,0,0,0,0,0,79.2,20.8,1820,2000,750000,770000,0,NA,NA,NA,NA,50,0,75,0,10,0,65,0,165,40,110,0,0,35,30,0,30,35,0,0,105,0,15,0,0,0,25,20,25,25,40
"7","35180225","DA","35180225",0.3129,717,240,237,"3518009","3518","5320101.06","35532",240,210,0,0,0,370,230,165,15,20,30,90,50,40,25,3,48800,54800,40400,45,65,85,65,65,55,35,35,40,35,30,45,0,0,0,0,5,5,5,0,10,5,5,15,20,15,10,140,4,2.4,475,225,10,0,20,0,0,0,0,0,0,0,53.5,14,1640,1760,9e+05,890000,25,0,80,NA,1200,95,35,120,15,25,30,110,10,305,30,265,0,40,30,50,20,75,60,0,0,170,15,35,0,0,0,60,35,35,40,60
"8","35180226","DA","35180226",0.7411,656,236,233,"3518009","3518","5320101.02","35532",235,220,0,0,0,335,240,140,10,30,55,100,45,40,10,2.8,47600,56000,39200,40,65,80,60,60,55,30,30,35,25,20,50,0,0,0,0,0,5,0,10,10,10,20,15,20,15,10,120,3.8,1.2,455,115,0,0,25,25,0,0,0,0,0,0,38.6,15.9,870,1570,9e+05,950000,15,0,0,NA,1600,40,30,125,15,0,15,95,0,210,30,245,0,20,25,30,10,40,35,0,15,130,15,10,0,0,0,50,40,15,30,0
"9","35180227","DA","35180227",0.272,396,150,145,"3518009","3518","5320101.02","35532",145,115,0,0,0,195,140,95,5,20,25,50,20,30,10,3,39600,41600,35200,30,40,70,45,45,30,15,15,20,10,10,20,0,0,0,0,15,5,5,5,0,5,15,10,10,10,10,55,12,4,260,165,0,0,0,0,0,0,0,0,0,0,54.5,18.2,1820,1920,950000,1060000,40,0,37.5,900,1200,65,10,85,10,15,0,45,10,180,35,160,0,20,25,30,10,45,35,15,20,75,25,0,0,0,10,55,15,25,20,10
"10","35180228","DA","35180228",0.1269,349,120,119,"3518009","3518","5320101.02","35532",120,115,0,0,0,180,105,70,5,5,20,50,20,25,10,3,49200,58000,42000,20,35,35,40,30,30,15,15,20,20,10,25,0,0,0,0,0,0,0,0,0,5,10,5,0,10,10,70,2.5,NA,380,75,0,0,0,0,0,0,0,0,0,0,60.9,0,1800,1680,9e+05,920000,0,NA,NA,NA,NA,45,10,90,0,15,0,50,0,225,0,110,0,10,25,40,0,65,35,0,10,110,25,15,0,0,0,45,35,50,20,15
