"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_401: Population, 2016","v_CA16_379: Average age","v_CA16_4986: Average after-tax income of households in 2015 ($)","v_CA16_2398: Median after-tax income of households in 2015 ($)","v_CA16_2213: Median after-tax income in 2015 among recipients ($)"
"1","35240098","DA","Oakville",0.36144,957,272,270,"3524001","3524","5350612.12","35535",957,37.2,141018,122112,36403
"2","35240099","DA","Oakville",0.11449,504,143,143,"3524001","3524","5350612.11","35535",504,38.7,165842,123989,40512
"3","35240100","DA","Oakville",0.12915,548,162,162,"3524001","3524","5350612.11","35535",548,40.7,138279,138240,40789
"4","35240101","DA","Oakville",0.11135,373,112,111,"3524001","3524","5350612.11","35535",373,39.1,128083,134656,37248
"5","35240102","DA","Oakville",0.13261,453,177,177,"3524001","3524","5350612.11","35535",453,40.7,76653,83136,35712
"6","35240104","DA","Oakville",0.06594,374,121,121,"3524001","3524","5350612.11","35535",374,36.9,102168,103680,35456
"7","35240105","DA","Oakville",0.05069,250,74,74,"3524001","3524","5350612.12","35535",250,40.3,110938,127744,40832
"8","35240106","DA","Oakville",0.20001,892,280,276,"3524001","3524","5350612.12","35535",892,35.9,113638,92416,31552
"9","35240107","DA","Oakville",0.15832,378,120,120,"3524001","3524","5350612.12","35535",378,40.9,137594,109056,38016
"10","35240108","DA","Oakville",0.08879,528,164,164,"3524001","3524","5350612.12","35535",528,39.3,108531,97536,34731
"11","35240109","DA","Oakville",0.09461,335,101,98,"3524001","3524","5350612.12","35535",335,41.5,109073,107264,32896
"12","35240110","DA","Oakville",0.12399,365,117,116,"3524001","3524","5350612.12","35535",365,41.3,147115,117248,35392
"13","35240111","DA","Oakville",0.16763,698,286,276,"3524001","3524","5350613.01","35535",698,38.6,69581,61248,28192
"14","35240112","DA","Oakville",0.18176,391,149,147,"3524001","3524","5350613.01","35535",391,43,82706,77568,31712
"15","35240113","DA","Oakville",0.19893,347,111,111,"3524001","3524","5350613.01","35535",347,37.2,114681,107776,37760
"16","35240114","DA","Oakville",1.04801,1183,445,437,"3524001","3524","5350613.01","35535",1183,44,98554,94293,40608
"17","35240115","DA","Oakville",0.11747,435,124,124,"3524001","3524","5350612.12","35535",435,38.2,229531,154624,47232
"18","35240116","DA","Oakville",0.0628,311,110,106,"3524001","3524","5350613.01","35535",311,39.3,91465,79872,31744
"19","35240117","DA","Oakville",0.10837,464,181,171,"3524001","3524","5350613.01","35535",464,38.5,87312,75520,33664
"20","35240118","DA","Oakville",0.16578,740,269,267,"3524001","3524","5350613.01","35535",740,40.4,84937,82816,35456
"21","35240120","DA","Oakville",0.23149,558,209,204,"3524001","3524","5350613.03","35535",558,43.5,98646,81664,32672
"22","35240123","DA","Oakville",0.24128,806,360,339,"3524001","3524","5350613.03","35535",806,46,68078,51840,27392
"23","35240124","DA","Oakville",0.27162,392,172,162,"3524001","3524","5350613.03","35535",392,40.2,49074,48128,23264
"24","35240125","DA","Oakville",0.17377,331,132,120,"3524001","3524","5350613.03","35535",331,39.9,88147,77056,30272
"25","35240126","DA","Oakville",0.7408,477,167,167,"3524001","3524","5350614.01","35535",477,40.7,139595,112384,47808
"26","35240127","DA","Oakville",0.2266,479,175,174,"3524001","3524","5350614.01","35535",479,43.5,111289,106496,39552
"27","35240128","DA","Oakville",0.14086,712,255,255,"3524001","3524","5350614.02","35535",712,38,88746,81664,37632
"28","35240129","DA","Oakville",0.24234,490,184,184,"3524001","3524","5350614.02","35535",490,43,106507,99072,43136
"29","35240130","DA","Oakville",0.21826,529,173,173,"3524001","3524","5350614.01","35535",529,41.8,125856,108288,41344
"30","35240131","DA","Oakville",0.15777,473,173,173,"3524001","3524","5350614.02","35535",473,45.1,117392,101760,41792
"31","35240132","DA","Oakville",0.15302,499,183,183,"3524001","3524","5350614.02","35535",499,45.7,106161,97536,39328
"32","35240134","DA","Oakville",2.88911,536,165,165,"3524001","3524","5350600.02","35535",536,32,90531,60544,25696
"33","35240135","DA","Oakville",0.75136,616,222,207,"3524001","3524","5350601.00","35535",616,39.6,165942,121216,38080
"34","35240136","DA","Oakville",0.18757,469,151,143,"3524001","3524","5350601.00","35535",469,39.2,147682,144896,41568
"35","35240137","DA","Oakville",0.2875,519,160,156,"3524001","3524","5350601.00","35535",519,37.7,304212,168448,43904
"36","35240138","DA","Oakville",0.34162,437,146,140,"3524001","3524","5350601.00","35535",437,40.8,263814,191488,60032
"37","35240139","DA","Oakville",0.27739,444,142,138,"3524001","3524","5350601.00","35535",444,40.3,306571,180224,51115
"38","35240140","DA","Oakville",0.51396,523,191,172,"3524001","3524","5350601.00","35535",523,43.1,376975,171520,42368
"39","35240141","DA","Oakville",0.34492,426,128,121,"3524001","3524","5350601.00","35535",426,38.6,315498,155392,40064
"40","35240142","DA","Oakville",0.27114,444,139,132,"3524001","3524","5350600.01","35535",444,39.7,252686,149504,46421
"41","35240143","DA","Oakville",0.23519,539,182,172,"3524001","3524","5350600.01","35535",539,39.9,169391,121088,34816
"42","35240144","DA","Oakville",0.35749,559,190,185,"3524001","3524","5350600.01","35535",559,42.1,204684,145792,46592
"43","35240145","DA","Oakville",0.18114,544,196,196,"3524001","3524","5350600.01","35535",544,43.5,125962,110592,45312
"44","35240146","DA","Oakville",0.19894,514,164,164,"3524001","3524","5350600.01","35535",514,40.4,170619,151040,50432
"45","35240147","DA","Oakville",1.73118,656,217,214,"3524001","3524","5350600.01","35535",656,40.3,210890,137216,50304
"46","35240148","DA","Oakville",0.62929,578,181,180,"3524001","3524","5350600.01","35535",578,40.2,180153,143872,43520
"47","35240150","DA","Oakville",0.07942,460,150,149,"3524001","3524","5350600.02","35535",460,38.2,108883,105216,36224
"48","35240152","DA","Oakville",0.16243,534,167,166,"3524001","3524","5350600.02","35535",534,40.7,110772,114176,36416
"49","35240153","DA","Oakville",0.07438,353,107,106,"3524001","3524","5350600.02","35535",353,41.2,134382,116992,33664
"50","35240154","DA","Oakville",0.10668,501,145,143,"3524001","3524","5350600.02","35535",501,39.2,135532,117888,39253
"51","35240155","DA","Oakville",0.08198,447,144,143,"3524001","3524","5350600.02","35535",447,40.5,110122,99072,33664
"52","35240156","DA","Oakville",0.26246,598,177,177,"3524001","3524","5350600.02","35535",598,41.1,118046,107648,32640
"53","35240157","DA","Oakville",0.59556,460,125,125,"3524001","3524","5350600.02","35535",460,38.2,112730,104704,35200
"54","35240158","DA","Oakville",0.10573,430,124,124,"3524001","3524","5350600.02","35535",430,40.6,112719,130560,40661
"55","35240159","DA","Oakville",0.10274,395,117,117,"3524001","3524","5350600.02","35535",395,40.3,115197,112725,32448
"56","35240160","DA","Oakville",0.27288,626,190,190,"3524001","3524","5350600.02","35535",626,42.2,150494,114944,37333
"57","35240161","DA","Oakville",0.26962,605,179,176,"3524001","3524","5350600.02","35535",605,42.3,122328,101376,31424
"58","35240162","DA","Oakville",0.11444,468,140,140,"3524001","3524","5350600.02","35535",468,40,160908,138240,42944
"59","35240165","DA","Oakville",0.3556,992,312,309,"3524001","3524","5350612.24","35535",992,40.4,207773,141483,45952
"60","35240166","DA","Oakville",0.0956,398,122,122,"3524001","3524","5350612.25","35535",398,42.5,124867,137728,35285
"61","35240167","DA","Oakville",0.16017,444,136,134,"3524001","3524","5350612.25","35535",444,41.5,126792,130304,41472
"62","35240168","DA","Oakville",0.20981,713,250,249,"3524001","3524","5350614.02","35535",713,41.6,99005,96000,36693
