"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_1: Population, 2021","v_CA21_2: Population, 2016","v_CA21_386: Average age","v_CA21_907: Median after-tax income of household in 2020 ($)","v_CA21_560: Median total income in 2020 among recipients ($)","v_CA21_818: Median total income in 2019 among recipients ($)"
"1","35240098","DA","35240098",0.3614,911,272,271,"3524001","3524","5350612.12","35535",911,NA,40.4,142000,47200,47200
"2","35240099","DA","35240099",0.1145,489,141,141,"3524001","3524","5350612.11","35535",489,NA,39.6,148000,49200,50800
"3","35240100","DA","35240100",0.1292,515,163,160,"3524001","3524","5350612.11","35535",515,NA,42.5,160000,58000,53600
"4","35240101","DA","35240101",0.1114,379,113,111,"3524001","3524","5350612.11","35535",379,NA,40.8,143000,54800,54400
"5","35240102","DA","35240102",0.1326,466,178,177,"3524001","3524","5350612.11","35535",466,NA,40.4,96000,49600,48400
"6","35240104","DA","35240104",0.0659,387,121,119,"3524001","3524","5350612.11","35535",387,NA,37.7,135000,50800,53600
"7","35240105","DA","35240105",0.0507,240,73,73,"3524001","3524","5350612.12","35535",240,NA,40,NA,NA,NA
"8","35240106","DA","35240106",0.2,872,282,278,"3524001","3524","5350612.12","35535",872,NA,38,110000,43600,42800
"9","35240107","DA","35240107",0.1583,384,121,120,"3524001","3524","5350612.12","35535",384,NA,41.7,129000,55200,51600
"10","35240108","DA","35240108",0.0888,498,163,158,"3524001","3524","5350612.12","35535",498,NA,41.3,119000,48800,46800
"11","35240109","DA","35240109",0.0946,315,100,97,"3524001","3524","5350612.12","35535",315,NA,43,139000,45200,44800
"12","35240110","DA","35240110",0.124,349,117,116,"3524001","3524","5350612.12","35535",349,NA,43.1,134000,50400,49600
"13","35240111","DA","35240111",0.1676,751,286,279,"3524001","3524","5350613.01","35535",751,NA,38,86000,43200,40000
"14","35240112","DA","35240112",0.1818,437,151,144,"3524001","3524","5350613.01","35535",437,NA,41,105000,41600,40000
"15","35240113","DA","35240113",0.1989,375,111,110,"3524001","3524","5350613.01","35535",375,NA,36,123000,41600,49200
"16","35240114","DA","35240114",1.0125,1200,440,432,"3524001","3524","5350613.01","35535",1200,NA,44.1,114000,52000,54400
"17","35240115","DA","35240115",0.1175,425,124,122,"3524001","3524","5350612.12","35535",425,NA,41.6,153000,56400,59200
"18","35240116","DA","35240116",0.0628,312,111,109,"3524001","3524","5350613.01","35535",312,NA,39.2,98000,44800,41600
"19","35240117","DA","35240117",0.1084,493,183,177,"3524001","3524","5350613.01","35535",493,NA,38.5,90000,42400,41200
"20","35240118","DA","35240118",0.1658,701,267,262,"3524001","3524","5350613.01","35535",701,NA,41.5,95000,43600,44000
"21","35240120","DA","35240120",0.2315,608,208,202,"3524001","3524","5350613.03","35535",608,NA,41,94000,44400,44800
"22","35240123","DA","35240123",0.2413,857,354,341,"3524001","3524","5350613.03","35535",857,NA,45.8,65000,35600,31800
"23","35240124","DA","35240124",0.2716,443,165,158,"3524001","3524","5350613.03","35535",443,NA,41.9,68000,35200,28800
"24","35240125","DA","35240125",0.1738,352,125,115,"3524001","3524","5350613.03","35535",352,NA,39.6,99000,44400,38000
"25","35240126","DA","35240126",0.7371,482,167,162,"3524001","3524","5350614.01","35535",482,NA,40.8,137000,55200,55600
"26","35240127","DA","35240127",0.2266,484,180,175,"3524001","3524","5350614.01","35535",484,NA,45.1,119000,47200,49200
"27","35240128","DA","35240128",0.1409,720,254,247,"3524001","3524","5350614.02","35535",720,NA,38.9,97000,45600,46400
"28","35240129","DA","35240129",0.2423,478,183,181,"3524001","3524","5350614.02","35535",478,NA,45.6,110000,55600,52800
"29","35240130","DA","35240130",0.2183,491,172,170,"3524001","3524","5350614.01","35535",491,NA,45,126000,49600,50800
"30","35240131","DA","35240131",0.1578,474,173,172,"3524001","3524","5350614.02","35535",474,NA,45.1,123000,54800,54000
"31","35240132","DA","35240132",0.153,514,183,182,"3524001","3524","5350614.02","35535",514,NA,42,116000,53200,56000
"32","35240134","DA","35240134",2.8644,503,166,162,"3524001","3524","5350600.02","35535",503,NA,34.4,89000,37600,38400
"33","35240135","DA","35240135",0.7764,636,219,208,"3524001","3524","5350601.00","35535",636,NA,38.7,149000,49200,50000
"34","35240136","DA","35240136",0.1876,453,146,141,"3524001","3524","5350601.00","35535",453,NA,41.2,145000,60800,62000
"35","35240137","DA","35240137",0.2875,508,157,155,"3524001","3524","5350601.00","35535",508,NA,39.7,170000,62400,57600
"36","35240138","DA","35240138",0.3416,442,144,142,"3524001","3524","5350601.00","35535",442,NA,40.9,174000,51200,56800
"37","35240139","DA","35240139",0.2784,437,137,135,"3524001","3524","5350601.00","35535",437,NA,40,194000,65000,66500
"38","35240140","DA","35240140",0.5217,578,201,188,"3524001","3524","5350601.00","35535",578,NA,43.5,172000,61600,58400
"39","35240141","DA","35240141",0.3449,415,128,122,"3524001","3524","5350601.00","35535",415,NA,40.7,152000,43200,48400
"40","35240142","DA","35240142",0.2711,429,139,134,"3524001","3524","5350600.01","35535",429,NA,41.2,143000,51200,58400
"41","35240143","DA","35240143",0.2352,571,183,177,"3524001","3524","5350600.01","35535",571,NA,39.4,134000,53200,49600
"42","35240144","DA","35240144",0.3575,568,192,188,"3524001","3524","5350600.01","35535",568,NA,43,160000,54800,57200
"43","35240145","DA","35240145",0.1811,520,195,189,"3524001","3524","5350600.01","35535",520,NA,44.3,116000,54800,56800
"44","35240146","DA","35240146",0.1989,450,149,149,"3524001","3524","5350600.01","35535",450,NA,40.8,158000,65000,63600
"45","35240147","DA","35240147",1.7225,718,236,231,"3524001","3524","5350600.01","35535",718,NA,41.8,149000,57200,59600
"46","35240148","DA","35240148",0.6196,566,180,178,"3524001","3524","5350600.01","35535",566,NA,40.2,140000,54400,61600
"47","35240150","DA","35240150",0.0794,460,149,148,"3524001","3524","5350600.02","35535",460,NA,38.6,114000,46000,48000
"48","35240152","DA","35240152",0.1624,525,169,167,"3524001","3524","5350600.02","35535",525,NA,42.9,127000,44000,46000
"49","35240153","DA","35240153",0.0744,363,107,107,"3524001","3524","5350600.02","35535",363,NA,43.1,132000,42400,40400
"50","35240154","DA","35240154",0.1067,468,144,141,"3524001","3524","5350600.02","35535",468,NA,40.7,121000,44800,45600
"51","35240155","DA","35240155",0.082,444,145,144,"3524001","3524","5350600.02","35535",444,NA,41,102000,44800,44400
"52","35240156","DA","35240156",0.2625,568,177,174,"3524001","3524","5350600.02","35535",568,NA,42.3,128000,45600,44000
"53","35240157","DA","35240157",0.5956,434,128,127,"3524001","3524","5350600.02","35535",434,NA,40.9,123000,42800,42000
"54","35240158","DA","35240158",0.1057,419,126,123,"3524001","3524","5350600.02","35535",419,NA,42.3,137000,46000,43200
"55","35240159","DA","35240159",0.1027,368,118,117,"3524001","3524","5350600.02","35535",368,NA,43.7,130000,49600,48800
"56","35240160","DA","35240160",0.2729,588,191,190,"3524001","3524","5350600.02","35535",588,NA,43.7,134000,49600,51600
"57","35240161","DA","35240161",0.2724,596,176,172,"3524001","3524","5350600.02","35535",596,NA,42.9,119000,38400,36800
"58","35240162","DA","35240162",0.1144,455,140,139,"3524001","3524","5350600.02","35535",455,NA,42.3,150000,53600,52800
"59","35240165","DA","35240165",0.3556,963,315,313,"3524001","3524","5350612.28","35535",963,NA,43.2,145000,52000,54000
"60","35240166","DA","35240166",0.0956,377,122,121,"3524001","3524","5350612.25","35535",377,NA,44.2,148000,50400,49200
"61","35240167","DA","35240167",0.1602,441,135,135,"3524001","3524","5350612.25","35535",441,NA,43.9,139000,50800,50000
"62","35240168","DA","35240168",0.2098,718,250,246,"3524001","3524","5350614.02","35535",718,NA,42.3,110000,46800,45200
"63","35240169","DA","35240169",0.1171,756,273,271,"3524001","3524","5350614.01","35535",756,NA,37.8,93000,49600,46400
"64","35240170","DA","35240170",0.1729,437,171,169,"3524001","3524","5350612.25","35535",437,NA,42.7,105000,49600,48400
"65","35240171","DA","35240171",0.0966,432,140,139,"3524001","3524","5350612.25","35535",432,NA,43.2,118000,41600,42800
"66","35240172","DA","35240172",0.1089,424,137,135,"3524001","3524","5350612.25","35535",424,NA,44.2,142000,56000,54800
"67","35240173","DA","35240173",0.1113,444,136,133,"3524001","3524","5350612.08","35535",444,NA,42.4,135000,44800,44800
"68","35240174","DA","35240174",0.0607,227,74,73,"3524001","3524","5350612.08","35535",227,NA,41.8,NA,NA,NA
"69","35240175","DA","35240175",0.3,597,185,183,"3524001","3524","5350612.08","35535",597,NA,41.9,125000,47200,44000
"70","35240176","DA","35240176",0.0949,409,126,122,"3524001","3524","5350612.08","35535",409,NA,42.8,108000,34400,30600
"71","35240177","DA","35240177",0.1145,465,147,142,"3524001","3524","5350612.08","35535",465,NA,44.7,116000,38000,40800
"72","35240179","DA","35240179",0.1715,474,154,151,"3524001","3524","5350612.27","35535",474,NA,42.9,121000,45200,44000
"73","35240180","DA","35240180",0.0516,254,87,87,"3524001","3524","5350612.27","35535",254,NA,40,91000,44800,46000
"74","35240181","DA","35240181",0.1979,615,216,212,"3524001","3524","5350612.27","35535",615,NA,41.2,107000,47200,46800
"75","35240182","DA","35240182",0.0807,361,116,115,"3524001","3524","5350612.27","35535",361,NA,39.8,129000,50800,45600
"76","35240184","DA","35240184",0.2143,976,448,440,"3524001","3524","5350612.27","35535",976,NA,47.4,66500,36400,34400
"77","35240188","DA","35240188",0.1088,478,154,152,"3524001","3524","5350612.25","35535",478,NA,41.5,131000,46400,46800
"78","35240189","DA","35240189",0.5951,1023,402,397,"3524001","3524","5350613.03","35535",1023,NA,41.4,75500,39600,38800
"79","35240192","DA","35240192",0.1436,525,189,181,"3524001","3524","5350613.04","35535",525,NA,42.5,110000,41200,37600
"80","35240193","DA","35240193",0.1452,1074,476,428,"3524001","3524","5350613.04","35535",1074,NA,37.4,65000,29400,24600
"81","35240194","DA","35240194",0.3123,770,369,357,"3524001","3524","5350613.04","35535",770,NA,50.6,72500,41200,41200
"82","35240195","DA","35240195",0.0627,631,265,254,"3524001","3524","5350613.04","35535",631,NA,39,69500,38400,35600
"83","35240196","DA","35240196",0.1524,420,135,134,"3524001","3524","5350614.01","35535",420,NA,43.8,156000,59200,60000
"84","35240197","DA","35240197",0.1332,508,177,176,"3524001","3524","5350614.01","35535",508,NA,43.5,113000,44800,44000
"85","35240198","DA","35240198",0.1385,452,154,150,"3524001","3524","5350600.01","35535",452,NA,42.2,141000,56800,56000
"86","35240199","DA","35240199",0.2147,519,162,159,"3524001","3524","5350600.01","35535",519,NA,39.8,153000,58800,57200
"87","35240200","DA","35240200",0.2253,458,155,151,"3524001","3524","5350600.01","35535",458,NA,42.6,155000,64000,62800
"88","35240201","DA","35240201",0.26,439,130,129,"3524001","3524","5350600.01","35535",439,NA,39.3,166000,47600,49200
"89","35240202","DA","35240202",0.5187,583,200,194,"3524001","3524","5350600.01","35535",583,NA,45.7,184000,65000,63600
"90","35240203","DA","35240203",0.5163,492,177,169,"3524001","3524","5350602.00","35535",492,NA,44.4,180000,78000,81000
"91","35240204","DA","35240204",0.3619,412,132,127,"3524001","3524","5350602.00","35535",412,NA,40.4,236000,68500,64500
"92","35240205","DA","35240205",0.3079,418,127,121,"3524001","3524","5350602.00","35535",418,NA,40.1,220000,55200,62400
"93","35240206","DA","35240206",0.4077,499,177,173,"3524001","3524","5350602.00","35535",499,NA,45.9,206000,71000,76000
"94","35240207","DA","35240207",0.244,569,184,180,"3524001","3524","5350602.00","35535",569,NA,39.1,198000,64000,73500
"95","35240208","DA","35240208",0.1813,566,218,211,"3524001","3524","5350602.00","35535",566,NA,41.8,150000,66000,70000
"96","35240209","DA","35240209",0.2499,611,224,209,"3524001","3524","5350602.00","35535",611,NA,53.3,93000,55600,53600
"97","35240210","DA","35240210",0.8702,800,404,382,"3524001","3524","5350602.00","35535",800,NA,57.1,85000,61200,60400
"98","35240211","DA","35240211",0.8577,484,186,180,"3524001","3524","5350602.00","35535",484,NA,41.3,127000,61600,56000
"99","35240212","DA","35240212",0.5118,690,209,202,"3524001","3524","5350601.00","35535",690,NA,38.2,188000,57200,64000
"100","35240213","DA","35240213",0.1168,792,414,373,"3524001","3524","5350604.00","35535",792,NA,54.7,60800,46000,44000
"101","35240214","DA","35240214",0.3979,646,269,250,"3524001","3524","5350604.00","35535",646,NA,47,178000,71000,77000
"102","35240215","DA","35240215",0.144,423,230,212,"3524001","3524","5350604.00","35535",423,NA,54.1,109000,59600,58400
"103","35240216","DA","35240216",0.2084,521,380,355,"3524001","3524","5350604.00","35535",521,NA,60.3,58000,52000,48800
"104","35240217","DA","35240217",0.1449,736,312,302,"3524001","3524","5350603.00","35535",736,NA,36.8,68500,38400,35600
"105","35240218","DA","35240218",0.1516,441,183,172,"3524001","3524","5350603.00","35535",441,NA,41.4,87000,44400,44000
"106","35240219","DA","35240219",0.1872,600,251,244,"3524001","3524","5350603.00","35535",600,NA,43.5,88000,43600,41600
"107","35240220","DA","35240220",0.146,1068,612,583,"3524001","3524","5350603.00","35535",1068,NA,43.6,52800,37200,33600
"108","35240221","DA","35240221",0.2872,1254,707,655,"3524001","3524","5350603.00","35535",1254,NA,36.9,72500,51200,44400
"109","35240222","DA","35240222",1.7965,397,146,144,"3524001","3524","5350606.00","35535",397,NA,43.6,80000,34400,31000
"110","35240223","DA","35240223",0.0958,398,214,201,"3524001","3524","5350606.00","35535",398,NA,42.6,56800,40000,35200
"111","35240224","DA","35240224",0.0334,587,290,273,"3524001","3524","5350603.00","35535",587,NA,38.6,59600,38800,33600
"112","35240225","DA","35240225",0.0709,425,222,213,"3524001","3524","5350606.00","35535",425,NA,43.4,49600,33200,31200
"113","35240226","DA","35240226",0.1325,497,275,259,"3524001","3524","5350606.00","35535",497,NA,44.3,52800,38400,38800
"114","35240227","DA","35240227",0.1583,593,297,285,"3524001","3524","5350606.00","35535",593,NA,47.9,64500,42000,39200
"115","35240228","DA","35240228",0.128,472,147,146,"3524001","3524","5350606.00","35535",472,NA,35.5,68000,30000,24800
"116","35240229","DA","35240229",0.203,579,208,202,"3524001","3524","5350606.00","35535",579,NA,43.9,143000,50400,48800
"117","35240230","DA","35240230",0.1588,417,163,150,"3524001","3524","5350606.00","35535",417,NA,47.1,84000,35200,33600
"118","35240231","DA","35240231",0.2288,501,180,172,"3524001","3524","5350606.00","35535",501,NA,42.4,77000,36800,36400
"119","35240232","DA","35240232",0.1746,483,176,169,"3524001","3524","5350606.00","35535",483,NA,42.3,96000,40800,40800
"120","35240233","DA","35240233",0.2561,622,231,219,"3524001","3524","5350606.00","35535",622,NA,42.3,129000,49600,50400
"121","35240234","DA","35240234",0.4101,728,273,250,"3524001","3524","5350607.00","35535",728,NA,42,107000,47200,44800
"122","35240235","DA","35240235",0.2288,529,184,174,"3524001","3524","5350607.00","35535",529,NA,41.2,137000,54800,52800
"123","35240236","DA","35240236",0.145,444,147,140,"3524001","3524","5350607.00","35535",444,NA,40.7,108000,43600,39200
"124","35240237","DA","35240237",0.2699,510,183,178,"3524001","3524","5350607.00","35535",510,NA,43.7,112000,48800,46400
"125","35240238","DA","35240238",0.1739,343,133,128,"3524001","3524","5350607.00","35535",343,NA,43,89000,40400,39200
"126","35240239","DA","35240239",2.0141,514,193,182,"3524001","3524","5350607.00","35535",514,NA,43.7,90000,41200,40800
"127","35240240","DA","35240240",0.1774,448,170,159,"3524001","3524","5350608.00","35535",448,NA,41.6,91000,41200,41200
"128","35240241","DA","35240241",0.3253,607,204,194,"3524001","3524","5350608.00","35535",607,NA,39.4,113000,50800,49200
"129","35240242","DA","35240242",0.1997,623,139,136,"3524001","3524","5350608.00","35535",623,NA,41.5,118000,37600,32400
"130","35240243","DA","35240243",0.1725,497,175,161,"3524001","3524","5350608.00","35535",497,NA,39.9,98000,39200,38400
"131","35240244","DA","35240244",0.341,765,272,253,"3524001","3524","5350611.00","35535",765,NA,40.9,117000,47200,46000
"132","35240245","DA","35240245",0.1977,477,174,165,"3524001","3524","5350611.00","35535",477,NA,40.1,102000,45600,43200
