"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_7: 0 to 4 years","v_CA16_25: 5 to 9 years","v_CA16_43: 10 to 14 years","v_CA16_64: 15 to 19 years","v_CA16_82: 20 to 24 years","v_CA16_100: 25 to 29 years","v_CA16_118: 30 to 34 years","v_CA16_136: 35 to 39 years","v_CA16_154: 40 to 44 years","v_CA16_172: 45 to 49 years","v_CA16_190: 50 to 54 years","v_CA16_208: 55 to 59 years","v_CA16_226: 60 to 64 years","v_CA16_247: 65 to 69 years","v_CA16_265: 70 to 74 years","v_CA16_283: 75 to 79 years","v_CA16_301: 80 to 84 years","v_CA16_319: 85 years and over","v_CA16_2213: Median after-tax income in 2015 among recipients ($)","v_CA16_2207: Median total income in 2015 among recipients ($)"
"1","35240098","DA","Oakville",0.36144,957,272,270,"3524001","3524","5350612.12","35535",30,50,80,105,90,50,25,30,70,90,120,85,65,20,15,10,5,5,36403,40909
"2","35240099","DA","Oakville",0.11449,504,143,143,"3524001","3524","5350612.11","35535",20,25,40,45,45,25,10,25,25,45,70,45,35,20,10,5,5,0,40512,45056
"3","35240100","DA","Oakville",0.12915,548,162,162,"3524001","3524","5350612.11","35535",25,25,45,45,50,25,25,15,30,45,45,65,55,30,10,10,5,5,40789,45952
"4","35240101","DA","Oakville",0.11135,373,112,111,"3524001","3524","5350612.11","35535",20,15,35,30,30,25,10,10,25,30,40,40,25,20,10,5,5,0,37248,44032
"5","35240102","DA","Oakville",0.13261,453,177,177,"3524001","3524","5350612.11","35535",20,20,25,35,40,25,20,35,20,55,40,50,30,15,15,10,5,5,35712,39893
"6","35240104","DA","Oakville",0.06594,374,121,121,"3524001","3524","5350612.11","35535",10,25,30,35,25,20,20,25,30,20,45,25,20,15,5,0,5,5,35456,39040
"7","35240105","DA","Oakville",0.05069,250,74,74,"3524001","3524","5350612.12","35535",5,20,15,20,10,15,10,10,15,15,20,30,25,10,5,5,5,5,40832,46912
"8","35240106","DA","Oakville",0.20001,892,280,276,"3524001","3524","5350612.12","35535",45,55,80,95,75,45,50,45,60,65,90,80,40,35,15,15,5,0,31552,35456
"9","35240107","DA","Oakville",0.15832,378,120,120,"3524001","3524","5350612.12","35535",20,35,20,20,25,20,20,20,25,20,30,35,45,30,10,5,5,5,38016,44288
"10","35240108","DA","Oakville",0.08879,528,164,164,"3524001","3524","5350612.12","35535",25,35,45,40,35,20,15,20,45,55,40,50,45,25,15,10,5,5,34731,39424
"11","35240109","DA","Oakville",0.09461,335,101,98,"3524001","3524","5350612.12","35535",10,20,25,20,25,15,10,15,30,25,20,25,25,20,20,10,10,0,32896,37056
"12","35240110","DA","Oakville",0.12399,365,117,116,"3524001","3524","5350612.12","35535",15,15,30,30,25,15,15,20,35,25,30,20,40,30,15,5,5,5,35392,40832
"13","35240111","DA","Oakville",0.16763,698,286,276,"3524001","3524","5350613.01","35535",35,45,50,50,45,35,55,50,35,50,55,70,50,25,15,15,10,5,28192,30624
"14","35240112","DA","Oakville",0.18176,391,149,147,"3524001","3524","5350613.01","35535",15,25,20,30,25,20,20,20,30,30,30,35,15,25,15,25,10,5,31712,34752
"15","35240113","DA","Oakville",0.19893,347,111,111,"3524001","3524","5350613.01","35535",30,20,25,30,25,15,20,20,20,25,25,20,20,20,15,10,5,0,37760,41344
"16","35240114","DA","Oakville",1.04801,1183,445,437,"3524001","3524","5350613.01","35535",40,65,70,70,75,40,55,40,90,95,100,90,85,90,80,55,15,20,40608,46304
"17","35240115","DA","Oakville",0.11747,435,124,124,"3524001","3524","5350612.12","35535",15,35,35,40,35,20,10,15,35,40,45,40,35,20,10,5,0,5,47232,54080
"18","35240116","DA","Oakville",0.0628,311,110,106,"3524001","3524","5350613.01","35535",20,25,15,20,20,15,10,30,30,20,20,20,10,15,20,10,5,0,31744,34496
"19","35240117","DA","Oakville",0.10837,464,181,171,"3524001","3524","5350613.01","35535",25,35,30,25,40,20,35,35,40,25,40,25,30,20,15,10,10,10,33664,37312
