"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA16_454: Married or living common law","v_CA16_463: Not married and not living common law","v_CA16_466: Never married","v_CA16_469: Separated","v_CA16_472: Divorced","v_CA16_475: Widowed","v_CA16_479: 2 persons","v_CA16_480: 3 persons","v_CA16_481: 4 persons","v_CA16_482: 5 or more persons","v_CA16_483: Average size of census families","v_CA16_2207: Median total income in 2015 among recipients ($)","v_CA16_2209: Median total income in 2015 among recipients ($)","v_CA16_2208: Median total income in 2015 among recipients ($)","v_CA16_408: Occupied private dwellings by structural type of dwelling data","v_CA16_409: Single-detached house","v_CA16_410: Apartment in a building that has five or more storeys","v_CA16_411: Other attached dwelling","v_CA16_417: Movable dwelling","v_CA16_2309: Under $10,000 (including loss)","v_CA16_2312: $10,000 to $19,999","v_CA16_2315: $20,000 to $29,999","v_CA16_2318: $30,000 to $39,999","v_CA16_2321: $40,000 to $49,999","v_CA16_2324: $50,000 to $59,999","v_CA16_2327: $60,000 to $69,999","v_CA16_2330: $70,000 to $79,999","v_CA16_2333: $80,000 and over","v_CA16_2336: $80,000 to $89,999","v_CA16_2339: $90,000 to $99,999","v_CA16_2342: $100,000 and over","v_CA16_2570: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA16_2540: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA16_5795: Car, truck, van - as a driver","v_CA16_5798: Car, truck, van - as a passenger","v_CA16_5801: Public transit","v_CA16_5804: Walked","v_CA16_5807: Bicycle","v_CA16_5810: Other method","v_CA16_5816: Less than 15 minutes","v_CA16_5819: 15 to 29 minutes","v_CA16_5822: 30 to 44 minutes","v_CA16_5825: 45 to 59 minutes","v_CA16_5828: 60 minutes and over","v_CA16_2427: Under $5,000","v_CA16_2428: $5,000 to $9,999","v_CA16_2429: $10,000 to $14,999","v_CA16_2430: $15,000 to $19,999","v_CA16_2431: $20,000 to $24,999","v_CA16_2432: $25,000 to $29,999","v_CA16_2433: $30,000 to $34,999","v_CA16_2434: $35,000 to $39,999","v_CA16_2435: $40,000 to $44,999","v_CA16_2436: $45,000 to $49,999","v_CA16_2437: $50,000 to $59,999","v_CA16_2438: $60,000 to $69,999","v_CA16_2439: $70,000 to $79,999","v_CA16_2440: $80,000 to $89,999","v_CA16_2441: $90,000 to $99,999","v_CA16_2442: $100,000 and over","v_CA16_4893: Median monthly shelter costs for owned dwellings ($)","v_CA16_4894: Average monthly shelter costs for owned dwellings ($)","v_CA16_4895: Median value of dwellings ($)","v_CA16_4896: Average value of dwellings ($)","v_CA16_4891: % of owner households with a mortgage","v_CA16_4892: % of owner households spending 30% or more of its income on shelter costs","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4898: % of tenant households in subsidized housing...79","v_CA16_4898: % of tenant households in subsidized housing...80","v_CA16_4899: % of tenant households spending 30% or more of its income on shelter costs","v_CA16_4900: Median monthly shelter costs for rented dwellings ($)","v_CA16_4901: Average monthly shelter costs for rented dwellings ($)","v_CA16_5099: No certificate, diploma or degree","v_CA16_5102: Secondary (high) school diploma or equivalency certificate","v_CA16_5108: Apprenticeship or trades certificate or diploma","v_CA16_5117: College, CEGEP or other non-university certificate or diploma","v_CA16_5120: University certificate or diploma below bachelor level","v_CA16_5123: University certificate, diploma or degree at bachelor level or above","v_CA16_5603: Employed","v_CA16_5606: Unemployed","v_CA16_5609: Not in the labour force","v_CA16_5663: 0 Management occupations","v_CA16_5669: 2 Natural and applied sciences and related occupations","v_CA16_5672: 3 Health occupations","v_CA16_5675: 4 Occupations in education, law and social, community and government services","v_CA16_5678: 5 Occupations in art, culture, recreation and sport","v_CA16_5681: 6 Sales and service occupations","v_CA16_5684: 7 Trades, transport and equipment operators and related occupations","v_CA16_5687: 8 Natural resources, agriculture and related production occupations","v_CA16_5690: 9 Occupations in manufacturing and utilities","v_CA16_4002: North American Aboriginal origins","v_CA16_4014: Other North American origins","v_CA16_4044: European origins","v_CA16_4806: Oceania origins","v_CA16_4266: Caribbean origins","v_CA16_4329: Latin, Central and South American origins","v_CA16_4611: West Central Asian and Middle Eastern origins","v_CA16_4698: South Asian origins","v_CA16_4743: East and Southeast Asian origins","v_CA16_4800: Other Asian origins","v_CA16_3408: Non-immigrants","v_CA16_3411: Immigrants","v_CA16_3435: Non-permanent residents"
"1","48111601","DA","Strathcona County",0.1718,366,137,137,"4811052","4811","8350101.01","48835",210,100,65,10,15,10,55,30,25,10,2.8,47872,32960,68454,140,135,0,0,0,40,30,45,25,25,30,30,10,50,15,10,20,2.7,1.4,150,0,10,0,15,0,45,80,30,15,10,5,0,0,0,5,5,0,0,5,5,10,10,10,15,5,70,1397,1404,400319,397237,62.5,0,20,0,0,0,0,0,10,45,35,65,0,45,185,15,90,25,30,10,10,10,35,40,0,10,10,140,295,0,0,0,0,0,15,0,310,55,0
"2","48111602","DA","Strathcona County",0.49453,1122,413,412,"4811052","4811","8350101.01","48835",640,300,210,20,50,25,200,70,65,25,2.8,48000,31680,62976,410,410,0,5,0,130,110,95,100,100,90,70,65,145,40,30,70,4,4.9,450,35,30,15,10,0,140,165,160,45,20,10,0,0,0,5,5,0,10,20,15,20,30,35,30,35,195,1339,1351,391114,387340,55.6,9.7,35,0,0,0,2123,1770,25,185,130,110,20,125,570,45,265,90,30,25,50,15,115,120,20,20,35,200,935,0,0,15,0,10,25,0,945,85,0
"3","48111603","DA","Strathcona County",0.34489,731,255,253,"4811052","4811","8350101.01","48835",365,195,130,10,30,30,105,40,40,30,3,46912,32704,63104,255,255,0,5,0,60,65,75,65,65,60,45,35,75,25,15,35,4.1,4.1,280,10,15,15,0,15,65,165,85,20,0,5,0,0,0,5,5,5,10,10,15,15,25,20,10,20,115,1484,1304,378982,397617,63.8,10.4,15,0,0,0,0,0,30,125,40,135,10,65,370,45,195,80,45,30,30,20,80,85,20,10,40,250,660,0,0,15,15,0,0,0,705,85,0
"4","48111604","DA","Strathcona County",0.18994,558,211,211,"4811052","4811","8350101.01","48835",295,170,110,10,35,15,75,45,35,10,2.9,49664,30656,68544,215,210,0,0,0,50,50,50,50,45,45,50,30,60,20,10,30,1.8,2.7,235,15,40,25,0,0,75,95,95,20,25,0,0,5,0,0,5,0,5,5,0,15,15,25,20,20,95,1493,1401,399589,394583,66.7,12.8,20,0,0,0,0,0,20,40,50,75,20,75,335,20,120,25,25,25,70,10,90,55,15,0,20,80,485,15,0,0,0,0,45,0,450,100,10
"5","48111605","DA","Strathcona County",0.44916,771,312,309,"4811052","4811","8350101.01","48835",405,235,135,10,50,40,125,40,45,20,2.8,47701,36352,63872,310,210,0,95,0,75,85,85,60,60,60,55,55,105,25,25,60,3.2,5.8,270,20,10,10,0,0,115,100,85,10,0,5,0,0,5,20,10,5,5,10,15,15,25,20,15,15,150,810,1306,401217,500243,47.3,20,35,0,0,0,0,1109,0,80,10,80,25,95,350,15,250,80,20,30,50,0,70,45,10,0,20,185,610,0,0,0,0,10,15,0,570,105,10
"6","48111606","DA","Strathcona County",0.57302,625,269,269,"4811052","4811","8350102.00","48835",355,190,105,5,35,40,115,40,35,10,2.7,47168,35328,58368,265,195,0,70,0,45,55,85,70,75,55,45,30,65,20,15,35,2.4,3.2,225,0,20,0,10,10,55,110,60,25,10,0,0,5,5,5,10,10,5,10,15,25,20,25,20,25,90,812,1099,384371,382565,40.8,12.2,0,0,0,0,0,0,15,60,50,80,10,55,295,10,190,30,20,35,20,15,50,65,15,10,25,145,500,0,0,0,10,0,20,0,555,30,0
"7","48111607","DA","Strathcona County",0.151,433,165,165,"4811052","4811","8350102.00","48835",240,135,100,10,10,15,70,25,35,5,2.8,53035,41344,62720,165,165,0,0,0,45,35,25,45,45,40,25,35,50,15,10,25,5.7,4.6,190,10,10,10,0,0,80,90,40,10,10,0,0,0,0,5,5,5,5,5,0,5,15,20,15,15,70,1562,1351,393872,389685,58.1,0,0,0,0,0,0,0,35,80,20,55,0,30,230,10,155,40,10,0,40,10,50,25,15,0,25,175,365,0,0,0,0,0,10,0,400,60,0
"8","48111608","DA","Strathcona County",0.43557,738,273,273,"4811052","4811","8350102.00","48835",375,220,135,10,45,30,105,40,50,25,3,47744,36992,61312,270,270,0,5,0,55,70,75,75,70,60,40,35,85,20,20,45,6.1,5.4,325,0,25,10,0,0,120,115,90,35,10,5,0,0,5,5,5,10,10,10,5,25,15,20,20,20,125,602,1177,376649,381717,49,7.7,20,0,0,0,0,1858,15,105,60,85,25,100,400,35,180,55,20,30,45,15,60,70,20,15,50,190,720,0,10,0,0,10,30,0,650,120,0
"9","48111609","DA","Strathcona County",0.15527,457,177,175,"4811052","4811","8350102.00","48835",250,125,85,5,20,10,75,30,15,15,2.9,54080,43648,64640,175,170,0,5,0,35,40,40,30,55,40,30,25,65,20,20,30,1.1,2.2,200,25,25,0,0,0,65,100,90,10,10,5,0,0,0,5,0,5,5,5,5,5,10,15,10,20,80,1403,1402,389761,397625,57.6,9.1,0,0,0,0,0,0,0,35,30,60,0,80,270,10,95,25,0,10,70,0,50,50,0,10,25,150,370,0,0,0,0,10,0,0,405,25,0
"10","48111610","DA","Strathcona County",0.24828,569,215,215,"4811052","4811","8350102.00","48835",315,150,100,10,25,15,95,35,35,10,2.8,52352,34560,69376,215,215,0,5,0,55,50,45,50,70,45,40,25,85,35,20,35,0.9,1.8,270,0,25,0,0,0,80,90,85,40,0,0,0,0,0,0,0,5,5,5,10,20,15,10,15,20,100,875,1298,399633,392884,47.5,12.5,0,0,0,0,0,0,35,110,25,60,0,75,310,15,135,40,10,30,50,10,45,60,10,10,30,140,495,0,0,0,0,0,10,0,535,40,0
